[00:00:00] 欢迎收听古矮,我是孟宫
[00:15:52] 那只是当然量的部分
[00:15:53] 可能没有像投资圈的人
[00:15:55] 去假设的那么大的一个量
[00:15:56] 可是你说这个东西会delay
[00:15:58] 然后会在后面会出现一些什么延宕
[00:16:01] 甚至是有机会出不来
[00:16:02] 那这应该是不会发生的事情
[00:16:03] 那就立刻去做一些回应了
[00:16:06] 那一样就是像我们之前
[00:16:07] 有跟大家聊到说
[00:16:08] 在市场上面呢
[00:16:09] 你要知道像这些大公司
[00:16:11] 他们会有两条路线在走
[00:16:13] 这个也是一些产业大哥提醒我之后
[00:16:15] 后来才是非常深刻的
[00:16:16] 去了解这件事情
[00:16:17] 总之呢
[00:16:18] 就是研发是会持续的
[00:16:20] 那我研发的东西走到哪里
[00:16:22] 那时候可能需要量产
[00:16:23] 那我就把我有东西
[00:16:24] 拿出来去做量产
[00:16:25] 那就算我可能到
[00:16:27] 需要量产的时候
[00:16:28] 发现说我的某一个技术
[00:16:29] 是没有办法做出来
[00:16:30] 他还没有成熟的话
[00:16:31] 那也不代表他就要去死了
[00:16:33] 他只是可能在下一代的时候
[00:16:35] 才会端出来
[00:16:35] 那可是如果你今天
[00:16:36] 是用投资的角度去看的话
[00:16:39] 就会变成说
[00:16:39] 好像这个东西是大miss
[00:16:41] 然后什么设计大更改
[00:16:42] 或什么的
[00:16:43] 然后就会在市场上
[00:16:44] 造成一些信封邪语
[00:16:45] 可能一回档
[00:16:45] 就可能三五十%之类的
[00:16:47] 那这个都是蛮常见的
[00:16:48] 但是你说一个技术路线
[00:16:50] 然后或者说光通
[00:16:51] 或者说什么CPU
[00:16:52] 相关东西
[00:16:52] 是不是因为这样就要挂掉
[00:16:53] 我觉得不是
[00:16:54] 那其实像美股市民
[00:16:55] 你也注意到说
[00:16:56] 一些那种plugable的东西
[00:16:59] 可能CPU的东西会比较慢一点
[00:17:01] 会遞延或什么
[00:17:02] 那plugable就代表
[00:17:03] 可以再多忘几年
[00:17:04] 可是为什么连plugable的东西
[00:17:05] 都一起掉下去了呢
[00:17:06] 所以我还是倾向认为说
[00:17:08] 反正就像它是一个回档
[00:17:09] 那所有东西就会一起被丢下去
[00:17:12] 那可能杀比较重的
[00:17:14] 会是那些有搭配坏消息的
[00:17:15] 可是当你注意到说
[00:17:16] 明明一些是受贿的东西
[00:17:18] 它也一起下去的时候
[00:17:18] 那这时候你就要去
[00:17:20] 明白说
[00:17:21] 有可能就是市场的一个整体回调
[00:17:22] 那只是有一些故事
[00:17:24] 被搭配着丢出来
[00:17:25] 某个程度上
[00:17:26] 如果你是死多君的话
[00:17:28] 你就要把这个视为是习抽码
[00:17:29] 就考验你的信仰
[00:17:31] 那你也知道一个多头的股票
[00:17:32] 就是走一走会休息
[00:17:34] 有时候甚至会出现那种
[00:17:35] 可能30几%大回档
[00:17:36] 然后接着再继续走
[00:17:38] 其实之前的记忆体
[00:17:38] 也是有这样子一个情形
[00:17:40] 所以你说产业的未来
[00:17:41] 有没有改变
[00:17:42] 我觉得是没有
[00:17:42] 那包含说像是800VDC
[00:17:44] 就是就算它可能是
[00:17:46] 比想象中的
[00:17:47] 在慢个几个Q之类的
[00:17:49] 我觉得它没有什么
[00:17:50] 太大的问题
[00:17:51] 反正大趋势
[00:17:52] 就是往那个方向去做推进
[00:17:54] 那所以该发生的事情
[00:17:55] 该用到的一些components
[00:17:57] 就还是会发生
[00:17:58] 那只是搭配回档的时候
[00:17:59] 特别的印象深刻
[00:18:01] 所以会用这个角度去做观察
[00:18:04] 就是不会认为说
[00:18:05] 这是一个好像说
[00:18:07] 要喊停某些产业路线的文章
[00:18:09] 它并不是这样子
[00:18:10] 它用我的角度去解释的话
[00:18:12] 只是说我们更加的去聚焦
[00:18:14] 说时间点到底怎么样
[00:18:15] 所以就套一句
[00:18:16] 自己身边在做量化的一个朋友
[00:18:19] 他有提到一件事
[00:18:20] 他就说
[00:18:20] 其实这一波这样子搞一搞
[00:18:22] 特别是其实杀下去在过往
[00:18:24] 可能蛮多时候就立刻就上来
[00:18:25] 然后只是这一次就杀下去之后
[00:18:27] 摊起来然后就再继续的再杀
[00:18:29] 反复的这样去搞一搞之后
[00:18:31] 其实会注意到市场的偏好
[00:18:33] 跟资金的一种allocation
[00:18:35] 会开始去产生一些变化
[00:18:36] 为什么
[00:18:36] 因为过去可能就是反正
[00:18:38] 从差不多4月开始到5月的行情
[00:18:41] 大家都知道
[00:18:41] 你就是眼睛闭起来随便点
[00:18:43] 你最担心的是你额度不够而已
[00:18:45] 或者说你可以借钱的破额是不够大
[00:18:49] 不然真的是随便按照会赚钱
[00:18:50] 那后面就会变成是
[00:18:52] 因为大家开始被吓到了
[00:18:53] 有些东西回档的时候可能是回很快
[00:18:55] 那有些量没有东西甚至会直接去
[00:18:58] 像新贵就是大崩跌
[00:18:59] 或者是在贵买这边
[00:19:01] 假设有些东西关起来的
[00:19:03] 然后你在跌一天你想出
[00:19:04] 你是连出都出不掉的
[00:19:06] 所以就变成大家会更加的去注意
[00:19:08] 流动性方面的东西
[00:19:09] 所以自己的猜想
[00:19:11] 当然我觉得还是要等到后面开始
[00:19:12] 有些反弹出现的时候
[00:19:13] 才可以很明确的去定义
[00:19:15] 但自己下的猜想是
[00:19:16] 应该后面资金会倾向去往一些
[00:19:19] 相对大型
[00:19:20] 流动性好
[00:19:21] 那同时又是有数字
[00:19:23] 什么叫有数字
[00:19:23] 当然每家公司都有数字
[00:19:25] 只有些公司的数字是
[00:19:26] 我要在三年之后才开得出来
[00:19:27] 有些公司的数字是
[00:19:29] 我在下个月就开得出来
[00:19:30] 有些公司的数字是
[00:19:31] 我早在几个月前就开了
[00:19:32] 可是没人喜欢
[00:19:33] 那些低估值的东西
[00:19:34] 有可能
[00:19:36] 如果大家真的被吓到的话
[00:19:37] 会往这些方向去跑
[00:19:39] 那这些地方
[00:19:40] 某个程度上会变成是一种避风港
[00:19:41] 或甚至是变成下一波多头的一个领头羊
[00:19:44] 那等到大家的信心都回来
[00:19:46] 那一般信心回来什么时候
[00:19:47] 就是你看到这个指数要再一次的创新高的时候
[00:19:50] 然后大家就会再一次的冲进去
[00:19:51] 那些比较偏向是梦想的东西
[00:19:53] 就是现在你没有办法算出数字的东西
[00:19:56] 其实泛光类的
[00:19:58] 就是蛮多都是这样子的东西
[00:19:59] 所以我觉得资金会这样子去跑
[00:20:01] 那过程中所发生的一些事情
[00:20:03] 反正你要知道说
[00:20:05] 在下跌的时候
[00:20:05] 一定会有很多的鬼故事丢出来
[00:20:07] 那这时候大家就要去
[00:20:09] 考验一下自己的记忆力
[00:20:10] 如果你的记忆力好的
[00:20:11] 你就比较不弄
[00:20:12] 因为上这样子的一个圈套
[00:20:14] 怎么说
[00:20:14] 像在过去的几个回档
[00:20:17] 你没有讲到太远了
[00:20:18] 你就抓过去
[00:20:19] 你拉那个加圈指数来看
[00:20:21] 过去几个让你有痛过的地方
[00:20:23] 当时回档的故事是什么
[00:20:24] 说不定我现在问你
[00:20:25] 你都忘记了
[00:20:26] 因为等到后来信告
[00:20:27] 你就忘记了
[00:20:28] 就没有人会再去记得那样子的东西
[00:20:30] 可是在当下的时候
[00:20:31] 你可能会是把这个东西
[00:20:32] 拿出来放很大
[00:20:33] 是不是要出事情
[00:20:34] 或什么的
[00:20:35] 只是我觉得这些消息的东西
[00:20:37] 它某个程度上
[00:20:38] 就是短线的一种冲击
[00:20:39] 它针对一个该发生的长线的叙事
[00:20:42] 其实不会去造成太多的改变
[00:20:44] 包含像是AI所造成的一些demand的需求
[00:20:47] 然后或者是一些components
[00:20:49] 像它可能出现
[00:20:50] lead time开始去拉长
[00:20:51] 价格开始往上走的一个形状
[00:20:54] 它不会因为短期的消息而改变
[00:20:56] 会改变成什么
[00:20:57] 会改变成是股价
[00:20:58] 会受伤什么
[00:20:59] 是你买在高位的高成本的部位
[00:21:02] 可是其实对于这个公司
[00:21:04] 或是对于未来的一些前瞻性
[00:21:05] 我个人是觉得没有什么太大的影响跟变化
[00:21:08] 特别是我自己下去看这个市场
[00:21:10] 我会觉得还算是没有到非常的疯狂
[00:21:12] 在相对的中性
[00:21:14] 等到整个市场
[00:21:15] 可能大家都开始去买什么
[00:21:16] 卫星AI data center
[00:21:18] 然后或者说开始去买一堆机器人类股
[00:21:20] 机器人类股变成市场的主轴的时候
[00:21:22] 那就真的要担心
[00:21:23] 因为那些东西可能就是在短期间
[00:21:25] 真的是比较难看到的数字的东西
[00:21:27] 但最近身边有些朋友又在跟我分享说
[00:21:29] 其实现在在机器人附近的讨论真的非常多
[00:21:32] 像有一个人去参加了
[00:21:34] 反正美光的某一种会议之后
[00:21:35] 然后出来就给我看了大量的PDF
[00:21:37] 反正他们是非常看好机器人的一个发展
[00:21:40] 虽然那个速度没有这么快
[00:21:42] 就搞不好是三年后五年后之类的
[00:21:43] 可是已经开始去注意一些规格的东西
[00:21:46] 所以在我的角度是
[00:21:47] 只要后面都持续的有故事存在
[00:21:50] 然后没有一些国际事件的重大冲击的话
[00:21:53] 其实还是会去把每次的这种拉回
[00:21:56] 或是修正都视为是一种机会
[00:21:57] 就是你过去讲说上不了车的
[00:21:59] 你看真的车回来给你上
[00:22:01] 还是一堆人不会上
[00:22:02] 然后下次再问说
[00:22:03] 为什么股价可以炒这么疯狂
[00:22:04] 因为真的给你机会的时候
[00:22:06] 其实你会注意到绝大多数人
[00:22:07] 他根本就是不敢上
[00:22:08] 可是你说我们这种
[00:22:10] 就是早就已经在车上的人
[00:22:11] 会在这个机会就立刻去做补偿吗
[00:22:14] 其实也还好
[00:22:15] 特别是这家市场的结构
[00:22:16] 真的是蛮特别的
[00:22:17] 不然说其实你要再去搞额外的资金
[00:22:20] 下是很困难的
[00:22:21] 这是第一点
[00:22:21] 然后第二点是下游买多东西都
[00:22:23] 因为前面炒太凶了
[00:22:25] 所以就变成是储置股
[00:22:26] 所以你要再去加储置股东西很奇怪
[00:22:28] 所以以我自己
[00:22:29] 就是说用谢梦工本位的角度来看
[00:22:32] 就是我有蛮多股票
[00:22:34] 加多拉出去
[00:22:35] 但我就不会想再去买那些可能储置
[00:22:38] 我一定要等你关出来
[00:22:39] 就是如果我知道说我要再被关的话
[00:22:41] 那又已经出了几次这种态度矫正
[00:22:44] 然后跟信仰考验
[00:22:45] 你就会担心说
[00:22:46] 因为首先就是说
[00:22:47] 如果这种信仰考验跟态度矫正越来越多
[00:22:49] 然后盘没有去往上冲
[00:22:50] 那均线会拉平
[00:22:51] 那当均线开始拉平之后
[00:22:53] 就是后面可能就真的来一个超大的
[00:22:55] 那如果你到时候东西全部都卡在那种
[00:22:57] 流动性超低的东西
[00:22:58] 那是非常恐怖的
[00:23:00] 所以就是有可能就会想要往更大的方向去
[00:23:03] 然后外加前面朋友
[00:23:04] 大家在讨论所讲到
[00:23:05] 就是我要知道你的研修跟获利
[00:23:07] 有放在那边的东西是我们的选项
[00:23:09] 那但是这是以现在的角度来讲
[00:23:11] 就是你也知道我们节目的
[00:23:12] 这个变化跟弹性其实蛮大的
[00:23:14] 就像可能我们在年初的时候
[00:23:15] 是在大量的讲卫星
[00:23:17] 因为那时候其实就预判说
[00:23:18] 等到这个SpaceX上市的时候
[00:23:20] 你去注意那些卫星类骨
[00:23:21] 一定全部都已经在右上角
[00:23:22] 那现在回头看就真的全部都在右上角
[00:23:24] 可是我自己其实就只有做一月多
[00:23:25] 到可能不知道就三月那一段之类的
[00:23:27] 那后面就是都放给别人了
[00:23:29] 但后面都还蛮大的一段
[00:23:30] 那就不属于我了
[00:23:31] 那所以一样的道理就是
[00:23:32] 我现在可能会想注意的是这一些
[00:23:34] 有流动性然后又有成绩
[00:23:36] 又是比较扎实
[00:23:37] 又是那种老牌名牌的东西
[00:23:39] 那可是当然就是如果等到这个盘变好
[00:23:41] 说不定有一些新一波的想法
[00:23:43] 但整体来说
[00:23:44] 自己在这几天的行情
[00:23:47] 是没有做什么操作
[00:23:48] 基本上就是没有动
[00:23:49] 因为你也不能动
[00:23:50] 然后其实如果可以动的话
[00:23:51] 应该也不会动
[00:23:52] 因为在礼拜一跌停
[00:23:53] 然后礼拜六涨停
[00:23:54] 然后礼拜三
[00:23:55] 还有新高
[00:23:55] 其实还有新高的东西
[00:23:56] 我们都不会太担心
[00:23:57] 就算他可能过程中
[00:23:58] 非常的帮批
[00:23:59] 但他只要一直有在刷新高
[00:24:01] 然后没有出现那种什么
[00:24:02] 出货大黑K
[00:24:04] 或者是突然间爆量
[00:24:05] 在我们的角度都觉得说
[00:24:07] 反正可以再继续等看看
[00:24:08] 因为太多东西已经是拉出去了
[00:24:10] 所以这个可能是自己
[00:24:11] 或是身边一些资金家
[00:24:13] 对于这个市场的评价
[00:24:15] 所以整体来看
[00:24:16] 我觉得刚才前面所提到的一些事件
[00:24:18] 台积电的涨价应该算是一个蛮好的力多
[00:24:21] 然后再来
[00:24:21] Semi-Analysis所发的
[00:24:23] 大家说是放雷的那两件事情
[00:24:25] 自己看起来是觉得还好
[00:24:27] 他有点像说
[00:24:28] 就帮市场稍微的reality check一下
[00:24:30] 可能有些那种信仰不坚的
[00:24:32] 就会在过程中就被他给洗出去了
[00:24:34] 那也好啦
[00:24:35] 因为一个东西要涨的话
[00:24:36] 就是要把一些人洗掉
[00:24:37] 类似说我们那时候在24年的7月
[00:24:40] 然后还有外加像在那个
[00:24:42] 关税站那时候
[00:24:43] 你就注意到说
[00:24:44] 有时候那个筹码这样子
[00:24:45] 上面卡一堆人
[00:24:46] 就是一堆人被洗掉之后
[00:24:48] 他才会再继续再走下一波
[00:24:49] 不然每个人都在车上
[00:24:50] 到底换谁进来抬轿
[00:24:51] 那个车那么重
[00:24:52] 一堆人可能想要解套
[00:24:53] 就立刻丢掉之类的
[00:24:54] 所以呢
[00:24:55] 大洗一波说不定是一个蛮好的事情
[00:24:57] 那最后面呢
[00:24:58] 我们就稍微来看一下
[00:24:59] 这个Apple的WWDC
[00:25:01] 那整体来看
[00:25:02] 我认为没有什么太多新的亮点
[00:25:05] 反正Apple就是更加的聚焦
[00:25:06] 去要把手机做好这件事情上面
[00:25:09] 那同时跟Google合作
[00:25:10] 去做一些模型
[00:25:11] 那自己当然也有一些
[00:25:12] 本家的模型去做一些应用
[00:25:13] 那像我自己之前的一个猜想是
[00:25:16] 就是如果苹果他是要去做一个
[00:25:19] 收购路费的模式的话
[00:25:20] 那应该是还蛮不错的
[00:25:21] 应该是有机会可以赚到蛮多钱
[00:25:23] 而且不用去扛巨大的CapEx
[00:25:24] 那现在看起来呢
[00:25:25] 他们是要去走一个遮中的路线
[00:25:28] 特别像我们之前有跟大家分享说
[00:25:29] 其实苹果在
[00:25:29] 那是哪里啊
[00:25:31] 反正就是陶渊那附近
[00:25:33] 有一个好像什么
[00:25:34] 航空城工业区还是什么
[00:25:35] 反正他们在那边
[00:25:35] 只有在搞伺服器
[00:25:36] 那苹果只有自己的伺服器
[00:25:38] 还是会去做投入
[00:25:39] 而且是那种精品等级
[00:25:40] 这些东西做得很好
[00:25:41] 所以他们还是要去做
[00:25:42] 他们有像说走一个那种
[00:25:43] 折中路线
[00:25:44] 就是他们没有像那些巨头们
[00:25:46] 花大量的钱去砸
[00:25:47] 他就是可能一部分的东西是用我的
[00:25:49] 那一部分东西是跟Google合作
[00:25:51] 那当然那种Term and Deal
[00:25:52] 可能要在后面再去做一些验证
[00:25:53] 但不是那种纯过路费的一个模式
[00:25:55] 他们决定还是要把一些
[00:25:56] 主控权放在自己的身上
[00:25:58] 那我觉得这个在AI时代
[00:25:59] 可能是一个
[00:26:00] 怎么讲
[00:26:01] 就是他看起来是一个保守牌
[00:26:02] 但他或许是选择一个正确的路线
[00:26:04] 因为大家还是会担心说
[00:26:05] 如果你手上没有模型的话
[00:26:06] 是不是所有的主控权都会放在别人的身上
[00:26:08] 但这件事情
[00:26:09] 我自己是不会这么的担心
[00:26:10] 因为我还是跟大家强调过
[00:26:12] 就是我觉得
[00:26:12] 模型之间的差异
[00:26:14] 特别是走到越尖端之后
[00:26:17] 已经开始越来越不明显
[00:26:19] 就是不会像之前说
[00:26:20] 好的模型跟坏的模型差非常大
[00:26:22] 那在迭代之间
[00:26:23] 还会互相超越之类的
[00:26:25] 所以
[00:26:25] 我不会认为说
[00:26:27] 他不去做自己的模型就不好
[00:26:28] 但如果可以因为他去
[00:26:30] 还是有去投入伺服器
[00:26:31] 去做自己的模型
[00:26:32] 让大家稍微安心一点的话
[00:26:34] 他把过路费模式给降低
[00:26:36] 或甚至不去走
[00:26:37] 这样子来换取市场的一种信息的话
[00:26:39] 其实还蛮不错的
[00:26:40] 再来
[00:26:41] 就像我之前跟大家讲到说
[00:26:43] 我觉得苹果可能最大的亮点之一
[00:26:45] 是他的荧幕感知的功能
[00:26:47] 因为Agenting AI
[00:26:48] 目前我自己是已经是长期都在去做使用
[00:26:51] 因为反正
[00:26:52] 不管是晚上要念孩子的故事
[00:26:54] 请AI去生一个故事
[00:26:56] 或是去做插图
[00:26:57] 他都做得非常好
[00:26:58] 而且我可以社后不理
[00:27:00] 反正我跟他讲完之后
[00:27:00] 时间到的东西就会去生出来
[00:27:02] 或者是像最近的一些事件
[00:27:04] 你要去请他做调查
[00:27:05] 这个社后不理的一个操作
[00:27:07] 其实夏宜坚士
[00:27:08] 自己有办法把它做得非常好
[00:27:10] 我觉得他也不是什么稀有的东西
[00:27:11] 但就是说还临门一脚差一点
[00:27:13] 差在哪
[00:27:14] 就是如果我今天手机上的一些画面
[00:27:17] 然后可以在Apple的萤幕感知之下
[00:27:19] 他可以立刻去帮我去做更多的自动化的话
[00:27:22] 我会认为说
[00:27:23] 我跟手机的绑定就更高了
[00:27:25] 就类似说
[00:27:25] 他像是萨达的那种行动装置一样
[00:27:28] 除了传送之外
[00:27:29] 应该蛮多事情都可以帮你做好
[00:27:31] 所以我觉得这是苹果后面的一个杀手键
[00:27:33] 就是说去扩大他用户的base
[00:27:36] 然后特别是在这一波记忆体的大涨价之下
[00:27:39] 我们目前还是期待说
[00:27:40] 苹果的数量还是会越来越好
[00:27:42] 至少会赢过他同业非常多
[00:27:43] 所以他拿下很多的base
[00:27:45] 然后接着变成是一个更加去
[00:27:47] TeraMate个人化使用的一种装置
[00:27:50] 我觉得这在AI时代对他来说
[00:27:51] 是站在一个很好的位置
[00:27:53] 那其他方面没有什么特别好聊的
[00:27:55] 反正都是跟之前是差不多
[00:27:57] 只是在模型的致用上
[00:27:59] 我本来以为说他会去走一个
[00:28:00] 去抽过路费的方式
[00:28:03] 然后现在变成他选择自己要投袭下来
[00:28:05] 这就是说半套
[00:28:06] 就做半套
[00:28:07] 反正就是一个那种比较折中的方式
[00:28:08] 那正经来看来是非常看好的
[00:28:10] 那只是
[00:28:10] 当然这可能要等到说
[00:28:12] 资金跑一去消费性的时候
[00:28:13] 才会想进去
[00:28:14] 就是我对苹果是非常看好
[00:28:15] 那只是
[00:28:16] 目前你很明显可以看得出来说
[00:28:18] 资金没有往消费性跑
[00:28:19] 前面有试着要去往一些PIMIC跑
[00:28:21] 那之后有些就立刻被掐吸了
[00:28:23] 其实PIMIC是有故事的
[00:28:25] 那只是被掐吸掉之后就觉得说
[00:28:27] 那再看一下好了
[00:28:28] 所以应该是要等到说
[00:28:29] 就是前往消费性跑之后
[00:28:31] 我才会对这个东西比较有兴趣
[00:28:32] 但长期来说
[00:28:33] 对这家公司呢
[00:28:34] 目前不会认为
[00:28:35] 像可能过去大家聊到的
[00:28:37] AI会把它杀掉
[00:28:38] 或者把它取代掉之类的
[00:28:39] 你看前面不是有讲说
[00:28:40] 什么蛮多安卓手机
[00:28:41] AI功能多厉害
[00:28:42] 以后谁还要换iPhone
[00:28:43] 你后面看销量
[00:28:44] 就会知道说那些说法是很奇怪
[00:28:46] 可是在当下呢
[00:28:47] 大家就真的会去把这个说法当成是
[00:28:49] 好像是某一种真相
[00:28:50] 然后去解释说
[00:28:51] 你看Apple就是因为
[00:28:52] 这样子才会叠之类的
[00:28:53] 就类似说
[00:28:54] 你看夏天大家看到这些光通
[00:28:55] 或者说一些可能800V
[00:28:57] 相关的伺服器在跌
[00:28:58] 然后就会讲说
[00:28:59] 这个是因为可能
[00:29:01] Semi-Analysis发了什么东西
[00:29:02] 但是呢
[00:29:02] 等到后面创新高的时候
[00:29:03] 就No one cares
[00:29:04] 没有人会再去提到这样的东西
[00:29:06] 所以这就是
[00:29:07] 我觉得美波修正
[00:29:08] 大家要学会的一个东西
[00:29:09] 那种大家
[00:29:10] 在当下非常担心的东西
[00:29:12] 很多时候你事后回头看
[00:29:13] 就发现说
[00:29:13] 它真的没有什么大不了
[00:29:15] 它只要不要对
[00:29:15] 公司的本质
[00:29:16] 造成一些那种毁灭性的破坏
[00:29:18] 或者说它不会有什么违约
[00:29:20] 或者说
[00:29:20] 可能票开不出来
[00:29:22] 会立刻倒掉的情形
[00:29:23] 其实蛮多都是在过程之中的一些
[00:29:25] 那种小风风雨雨
[00:29:26] 所以整体来看
[00:29:27] 还是会期待说
[00:29:29] 等到这一波修正结束之后
[00:29:30] 还是有机会可以再继续看
[00:29:32] 说有什么东西可以做多
[00:29:33] 那只要等
[00:29:34] 后面才比较明确
[00:29:35] 那现阶段就只能够用
[00:29:36] 自己的角度去看
[00:29:38] 我会觉得说
[00:29:38] 我想要有流动性好的东西
[00:29:40] 我想要有成绩好的东西
[00:29:41] 类似这样子
[00:29:42] 去做一个安排
[00:29:43] 大概这样子
[00:29:44] 好那这边就要我们
[00:29:45] 加一件推的部分
[00:29:45] 第一位
[00:29:46] 纯水英子安安
[00:29:47] 猛工大哥
[00:29:48] 您觉得之后会像
[00:29:49] Cyberpunk一样
[00:29:52] 有什么身体痛的问题了也
[00:29:54] 那会不会有神机错乱呢
[00:29:56] 好希望Neuralink
[00:29:56] 可以做得跟动画里面一样
[00:29:58] 那可以像我这种废物
[00:30:00] 也可以变强
[00:30:01] 哇兴奋啊
[00:30:02] 还有您看Cyberpunk的时候
[00:30:03] 有哭吗
[00:30:04] 我哭的是娘炮吗
[00:30:05] 那爱您全家安康哦
[00:30:07] Cyberpunk本身是没有哭啦
[00:30:09] 但是那个
[00:30:10] 就是有Lucy的那一部动画
[00:30:12] 那个是真的是
[00:30:13] 非常感动很喜欢
[00:30:14] 然后再来讲说
[00:30:15] 会不会看到这个
[00:30:16] 人机合一的世界
[00:30:17] 一开始应该是
[00:30:18] 比较偏向一些残障人士
[00:30:20] 或是阴雅人士
[00:30:22] 然后透过Neuralink
[00:30:23] 或是透过一些
[00:30:24] 可能不知道
[00:30:24] 智慧意志的方式
[00:30:26] 然后开始重新的
[00:30:26] 去获得一些能力
[00:30:27] 那应该还要等很久
[00:30:30] 才会看到说
[00:30:31] 一个正常人
[00:30:31] 然后透过
[00:30:32] 人机合一的方式
[00:30:34] 去加强他的什么
[00:30:35] 运动表现
[00:30:35] 或是什么有的没有东西
[00:30:36] 我觉得那个可能
[00:30:37] 还要有一段时间
[00:30:38] 那个太科幻了
[00:30:39] 大概这样子哦
[00:30:40] 那下面一位
[00:30:40] 安周签
[00:30:41] 安安你好
[00:30:42] 几岁给亏吗
[00:30:43] 公公台中有很多的
[00:30:44] 大坪数房子
[00:30:45] 不考虑吗
[00:30:46] 四房五房一定都是可以的
[00:30:47] 而且电梯
[00:30:48] 不太会遇到人哦
[00:30:49] 那甚至有某件案
[00:30:50] 号称秘书会全力
[00:30:51] 帮忙控制电梯
[00:30:52] 不要遇到人
[00:30:53] 搜寻一下
[00:30:54] 9955的住处
[00:30:55] 我觉得蛮不错的
[00:30:56] 不太会遇到人
[00:30:57] 来台中当邻居吧
[00:30:58] 手牵手一起去吃
[00:30:59] 皮诺可可爱宁
[00:31:00] 其实我最早
[00:31:02] 去选择林口
[00:31:03] 是因为
[00:31:03] 我想要去离开台北市
[00:31:05] 然后去找人
[00:31:05] 少一点的地方
[00:31:06] 那只是现在在林口
[00:31:07] 算是定下来
[00:31:08] 因为小朋友
[00:31:08] 在那里面念书啊
[00:31:09] 那这个念书的地方
[00:31:11] 就是可以一路
[00:31:11] 直升到高中的
[00:31:13] 那说不定后面就衔接
[00:31:14] 不管是在台湾
[00:31:15] 或者说去海外念大学
[00:31:16] 这个太远了
[00:31:17] 我没有办法去想象
[00:31:18] 那总之呢
[00:31:19] 就是目前觉得
[00:31:19] 这边养小孩子
[00:31:20] 非常合适啊
[00:31:21] 所以因为是想要
[00:31:22] 没有人而来
[00:31:23] 然后是因为
[00:31:24] 可能教育是还
[00:31:25] 相对方便就留下来
[00:31:26] 其实我们家身边
[00:31:27] 蛮多这种林口的地方
[00:31:28] 爸爸很多都是因为
[00:31:29] 教育的原因
[00:31:30] 所以选择这个地方
[00:31:31] 那会不会去台中
[00:31:33] 不知道
[00:31:34] 就是以下来看
[00:31:34] 应该是没有
[00:31:35] 这样子的规划
[00:31:36] 对台中的话
[00:31:36] 就是地大物博
[00:31:38] 什么东西都有
[00:31:38] 对之前有想过
[00:31:40] 但以下来看
[00:31:41] 应该是不会有
[00:31:42] 这样的规划
[00:31:42] 下面有位
[00:31:43] Montiosk
[00:31:45] Montiosk你好
[00:31:46] 听到你近几集的分享
[00:31:48] 想推荐你玩玩红酒之后
[00:31:49] 可以尝试看看
[00:31:50] 耳机跟音响
[00:31:51] 同样一首歌
[00:31:52] 用不同等级的讯源
[00:31:53] 不同等级的设备
[00:31:54] 会听到完全不一样
[00:31:55] 很多以前听
[00:31:56] 几百次都没有听过的声音
[00:31:57] 会出现非常有趣
[00:31:58] 那以你的实力耳机
[00:32:00] 应该可以直接
[00:32:01] 攻顶深海的大奥
[00:32:03] 音响太深奥了
[00:32:04] 就等你攻顶之后分享了
[00:32:06] 那期待听到
[00:32:06] Montiosk的心得
[00:32:08] 那首先我觉得
[00:32:09] 红酒我本身以为
[00:32:11] 会是一个
[00:32:12] 玩玩一轮
[00:32:13] 就结束了兴趣
[00:32:14] 然后我现在很意外的发现
[00:32:15] 它应该
[00:32:16] 非常有潜力
[00:32:17] 变成一个长线的兴趣
[00:32:19] 因为前面对我来说是
[00:32:20] 我想尽快的去了解
[00:32:21] 就市场上的一些大物
[00:32:23] 或是大家吹捧的东西
[00:32:24] 到底是什么
[00:32:25] 那所以就透过一些酒商
[00:32:26] 快速的把很多东西都找来
[00:32:28] 所以一开始是用这种
[00:32:30] 激辛菌的方式
[00:32:31] 跟砸钱
[00:32:31] 然后快速的去了解
[00:32:32] 那现在已经变成说
[00:32:34] 我觉得有玩出兴趣了
[00:32:35] 所以有时候
[00:32:35] 当我注意到说一些
[00:32:37] 自己喜欢的地块
[00:32:38] 那他可能有
[00:32:39] 我自己没有听过的酒庄
[00:32:41] 有做我也会非常感兴趣
[00:32:43] 然后立刻就下单
[00:32:44] 希望可以喝看看
[00:32:45] 所以现在会对于一些
[00:32:47] 自己可能喜欢的口味
[00:32:49] 别人去酿造的
[00:32:51] 也感到很大的兴趣
[00:32:52] 然后注意到说
[00:32:53] 它是一个很有趣
[00:32:55] 且水很深的地方
[00:32:56] 这个水很深是好的
[00:32:57] 就是说
[00:32:58] 它并不是说
[00:32:59] 一下子又可以探索完
[00:33:00] 它其实应该是可以
[00:33:01] 花好几年
[00:33:02] 甚至是上十年以上
[00:33:03] 去探索
[00:33:04] 即便是用我这样子
[00:33:05] 一个速度
[00:33:05] 那当然我现在是有
[00:33:06] 把它减缓
[00:33:07] 没有这么疯狂
[00:33:08] 但我觉得这应该会是
[00:33:09] 一个长期的兴趣
[00:33:10] 所以我非常感谢
[00:33:11] 带我入坑的大哥
[00:33:12] 我觉得这个还蛮有趣
[00:33:13] 蛮好玩的
[00:33:13] 然后再讲说音响
[00:33:15] 其实音响
[00:33:15] 大概在我出社会的
[00:33:17] 三四年左右
[00:33:18] 就有人想要带我入坑
