[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由NordVPN赞助
[00:15:51] 那就是一个很奇怪的事情
[00:15:52] 所以一样的道理是
[00:15:53] 当你今天发现说coding的速度变得很快
[00:15:56] 那因为这样子你就说
[00:15:57] 那软件工程师就不需要的话
[00:15:59] 那你就是犯了一样的一个错误
[00:16:01] 那虽然这句话
[00:16:02] 我觉得跟他当时自己讲的东西
[00:16:03] 是有一点点冲突
[00:16:04] 但我大概懂他是什么意思
[00:16:06] 简单说就是有些context
[00:16:07] 你还是要去补充
[00:16:08] 你不补充的话
[00:16:09] 大家就会潮疑
[00:16:10] 就会讲得非常的严重
[00:16:11] 那所以呢
[00:16:12] 他给出一个例子就是说
[00:16:13] 可能我们这个国家
[00:16:14] 一年所需要去key出来的code的行数
[00:16:18] 是1 trillion
[00:16:19] 随便举例
[00:16:20] 那可能未来就是10 trillion
[00:16:21] 或是更大的一个数字
[00:16:22] 就是想象力是你的超能力
[00:16:24] 你不能够填在这边
[00:16:25] 现在我们需要这么多的一个程式
[00:16:27] 是因为以我们既有的资源
[00:16:29] 或者说能量能够做的事情就是这样
[00:16:32] 我们设定一个目标
[00:16:32] 那我们可以去达成的话
[00:16:34] 我们大家觉得自己做得很好
[00:16:35] 那可是呢
[00:16:36] 你可能在农业时代
[00:16:37] 你是没有办法看到说
[00:16:38] 汽车可以为我们带来的一些
[00:16:39] 新的想象空间
[00:16:41] 跟一些生意模式
[00:16:42] 那一样的道理
[00:16:42] 在过去的
[00:16:43] 他说两三年内呢
[00:16:44] 那AI已经创造出了
[00:16:45] 五十几万的工作
[00:16:46] 那这五十几万的工作
[00:16:47] 它并不是在AI出来之前
[00:16:50] 是你有办法去想象到的东西
[00:16:51] 所以尽量不要一直去用一个
[00:16:53] 联合的思维看事情
[00:16:54] 我觉得这蛮重要
[00:16:55] 那会去引一下这个讨论的主因呢
[00:16:57] 是因为最近看到
[00:16:58] Alessian的财报
[00:16:59] 当然这不是我的持股啊
[00:17:00] 只是说因为它在新闻上
[00:17:01] 算是报得蛮大的嘛
[00:17:02] 它意外的缴出很多
[00:17:04] 让大家吓到的数据
[00:17:05] 据说它的那个seat
[00:17:06] 是expansion的哦
[00:17:07] 它并不是像大家想象
[00:17:08] 大家都说
[00:17:09] Suspocalypse
[00:17:10] 那这些SaaS的seat都会锁掉
[00:17:12] 因为以后全部都是用
[00:17:13] 什么成效来计算
[00:17:14] 或什么的
[00:17:14] 就是你在过去听到
[00:17:15] 很多这样子的一个说法
[00:17:16] 那我觉得其实
[00:17:17] 他们最主要的核心
[00:17:18] 是来自于
[00:17:19] 矽谷很多创投圈的人士啊
[00:17:20] 不然说像是那个All-in Podcast
[00:17:22] 然后或者是
[00:17:22] 像是那个
[00:17:23] 纳瓦尔宝典的那个Naval
[00:17:25] 那他过去发的一些文章
[00:17:27] 就让我去取消追踪了
[00:17:29] 因为我觉得他太烦了
[00:17:30] 他发的东西
[00:17:30] 当然他可能从以前到现在
[00:17:31] 都这个味道
[00:17:32] 可是在AI的一个
[00:17:33] 资讯爆炸时代
[00:17:34] 我看了我觉得最受不了
[00:17:35] 就是很多那种
[00:17:36] 看起来是哲学性
[00:17:37] 给你一个大方向的东西
[00:17:38] 什么以后都不用有APP
[00:17:40] 以后都不用有iPhone
[00:17:41] 什么的
[00:17:42] 你就知道说
[00:17:42] 这个人就是老人在发病
[00:17:44] 就照我看来就是这样
[00:17:45] 就以前我会看你的东西
[00:17:46] 那我现在就不喜欢你
[00:17:47] 但讲这个可能
[00:17:47] 我会觉得说
[00:17:48] 你在屌什么
[00:17:48] 人家是什么东西
[00:17:49] 我是什么东西
[00:17:50] 就像是不知道
[00:17:50] 可能大麦空刚出的时候
[00:17:52] 我也觉得说
[00:17:53] 大麦空那个人是极屌的人
[00:17:54] 到前几年
[00:17:55] 我都还觉得他很屌
[00:17:56] 然后后来看到他AUM数字
[00:17:57] 我就知道说
[00:17:57] 也不是要讲大话
[00:17:59] 但是我们身边
[00:18:00] 已经一堆人
[00:18:00] 只是比他有钱
[00:18:01] 所以你就不会去觉得说
[00:18:03] 这个人讲的一定是怎么样
[00:18:04] 即便他被拍成是电影
[00:18:05] 你懂吗
[00:18:05] 就是你会开始去懂得说
[00:18:07] 虽然我们是相信专业
[00:18:08] 我们也是相信权威
[00:18:09] 某个程度上
[00:18:10] 不是说崇拜权威
[00:18:11] 但我们相信权威
[00:18:11] 那可是一段时间之后
[00:18:13] 你特别是看到一些
[00:18:14] 那种自立破碎的言论
[00:18:15] 像昨天也看到
[00:18:16] AQR的老板
[00:18:18] 然后跑去呛
[00:18:18] Polmerlucky
[00:18:19] 他竟然不知道
[00:18:19] Polmerlucky是谁
[00:18:20] 我们每个人都知道
[00:18:21] Polmerlucky
[00:18:22] 可是他不知道
[00:18:22] Polmerlucky是谁
[00:18:23] 所以长江后浪推前浪
[00:18:25] 我们虽然去崇拜
[00:18:26] 去喜欢这些人
[00:18:27] 可是也要知道
[00:18:28] 他们讲的一些东西
[00:18:28] 可能会有问题
[00:18:29] 像纳瓦尔宝典
[00:18:30] 就整天去讲一堆
[00:18:32] 打高空的东西
[00:18:33] 好像说那些东西
[00:18:34] 都不用成本一样
[00:18:35] 你说OK
[00:18:35] 都是你需要任何APP的时候
[00:18:37] 可以直接去gen一个出来
[00:18:38] 那不用成本吗
[00:18:39] 不用钱吗
[00:18:40] 就让一堆人跑去养龙虾
[00:18:41] 我就问你说
[00:18:42] 你的产品到底在哪
[00:18:43] 你到底交付了什么产品
[00:18:44] 你只是烧了一堆Token而已
[00:18:49] 我现在会想要去验证说
[00:18:51] 到底谁有交出真正的产品
[00:18:52] 我觉得财务数字
[00:18:53] 就是一个很公道的东西
[00:18:55] 那Alessian
[00:18:56] 虽然它不是我喜欢的公司
[00:18:57] 我自己也不会去持有它
[00:18:59] 可是注意到
[00:19:00] 因为它算是在市场里面
[00:19:01] 跟那个check一样
[00:19:02] 就是大家都觉得说
[00:19:02] 你一定会死掉的东西
[00:19:03] 它不像是
[00:19:04] 可能像我们自己喜欢的
[00:19:05] Cloudflare
[00:19:06] 或是Cloudstrike
[00:19:07] Panenteer
[00:19:07] 它是可能在
[00:19:09] 不管是有去结合硬体
[00:19:10] 然后或者是
[00:19:11] 因为它有很多的锤子整合
[00:19:12] 它有很多的know how
[00:19:13] 甚至某个程度上
[00:19:14] 像以前大家去嘴Panenteer
[00:19:16] 是喜欢去嘴它
[00:19:16] 它根本就不是软体公司
[00:19:18] 它是一个顾问公司
[00:19:19] 那你要知道
[00:19:20] 那时候大家去讲
[00:19:21] 它是顾问公司
[00:19:21] 是为了要打击它
[00:19:22] 因为那时候如果是软体公司的话
[00:19:24] 它可以去作用
[00:19:25] 比较高的一个估值
[00:19:26] 因为可能在未来的一个金流
[00:19:27] 是可以比较有那种
[00:19:28] 稳定确定心
[00:19:29] 就知道说反正你的ALR
[00:19:30] 是有机会可以刷多少钱
[00:19:31] 可是是顾问公司的话
[00:19:33] 那你人不够多
[00:19:34] 或者说你业务拓展的不够快的话
[00:19:36] 你很难大规模去做量化
[00:19:37] 就我没有想到在AI时代
[00:19:39] 反而这样子的一个
[00:19:40] 商业模式变成是一个利多
[00:19:42] 为什么
[00:19:42] 因为它需要可能大量的FDE
[00:19:44] 就是From Deployment Engineer
[00:19:46] 去你的公司
[00:19:46] 去把你的那些13代码
[00:19:48] 跟一堆那种垃圾资料
[00:19:49] 弄一弄
[00:19:50] 然后变成是一个可视化的东西
[00:19:51] 去做决策
[00:19:52] 它是需要花很多人力去做处理的
[00:19:54] 那这个东西恰好就是AI
[00:19:55] 可能没有办法在短时间内
[00:19:57] 去取代的东西
[00:19:58] 所以在我自己的心目中
[00:19:59] 大概半年前
[00:19:59] 我看到很多这样子的讨论中
[00:20:01] 我自己心中也是大概的去审视了一下
[00:20:03] 就是假设未来有时候
[00:20:04] 我要去买一些软体股
[00:20:06] 去抄底的话
[00:20:07] 我会以什么作为我的优先吗
[00:20:09] 那所以其实很快就理出说
[00:20:10] 像刚才前面我自己喜欢的这三家公司
[00:20:12] 我就觉得说他们比较属于说
[00:20:14] 就是在AI时代
[00:20:15] 应该是比较难以被搞到的东西
[00:20:17] 那其他的呢
[00:20:18] 我自己也都会先打一个问号
[00:20:19] 因为我们现在不敢对未来的事情
[00:20:21] 喊得太慢
[00:20:21] 为什么我们不确定
[00:20:22] 未来会发生什么事情
[00:20:23] 而且AI的变化真的是太快了
[00:20:25] 那所以像是Check
[00:20:26] 或像是Alessian
[00:20:27] 它其实本来在我心中都是觉得说
[00:20:29] 它就是有机会会BBQ的东西
[00:20:31] 那再往上一点的话
[00:20:32] 可能像是Adobe吧
[00:20:33] Adobe我自己心中也觉得说
[00:20:34] 它有机会会BBQ
[00:20:35] 因为现在已经有这么多
[00:20:36] 方便的生徒的东西
[00:20:37] 那即便我自己去问的
[00:20:39] 顺便在做设计
[00:20:40] 做摄影的朋友
[00:20:41] 他们说那个没有办法
[00:20:42] 你没有办法去建出一个
[00:20:44] 怎么讲很随机的东西
[00:20:45] 特别是他们是专业的使用上
[00:20:47] 没有办法
[00:20:48] 你只要非常的精准的
[00:20:49] 直接跟我说
[00:20:50] 他们还是大量的在使用Adobe的东西
[00:20:52] 即便他们觉得说
[00:20:53] 这家公司的定价
[00:20:54] 然后跟一些绑订阅的方式
[00:20:56] 让他们非常的不爽
[00:20:57] 可是呢
[00:20:57] 你就只能够用这个东西
[00:20:58] 那确实是在一些
[00:21:00] 比较初阶的应用上
[00:21:01] 就像说你的老板叫你随便生一张图
[00:21:03] 那你可能就不需要去做这个订阅
[00:21:04] 所以我觉得他们的估值被打压是合理的
[00:21:07] 因为确实是会掉一些客人
[00:21:08] 就是这些比较初阶的应用
[00:21:10] 就全部都被AI拿走了
[00:21:11] 那比较客制化
[00:21:12] 比较复杂的应用
[00:21:13] 需要去结合公司data的东西
[00:21:15] 那可能还是会有他们的一个空间
[00:21:17] 所以就是你知道
[00:21:18] 他的用户就是一定会掉一些
[00:21:19] 那当然这个对于未来的一个预期数字
[00:21:21] 就是会去做下去
[00:21:22] 包含你的估值也都会
[00:21:24] 所以我认为说
[00:21:24] 他们可能价格被压下去
[00:21:26] 是还蛮合理的
[00:21:27] 那只是说就是价格
[00:21:28] 可能压到哪一个程度之后
[00:21:30] 如果说有些东西是够便宜的
[00:21:32] 然后下一个趋势起来的时候
[00:21:33] 我们还是希望要可以抓到
[00:21:34] 这个其实跟
[00:21:35] 我们在做硬体也是一样的道理
[00:21:37] 就是我们现在都会讲说消费性不好
[00:21:38] 可是我们其实会一直去找机会
[00:21:40] 就是哪一天消费性可能突然起来
[00:21:42] 就像是可能前面记忆体
[00:21:43] 突然间就这样爬起来
[00:21:44] 在爬起来之前
[00:21:45] 就大概都说是垃圾的东西
[00:21:46] 这种东西就是有机会
[00:21:48] 帮你帮你带一些爆钻的机会
[00:21:49] 所以还都会持续去看它
[00:21:50] 那再往上一个程度的话
[00:21:52] 就是Garles用最惨在网上去占
[00:21:55] 那我觉得可能就是像是
[00:21:56] Salesforce这样子的公司
[00:21:57] 它其实没有到惨
[00:21:58] 这边已经算是我自己心目中的neutral
[00:22:00] 那特别是这个Benioff
[00:22:02] 我觉得他是一个厉害的创办人
[00:22:04] 特别是也很会谈deal
[00:22:06] 所以应该是有机会在后面
[00:22:07] 会走出自己的一条路
[00:22:08] 那这个可以去引一下
[00:22:10] 像那个David Sachs
[00:22:11] 就讲一个有趣的
[00:22:12] 他说在这样的一个时间点
[00:22:14] 如果你还是Founder在
[00:22:15] 去帮公司掌舵的这些公司
[00:22:18] 会比较有机会
[00:22:19] 因为他比较可以去做到大破大力
[00:22:20] 如果今天是专业经理人的话
[00:22:22] 他们可能会一直想要去
[00:22:23] 守住既有的东西
[00:22:24] 导致他是可能没有办法去跟上时代
[00:22:26] 然后在一个快速变动的时代里面
[00:22:28] 会被淘汰掉
[00:22:29] 那Salesforce也很快的
[00:22:31] 就导入了Agent Force
[00:22:32] 然后以及他们现在的
[00:22:33] Headless的一个架构
[00:22:34] 总之呢
[00:22:34] 就是以前你可能需要去登入Salesforce
[00:22:36] 去做到一个企业所需要的功能
[00:22:38] 那现在不太需要
[00:22:39] 现在你就是全部都简化成为
[00:22:40] 像是大家去使用AI一样
[00:22:41] 一个对话框
[00:22:42] 那就可以去完成你要的任务
[00:22:44] 那在这里面呢
[00:22:45] 他一样可以找到他
[00:22:46] 赚到钱的一个管道跟方式
[00:22:48] 特别是手上有现金
[00:22:49] 可以去做支用的话
[00:22:50] 那他们可能pivot的速度
[00:22:52] 是可以蛮快的
[00:22:53] 所以或许呢
[00:22:53] 就是他可以像过往一样
[00:22:55] 画每一次的
[00:22:56] 看起来是惨剧的东西为奇迹
[00:22:58] 然后变成有新的变化出来
[00:23:00] 所以总之我觉得
[00:23:01] 就是在接下来一段时间
[00:23:02] 市场可能有机会
[00:23:03] 会想要去回头看这个
[00:23:04] 但这可能要先等到这一波的
[00:23:06] 因为它我们看得到
[00:23:08] 这一波行情就是以CPU
[00:23:09] 然后带动了
[00:23:10] 大量的硬体鼓励机上去吧
[00:23:12] 就是一般来讲
[00:23:13] 就是它是在轮动之后才发生
[00:23:15] 所以下一个轮动
[00:23:16] 我们就去观察看看说
[00:23:17] 有没有机会会是
[00:23:18] 由这些公司所带出来
[00:23:20] 就来说像Alessian的老板
[00:23:22] 其实在之前就一直在跟大家讲说
[00:23:24] 你们是讲错了
[00:23:25] 根本没有这么猜
[00:23:26] 那大家不相信他嘛
[00:23:27] 把他杀到爆掉
[00:23:28] 那结果他交出了一个财报
[00:23:29] 那他就在里面就昂虾了
[00:23:31] 我就跟大家说
[00:23:31] 早就这样跟你讲
[00:23:33] 那一样的道理啊
[00:23:34] 就是其实我们在过去也看到
[00:23:36] 像是Piantil的那个Alex Carp
[00:23:38] 然后跟这个Cloud Flare
[00:23:40] 或说Cloudstrial
[00:23:41] 也多次在像前面
[00:23:43] anthropic的产品发表会之后
[00:23:44] 然后就出来去辟谣说
[00:23:46] 这些东西其实对我们来讲
[00:23:47] 它是我们的工具
[00:23:48] 它是会帮助我们的
[00:23:49] 然后它并不会取代我们的
[00:23:50] 但没有人相信吧
[00:23:51] 因为大家就是觉得
[00:23:52] 下的一个环境之下
[00:23:54] 就是每个人都应该又可以去
[00:23:55] 卷出自己的软体
[00:23:56] 虽然这个其实你
[00:23:57] 这话你仔细想想
[00:23:58] 就觉得非常不可思议
[00:23:59] 它是一个很奇怪的论述
[00:24:01] 随便举例
[00:24:02] 就现在其实有很多的
[00:24:03] 社群的平台
[00:24:05] 你一般只讲得出来
[00:24:06] Facebook跟Instagram
[00:24:07] 但其实你可以找到一堆
[00:24:09] 交友的平台
[00:24:09] 它可能也是免费给你用
[00:24:10] 可是为什么你不会上去用它
[00:24:11] 就是你选项很多
[00:24:13] 为什么你不用它
[00:24:13] 那就是因为你用这个平台
[00:24:15] 你最主要的目的
[00:24:16] 不是说去用这个平台吗
[00:24:17] 你是要来交朋友的吗
[00:24:18] 所以回到刚才前面
[00:24:19] 那个老黄讲的东西
[00:24:20] 再次去引用它
[00:24:24] 你今天发现的时候
[00:24:25] 你有一个东西
[00:24:26] 可以让你coding变得很快
[00:24:27] 所以你就以为说
[00:24:28] 那这个世界上coding
[00:24:29] 就变成是不值钱的东西
[00:24:30] 不是
[00:24:30] coding它变得前所未有的重要
[00:24:33] 因为它只是可以
[00:24:33] 透过AI的速度变得很快
[00:24:35] 最重要的事情是
[00:24:36] 你最后面交出什么样的产品
[00:24:37] 你的product是什么
[00:24:38] 最重要的
[00:24:39] 而不是中间的
[00:24:40] 可能某一个环节
[00:24:41] 所以一样的到底
[00:24:42] 如果大家可以去想通
[00:24:43] 这件事情的话
[00:24:43] 或许市场后面的论述
[00:24:45] 又会再一次的去做一些调整
[00:24:47] 这也不只是在讲说
[00:24:48] 可能一些
[00:24:48] 可能比较中小型的软体股
[00:24:50] 一些大型的巨头
[00:24:51] 其实在过去一阵子
[00:24:52] 像蛮多人讲说
[00:24:53] 就手上不要去拿Google
[00:24:54] 跟不要去拿微软的一个主因
[00:24:56] 是因为
[00:24:56] 他们本身就是一个
[00:24:58] 就是AI的模型够强大之后
[00:25:00] 可能可以取代它软体的
[00:25:01] 其中一个对象
[00:25:02] 当然像Google转强
[00:25:04] 我相信就不能这样子讲
[00:25:05] 就像可能前阵子大家讲说
[00:25:06] Google search没有人会用
[00:25:08] 因为那时候它在跌
[00:25:09] 所以大家就去传这样的一个论述
[00:25:11] 但很多时候等到涨之后
[00:25:12] 大家的这个想法
[00:25:13] 就会完全的改变
[00:25:14] 所以我觉得它也可以用在
[00:25:15] 这些巨头上面
[00:25:16] 因为本来大家认为说
[00:25:17] 这些巨头你花一堆钱
[00:25:18] 那你可能去
[00:25:20] 做了一堆模型的竞争
[00:25:21] 最后面在模型这边
[00:25:23] 不一定可以去回收到
[00:25:24] 那你在自己的软体层面
[00:25:25] 还会被竞争掉
[00:25:26] 那现在特别是在这些巨头
[00:25:28] 开完财报数字的时候
[00:25:29] 你就知道说
[00:25:29] 这一切都是bullshit
[00:25:30] 它并不是像大家想的那样子
[00:25:33] 然后AI它确实是在帮大家赚钱
[00:25:35] AI确实是帮大家
[00:25:36] 带来了很多获利的机会
[00:25:38] 跟一些新的产品性的机会
[00:25:39] 所以我认为这是在后面
[00:25:40] 可能需要去注意的一些东西
[00:25:42] 那最后面我们再稍微的拉和来讲一下
[00:25:44] 因为最近有一个新闻
[00:25:46] 蛮多人在讨论
[00:25:46] 就是台积电跟联发科的一个相关的话题
[00:25:50] 就是说在台积电这边
[00:25:51] 有一个什么先进封装的研发大将
[00:25:53] 然后他融退之后去加入了联发科
[00:25:56] 那这件事情到底该怎么样去看待他
[00:25:58] 那首先呢
[00:25:59] 因为我们过去也蛮常会去追踪
[00:26:01] 这样子的东西
[00:26:01] 我们去追踪一些可能
[00:26:02] 就来说本来他是在甲方的
[00:26:05] 然后他退休之后跑去乙方这边
[00:26:07] 那他可能去当一个董事
[00:26:09] 或是高层之类的
[00:26:10] 那我们就认为说
[00:26:11] 是不是有可能他会去收到他的订单之类的
[00:26:13] 但蛮多时候会注意到说不是这样子
[00:26:15] 他可能只是在业界
[00:26:16] 已经是远近迟名了
[00:26:17] 所以大家会想要去找个神主牌来
[00:26:19] 那以后谈生意的时候
[00:26:20] 可能有你在就会比较好一点
[00:26:21] 主要是这样子
[00:26:23] 那当然也有可能是
[00:26:24] 有一些特殊的安排
[00:26:25] 就是他真的是想要
[00:26:26] 以这次市场里面来讨论就是说
[00:26:28] 那可能联发科后面
[00:26:29] 他想要在GG这边去
[00:26:30] 获得更多的产能吧
[00:26:32] 想要去有更多封装的结合
[00:26:33] 那我们这边讲一下我们知道的事情
[00:26:35] 那首先呢
[00:26:36] 就是TPU的那两个
[00:26:37] 大家应该已经倒背乳流
[00:26:38] 因为我们节目已经分享蛮多次了
[00:26:39] 反正就是V8跟V9
[00:26:40] 那一个是叫5921
[00:26:42] 那5921呢
[00:26:44] 目前我们看得到的数字是
[00:26:46] 他在这个
[00:26:47] 先进封装的COAS这边呢
[00:26:49] 一开始是一个40K
[00:26:50] 然后到隔一年是会直接拉到
[00:26:52] 当然那个数字是众说分野
[00:26:54] 可是大概是落在150到180K之间
[00:26:56] 那这个是5921
[00:26:57] 就大家都知道说
[00:26:58] 他的后段跟前段
[00:26:59] 都在台积电这边做
[00:27:00] 可是走到5922
[00:27:01] 也就是Humufish之后呢
[00:27:02] 那目前的一个共识是
[00:27:04] 他的前段会在台积电那边做
[00:27:05] 那可是他的后段呢
[00:27:06] 就会跑到Intel的EMIP那边去做
[00:27:08] 所以我们才会讨论到EMIP的量率
[00:27:10] 到底下是什么样的一个情形
[00:27:11] 就有这样的讨论是有
[00:27:12] 就这样子一个事件的背景在前面
[00:27:15] 那当然如果说今天
[00:27:17] 据来说去多了一个台积电的大将
[00:27:19] 加入联发科
[00:27:20] 会不会就是要去把这个后段的东西给瞧好
[00:27:22] 其实老实说在市场上面已经传一阵子了
[00:27:24] 就是在MediaTag这边
[00:27:25] 当然一样这是市场的谣言
[00:27:27] 就是说他其实是有开两条线
[00:27:29] 就前段是台积电这边
[00:27:30] 那后段呢
[00:27:31] 一条线就是往那个EMIPT的方向去走
[00:27:33] 那一条线呢
[00:27:34] 其实就还是会想要留在COAS
[00:27:36] 或者说Copos里面去做
[00:27:37] 就一样有去做这样子的设计
[00:27:39] 那这个设计他绝对不会是说什么
[00:27:41] 可以由这个设计伙伴他自己去做决定
[00:27:43] 一定是背后的老大哥
[00:27:44] 就是客户的本人Google
[00:27:45] 应该是有去做受益
[00:27:47] 那我认为他们本来有这样的一个想法
[00:27:49] 是因为就是怕intel会出包
[00:27:50] 所以其实像intel的那个量率数字
[00:27:53] 我们之所以觉得很意外的点
[00:27:54] 是因为因为大家的心中假设都是
[00:27:56] 就是一个dier
[00:27:57] intel就是dier
[00:27:58] 所以东西做不起来
[00:27:58] 结果没有想到
[00:27:59] 可能我觉得下也是一个地缘政治的变化
[00:28:02] 然后跟真的有一些起风吧
[00:28:03] 后段的封装可能相对难度也没这么高的关系
[00:28:05] 所以他意外产生很多机会
[00:28:07] 但其实intel最近老实讲也是喷到我自己
[00:28:09] 已经是有点那种看不懂的状态
[00:28:11] 就是不可能再去做家
[00:28:12] 甚至会想要去把它
[00:28:13] 找到机会要开始丢出来的一个情形
[00:28:16] 那总之呢
[00:28:17] 他有很多的好消息去环绕他
[00:28:18] 所以大家现在好像突然间觉得说
[00:28:20] intel就是无所不能
[00:28:21] 但过去其实我们知道说
[00:28:23] 就是他有一些关键的节点
[00:28:24] 或者一些产品
[00:28:25] 大家以为说会顺利的
[00:28:26] 然后后面
[00:28:27] 就是都蛮常会有出包的情形出来
[00:28:29] 那这边就跟大家分享说
[00:28:30] 其实在mediatek
[00:28:32] 或者说google这边
[00:28:33] 我们一直都知道说
[00:28:33] 他应该会有一个backup plan
[00:28:35] 就是在台积店这边
[00:28:36] 那现在如果说多了一个
[00:28:38] 门绳进来守护
[00:28:40] 那会不会有机会
[00:28:41] 就是更加确定
[00:28:42] 就是后面可能会往台积店
[00:28:43] 这个方向去走
[00:28:44] 我觉得那个机率是有变高
[00:28:45] 但是你说
[00:28:46] 是不是一定是这样还不确定
[00:28:48] 因为那个产品期待很久
[00:28:49] 就5921都还没有大放量
[00:28:50] 那你现在去讨论5922
[00:28:52] 其实是真的是还太久
[00:28:53] 但总之呢
[00:28:53] 这个就是后面
[00:28:54] 可以持续去追踪的一个项目
[00:28:56] 那现在去猜说
[00:28:58] 这位就是前台积的高层
[00:29:00] 他跑去那边
[00:29:01] 那到底是不是因为
[00:29:02] 他们要去弃intel
[00:29:03] 要转回tsm
[00:29:04] 我认为是一个太快的讨论
[00:29:05] 但确实是后面可以持续的
[00:29:07] 去关注看看
[00:29:07] 那这边就在进去的部分
[00:29:09] 第一位综合小老板
[00:29:11] 回答的挑战
[00:29:11] 孟工奇卡您好
[00:29:12] 想问您认为
[00:29:14] Google Amazon
[00:29:14] 他们的自研晶片
[00:29:15] 会威胁到回答吗
[00:29:16] 简短提问
[00:29:17] 感谢猛工
[00:29:18] 祝猛工资产早日上市而位数
[00:29:20] 兄弟你这个讨论
[00:29:21] 是大概2023年2024年
[00:29:23] 大家就一直在讲的东西
[00:29:24] 可以回听那时候节目
[00:29:25] 我们就针对GPU跟ASIC
[00:29:26] 去做了蛮多的分享
[00:29:27] 那当时需要花很多心力
[00:29:29] 去告诉大家说
[00:29:31] GPU不会把ASIC杀掉
[00:29:32] 那后来一段时间
[00:29:33] 要花很多心力跟大家讲说
[00:29:35] ASIC不会把GPU杀掉
[00:29:36] 就是我不知道
[00:29:37] 什么市场的讨论
[00:29:37] 都非常喜欢
[00:29:38] 捧黑彩币
[00:29:40] 应该说人就是这样子
[00:29:41] 叫你分享一个餐厅
[00:29:42] 就喜欢讲说
[00:29:43] 什么这个比那个屌
[00:29:44] 可能这样子形容比较好吧
[00:29:46] 但实际上
[00:29:46] 以现在我们看得到的
[00:29:47] AI状态来讲
[00:29:48] 就是说
[00:29:48] 晶片整体是供不应求的
[00:29:50] 所以并没有谁会
[00:29:51] 把谁踩掉
[00:29:52] 这样子的一个剧本
[00:29:54] 在短期间会发生
[00:29:55] 而是就是说
[00:29:56] 到底谁可以在短期间
[00:29:58] 去抢到更多的市场
[00:29:59] 这是我们会想要
[00:30:00] 关注的一个重点
[00:30:00] 所以他又不会去
[00:30:01] 威胁到回答不会
[00:30:02] 他们自己本身都还是
[00:30:04] 回答的大客户
[00:30:05] 所以大概就是
[00:30:06] 可以把它想象成
[00:30:06] 就是说
[00:30:07] 在并行的状况之下
[00:30:08] 除了去买这些GPU之外
[00:30:10] 他们会有自己
[00:30:11] 课定的一些
[00:30:12] 不管是CPU
[00:30:13] 或者说ASIC
[00:30:14] 也就是类GPU
[00:30:15] 来作为说
[00:30:16] 可能在自己的云端
[00:30:17] 资料中心去做使用
[00:30:19] 像Google这边的话
[00:30:20] 在他的演算法
[00:30:21] 或者是他家的模型
[00:30:22] 他就是在使用自己的TPU
[00:30:24] 但是他的客户
[00:30:25] 要去用他的云的
[00:30:26] 可能就还是会用到
[00:30:27] 蛮多的回答的东西
[00:30:28] 所以还是必须
[00:30:29] 去采购他的东西
[00:30:30] 所以我觉得都是
[00:30:31] 交叉有在做使用
[00:30:32] 他不是一个
[00:30:33] 谁威胁与否的事情
[00:30:35] 而是可能不知道
[00:30:36] 就等到后面
[00:30:37] 变成是鸿海市场的时候
[00:30:38] 我们再来讨论这个
[00:30:39] 会比较实在
[00:30:40] 现在讨论这个
[00:30:41] 没有什么意义
[00:30:41] 就有点类似说
[00:30:42] 现在去讨论说
[00:30:43] 崩盘谁会崩比较多
[00:30:44] 没有什么意义
[00:30:45] 等到真的崩的时候
[00:30:46] 我们再来看
[00:30:47] 会比较准一点
[00:30:47] 下面有位翻桌宝宝
[00:30:49] 第二次留言
[00:30:50] 孟公你好
[00:30:50] 记忆体模组
[00:30:51] 最近的几次法说
[00:30:52] 已经明确的指出
[00:30:54] 缺货会到2027
[00:30:55] 2026订单已经满了
[00:30:56] 需求能见度高
[00:30:57] 公司的库存
[00:30:58] 从3月350亿拉升
[00:31:00] 6月底目标500亿
[00:31:01] 并私募120亿
[00:31:02] 加码被货
[00:31:03] 公司赶砸
[00:31:04] 真金白银在囤
[00:31:05] 这也让人思考
[00:31:06] 公司是否已经提前
[00:31:07] 看到明年的展望
[00:31:08] 我倾向相信
[00:31:09] 公司派的讯号
[00:31:10] 且合约价Q2Q3
[00:31:11] 仍有上涨的空间
[00:31:12] 目前成本已经拉开
[00:31:14] 并非套劳仔
[00:31:15] 但股价反应偏慢
[00:31:16] 杂音多
[00:31:17] 信心多少
[00:31:18] 人会动摇
[00:31:18] 想碰撞一下
[00:31:19] 您的想法
[00:31:20] 谢谢
[00:31:21] 既然是已经持有一阵子的
[00:31:23] 我觉得这边就只是
[00:31:24] 何时要下车的问题
[00:31:25] 确实你就会比较耐甩一点
[00:31:28] 你看一下前面的美光
[00:31:29] 也是在下去的时候
[00:31:31] 一堆人说什么破底做头
[00:31:32] 就直接surprise motherfucker
[00:31:33] 屌喷
[00:31:34] Sandisk也是
[00:31:35] 台湾的记忆体股
[00:31:36] 就像我们跟大家分享
[00:31:37] 它其实算是比较慢
[00:31:38] 就类似说
[00:31:39] 台湾的被动元件
[00:31:39] 其实也是比较慢
[00:31:40] 我觉得主因是因为
[00:31:42] 台湾的题材真的太多了
[00:31:44] 就是台湾真的是一个
[00:31:45] 你看一下那个经济成长率
[00:31:46] 甚至现在是你知道
[00:31:48] 以我们讲说台湾前烟角木
[00:31:49] 好像是一个遥远的过去
[00:31:51] 我们现在是已经回到
