[00:00:00] 欢迎收听古爱,我是盛梦公,本期节目由NordVPN赞助
[00:17:00] 但一般人可能不一定会需要用到
[00:17:01] 那时候这个剧本
[00:17:03] 就是有可能成真的
[00:17:04] 也就是说
[00:17:04] 我自己去使用我的地端模型
[00:17:06] 我就可以产出非常好的一个效果
[00:17:07] 那我就省下大量的token fee
[00:17:08] 或者说传输的费用
[00:17:10] 那我要做的是什么
[00:17:11] 我就是去买一台可能够好的
[00:17:12] 不管是地端的伺服器
[00:17:14] 或者是一台AIPC
[00:17:15] 可能就可以完成这样子的任务
[00:17:16] 那这个东西在两年前
[00:17:18] 其实是没有办法看到的
[00:17:19] 因为两年前的AIPC
[00:17:20] 那时候我就是买第一批的高通的笔电
[00:17:23] 那当时的新德式
[00:17:24] 这个东西是完全不成气候的
[00:17:26] 它在地端的一些使用上
[00:17:27] 基本上是不服使用
[00:17:29] 它比较像是一个
[00:17:30] 有趣的好玩小弹子
[00:17:32] 可是是没有办法
[00:17:33] 拿到战斗中去操作的
[00:17:35] 那现在看起来是有机会
[00:17:37] 那这个可能要等我再去搞一台
[00:17:38] 新的笔电之后
[00:17:39] 帮大家稍微测试一下
[00:17:40] 跟大家说
[00:17:41] 现在我们距离中一点
[00:17:42] 大概有多远
[00:17:42] 但是我觉得按照这样子的步调去推
[00:17:45] 然后像这个Snowflake
[00:17:46] 员工的一个反应
[00:17:47] 就是或许后面大家就不用这么高度的
[00:17:50] 去仰赖这些Data Center
[00:17:52] 然后或者是说
[00:17:53] 这些最先进最前端的一个模型
[00:17:56] 但是不代表他们的市场会不见
[00:17:57] 还是要强调
[00:17:58] 因为其实蛮多人在市场里面的思维
[00:18:00] 都是比较平常是零和的
[00:18:01] 一个起那一个就得死
[00:18:02] 那不是这样
[00:18:03] 它可以一起发展
[00:18:04] 就类似我们前面强调的
[00:18:05] 光跟铜
[00:18:05] 那其实就是一起成长
[00:18:06] 那当然光的成长性会好一点
[00:18:08] 那所以在这样的状况之下
[00:18:09] 就是你可以想象的是
[00:18:10] 之后的一些Agentic Service
[00:18:12] 那如果是要走到比较
[00:18:13] 前端比较高阶的
[00:18:15] 那可能还是要走这个Data Center
[00:18:16] 那它用量可能还是会乘上好几倍
[00:18:18] 但是有蛮多的使用
[00:18:19] 可能就会直接落到地端去做操作
[00:18:22] 那这样子的话
[00:18:23] 是不是有可能带动新一批的
[00:18:25] AIPC一个销量呢
[00:18:26] 那我们目前去看AIPC的话
[00:18:28] 当然你要去看所谓的概念股
[00:18:30] 就是有扯到的
[00:18:30] NVIDIA或者是说
[00:18:32] 像是MediaTag绝对是吗
[00:18:34] 也就帮他去做这个晶片的设计
[00:18:35] 那当然有些人就是很
[00:18:36] 也名手快的
[00:18:38] 因为像说我去年去看
[00:18:39] Jensen Huang在演讲的时候
[00:18:41] 那当然他在会上就会提到
[00:18:42] 他们那时候是说
[00:18:43] 他们的办公室要设在哪
[00:18:45] 那市值跟南港不知道大家有什么影响
[00:18:47] 发生北南
[00:18:48] 就那时候大家会赌这些资产股
[00:18:49] 那现在呢
[00:18:50] 是变成说
[00:18:51] 大家看到他手上拿的笔电
[00:18:52] 是哪一个牌子
[00:18:53] 就直接冲进去所长庭
[00:18:54] 那当下看起来真的非常的精彩
[00:18:56] 那实际上我觉得
[00:18:57] 有没有办法去带动
[00:18:59] 这些笔电的OEM的话
[00:19:00] 可能要再观察一下
[00:19:01] 就这个东西到底
[00:19:02] 在实物上的操作是怎么样
[00:19:04] 可是光一个题材的话
[00:19:05] 是有可能去帮忙他们去做一些Rerate
[00:19:07] 那在我们这边看到呢
[00:19:08] 就是目前AIPC里面的一些用料
[00:19:10] 都会是使用的比较好一点
[00:19:12] 那不管是在晶片端附近
[00:19:15] 或是板子上面的一些材料
[00:19:16] 不管是上面的被动元件
[00:19:17] 或是各种元件
[00:19:18] 我们是有注意到说
[00:19:20] 都有一个材料的提升
[00:19:21] 所以就是有可能说
[00:19:22] 如果AIPC卖的蛮不错
[00:19:24] 我们所谓的蛮不错是说
[00:19:25] 就是相较于之前AIPC的销量
[00:19:27] 它稍微都有增速一点点
[00:19:28] 那它其实蛮有机会去offset掉
[00:19:31] 一些传统的笔电
[00:19:32] 或是PC的一个销售的劣势
[00:19:34] 因为我们知道
[00:19:35] 其实今年手机跟笔电的状况
[00:19:36] 理论上都不会太好
[00:19:38] 但如果说AIPC可以拉起来的话
[00:19:39] 因为它本身的单价是比较高
[00:19:41] ASP是比较高
[00:19:42] 那里面用到元件也是比较高
[00:19:43] 所以有可能就是个
[00:19:44] 随便举例
[00:19:45] 就一台可能可以抵
[00:19:46] 传统消费性的1.5台之类的
[00:19:48] 所以这个成绩如果好的话
[00:19:49] 那当然对市场来说
[00:19:50] 也是一个蛮大的刺激
[00:19:51] 那所以整体来看
[00:19:53] 我觉得这场演讲
[00:19:55] 是还蛮精彩的
[00:19:56] Fanit NVIDIA
[00:19:57] 他们确实是在过程之中
[00:19:58] 不停的去做演进
[00:20:00] 从一开始跟大家宣扬
[00:20:02] 这些Data Center的设备
[00:20:03] 你买越多省越多
[00:20:05] 就是要一直疯狂的去建置
[00:20:06] 然后到后面拉到Agentic
[00:20:07] 拉到Robotics
[00:20:09] 最后面拉到在生活中的各种应用
[00:20:11] 从本来是讲说是卖GPU
[00:20:13] 后来变成是卖Horex Solution
[00:20:14] 现在变成是所有Infra的一个supplier
[00:20:16] 它的论述也算是不停的
[00:20:18] 在与时俱进
[00:20:19] 所以算是一个非常精彩的分享
[00:20:22] 当然这家公司
[00:20:23] 以下整体的AI peer来讲
[00:20:25] 其实我觉得它跟TSM有点像
[00:20:27] 就是市场中的大龙头
[00:20:29] 一个是代工的龙头
[00:20:31] 另外一个算是晶片跟AI的一个大龙头
[00:20:33] 但他们其实都
[00:20:34] 不知道为什么就交易在一个
[00:20:36] 相对便宜的位置
[00:20:37] 我自己甚至是在想说
[00:20:39] 会不会他们会单纲最后一棒之类的
[00:20:41] 就像大家可能大家已经习惯说
[00:20:43] 反正大家都知道TSM很好
[00:20:45] 大家都知道NVIDIA很好
[00:20:46] 可是我们就要去买一些小标股
[00:20:47] 因为小标股比较动
[00:20:48] 像现在可能Mario这边在Cue光通
[00:20:51] 我们要冲回去光通
[00:20:52] 因为大家的思维可能都偏向这样
[00:20:54] 因为现在市场是有点那种百花齐放
[00:20:55] 所以大家都想找跑最快的
[00:20:57] 我觉得甚至是可以反映在
[00:20:59] 比特币的一个走势
[00:21:00] 过往就大家去买比特币
[00:21:02] 你说多少人真的相信比特币的未来
[00:21:03] 我觉得不一定
[00:21:04] 就大家觉得这个东西很会跑
[00:21:05] 跑很快
[00:21:06] 所以想去买它
[00:21:06] 那跟下市场上一堆东西跑很快的话
[00:21:08] 那可能资金就撤出来
[00:21:10] 所以一样的道理
[00:21:10] 就是可能我也知道TSM好
[00:21:12] 那我也知道NVIDIA好
[00:21:13] 可是呢
[00:21:13] 就是有很多东西跑很快
[00:21:14] 所以我就先往别的地方跑
[00:21:15] 那大概是这样的一个状况了
[00:21:18] 那其他东西呢
[00:21:18] 可能就等到我自己去看了这个电脑展
[00:21:21] 之后再跟大家分享
[00:21:22] 但是我自己猜啦
[00:21:23] 89不离时
[00:21:24] 可能都是差不多的东西
[00:21:26] 反正就是更新更快更厉害
[00:21:27] 但是应该不会有太多那种突破性的
[00:21:29] 新的发展
[00:21:31] 所以在市场上的各种讨论
[00:21:33] 其实已经是蛮充分的在反映了
[00:21:35] 那像这一波的一个盘式
[00:21:37] 喷到下这样一个阶段
[00:21:38] 我自己的心中也会觉得
[00:21:39] 去撑估值的一个可能性是远大于
[00:21:42] 就是可能在市场上面
[00:21:44] 我们有找到新的一个上修的动能
[00:21:46] 上修的动能应该是还没有
[00:21:48] 要有一些技术的突破出来
[00:21:49] 才会把那些数字再往上调
[00:21:51] 那比较偏常说是因为盘面整个很好
[00:21:53] 那资金又很多
[00:21:53] 所以就持续的把东西往上推
[00:21:55] 那最近呢
[00:21:56] 开始有出现一些热门题材的修正
[00:21:58] 像被动轻件开始出现一些横盘
[00:22:00] 其实我觉得这是好的
[00:22:01] 就如果它一直喷的话
[00:22:02] 老实讲
[00:22:02] 第一个是在台湾这边又会去做处置
[00:22:05] 所以你也没有办法做什么事情
[00:22:07] 你可能也没有办法去做太多的家
[00:22:08] 又要圈钱或什么的
[00:22:10] 那再来就是如果再继续喷的话
[00:22:12] 就你也会担心说
[00:22:12] 会不会结束的时候下额会非常重
[00:22:14] 那如果说有一些整理的话
[00:22:15] 其实算是一些好事
[00:22:16] 那所以最近在盘中
[00:22:17] 开始看到有些东西整理
[00:22:18] 但就对我们自己来讲
[00:22:19] 我们就是被拉回现实
[00:22:20] 本来前面就是每天税型都一直在赚钱
[00:22:22] 然后现在是开始有这些东西
[00:22:24] 进入横盘进入整理
[00:22:25] 但目前来看
[00:22:26] 就是特别是以前面的指数
[00:22:28] 是以这样的邪率冲上去的话
[00:22:29] 还是会觉得说就是有可能就是今年都还是走多
[00:22:32] 那当然过程之中一定是会出现一些修正
[00:22:35] 一定是会出现一些盘整
[00:22:36] 但是以这个邪率来讲
[00:22:37] 就是他要直接去做一个终结
[00:22:39] 我会觉得是比较困难一点
[00:22:40] 那只是就是要如何的在
[00:22:42] 可能每次的题材切换之中
[00:22:44] 或甚至你也不一定要切换
[00:22:45] 就是要把自己的软蛋捏也好
[00:22:46] 然后去获得这个市场的报酬
[00:22:49] 最差最差可能要拿到平均报酬
[00:22:50] 大概是这样子
[00:22:51] 所以简单跟大家分享一下
[00:22:52] 就是NVIDIA跟MAREL
[00:22:54] 他们在Computex上面演讲的一个内容
[00:22:57] 那去浓缩的话的话
[00:22:59] 就是怎么说
[00:23:01] 它不是一个特别新鲜的东西
[00:23:02] 但再次去跟大家emphasize
[00:23:04] 去强调光
[00:23:05] 就是未来的一个主軸
[00:23:07] 然后去强调
[00:23:08] 现在可能就是在AI的infra的建置上面
[00:23:11] 他们已经不会再去细分说
[00:23:12] 这个可能是做GPU
[00:23:14] 这个是做ASIC
[00:23:15] 可能大家拼的都是一个Total solution
[00:23:16] 其实Google在沟通的也是这样子的一个概念
[00:23:19] 因为他去跟Neo Cloud去做合作的话
[00:23:22] 他去投资Neo Cloud
[00:23:23] 其实本身他也是想去卖一个Total solution
[00:23:25] 所以大家的战场已经是转移到那边去了
[00:23:28] 其中的一个潜在的突破性的点
[00:23:32] 就是像Snowflake员工跟我所分享的
[00:23:34] 如果在这个过程之中
[00:23:36] B所的模型
[00:23:38] 当然他在前面冲得很快
[00:23:39] 要花很多钱去投资
[00:23:40] 他把一片江山给打下来之后
[00:23:42] 然后开源的模型在后面有跟上
[00:23:43] 他可以去做到
[00:23:45] 就觉得说可能B所模型是已经达到1万分了
[00:23:48] 我们人类的需求是9000分的话
[00:23:50] 开源模型可能就可以去满足大家的一个需求
[00:23:53] 所以像前面有点像是一个预言
[00:23:55] 就是当OpenCloud刚出来的时候
[00:23:56] 不是蛮多人跑去买一个苹果的小装置吗
[00:23:59] 想说这样去搞
[00:24:00] 然后最后面
[00:24:00] 其实我觉得就是说
[00:24:02] 有点那种生不逢死
[00:24:03] 时间还没有到
[00:24:03] 那时候可能就是有一些geek去使用
[00:24:05] 会觉得很屌
[00:24:06] 可是他其实是不服大多数人的使用的
[00:24:08] 我觉得我们还是会持续相信着
[00:24:10] 这个科技的进步
[00:24:11] 甚至就是搞不好快的话
[00:24:12] 就是今年
[00:24:13] 那慢的话就是可能两三年内
[00:24:15] 那你可以买一个笔电
[00:24:16] 你就做到绝大多数
[00:24:17] 你目前可能需要去付费
[00:24:19] 让这个云端去帮你跑的东西
[00:24:21] 你都可以在你的地端去做使用
[00:24:23] 那如果那一天到来的话呢
[00:24:25] 那应用的渗透就会更加的加速
[00:24:27] 然后再来就是像
[00:24:28] 可能这些DataLag
[00:24:29] 或是在中间的一些软体层的东西呢
[00:24:31] 他们就有机会
[00:24:33] 因为你知道他现在其实有蛮多的费用
[00:24:35] 他收到的钱
[00:24:35] 他是需要去付给这些LLM的
[00:24:37] 那他就有可能这都变成是他的一个存益
[00:24:40] 所以如何去获得你的用户
[00:24:42] 可能就像我们上集所强调
[00:24:44] 他是现在最重要的事情
[00:24:45] 你要怎么样去把这个单接进来
[00:24:47] 因为到某个时间点呢
[00:24:49] 你会注意到这些
[00:24:50] 所谓的新的科技
[00:24:52] 很猛的东西
[00:24:53] 那他距离大家已经是太近了
[00:24:56] 近到是唾手可得
[00:24:57] 我可能随便买一家
[00:24:59] 我都可以拿到差不多的一个效果
[00:25:00] 那甚至是我用开源
[00:25:01] 都可以达到这样子的效果
[00:25:02] 那当然就是比CKE
[00:25:03] 把这个服务包的更好
[00:25:05] 于是呢
[00:25:05] 像前面的整个逻辑就串起来嘛
[00:25:07] 为什么现在会开始有很多的
[00:25:09] 这种前端部署工程师的职缺跑出来
[00:25:11] 就是一样的道理
[00:25:12] 我要怎么样去获取客户
[00:25:13] 变成是一个最最最关键的重点
[00:25:15] 怎么样把服务做好
[00:25:16] 那怎么样去Telemate大家的需求
[00:25:18] 反而不是在那个模型那边
[00:25:19] 去做非常高强度的竞争
[00:25:21] 那当然他持续都还是会有他的发展
[00:25:23] 我们讲这个并不是说
[00:25:24] 所以可能在云端的建制
[00:25:26] 就会暂停
[00:25:26] 绝对不会
[00:25:26] 因为绝对会有那些需求
[00:25:28] 是需要去用到
[00:25:29] 可能最高阶的东西的
[00:25:31] 那他绝对不是一个
[00:25:32] 这个鸿海市场
[00:25:33] 他还是持续的蓬勃发展
[00:25:34] 那我们就要持续的观察
[00:25:35] 那当然希望说在
[00:25:37] 可能终端装置
[00:25:38] Edge Computing这边
[00:25:39] 可以发展出一些契机
[00:25:40] 因为对我们的工作来讲
[00:25:41] 我们是需要有很多新的题材
[00:25:42] 同样一个题材
[00:25:43] 那周面在喷骨子
[00:25:44] 虽然是心情也蛮高兴的
[00:25:46] 但会有点不太踏实
[00:25:48] 就觉得应该这种东西
[00:25:49] 可以转来转去
[00:25:49] 也不是说我们整件持股
[00:25:50] 要去转换
[00:25:51] 但一直有新的题材出现
[00:25:53] 对一个多多市场来讲
[00:25:54] 可能是一个蛮好的事情
[00:25:55] 所以大家这样
[00:25:55] 跟大家简单的分享一下
[00:25:57] 就可以稍微的关注一下
[00:25:58] AIPC后面有什么新的可能性
[00:25:59] 那大概这样
[00:26:00] 接下来我们今天的课题
[00:26:01] 第一位威尼航特
[00:26:03] 梦工老大您好
[00:26:04] 发现热门族群
[00:26:04] 都有他们的专属主题曲
[00:26:06] 记忆题
[00:26:07] 我希望你是我独家的记忆
[00:26:10] 被动原件
[00:26:10] 爱你越救我越被动
[00:26:12] 光通讯
[00:26:13] 你是电
[00:26:14] 你是光
[00:26:14] 你是唯一的昇华
[00:26:16] 主动是ETF
[00:26:17] 吕士轩9898981
[00:26:19] 这我就不知道
[00:26:19] 那想问MK老大
[00:26:21] 那边有什么新族群的主题曲
[00:26:23] 可以分享一下
[00:26:23] 上述提到的歌曲
[00:26:25] 可以不用唱
[00:26:25] 没有关系
[00:26:26] 但你可能已经唱完了
[00:26:27] 最近的话
[00:26:28] 可能只剩下救命
[00:26:29] 这两天剩下救命而已
[00:26:31] 下面一位
[00:26:31] 青出于兰
[00:26:32] 更胜于兰
[00:26:33] 帅哥老公是我
[00:26:34] 可以帮我住6月6号
[00:26:35] 谢梦工
[00:26:35] AK直男巧胡
[00:26:36] AK梦工老公
[00:26:37] 6月13号
[00:26:38] 青出于兰
[00:26:39] 更胜于兰
[00:26:39] 6月14号
[00:26:40] 川普
[00:26:41] 6月15号
[00:26:41] 秋口家
[00:26:42] 习主席
[00:26:42] 生日快乐
[00:26:43] 我们双子座
[00:26:44] 快要称霸地球了
[00:26:45] 如果标题可以放地球
[00:26:46] 或是双子座吗
[00:26:47] 那谢谢帅哥梦工
[00:26:50] 地球
[00:26:51] 我第一次看到地球的emoji
[00:26:52] 好大家试试看
[00:26:53] 下面一位
[00:26:54] 小明梦工安
[00:26:55] 我想来这边留言的
[00:26:56] 听众一点都没有惜福
[00:26:58] 您没有这么想
[00:26:58] 但是被您念到
[00:26:59] 就等于是实质上
[00:27:00] 赚到了一次业配的收益
[00:27:02] 那希望来发问的
[00:27:03] 彦祖多会们
[00:27:04] 不要拿AI可以解答的问题来问
[00:27:07] 来许愿的善男性女们
[00:27:08] 心想事成
[00:27:09] 来发疯地换个地方
[00:27:10] 感谢梦工好人全家平安
[00:27:12] 最近费办真的好扯
[00:27:13] 真的非常扯
[00:27:14] 那对啦
[00:27:15] 就是有些AI可以解决的问题
[00:27:16] 尽量就交给AI
[00:27:17] 那只是如果来这边发疯的话
[00:27:19] 其实我蛮欢迎的
[00:27:20] 我蛮喜欢看到各路的
[00:27:21] 怪小跑来这边
[00:27:22] 稍微就浮出来
[00:27:24] 这个是我蛮喜欢的一个气氛
[00:27:25] 下面一位TTH
[00:27:26] 嗨 梦工去嘎
[00:27:27] 请问你会觉得天赋
[00:27:29] 是来弥补自身不足的部分吗
[00:27:31] 就好像你蛮懂得投资股票
[00:27:33] 但私下不太讲话
[00:27:34] 借由Podcast节目
[00:27:35] 分享你的投资知识
[00:27:36] 以及生活的分享
[00:27:37] 上天给了你另外一种方式
[00:27:39] 弥补你能和社会产生连结
[00:27:41] 但又不需要进行过多社交的部分
[00:27:43] 那最后是不是可以用
[00:27:45] 唐老鸭的声音
[00:27:45] 祝我生日快乐呢
[00:27:46] 那祝您一家平安健康爱您
[00:27:50] 我不会觉得说
[00:27:51] 好像说一切是那种
[00:27:53] 类似命定
[00:27:53] 好像你是因为有这样子的个性
[00:27:55] 所以老天就会帮你开另外一扇床
[00:27:57] 是怎么样
[00:27:57] 而是因为你的个性是这样子
[00:27:59] 然后你最终会找到
[00:28:00] 舒服的一个方式去做输出
[00:28:02] 那当然
[00:28:03] 觉得像现在好像有一个节目
[00:28:05] 可以跟大家互动
[00:28:06] 是还蛮不错的
[00:28:07] 但我自己也不知道
[00:28:08] 这个节目可以到什么时候
[00:28:09] 那你说如果这个节目不见的话
[00:28:10] 我会不会就失去了互动的管道
[00:28:12] 然后觉得人生是非常的空虚
[00:28:14] 或怎么样
[00:28:14] 我觉得也不会
[00:28:15] 就是你会找到一个新的方向
[00:28:16] 那总之呢
[00:28:17] 就是最终大家会找到一个
[00:28:18] 最小阻力的平衡
[00:28:19] 差不多这样的一个感觉
[00:28:20] 那下面一位大人
[00:28:21] MK今天是我跟我老婆交往纪念日
[00:28:24] 祝我们生产顺利
[00:28:25] 感谢您
[00:28:26] 祝你们生产顺利
[00:28:27] 下面一位柯柯
[00:28:28] 太厂跳过
[00:28:28] 下面一位妙妙屋
[00:28:29] 梦工去搞黄仁勋
[00:28:30] 点石成金的魔法
[00:28:32] 真的很厉害
[00:28:33] Marvel的股价被点燃
[00:28:34] 但NVIDIA何时
[00:28:35] 也可以点石成金自己的股票呢
[00:28:37] 那感觉GTC后
[00:28:38] 资金又回流NVIDIA
[00:28:40] 台积电供应链
[00:28:40] 梦工觉得市场
[00:28:42] 是否会补涨NVIDIA
[00:28:43] TSMC
[00:28:44] 那另外下一波的涨价体材
[00:28:46] 是否有可能会延伸到
[00:28:46] 功率半导体
[00:28:47] IDM如ON跟PIMIC
[00:28:49] 如ADI
[00:28:49] 我觉得这位兄弟
[00:28:52] 他的敏感度非常好
[00:28:53] 就是我觉得
[00:28:53] 功率元件
[00:28:54] 或者是
[00:28:55] 功率半导体
[00:28:56] 相关的一些公司呢
[00:28:58] 其实我们都注意到
[00:28:59] 他的基本面
[00:28:59] 有蛮显著的在改善中
[00:29:01] 所以他确实有可能是
[00:29:03] 下一波题材的一个汇聚点
[00:29:04] 可是他的光芒
[00:29:05] 没有像
[00:29:06] 具体说CPU
[00:29:07] 或者是被动元件
[00:29:08] 那样子的全面
[00:29:09] 因为他市场上
[00:29:10] 非常喜欢那种
[00:29:11] 类似戴维斯双击的东西
[00:29:13] 反正我ASP给拉上去
[00:29:14] 那再来呢
[00:29:15] 我的PU ratio也拉上去
[00:29:16] 这个可能是大家会
[00:29:17] 比较喜欢的
[00:29:18] 重点是你还要搭配缺货
[00:29:19] 那功率元件的话
[00:29:21] 就是他们也
[00:29:21] 对我再涨价
[00:29:22] 可是可能目前
[00:29:23] 没有看到那种
[00:29:23] 全面性屌缺的一个情形
[00:29:25] 那或许如果后面
[00:29:26] 觉得说电源柜的
[00:29:27] 表现状况很好
[00:29:28] 那开始产生大量的拉火
[00:29:29] 那不排除有
[00:29:30] 这样子一个可能性
[00:29:31] 所以抓这两个题材
[00:29:32] 还蛮OK的
[00:29:33] 那再讲说
[00:29:33] 会不会去补涨
[00:29:35] NVIDIA跟TSMC
[00:29:36] 我觉得最近的盘
[00:29:37] 有一点点这样子的味道
[00:29:38] TSMC很明显的在转强
[00:29:40] 然后搭配前面
[00:29:41] 因为建管会
[00:29:42] 开了一个大门
[00:29:43] 那这些投信公司呢
[00:29:45] 他们是必须要去改
[00:29:46] 他们的供发书之类的
[00:29:47] 那差不多就是
[00:29:48] 在这两个月会完成
[00:29:49] 所以搞不好
[00:29:50] 后面投信的资金进来之后
[00:29:52] 就有机会会把它推上去
[00:29:53] 那当然我们也不确定
[00:29:54] 是怎么样
[00:29:55] 只是最近TSMC的形态
[00:29:56] 确实是有变强
[00:29:57] 那NVIDIA也是有
[00:29:58] 突破在网上去走了
[00:29:59] 所以确实是有机会的
[00:30:00] 下面一位
[00:30:01] Andy Liu
[00:30:02] Winnie同学
[00:30:03] 我又来了
[00:30:03] 6月1号我生日
[00:30:04] 可以跟我说那四个字吗
[00:30:05] 你娘可好
[00:30:07] 孟公
[00:30:07] 对不起
[00:30:08] 我不知道为什么
[00:30:08] 我要这样讲话
[00:30:08] 我不知道为什么
[00:30:09] 我刚才要这样子接
[00:30:11] 就生日快乐就好
[00:30:12] 为什么要乱接话
[00:30:13] 孟公您好
[00:30:14] 去年10月有来留言
[00:30:15] 请大家帮忙集气
[00:30:17] 有关我和太太
[00:30:18] 在美国领养小孩
[00:30:20] 你看
[00:30:20] 她是来领养小孩的
[00:30:22] 为什么我前面
[00:30:22] 要这样子口无遮拦呢
[00:30:24] 她是好人
[00:30:25] 为什么我控制不了
[00:30:26] 自己的嘴巴呢
[00:30:27] 终于在今年
[00:30:28] 有配对上了
[00:30:29] 真的是谢谢
[00:30:30] 您和广大的听众们
[00:30:31] 现在看着小朋友的
[00:30:32] 照片和影片
[00:30:33] 傻笑着
[00:30:34] 想取名字之类的事情
[00:30:35] 突然就明白
[00:30:36] 钢铁人他老爸那一句
[00:30:37] That kid is not even here yet
[00:30:40] and there is nothing
[00:30:40] I wouldn't do for him
[00:30:41] 再次谢谢
[00:30:43] 孟公制作优质的节目
[00:30:44] 也感谢老婆
[00:30:45] Jane在辛劳掌管家中的大小事
[00:30:48] 愿上帝祝福
[00:30:49] 孟公一家和秋口家A君
[00:30:50] 都平安健康顺遂爱您
[00:30:53] 我真的是很糟糕的人
[00:30:56] 希望你可以一切顺利平安
[00:30:57] 这位兄弟
[00:30:58] 你们在做一个非常伟大
[00:30:59] 非常了不起的事情
[00:31:00] 希望你的家庭
[00:31:02] 可以和乐融融
[00:31:02] 下面一位
[00:31:03] Chan Yuri
[00:31:04] 永兰教共九陶
[00:31:06] 每次一个很温情的
[00:31:08] 下面就是接这种
[00:31:09] 有的没有的人
[00:31:10] 孟公制作优质爱您
[00:31:12] 想问您会喝大卖场的便宜红酒吗
[00:31:14] 会不会有推荐的评价庶民红酒呢
[00:31:16] 这个就是我很害怕的
[00:31:17] 因为我自己是从Price Tag
[00:31:19] 去做一个策略
[00:31:20] 那只是我的一个策略
[00:31:22] 并不是说什么
[00:31:22] 我是拜金仔
[00:31:24] 特别是像在我自己的书里面
[00:31:25] 曾经写过
[00:31:26] 因为我岳母的男朋友
[00:31:28] 他们自己是经营酒庄的
[00:31:29] 确实都是有办法
[00:31:31] 在几百块到一两千块的红酒之间
[00:31:33] 找到味道极好的东西
[00:31:34] 他自己的红酒也大概是一两千块
[00:31:36] 那评分也都很高
[00:31:37] 所以绝对不是说什么高价的酒
[00:31:39] 就一定比较厉害之类
[00:31:40] 那你现在要我推一个平价红酒的话
[00:31:41] 我觉得我会推那个卡蒂娜的
[00:31:44] 一个叫做Rebirth
[00:31:45] 重生
[00:31:46] 然后它是Malback的葡萄做出来的
[00:31:49] 我觉得这一款非常合
[00:31:50] 然后它的价格也是属于平价的
[00:31:52] 应该也是属于绝大多数
[00:31:54] 假设你还没有开始很认真的研究
[00:31:56] 你会喜欢的一种味道
[00:31:57] 所以或许可以试看这个卡蒂娜酒庄
[00:32:00] 那阿根廷呢
[00:32:01] 小敏位
[00:32:01] 妹
[00:32:02] 之前听到艾大推荐TZ Bag
[00:32:05] 真的是有够开心
[00:32:06] 不知道艾大有没有去TB20周年那一场
[00:32:08] 非常推荐可以去看RP
[00:32:09] 当时我在现场真的是
[00:32:10] 灵表提起不知所云
[00:32:11] 上一集听到艾大说
[00:32:13] 生命中的小事和生物系的分享
[00:32:14] 这边推荐Netflix的正念冥想指南
[00:32:17] 一集不到20分钟
[00:32:18] 但基本上就是要在做
[00:32:20] 艾大提到的这些事情
[00:32:21] 推荐给您
[00:32:22] 这边建议不要一次直上
[00:32:24] 把八级课完
[00:32:24] 那最后希望观音大
[00:32:25] 可以助小弟找工作顺利
[00:32:27] 那这边许愿找到理想的工作
[00:32:29] 小弟会陆续30万元做善事爱您
[00:32:32] 我还是要跟大家强调一下
[00:32:33] 现在你们有一点推得太过头
[00:32:35] 我现在大家是太多了
[00:32:36] 就是以前是太小气
[00:32:37] 然后现在是太多
[00:32:38] 我觉得可以稍微收回去一点
[00:32:39] 因为大家还是需要钱
[00:32:41] 去做更多的投资
[00:32:42] 或是去改善家人的生活
[00:32:44] 那当然你说捐出去好不好
[00:32:45] 绝对是好的
[00:32:46] 那只是特别是在年轻在累积的时候
[00:32:48] 自己要稍微的帮自己多想一点
[00:32:50] 我觉得不用太大方
[00:32:51] 可以大方
[00:32:52] 但是也不要到太大方
[00:32:53] 那再来对TZBag的演唱会
[00:32:55] 后来钱元老师有邀我去看过一场
[00:32:58] 我非常的喜欢
[00:32:59] 那钱元老师可能是我在台湾
[00:33:01] 最喜欢的鼓手之一
[00:33:02] 那从小看他们长大
[00:33:04] 虽然他们天天想说
[00:33:05] 干你这光小
[00:33:06] 但在长大之后呢
[00:33:07] 那还可以在自己的偶像的邀请之下
[00:33:10] 去看他们的表演
[00:33:10] 真的是非常过瘾的一种体验
[00:33:12] 那下面一位
[00:33:13] Bob
[00:33:13] 嗨MK
[00:33:14] 新年快乐
[00:33:15] 生日快乐
[00:33:16] 端午快乐
[00:33:16] 从两万点空手到四万六的人
[00:33:18] 会不会很歐
[00:33:19] 那这一定是歐到爆炸啦
[00:33:20] 就如果你是不懂股票的
[00:33:22] 你看到股票一直喷
[00:33:22] 你可能只会想一下
[00:33:23] 但如果你是懂股票的
[00:33:24] 那你又一直在那边空手
[00:33:25] 然后看着它上去
[00:33:26] 那个感受是完全不一样的
[00:33:28] 那个是很难受的体验
[00:33:30] 下面一位
[00:33:31] 秒速五公分是樱花落下时的速度
[00:33:34] 还要有你讲
[00:33:35] 我本来以为是别的速度
[00:33:36] 下面一位
[00:33:37] 凤梨展爷爱自拍秀肌肉
[00:33:40] 您好
[00:33:41] 我读成大自公系的朋友展爷
[00:33:44] 最近很忧郁
[00:33:44] 其实因为他在考计算机组织上机考的时候
[00:33:48] 因为考场的设备出了问题
[00:33:50] 间接导致他其中考零分
[00:33:51] 并影响他推增研究所的排名
[00:33:53] 教授对此并无有效的补偿措施
[00:33:56] 还在Dcard上跟学生对象超幼稚
[00:33:58] 而展爷却无能为力
[00:34:00] 只能在IG写小作文抒发情绪
