[00:00:00] 欢迎收听古爱,我是陈梦公
[00:15:47] 有可能这个就是要起来了
[00:15:48] 所以一般我们还是会去用
[00:15:50] 这个股价去做为一个辅助
[00:15:52] 特别是它有足群性起来的时候
[00:15:53] 我们就会去思考说
[00:15:54] 会不会其实
[00:15:54] 我们都讲了这个
[00:15:56] 市场是经济的出窗嘛
[00:15:58] 它可能是走在前面
[00:15:59] 它搞不好就是
[00:16:00] 春江水暖压陷之之类的
[00:16:02] 那只是呢
[00:16:02] 我们也知道说
[00:16:03] 就是在今年度
[00:16:04] 或甚至是明年度
[00:16:05] 手机的出货量
[00:16:06] 或者一些笔电的出货量
[00:16:07] 数字都不会是太好
[00:16:08] 所以你说是一个
[00:16:09] 消费性的复苏吗
[00:16:11] 我感觉也不太像
[00:16:12] 所以我自己的猜测
[00:16:14] 会有点像是什么呢
[00:16:15] 它有点像是一个
[00:16:16] 要一步一步投下去
[00:16:18] 首先第一步是发生什么事情
[00:16:20] 然后关税嘛
[00:16:21] 那所以呢下游会怎么样
[00:16:22] 下游就恐慌性的
[00:16:24] 提前去拉货
[00:16:24] 为什么
[00:16:25] 因为它怕涨价
[00:16:25] 它怕会断工
[00:16:26] 那所以发生什么事情
[00:16:27] 就代工厂的产能利用率
[00:16:29] 就会拉上去
[00:16:29] IC设计厂的Q2营收
[00:16:31] 有些可能就会跳起来
[00:16:32] 那股价又会再提前
[00:16:33] 再往前去做跳起来
[00:16:35] 那可是同时呢
[00:16:36] 在这个事件的背景是什么
[00:16:37] 就是说终端需求
[00:16:38] 不管是PC或是手机
[00:16:39] 它其实是衰退的一个情形
[00:16:41] 所以有没有可能就是说
[00:16:42] 这只是一波
[00:16:43] 嗯我也不会说它是死猫跳
[00:16:44] 因为毕竟
[00:16:45] 它蛮多多已经是
[00:16:50] 它不是它是躺一阵子
[00:16:52] 所以我不会说它是死猫跳
[00:16:53] 就是说可能有机会
[00:16:54] 就是搞不好它拉起来的时候
[00:16:55] 后面还要再整理一下
[00:16:56] 因为等到可能26的2H
[00:16:58] 就下半年之后呢
[00:16:59] 拉货的动能开始掉下去的时候
[00:17:01] 搞不好又要再次的
[00:17:02] 有趋化的状态啦
[00:17:03] 那我记得我大概几个月前
[00:17:05] 有跟大家分享过
[00:17:05] 我没有注意到
[00:17:06] 在台系的这个DDIC业者呢
[00:17:08] 有听说到
[00:17:10] 就是在笔电业者这边
[00:17:11] 他们有去下大单去做拉货
[00:17:13] 然后那时候我们是感到
[00:17:14] 非常的疑惑
[00:17:15] 就是奇怪
[00:17:16] 不是说现在整体的状况不好吗
[00:17:18] 为什么你要去拉货
[00:17:19] 那只是后来产业的朋友
[00:17:21] 有跟我们分享
[00:17:21] 就是像刚才前面讲的那些原因
[00:17:23] 所以呢
[00:17:24] 那他们有些就会想要去
[00:17:25] 提早去补一些库存啦
[00:17:27] 那先把库存拉起来
[00:17:28] 去免得后面的一些夜长梦多
[00:17:30] 但不代表说
[00:17:31] 他们可能对未来的预期很好
[00:17:32] 但我觉得我还是会
[00:17:33] 持续去观察这个题材
[00:17:34] 因为像最近
[00:17:35] 连点世界先进的表现都很好
[00:17:37] 那像是在这个
[00:17:38] 海外交易市场的
[00:17:40] Global Foundries呢
[00:17:40] 它的表现也是非常好
[00:17:41] 那在矽晶圆这边呢
[00:17:43] 大家也都跳上去
[00:17:44] 环球晶跳上去
[00:17:44] 即便环球晶上次开出来的
[00:17:46] 一些法说的内容
[00:17:47] 我自己是感觉还好
[00:17:48] 我觉得实际味道
[00:17:49] 但它也是非常强势的
[00:17:51] 就走出去了
[00:17:51] 那不管是日本
[00:17:52] 或者说其他地方的一些
[00:17:53] 矽晶圆的相关的表现
[00:17:54] 其实也都注意到很好
[00:17:55] 所以呢
[00:17:56] 它有可能是
[00:17:57] 有东西要走起来
[00:17:58] 特别是在礼拜五
[00:17:59] 大家也看到瑞誉啊
[00:18:00] 林勇都直接是开灯
[00:18:01] 那到底是发生什么事情呢
[00:18:03] 这个我们会去认真的
[00:18:05] 去探索一下
[00:18:06] 就有可能
[00:18:06] 类似像CPU这样
[00:18:08] 只是有些东西
[00:18:09] 我们可能在一开始
[00:18:10] 没有办法看到
[00:18:10] 但是我们在股价技术面前看到
[00:18:12] 那后续呢
[00:18:13] 就会去做持续的追踪
[00:18:15] 那只是以我自己下的角度
[00:18:16] 我还是会先去做
[00:18:18] 就是可能只是一个
[00:18:19] 捕获的假设啦
[00:18:20] 那并不是说
[00:18:21] 什么整体需求变得很强
[00:18:22] 因为如果是看到的话
[00:18:23] 那我们应该会注意到
[00:18:23] M-Market的数字会跑起来
[00:18:25] 它会有点类似说
[00:18:26] 在2020-2021
[00:18:27] 因为Work from Home的
[00:18:28] 一个驱使之下
[00:18:29] 所以很多消费性的产品
[00:18:30] 变得很好
[00:18:31] 那所以呢
[00:18:32] 就再持续的
[00:18:33] 去观察一下
[00:18:34] 那现阶段会认为说
[00:18:35] 可能有一点类似说
[00:18:37] 因为大盘已经跑到
[00:18:38] 一个相对高的位阶
[00:18:39] 所以大家去找市场中
[00:18:41] 一些比较低估的东西
[00:18:42] 去做拉抬
[00:18:43] 这是有机会
[00:18:44] 但我们确实在
[00:18:44] 世界先进的一些
[00:18:45] 资料里面有注意到说
[00:18:47] 据说他一些新建的厂房
[00:18:48] 他的那个产能
[00:18:50] 竟然是卖光的啦
[00:18:51] 他的那个驾动率
[00:18:52] 可能都是跑得还蛮不错的
[00:18:53] 那你听到产业大哥
[00:18:54] 跟我分享说
[00:18:54] 当然我们就不去讲
[00:18:56] 是哪一家公司
[00:18:57] 反正就是呢
[00:18:57] 有海外的客人
[00:18:58] 要跟他包他的产能
[00:19:00] 然后刚才讲说
[00:19:01] 我可以给你一个premium
[00:19:02] 我直接先给你一个涨价啦
[00:19:03] 那如果说你可以接受的话
[00:19:04] 我们下去把约签起来
[00:19:05] 那对方竟然刚才讲说
[00:19:07] 我们不要去签这个月
[00:19:08] 这什么意思
[00:19:09] 这代表说
[00:19:09] 他可能对于行情的预期
[00:19:11] 是还蛮好的
[00:19:11] 所以有时候真的
[00:19:13] 行情会在大家都
[00:19:14] 无法想象的时间点发生
[00:19:16] 所以即便我们知道说
[00:19:17] 我们现在看到的一些
[00:19:18] 终端end point的forecast
[00:19:20] 那数字不是太好
[00:19:21] 但如果说供应链这些东西
[00:19:23] 真的就提早跑起来的话
[00:19:24] 那如果在上集所提到的
[00:19:27] 我上集是讲说
[00:19:27] 我把这些东西放在tier2
[00:19:28] 那现在tier1的东西
[00:19:29] 其实都在喷得好好的
[00:19:30] 所以如果tier1的东西
[00:19:32] 开始软屌的话
[00:19:32] 那我可能就会选择
[00:19:33] 去找一些tier2的东西
[00:19:34] 那知道可能没有东西
[00:19:35] 可以找的话那就知道说
[00:19:36] 那可能盘就要进入一个休息
[00:19:38] 所以不排除
[00:19:39] 现在就只是一个
[00:19:40] 因为盘真的很好
[00:19:41] 所以大家就去找
[00:19:42] 其他东西拉抬
[00:19:43] 特别是像最近的光通
[00:19:44] 可能开始出现一些回档
[00:19:45] 所以一些资金出来
[00:19:46] 或甚至像记忆体
[00:19:47] 即便其实你现在注意到
[00:19:49] 像是美国
[00:19:50] 或是其他地方的记忆体
[00:19:51] 很多段很厚
[00:19:51] 但台湾的记忆体
[00:19:52] 就感觉好像
[00:19:53] 有点没力了
[00:19:54] 有点类似说
[00:19:55] 我觉得像以前的那个京剧吧
[00:19:56] 就大家都知道它很好
[00:19:57] 可是可能上面车上的人
[00:19:58] 真的太多了
[00:19:59] 所以它就是必须要去盘整
[00:20:00] 一段时间之后
[00:20:01] 才要去做表态之类的
[00:20:02] 那有些资金就退出
[00:20:03] 就跑去别的地方
[00:20:04] 所以有可能是这样
[00:20:05] 就他们去退到一些
[00:20:06] 他们觉得是安全
[00:20:07] 或说舒服的地方
[00:20:08] 一些可能
[00:20:09] 甚至连工业电脑
[00:20:10] 蛮多都在涨
[00:20:10] 那只是你说
[00:20:11] 是不是工业电脑
[00:20:12] 有什么大故事
[00:20:12] 或是说是不是P-MIC
[00:20:13] 是不是什么
[00:20:14] 消费性有什么大故事
[00:20:15] 老实讲一下
[00:20:16] 真的还没有看到
[00:20:17] 那当然你有看到的听众
[00:20:18] 欢迎跟我分享
[00:20:19] 你跟我分享说什么
[00:20:19] HP还是DAO
[00:20:20] 他们的什么消费性
[00:20:21] 突然间什么
[00:20:22] 大拉Forecast
[00:20:23] 那听到这个
[00:20:24] 我当然也觉得非常好
[00:20:25] 因为就代表
[00:20:26] 市场有更多的故事
[00:20:27] 可是我们家
[00:20:28] 其实是没有看到
[00:20:29] 所以还是会认为说
[00:20:29] 可能比较偏向是一个
[00:20:30] 他不是有需求
[00:20:32] 去driven的东西
[00:20:33] 他是比较偏向
[00:20:34] 像是一些结构性的原因
[00:20:36] 去驱动的东西
[00:20:37] 那这个像一些市场前辈
[00:20:39] 他们也蛮常去提醒
[00:20:40] 我们这一件事情
[00:20:41] 就是到底
[00:20:42] 一个东西的涨价
[00:20:44] 跟拉货
[00:20:45] 他是因为需求
[00:20:46] 还是他是因为
[00:20:47] 成本端的问题
[00:20:48] 那这个大家要去思考一下
[00:20:49] 就如果是需求的话
[00:20:50] 那他就是比较偏向是
[00:20:52] 可能上前或上上前
[00:20:54] 如果说他只是一个
[00:20:55] 结构性的问题
[00:20:55] 或者说成本的关系
[00:20:57] 推动的涨价的话
[00:20:58] 那可能就没有这么好
[00:20:59] 所以大概是这样
[00:21:01] 去评论一下
[00:21:02] 但我们还是相信说
[00:21:03] 就是有机会东西
[00:21:04] 都会轮来轮去
[00:21:04] 所以现在可能
[00:21:06] AI的东西跑得非常好
[00:21:07] 然后后面可能就跑回去
[00:21:08] 一些consumer auto
[00:21:09] 或者说industry的东西
[00:21:10] 这个我们后面
[00:21:11] 可以再来观察看看
[00:21:12] 那最近市场上
[00:21:14] 有一个东西
[00:21:14] 也是引起蛮多人的讨论
[00:21:15] 除了说
[00:21:16] 大家都知道说
[00:21:16] 像他是晴天收散
[00:21:18] 就是不让大家
[00:21:18] 去做更多的融资
[00:21:20] 那其实我最近
[00:21:20] 有去新开一些户头
[00:21:21] 有遇到类似的状况
[00:21:22] 那我的音乐人
[00:21:23] 就跟我讲说
[00:21:24] 如果你在晚一点开的话
[00:21:25] 这个额度甚至连拿都拿不到
[00:21:27] 这个不是你的什么财力
[00:21:29] 或者说你的交易量
[00:21:30] 可以去决定的东西
[00:21:31] 是他真的就已经
[00:21:32] 没有额度可以放给你了
[00:21:33] 然后再来就是
[00:21:33] 像我自己的一些抵押账号
[00:21:36] 那他的利率呢
[00:21:37] 也被调升了
[00:21:37] 我以前都是拿2点多
[00:21:38] 那已经有
[00:21:39] 券商是跟我讲说要调3
[00:21:41] 当然低的还是有在
[00:21:42] 2.3 2.5之间
[00:21:44] 可是已经有些要
[00:21:45] 强迫
[00:21:45] 就是说要往上调
[00:21:46] 他说真的没有办法
[00:21:47] 就即便可能我们是好朋友
[00:21:49] 但没有办法
[00:21:50] 我们公司就这样跟我们讲
[00:21:51] 有注意到一些这种资金面的状况产生
[00:21:55] 那有些人会去讨论说
[00:21:56] 这个资金面的东西
[00:21:57] 会不会去影响到后续的市场
[00:21:58] 我个人是觉得说
[00:22:00] 应该是还好
[00:22:01] 应该是还好
[00:22:02] 那甚至
[00:22:03] 我本来是认为说
[00:22:04] 这可能在里面
[00:22:05] 是有很多杠杆的意思
[00:22:06] 但我后来想通过一件事情
[00:22:07] 是
[00:22:07] 现在其实市场是在4万多点
[00:22:09] 所以
[00:22:09] 你要想这个券商
[00:22:11] 他们有一个
[00:22:12] 那是什么
[00:22:13] 市足率这些东西吧
[00:22:14] 反正就是
[00:22:14] 他是要用你的资本来
[00:22:16] 去算说
[00:22:16] 你可以借出多少钱
[00:22:17] 但是问题是
[00:22:18] 市值都变贵了一倍
[00:22:19] 所以其实他不一定是
[00:22:22] 让大家的杠杆变大了
[00:22:24] 他只是说
[00:22:24] 就是说那个上限是遇到
[00:22:26] 什么意思
[00:22:26] 我拿到自己做的举例
[00:22:27] 我假设去开杠杆的话
[00:22:29] 我目前最多就是会开到
[00:22:31] 大概就是1.5到1.6倍
[00:22:33] 我也没有办法再多开
[00:22:33] 多开的话
[00:22:34] 可能那个流动性
[00:22:35] 我自己也没有办法
[00:22:36] 去找到可以对应的东西吃下
[00:22:38] 除非我全部都买台积电
[00:22:39] 联发科这种超大的股票
[00:22:40] 那所以
[00:22:41] 以我的案例呢
[00:22:42] 就是我可以开到1.6
[00:22:43] 但我现在没有办法
[00:22:44] 开到1.6
[00:22:44] 为什么
[00:22:45] 因为有些券商跟我讲说
[00:22:46] 这个额度
[00:22:47] 我没有办法开给你
[00:22:47] 即便我有这么多的单薄品
[00:22:49] 我是可以放进去
[00:22:49] 然后可以
[00:22:50] 从1.3到1.6
[00:22:51] 你可能再多借我个
[00:22:53] 几千几亿之类的
[00:22:53] 但是大家只跟我讲说
[00:22:54] 我没有这么多钱可以借你
[00:22:55] 所以其实在我的角度是
[00:22:57] 我等于被迫这样杠杆了
[00:22:58] 就是大家会听到说
[00:23:00] 这些券商的额度被拿光
[00:23:02] 然后想象成是
[00:23:02] 好像每个人都把杠杆开高
[00:23:04] 其实我第一个印象是这样
[00:23:05] 但后来
[00:23:05] 我用我自己的角度去套
[00:23:07] 我就知道了嘛
[00:23:07] 其实我还是可以借更多钱的
[00:23:09] 那只是
[00:23:09] 你现在不让我借了
[00:23:11] 你把我锁住了
[00:23:12] 你跟我讲说
[00:23:13] 现在我们要去控制
[00:23:14] 所以可能就是说
[00:23:15] 参与的人也变多了
[00:23:16] 所以大家把这个额度分掉
[00:23:18] 可是对于一些
[00:23:19] 特定的大户
[00:23:20] 或是一些那种动能者来讲
[00:23:21] 它不一定代表
[00:23:22] 它可以去开更高的杠杆
[00:23:23] 然后进入一个更疯狂的局面
[00:23:25] 因为它其实是被cap掉
[00:23:26] 它上线是被cap掉
[00:23:27] 所以资金面的影响
[00:23:29] 在最近也开始出现一些
[00:23:31] 蛮多的讨论
[00:23:31] 像台股的一些大型的股票
[00:23:34] 其中一档受害股
[00:23:35] 就受害刚才前面的
[00:23:36] NVIDIA可能要去改材料的
[00:23:38] 那个是很大的一个股票
[00:23:40] 那个是我们把它称为是大票的
[00:23:41] 就它是几千亿cap的东西
[00:23:42] 结果骂它连续跌停
[00:23:44] 然后直接进处置
[00:23:45] 另外一档像联发科
[00:23:47] 当然两样钱
[00:23:48] 它是连续涨停
[00:23:48] 然后涨到进处置
[00:23:49] 其实我们就有听说
[00:23:50] 这个是有蛮多外资法人
[00:23:52] 或是一些大买房在那边干
[00:23:54] 然后去找立委
[00:23:54] 然后打电话进去骂人
[00:23:55] 就说你不可以乱处置东西
[00:23:58] 你让处置那么大的票
[00:23:59] 这不是什么小鬼谷
[00:24:01] 这个是大票的东西
[00:24:03] 你把流动性给抽掉的话
[00:24:05] 你今天抽掉了一个发哥
[00:24:07] 然后你抽掉了一个什么散热场
[00:24:08] 那你之后如果
[00:24:09] 有一天假如台积电
[00:24:10] 变标股
[00:24:11] 你把台积电流动性抽掉
[00:24:12] 那这市场还要玩吗
[00:24:13] 所以就是开始有看到
[00:24:15] 一些报道不是在讨论说
[00:24:16] 他们会去确认
[00:24:17] 到底处置或是说警告股
[00:24:20] 是不是有可能
[00:24:20] 那个机制可以做调整
[00:24:21] 我在想
[00:24:22] 这以我们国家政府的一个思维
[00:24:24] 他一定不会想要说
[00:24:25] 那我们干脆就把整个
[00:24:26] 限制一拔掉
[00:24:27] 他应该就是
[00:24:27] OK那以后可能
[00:24:28] 市值多大的东西
[00:24:30] 我们就不会去做限制
[00:24:31] 因为我们相信说
[00:24:31] 在里面的这个价格
[00:24:33] 是更加理性的
[00:24:35] 它不会像一些
[00:24:35] 那种小型的股票
[00:24:36] 有可能是有些人
[00:24:37] 他狂买
[00:24:37] 或者说恶意炒作
[00:24:38] 然后把它弄上去
[00:24:39] 那所以我需要去
[00:24:40] 把你放进去
[00:24:41] 助育股或储置股里面
[00:24:42] 去把你降稳
[00:24:43] 那所以呢
[00:24:44] 这个其实在最近市场上
[00:24:45] 也有人在讨论
[00:24:45] 这些大型的股票
[00:24:46] 当它流动性被抽掉的时候
[00:24:48] 会不会后面
[00:24:49] 会产生一些问题
[00:24:50] 那一些法人
[00:24:51] 也开始在思考说
[00:24:52] 就来说一些那种散热厂
[00:24:53] 它的市值是几千亿的市值
[00:24:55] 结果它竟然可以
[00:24:56] 就跌到没有流动性
[00:24:57] 因为可能涨跌停机制的关系
[00:24:59] 然后因为储置的关系
[00:25:01] 那这其实对大家来说
[00:25:02] 是很害怕
[00:25:02] 简单讲就是说
[00:25:03] 其实大家都不怕赔
[00:25:04] 你知道赔钱在市场里面
[00:25:06] 是兵家常事
[00:25:07] 每个人都会赚钱
[00:25:08] 每个人都会赔钱
[00:25:09] 但问题是
[00:25:10] 你让我连出都出不掉的话
[00:25:11] 是很恐怖的事情
[00:25:12] 所以某个程度上
[00:25:13] 其实有蛮多人会喜欢
[00:25:14] 像美股这样的机制
[00:25:16] 它可能可以一天就跌掉
[00:25:17] 12% 30%这样
[00:25:18] 但至少你都是可以跑的
[00:25:19] 你要走都是可以走的
[00:25:21] 可是在台湾
[00:25:22] 就是有时候会关厕所
[00:25:23] 像那时候在
[00:25:23] 关税小版本事件
[00:25:25] 那时候就真的是蛮恐怖的
[00:25:26] 因为当时帮大家
[00:25:28] 快速回忆一下
[00:25:29] 那时候大家都会讲说
[00:25:30] 你要尽量进去一些热门股
[00:25:32] 就是这些有共识的股票
[00:25:33] 那个流动性还大
[00:25:34] 那个才安全
[00:25:35] 其实那时候真的
[00:25:36] 大家是这样想
[00:25:37] 可是后来为什么
[00:25:37] 很多人想法改变
[00:25:38] 就是因为越涌挤的地方
[00:25:40] 挤了越多的杠杆
[00:25:41] 然后这很多的杠杆
[00:25:42] 在跌停之后
[00:25:43] 它变成说
[00:25:44] 它跌停跌第一根
[00:25:46] 可能还可以扛
[00:25:46] 到第二根没有办法
[00:25:47] 它就要被断头了
[00:25:48] 那它断头就会出现
[00:25:50] 新一波的卖压
[00:25:51] 那就变成说
[00:25:52] 因为本来就已经没有人在接
[00:25:53] 它就必须再锁一根跌停之后
[00:25:55] 所以越锁越多根
[00:25:56] 那会出现一些连锁反应
[00:25:57] 所以我觉得像这波
[00:25:59] 一些大股票
[00:25:59] 然后导致大家去讨论说
[00:26:01] 这个机制会不会有机会
[00:26:02] 要去做一些调整
[00:26:03] 我认为是好的
[00:26:04] 就对于后面的
[00:26:05] 整体市场的健全程度
[00:26:07] 都会是一个更好的方向
[00:26:08] 所以最近市场上的
[00:26:10] 最主要的议题
[00:26:12] 大概就是这些
[00:26:12] 总之我觉得
[00:26:13] 在接下来的关注重点
[00:26:15] 那一些讲到烂调的
[00:26:17] 就不需要再说了
[00:26:17] 就是CPU从可能
[00:26:19] 本来1比8
[00:26:19] 然后1比4 1比2
[00:26:20] 然后所导致的一些
[00:26:21] 后续的影响
[00:26:22] 不管是可能Socket的一些
[00:26:24] 可能不管是BMC晶片
[00:26:26] 然后或者是CPU的本身
[00:26:27] 记忆体的相关的应用
[00:26:29] 然后再来到
[00:26:30] 其实被动元件
[00:26:30] 大概注意到说
[00:26:31] 终于全部都喷发了
[00:26:33] 那当然已经喷发出去
[00:26:34] 我们就不用再去做
[00:26:35] 过多多描述
[00:26:36] 只是可以稍微的注意一下
[00:26:37] 就是大家都只看到
[00:26:38] 这个MLCC
[00:26:39] 可是如果你今天
[00:26:40] 有去注意到
[00:26:41] 日本的几档股票
[00:26:42] 像是Nichicon
[00:26:42] 或是Nippon Chemical
[00:26:44] 这个其实是电容的股票
[00:26:46] 电容的股票也表现很好
[00:26:47] 然后像美股这边的VShare
[00:26:49] 或者说VPG
[00:26:50] 这两家都表现很好
[00:26:51] 所以被动元件
[00:26:52] 理论上
[00:26:53] 就是如果我们用产业
[00:26:54] 跟基本面的角度来说的话
[00:26:55] 我们知道说它就是要缺
[00:26:57] 因为现在我们看到
[00:26:59] 这个需求是非常庞大
[00:27:00] 但是问题是
[00:27:00] 其实大家本来的假设
[00:27:02] 是认为说
[00:27:03] 它大概会在
[00:27:04] 2026的下班到27之间
[00:27:06] 才会发生
[00:27:07] 那瞎看起来是提早去做动
[00:27:09] 只是它有可能会
[00:27:10] 类似记忆体那样
[00:27:11] 不排除
[00:27:12] 就是说可能前面
[00:27:13] 先稍微动一小坡
[00:27:14] 然后休息一阵子
[00:27:15] 然后记得才是一坡
[00:27:16] 真正的
[00:27:16] 我会这样去做假设
[00:27:17] 可是当所有东西
[00:27:18] 都提早动起来的话
[00:27:19] 那有可能就是
[00:27:20] 要提早去做发生
[00:27:21] 那目前看起来就是
[00:27:22] 除了这个MLCC
[00:27:24] 陶瓷电容
[00:27:25] 大家都知道之外
[00:27:26] 然后像谈电
[00:27:27] 大家也都知道
[00:27:27] 以前我都念什么
[00:27:29] 淡电 达电
[00:27:30] 因为我不会念
[00:27:30] 因为我们都是看文字
[00:27:32] 所以都是有听众跟我讲
[00:27:34] 才知道
[00:27:34] 对 淡电
[00:27:35] 那这个铝电容
[00:27:37] 或者说电感
[00:27:38] 其实后面都是可以
[00:27:39] 稍微的关注一下
[00:27:40] 甚至是电阻
[00:27:41] 电阻可能都可以
[00:27:42] 稍微的去看一下
[00:27:43] 所以题材都差不多了
[00:27:46] 我觉得没有什么好聊的
[00:27:47] 反正下的行情
[00:27:48] 老实讲
[00:27:48] 你去做过多的基本面分析
[00:27:50] 是没有意义的
[00:27:51] 因为反正就是一直喷
[00:27:52] 它就是一个估值上修
[00:27:54] 外加一些涨价连锁
[00:27:56] 一直去疯狂的喷射
[00:27:57] 反而去研究一些新的领域
[00:27:59] 可能比较有趣
[00:28:00] 所以像我自己会
[00:28:01] 比较想去关注说
[00:28:02] 是不是消费性这边
[00:28:03] 或者这些成熟制程
[00:28:04] 有一些机会
[00:28:05] 其实我们一直都知道说
[00:28:06] 在世界前景
[00:28:07] 我记得那时候
[00:28:08] 它法售开完
[00:28:08] 我们就有跟大家聊到说
[00:28:10] 其实看起来
[00:28:11] 它的状况不错
[00:28:11] 因为它其实是拿到
[00:28:12] TSM的一个
[00:28:13] 怎样讲就是计转
[00:28:14] 东西放在它这里
[00:28:15] 所以它不会太长
[00:28:16] 只是连电都喷上去
[00:28:18] 这个我就是有一点意外
[00:28:19] 所以当整个族群
[00:28:21] 有跑起来的时候
[00:28:22] 就类似我们那时候
[00:28:23] 去锁定到
[00:28:23] 可能不管是CPU
[00:28:24] 或前面的一个记忆体
[00:28:25] 其实都是先看到
[00:28:27] 一个族群性起来
[00:28:28] 然后接着我们去做研究
[00:28:29] 对的话
[00:28:30] 那就可能就可以
[00:28:30] 把这个筹码推进去
[00:28:32] 所以像我自己家
[00:28:33] 可能会比较倾向去研究
[00:28:34] 这一类相关的东西
[00:28:36] 所以就可能像
[00:28:37] 我自己身边大哥讲的
[00:28:38] 说不定这根本就不是
[00:28:39] 一个recovery的故事
[00:28:40] 或者说
[00:28:41] 什么消费性要给什么惊喜
[00:28:43] 而是就市场上的人
[00:28:44] 想法可能也是类似这样子
[00:28:45] 一堆那种高在天上的
[00:28:47] 我不敢买了
[00:28:48] 那我不如去买一些
[00:28:48] 看起来像是复苏的东西
[00:28:50] 本来至少它便宜
[00:28:51] 至少它躺在那边
[00:28:52] 所以它有可能
[00:28:53] 就当大家可能
[00:28:54] 自信冲进去之后
[00:28:54] 就再次给你一些大回答
[00:28:56] 但我觉得往这个方向看
[00:28:57] 可能是还OK的
[00:28:58] 先稍微的关注看看
[00:28:59] 然后后面有什么样的发现
[00:29:00] 再跟大家分享
[00:29:01] 大概这样
[00:29:02] 好那这一部分
[00:29:03] 在我们接下来的一部分
[00:29:03] 第一位
[00:29:04] 师偷叫做九桃
[00:29:05] 有超过八行吗
[00:29:06] 梦公主干
[00:29:07] 你好
[00:29:07] 我已经30岁了
[00:29:08] 我的父母很爱吵架
[00:29:09] 即使到长大
[00:29:10] 听到争吵声温的声音
[00:29:12] 还是会不由自主的害怕
[00:29:13] 可以请教怎么做吗
[00:29:14] 我真的很怕
[00:29:15] 妈妈气到昏倒
[00:29:16] 或者是爸爸忽然不想忍了
[00:29:18] 让事情变得更糟糕
[00:29:19] 那另外也请您
[00:29:20] 帮我跟面后面的
[00:29:22] 观音大佬说
[00:29:23] 祝我可以早日脱离单身
[00:29:24] 找一个理想的男友
[00:29:26] 共创一个可以理性沟通
[00:29:27] 不大好大叫的家庭
[00:29:28] 祝梦公一家身体会被卡掉
[00:29:30] 不是啊
[00:29:31] 观音大佬的辖区范围
[00:29:33] 应该没有算在这里
[00:29:34] 你应该是要去找
[00:29:36] 辖海城隍庙
[00:29:37] 要找对地方
[00:29:38] 但还是希望
[00:29:40] 这个观音可以保佑一下
[00:29:41] 然后再来讲说
[00:29:42] 听到父母争吵声音
[00:29:44] 其实我小时候也是在一个
[00:29:45] 充满争吵的环境长大
[00:29:46] 我爸个性是比较急躁一点
[00:29:48] 我妈的个性
[00:29:50] 就是比较冷酷
[00:29:51] 有时候会偏酸
[00:29:52] 所以有时候在
[00:29:54] 他们两个的一个互动之间
[00:29:55] 我也会觉得
[00:29:56] 有一点受伤
[00:29:57] 甚至我长大之后
[00:29:58] 我现在有时候听到
[00:29:59] 我爸爸讲话稍微大声一点
[00:30:01] 或者说
[00:30:01] 我甚至只要听到
[00:30:02] 他们在讲话的声音
[00:30:04] 我就会开始有一点紧张
[00:30:05] 或甚至是会
[00:30:06] 怎么形容就会生气
[00:30:08] 你就突然间会有
[00:30:09] 那个情绪上来
[00:30:10] 那我也是后来还知道说
[00:30:11] 可能就是你家里
[00:30:11] 以前会吵架
[00:30:12] 就是这样
[00:30:13] 当然吵架不代表说
[00:30:14] 家里的感情不好
[00:30:14] 有时候那就是一种
[00:30:15] 互动的模式之类的
[00:30:17] 我其实仔细看
[00:30:18] 我们苗栗的很多家庭
[00:30:19] 我姑姑家
[00:30:20] 爸家什么的
[00:30:21] 大家都在互干
[00:30:22] 整天都在互干
[00:30:23] 基本上就是说
[00:30:24] 个性就是
[00:30:25] 甚至某个程度上
[00:30:26] 是有点互补
[00:30:27] 所以就一个锅一个盖
[00:30:28] 我妈就是比较神经大条
[00:30:30] 她有时候有些事情
[00:30:31] 就真的
[00:30:31] 像你觉得说
[00:30:32] 你把婴儿交给她
[00:30:33] 你下一秒钟看到她
[00:30:34] 她把婴儿在
[00:30:35] 瑜伽球上面弹跳
[00:30:36] 你刚才想说
[00:30:37] 不要用筷子喂婴儿
[00:30:38] 下一秒钟她偷看你一下
[00:30:39] 然后拿筷子喂婴儿
[00:30:40] 所以我爸就屌她
[00:30:41] 我爸骂又骂得很凶
[00:30:43] 我爸爸当然你说
[00:30:44] 这时候就代表说
[00:30:45] 他是一个比较震惊的人
[00:30:46] 他帮忙管秩序
[00:30:47] 可是有时候
[00:30:48] 一些很小的小事
[00:30:49] 他也会突然间发大脾气
[00:30:51] 其实我觉得到
[00:30:52] 我自己
[00:30:52] 我都还是有传承到
[00:30:53] 这样的一些特性
[00:30:54] 当然我不会整天在那边靠北
[00:30:55] 去怪说什么原生家庭
[00:30:57] 我知道自己要修正
[00:30:58] 但有时候我就会注意到说
[00:30:59] 像我们要下楼梯的时候
[00:31:01] 我老婆就拿着鞋子
[00:31:02] 然后到电梯里面穿
[00:31:03] 我说妈你有病
[00:31:04] 你刚才不要在家里穿
[00:31:05] 我常常说因为有太多时候
[00:31:06] 我如果动作太慢
[00:31:07] 你就会突然间跟我讲说
[00:31:08] 你不想出门了
[00:31:09] 我想说
[00:31:10] 这个应该不是脾气的问题
[00:31:11] 因为在我看来就是
[00:31:12] 我上一秒钟
[00:31:13] 我真的想出门
