[00:00:00] 欢迎收听古爱,我是顺目公,本期节目由知识卫星,企业财税必休克
[00:18:03] 对手买不到
[00:18:03] 我就问你
[00:18:04] 你的东西要怎么样做出来
[00:18:05] 所以接下来这些东西
[00:18:07] 可能在一些零组件上都会发生
[00:18:09] 就是在过去大家知道说
[00:18:10] 记忆体已经变成一个战略物资
[00:18:12] 就是记忆体我有抢到的
[00:18:13] 就代表说我东西做出来
[00:18:14] 那金圆代工是一个战略物资
[00:18:16] 这大家都知道
[00:18:16] 然后再来光通
[00:18:17] 开始有注意到一些包厂去投资
[00:18:20] 要去强一产能
[00:18:21] 那我觉得接下来会蔓延到更多的地方
[00:18:23] 可能在一些OSET
[00:18:24] 甚至是一些电零组件
[00:18:25] 都会有这样子的情形
[00:18:26] 反正因为我已经知道说
[00:18:28] 我只要东西做出来
[00:18:28] 我就是可以赚钱
[00:18:29] 因为Enthropic
[00:18:30] 那因为Colossus 1
[00:18:31] 已经演给大家看了
[00:18:32] 那我们就是会全力
[00:18:34] 往这个方向去推进
[00:18:35] 我只要可以卡到一些关键的原料
[00:18:37] 一些关键的生产环节
[00:18:38] 代表我就把我的对手挤出去了
[00:18:40] 这个应该是后面
[00:18:40] 可以关注的一些重点
[00:18:43] 那接下来呢
[00:18:43] 一样就是因为
[00:18:44] 大家已经是无庸置疑了
[00:18:46] 前面讲可能还蛮多人不信
[00:18:47] 或是觉得怪怪的
[00:18:49] 那下被动元件
[00:18:49] 就是市场中的一个核心
[00:18:50] 那当然我们是不习惯
[00:18:52] 在这个上涨之后
[00:18:53] 然后开始去做狂吹吊吹的
[00:18:55] 那一种特性
[00:18:56] 这个老听众应该都知道
[00:18:57] 但是我们会持续的去update一下
[00:18:59] 最新的一些状况
[00:19:00] 那其实在这个礼拜
[00:19:01] 有一些公司新的动态出来
[00:19:04] 像据说台湾有一些高压MLCC的厂商
[00:19:06] 蛮有趣的
[00:19:07] 他竟然在他的
[00:19:08] 这个对外的说法里面表示
[00:19:10] 他们目前是没有涨价
[00:19:11] 但他们不排除
[00:19:12] 会跟着业界的领头羊一起涨价
[00:19:14] 那看到这个消息
[00:19:15] 其实在前一天
[00:19:16] 身边有玩偷朋友讲说
[00:19:17] 干他开法会
[00:19:18] 靠北怎么会说自己没有涨价
[00:19:20] 因为你未来会涨就好了
[00:19:21] 那应该就是聚焦在未来的东西
[00:19:23] 就他算是蛮老实的跟大家讲说
[00:19:24] 我们目前可能还没有看到
[00:19:26] 这个全线涨价的一个状态
[00:19:27] 就我们要隔天照样涨停
[00:19:29] 非常的凶猛
[00:19:30] 这个是超出我们身边蛮多人的想象
[00:19:32] 那因为现在被动人间是全面喷射
[00:19:34] 然后不管说是什么MLCC
[00:19:36] 铝电容
[00:19:37] 然后或者是一些电感
[00:19:38] 甚至是我们之前
[00:19:39] 没有这么看到的电阻
[00:19:40] 然后一些通路商
[00:19:41] 全部都在涨停
[00:19:42] 那当然这之中
[00:19:43] 当然一部分你去看它
[00:19:45] 可以去视为说
[00:19:46] 就是一个发财的大潮
[00:19:47] 但是一部分
[00:19:48] 像我们自己稍微
[00:19:50] 怎么讲
[00:19:50] 鸡婆三八的人
[00:19:51] 虽然我们前面就一直在讲说
[00:19:52] 这个东西很好
[00:19:53] 可是就起来之后
[00:19:54] 也不是说故意要对坐
[00:19:55] 只是会稍微去注意一下
[00:19:57] 就还是要去
[00:19:57] 我觉得至少在心中
[00:19:59] 就是在大喷的时候
[00:20:00] 你不用想太多
[00:20:01] 反正就看着现行
[00:20:01] 你去搞就可以了
[00:20:02] 只是在一些回档出来之后
[00:20:05] 假设有第二波第三波进攻的话
[00:20:07] 我们还是会尽可能的
[00:20:09] 就以我自己的角度
[00:20:09] 会去锁定那一些
[00:20:11] 我知道在市场上面
[00:20:12] 目前真的是bottleneck
[00:20:13] 真的是最缺
[00:20:14] 真的是有供需失衡的东西
[00:20:16] 所以像是什么
[00:20:17] 后来有听众跟我讲
[00:20:18] 怎么样发言
[00:20:19] 那个念47Mi
[00:20:20] 就念Mi就好了
[00:20:21] 反正就是被动人间的料号
[00:20:23] 47Mi 22Mi
[00:20:24] 它开始有一些
[00:20:25] 47Mi是已经是缺到爆炸了
[00:20:27] 那个不用讲了
[00:20:28] 就是在春田跟Synco这边
[00:20:30] 那在22Mi
[00:20:31] 可能有这样的一个情形
[00:20:32] 然后再来就是一些高压的MLCC
[00:20:34] 这个就是因为在未来的一个
[00:20:36] Data Center的建置上面
[00:20:37] 它的功耗是非常大的
[00:20:39] 所以Power Rack的用量也会变大
[00:20:41] 这也是带动的
[00:20:42] 就除了一下
[00:20:42] 你看到变动元件
[00:20:43] 大家应该也注意到
[00:20:44] 功率元件的表现都变好
[00:20:45] 因为就是跟
[00:20:46] 反正在VRubin换代之后
[00:20:48] 其他的业者
[00:20:49] 不然像前面讲的Google
[00:20:50] 大家的Power用量越来越大
[00:20:51] 大家的功耗越来越大
[00:20:53] 那相对的这些元件
[00:20:54] 它也都是会用的越来越多
[00:20:56] 越来越好
[00:20:56] 规格会提升
[00:20:57] 价格会变好
[00:20:58] 那所以除了这些高压的MLCC之外
[00:21:00] 一些功率元件
[00:21:01] 功率半导体
[00:21:02] 其实在未来都是有可能被AI的一些
[00:21:05] 它严格上来说
[00:21:06] 怎么样
[00:21:06] 就大家会讲AI的主题材
[00:21:08] 都在讲说
[00:21:09] 像NVIDIA的VRubin
[00:21:10] 它的板子上面
[00:21:11] 它的Strada
[00:21:12] 或者说UBB上面用了什么东西
[00:21:14] 可是有些不一定是用在这些
[00:21:15] 就是大家会想去
[00:21:16] 非常专注的
[00:21:17] 它可能是隔壁的Power Rack
[00:21:19] 因为它现在
[00:21:19] 它整个机柜变得是高密度
[00:21:21] 所以那些Power的东西
[00:21:22] 它是拉出来放到隔壁的柜子里面
[00:21:23] 隔壁那个柜子里面
[00:21:24] 有很多赚钱的机会
[00:21:25] 这是我目前发现
[00:21:26] 隔壁的柜子里面
[00:21:27] 有很多东西
[00:21:28] 是目前市场上
[00:21:29] 未必有花很多精力去看的
[00:21:31] 包含说像一些被动颜件
[00:21:32] 为什么前面又被忽略
[00:21:33] 就是这样
[00:21:33] 因为大家可能没有想到说
[00:21:35] 原来隔壁那个Power柜
[00:21:36] 会用到这么多的东西
[00:21:37] 除了高压MLCC之外
[00:21:39] 然后再来就是
[00:21:40] 驴电龙
[00:21:41] 这个驴电龙我认为
[00:21:42] 因为在市场上面
[00:21:43] 它算是一个比较难懂的故事
[00:21:45] 因为MLCC2018炒过
[00:21:47] 所以大家都非常熟悉
[00:21:48] 大家都知道被动颜件
[00:21:49] 就等于是MLCC
[00:21:50] 但被动颜件不是只是
[00:21:51] 只有MLCC
[00:21:52] 驴电龙是目前在市场上面
[00:21:54] 就是有看到
[00:21:55] 也算是非常缺乏的东西
[00:21:56] 特别是像上次的
[00:21:58] 一些通路的法说都有提到
[00:22:00] 那个Snap In
[00:22:01] 他们讲的是什么
[00:22:02] 长条形
[00:22:02] 那个长条形
[00:22:03] Snap In的意思就是说
[00:22:04] 是牛角电龙
[00:22:04] 那牛角电龙
[00:22:05] 我们也在日商这边有看到
[00:22:07] 它的需求量是非常的庞大
[00:22:09] 那目前
[00:22:09] 其实以所有的厂商
[00:22:11] 加起来去供的话
[00:22:12] 那个产能都还是不够的
[00:22:14] 就是在电龙方面
[00:22:16] 驴电龙
[00:22:16] 它其实也是在市场里面
[00:22:18] 我觉得是比较少人看得懂
[00:22:20] 当然股价也都有喷出去
[00:22:21] 只是有时候会很好奇
[00:22:23] 就是说
[00:22:23] 奇怪
[00:22:24] 就是这个全球动很快
[00:22:25] 那台湾一些相对的
[00:22:26] 当然它有动
[00:22:27] 只是它应该要动更多
[00:22:28] 所以我后来跟自己身边
[00:22:29] 一些朋友在讨论的时候
[00:22:30] 我发现说
[00:22:31] 我们家庭一定会在吹毛求疵
[00:22:32] 就是因为整天都爱喷
[00:22:34] 可是有时候
[00:22:34] 可能其他涨停
[00:22:35] 那有些没涨停
[00:22:36] 想说那个没涨停的
[00:22:37] 它应该是最好的
[00:22:38] 为什么它没有涨停
[00:22:38] 但隔天可能又会涨停
[00:22:40] 然后换别人没有涨停
[00:22:41] 所以其实到这个阶段
[00:22:42] 我觉得不用太聚焦
[00:22:43] 就是短线的股价表现
[00:22:45] 因为反正全部都已经设出去了
[00:22:46] 那只是
[00:22:46] 因为后面一定
[00:22:47] 你就知道大部分的东西
[00:22:48] 就一定会出现回档
[00:22:49] 那回档之后的下一波
[00:22:51] 那其实我个人是认为说
[00:22:52] 像刚才前面讲的高压MLCC
[00:22:54] 最高阶的那些AI用的MLCC
[00:22:56] 然后或者是驴电容
[00:22:56] 一些SP cap
[00:22:58] 然后或者是一些牛角电容
[00:22:59] 这些东西其实本身
[00:23:00] 它是市场中
[00:23:01] 就是已经可以看到
[00:23:03] 因为这些AI的使用
[00:23:05] 或者说换代
[00:23:06] 然后又要更多功耗
[00:23:07] 一些非常烧电的晶片
[00:23:10] 或者说你目前可能要用
[00:23:11] 什么HVDC之类的
[00:23:13] 这些东西都会导致
[00:23:14] 这些元件的用量
[00:23:15] 都会变得很大
[00:23:16] 那他们可能就是
[00:23:17] 接下来
[00:23:18] 假设说这个题材会浓缩的话
[00:23:19] 那他们会是受贿的一个对象
[00:23:21] 所以我们整体来看的话
[00:23:22] 当然你注意到这种
[00:23:23] 全面起喷的行情
[00:23:24] 然后大家开始去做迷因的时候
[00:23:26] 一定有些东西
[00:23:27] 它是
[00:23:28] 我们不喜欢讲偏空的东西
[00:23:30] 但是就是一定有杂鱼
[00:23:31] 是一起被带上去的
[00:23:32] 然后那有些杂鱼被带上去
[00:23:33] 老实讲我们现在也不敢
[00:23:34] 直接去点名人家杂鱼
[00:23:36] 为什么因为很多时候会超出你的想象
[00:23:38] 就来说一些那种垃圾料
[00:23:39] 像以前我们大家都会讲说
[00:23:40] HBM是最好的吧
[00:23:42] 然后那DDR4 DDR3
[00:23:43] 那个很多是那种非烧的东西
[00:23:45] 就大家不一定用到
[00:23:45] 可是等到大家全部都往
[00:23:47] 最高端的方向去冲的时候
[00:23:48] 有时候那些低端的东西
[00:23:49] 它反而开始给你们疯狂涨价
[00:23:51] 类似说DDR4 DDR5
[00:23:53] 那个毛利数字跑赢HBM
[00:23:54] 你真的会吓到
[00:23:55] 就是大家都知道说HBM是最贵最好的
[00:23:57] 就没想到
[00:23:57] 你去卖一些那种Legacy的东西
[00:23:59] 它的价格下竟然变得是最甜的
[00:24:01] 所以这些剧本也是有可能会发生
[00:24:03] 那只是我们还是喜欢就是一步一步推过去
[00:24:05] 那我们从目前的一些
[00:24:07] 产能的压抑跟影响来说
[00:24:09] 我们知道最稳健的就是那些最缺的东西
[00:24:11] 那最缺的东西
[00:24:12] 它有可能也是会有比较好
[00:24:14] 有溢价权的东西
[00:24:15] 然后再来就是Second tier
[00:24:17] 就是大家为了去做那些最缺最好
[00:24:19] 价格最棒的东西
[00:24:20] 然后而导致他们放出来的东西
[00:24:22] 那放出来这些东西呢
[00:24:23] 即便可能目前外面的试况是不一定好的
[00:24:26] 但是一瞬间供需的失衡产生的话
[00:24:28] 那它可能价格也被带上去
[00:24:29] 那再来才是回到一些比较偏消费级等级的东西
[00:24:33] 因为你还是要考量在外面目前消费市场的状况
[00:24:36] 是没有这么好的
[00:24:37] 那所以呢
[00:24:38] 它有可能只是一个恐慌备货
[00:24:40] 就是说大家想要赶快把东西先买进来
[00:24:42] 因为注意到涨价已经发生了嘛
[00:24:44] 那可是等到恐慌备货告一个段落之后呢
[00:24:46] 因为你终究东西是要去找到消费者的嘛
[00:24:48] 那没有消费者的话可能就涨不上去
[00:24:50] 或甚至会开始出现一些回落
[00:24:52] 这是有机会的
[00:24:53] 那所以这个可能是在
[00:24:54] 就是假设下一波回档产生的话
[00:24:56] 那大家会去探讨这个话题
[00:24:58] 但是一般在这种全面大碰的时候
[00:25:00] whoo give a shit
[00:25:01] 反正就是大家都重新去乱买啊
[00:25:03] 然后开始做迷
[00:25:04] 这个是现在的一个状况
[00:25:05] 但是回档之后呢
[00:25:06] 大家就会很认真的去猜说
[00:25:07] 那谁是可能是真的受费
[00:25:09] 谁的营收数字是好的
[00:25:10] 那一般对我们来说啦
[00:25:11] 好像我们前面会去丢蛮多这种基本面连发
[00:25:14] 就是我们去分析一下哪一种电容啊
[00:25:17] 哪一种MLCC
[00:25:18] 那可是问题是
[00:25:19] 如果今天已经进入喷射的段
[00:25:21] 其实这时候就会比较试快一点
[00:25:23] 就是单纯直接看技术面
[00:25:24] 因为你可以想像是这样子
[00:25:25] 就是当之前可能有时候你在讲一些东西
[00:25:28] 然后大家还不认同
[00:25:29] 或是看不懂的时候
[00:25:31] 那这时候老实讲
[00:25:32] 你会花比较多的基本面的时间去做研究
[00:25:35] 然后去做推广
[00:25:36] 有时候我们自己买了
[00:25:37] 然后会推身边的朋友之类
[00:25:38] 现在比较少
[00:25:39] 比较不会做这种事
[00:25:40] 可是很多人会做类似这样的东西
[00:25:41] 那可是呢
[00:25:42] 如果今天是已经整个拉出去的话
[00:25:44] 其实基本面的研究
[00:25:46] 它变得是相对
[00:25:47] 我认为没有这么重要
[00:25:48] 当然你还是要看
[00:25:49] 这是没有这么重要
[00:25:50] 
[00:25:50] 因为市场上的钱
[00:25:51] 你不要把大家想的是笨蛋
[00:25:53] 就当大家把所有的注意力
[00:25:55] 都放在这个东西的时候
[00:25:56] 像现在中国这边在发生的事情是
[00:25:58] 他们正在高价的去找台湾的业内
[00:26:00] 然后去开专家会议
[00:26:01] 
[00:26:01] 因为他们也注意到这个东西不一样
[00:26:03] 像他们那个什么江海股份
[00:26:04] 最近也喷嘛
[00:26:05] 做电容的
[00:26:06] 那像礼拜五日本的Chemicon
[00:26:08] 就在喷了10几%
[00:26:09] 很恐怖
[00:26:10] 就是喷爆
[00:26:11] 所以大家都注意到这件事情
[00:26:12] 那他们就会去找各地的专家进来访问
[00:26:15] 然后问是到底发生什么事情
[00:26:16] 所以当大家都高效率的
[00:26:18] 在盯这个东西的时候
[00:26:19] 那他们的钱
[00:26:20] 就会直接去
[00:26:21] 你可以视为说
[00:26:22] 做出某一种表态
[00:26:23] 在他们研究之后的一个表态
[00:26:25] 所以像如果后面出现一些回档
[00:26:27] 然后接着再转抢的第一棒
[00:26:29] 一般来讲
[00:26:30] 那个就是资金已经去做了他的投票
[00:26:32] 像这种市场的一个共识
[00:26:34] 我们就会蛮相信的
[00:26:35] 所以这个就是一个基本面
[00:26:36] 跟技术面之间的一个切换
[00:26:38] 那其实就跟自己身边的一些前辈
[00:26:41] 前几天跟我私讯聊到
[00:26:42] 所讲到的一样
[00:26:43] 那东西拉出去之后
[00:26:44] 其实他已经不太在意
[00:26:46] 就是到底这些基本面的变化是怎么样
[00:26:48] 反正下就是直接看现行
[00:26:50] 直接看五日线十四件跌破
[00:26:51] 那是不是要加码要减码之类
[00:26:53] 会这样去看
[00:26:54] 所以这边稍微的跟大家简单分享一下
[00:26:56] 那总之呢
[00:26:57] 其实还是回到原本所说的
[00:26:59] 就是你知道这边会缺
[00:27:01] 你知道这边会出事
[00:27:02] 但理论上
[00:27:03] 其实应该是要在VRRubin换代的时候才会发生
[00:27:05] 但市场已经提早发现
[00:27:06] 所以大家提早先冲
[00:27:08] 那当然在过程之中
[00:27:09] 你不太确定说
[00:27:10] 就是因为真的缺的时间
[00:27:11] 会落在下半年的量产
[00:27:12] 特别是他会跟可能像GP300的
[00:27:14] 最大炒是重跌到的
[00:27:17] 所以有可能有一些拉货
[00:27:18] 就会导致这样的一个变化
[00:27:19] 那只是在过程之中
[00:27:20] 因为他还是有些空窗期的可能性
[00:27:22] 我们不确定这股价
[00:27:23] 会不会这样一路干过去
[00:27:24] 可是如果说没有的话
[00:27:25] 如果有些回檔的话
[00:27:26] 那可能还是要稍微的回一点
[00:27:27] 就是这个基本面的部分
[00:27:28] 你要知道哪些东西是真正缺的
[00:27:30] 哪些东西是跟风涨的
[00:27:32] 那跟风涨的
[00:27:33] 如果你又追很多的话
[00:27:34] 那就有机会会受伤
[00:27:35] 所以对
[00:27:36] 现在行情其实也没有什么好分析
[00:27:37] 反正就在前面
[00:27:38] 在回檔的时候
[00:27:39] 那其实老实讲
[00:27:40] 我们自己理论上
[00:27:41] 像在前几期跟大家讲
[00:27:42] 那个是我们会减码的地方
[00:27:43] 只是为什么这次没有减码
[00:27:44] 你也可以说是赛道
[00:27:45] 可是也可以说就是
[00:27:46] 就是不知道因为行情所致吧
[00:27:47] 因为太多东西都拉出成本
[00:27:48] 所以就是 who give a fuck
[00:27:50] 来我就放
[00:27:51] 
[00:27:51] 那我就看后面会怎么样
[00:27:52] 了不起你就杀回来一点
[00:27:53] 你杀多一点我再去砍
[00:27:55] 都没有关系
[00:27:56] 那因为这样子
[00:27:57] 其实真的蛮多人都是
[00:27:58] 凹过了这一次的这个下搜
[00:28:00] 其实是一开始是真的跌蛮多的
[00:28:01] 那直接又再创新高了
[00:28:03] 所以真的是一个非常恐怖
[00:28:05] 非常疯狂的行情
[00:28:06] 甚至最近身边朋友就在讨论说
[00:28:07] 会不会这波走完
[00:28:08] 然后台股接下来三到五年没有题材
[00:28:10] 不晓得
[00:28:11] 不知道
[00:28:12] 但是我们永远都是乐观的看未来
[00:28:13] 要大概这样
[00:28:14] 好那这一部分就在去Q的部分
[00:28:16] 第一位
[00:28:17] 嘿志明你看是faker
[00:28:18] 真的是他我没骗你
[00:28:19] 快快快的
[00:28:20] Karina和faker向你告白
[00:28:21] 老公选谁
[00:28:24] 主管机关说
[00:28:25] 处置制度是为了防范人为炒作
[00:28:27] 降低市场热度
[00:28:28] 并避免市场失序
[00:28:31] 那很好啊
[00:28:32] 8291绝对没有人炒作
[00:28:33] 谢谢处置制度
[00:28:34] 把我们当小孩保护
[00:28:35] 买到的新手股民搞不好还疑惑
[00:28:37] 挂好酸民的声音
[00:28:39] 为什么别人都开棒的柱撞
[00:28:40] 我的只有线
[00:28:41] 处置制度就是个笑话
[00:28:42] 白了位
[00:28:43] 开头没有选Lisa
[00:28:44] 她在你背后很火
[00:28:45] 我当然是选Lisa
[00:28:46] 我是选择这种白痴问题
[00:28:47] 我就不回答了
[00:28:48] 那再讲这个处置制度
[00:28:50] 其实老实讲
[00:28:51] 我以前也是蛮不爽处置制度的
[00:28:52] 但当我后来
[00:28:53] 在一些朋友的调教之下
[00:28:55] 大概知道处置制度要怎么搞之后
[00:28:57] 我现在是喜欢的
[00:28:58] 所以很像一个非洲的迷因
[00:29:00] 我不知道那是真的政治人物讲的
[00:29:01] 还是大家搞笑拍的影片
[00:29:03] 反正就说corruption is bad
[00:29:04] only when I'm not in it
[00:29:06] 就是当我进去corruption的一个体制
[00:29:08] 我可以跟着你撞到前来说
[00:29:09] corruption is great
[00:29:10] 我超爱corruption
[00:29:11] 当我可能没有办法去了解
[00:29:13] 处置股要玩什么的时候
[00:29:14] 马尔为什么要把我的东西流动性抽掉
[00:29:16] 像最近其实联发科跟建策
[00:29:19] 一个是上去一个是下去
[00:29:20] 但都是有处置
[00:29:21] 其实我了解
[00:29:23] 就是有蛮多法人都打电话去干人家
[00:29:25] 所以才会出新闻说
[00:29:26] 他们要去研你处置的制度
[00:29:27] 因为你这么大的票
[00:29:29] 一堆国际法人在买的
[00:29:30] 你竟然关人家厕所
[00:29:32] 那个其实让超多人很不爽
[00:29:33] 那一般可能小散户去讲
[00:29:35] 就没有人要屌你
[00:29:36] 可是这些大外资去讲
[00:29:37] 可能就有用
[00:29:38] 所以说不定后面
[00:29:39] 真的会去调出一些新的东西
[00:29:41] 那我目前对于这个机制的想法是中性
[00:29:44] 以前我也是很不喜欢
[00:29:45] 那现在是中性
[00:29:46] 甚至有时候会
[00:29:47] 当然你知道怎么样玩体制的时候
[00:29:49] OK
[00:29:50] 这个处置可能也是蛮不错的一个东西
[00:29:52] 下面有位
[00:29:53] 圆林江江
[00:29:54] 和美晨舞生日快乐
[00:29:55] 孟公你好
[00:29:56] 我老公是每天台中通勤新竹上班的族客员工
[00:29:59] 每天来回路上
[00:30:00] 多亏有你的节目
[00:30:01] 还有你的spotify推荐歌单的陪伴
[00:30:03] 让他不无聊
[00:30:04] 5月23号是他的生日
[00:30:05] 希望你可以帮我祝
[00:30:06] 和美晨舞生日快乐
[00:30:07] 今年生日他想要打看看瘦瘦真
[00:30:09] 他说梦公也有在打
[00:30:10] 希望有效
[00:30:11] 那想对和美晨舞说
[00:30:12] 不管有没有瘦下来
[00:30:13] 老婆江江跟女儿都爱你
[00:30:15] 也祝孟公一家平安健康
[00:30:17] 好那我们祝和美晨舞
[00:30:19] 生日快乐
[00:30:20] 那在瘦瘦真
[00:30:21] 在我自己身上是发挥了很大的效用
[00:30:26] 就是配合医师的诊断
[00:30:27] 千万不要自己去买
[00:30:28] 来路不明的自己打
[00:30:29] 那反正打下去之后
[00:30:30] 那配合医师的说法
[00:30:32] 我觉得就是一定都是有办法
[00:30:33] 可以成功瘦身的
[00:30:35] 大家这样
[00:30:36] 下面有位PVENRT
[00:30:38] 世界末日
[00:30:39] 未来physical AI的
[00:30:40] 这才是真正的世界末日
[00:30:42] 多数人可以生活在有翠绿的草坪
[00:30:44] 且又大又漂亮的房子
[00:30:46] 过着无聊频繁的生活
[00:30:47] 却找不到工作
[00:30:48] 无所事事
[00:30:49] 特别是刚进入社会的新鲜人
[00:30:51] 那在公司里
[00:30:52] AI跟人的比例是1比0.5或更低
[00:30:54] 不只读大学没有意义
[00:30:55] 连生活都没有啥意思
[00:30:57] 我跟这位兄弟的看法是相反
[00:30:59] 其实我有想法跟
[00:31:01] 像是Jenson Huang
[00:31:02] 或是最近Jeff Bezos
[00:31:04] 也有接受访问
[00:31:05] 他讲说
[00:31:06] AI去取代工作的说法
[00:31:07] 他认为是不对的
[00:31:08] 他觉得是Elevate
[00:31:09] 他说以前像是拿shovel
[00:31:11] 拿铲子在挖土
[00:31:12] 加上你有一个Boldozer
[00:31:13] 可以挖土
[00:31:14] 那当然在这个影片下面
[00:31:15] 又有人留言说
[00:31:16] 就是因为你可以用
[00:31:17] Boldozer就挖土
[00:31:18] 那所以怎么样
[00:31:19] 所以我就不需要
[00:31:20] 这么多walkers了
[00:31:21] 我只要一个人开Boldozer
[00:31:22] 我就赢过可能10个人拿铲子
[00:31:24] 但这个说法
[00:31:25] 其实在当时电脑出来的时候
[00:31:27] 也是有一样的说法
[00:31:28] 电脑可以做这么多人工去
[00:31:30] 可能是算数学
[00:31:31] 或做什么有的没有的
[00:31:32] 未来是不是一堆人要死
[00:31:33] 
[00:31:33] 有电脑之后
[00:31:34] 你各位的生活是更加辛苦
[00:31:36] 更加的需要去花时间
[00:31:39] 在工作上面之类的
[00:31:40] 以我自己的角度
[00:31:41] 我也是这样跟大家说
[00:31:42] 我必须得说
[00:31:43] 目前在AI的使用上
[00:31:45] 不管是各路的模型
[00:31:46] 或是我最近非常推的
[00:31:48] Perplexity Computer
[00:31:49] 它真的改善了
[00:31:50] 我的生活工作非常多
[00:31:52] 但是我并没有因为这样工时下降
[00:31:54] 我工时反而上升了
[00:31:55] 我能够说
[00:31:56] 我的防守范围变得更大了
[00:31:57] 我可以做的事情是比以前更有效率数倍
[00:32:00] 可是我的工时是上升的
[00:32:01] 我相信这也是
[00:32:02] 后来大家会发现的一件事情
[00:32:03] 就是你在短期间看到
[00:32:05] 有些人被lay off
[00:32:06] 有些人失去工作什么的
[00:32:07] 但长期来看
[00:32:08] 我觉得大家可能会很意外的发现说
[00:32:10] 你的工作量是变大
[00:32:11] 这个应该是
[00:32:12] 很多实际上有在用AI的人
[00:32:13] 他们都会有类似的心得
[00:32:14] 所以不是像大家想象的一种
[00:32:16] 场景是大家都不用工作
[00:32:18] 什么Physical AI
[00:32:19] 或者说AI
[00:32:20] 它会取代掉很多人
[00:32:21] 没有
[00:32:22] 你还是会有很多事情可以做
[00:32:24] 我觉得是这样子
[00:32:25] 再来
[00:32:26] 不太可能有那种全民皆赴的状况产生
[00:32:29] 大家都可以在大草坪的世界
[00:32:31] 反而比较像是在做梦
[00:32:33] 在我的角度
[00:32:34] 我也是很看好Physical AI
[00:32:35] 我也是相信说
[00:32:36] 当这些机器人出来之后
[00:32:37] 你知道一些
[00:32:38] 可能在warehouse的一些工作
[00:32:39] 那个真的是很辛苦
[00:32:40] 那个真的是可能
[00:32:41] 正常人都不一定想要做的东西
[00:32:43] 可以让AI去做
[00:32:44] 可是这些人力都会被用到别的地方去
[00:32:46] 他一定还是会找到别的地方可以去工作
[00:32:48] 我都一直讲
[00:32:49] 下面一位
[00:32:50] 奈米小谷迷
[00:32:51] 五星好评吹吹
[00:32:52] 孟宫大大好
[00:32:53] 这边没有什么想说的
[00:32:54] 只想抱怨一下
[00:32:55] 原物料别再涨了
[00:32:56] 做船产水电工程
[00:32:57] 看到每个月一直上涨的同价
[00:32:59] 连加PVC都到报价一直涨
[00:33:02] 目前还压在自己的利润来留客户
[00:33:04] 下个月再涨就要受不了了
[00:33:05] 谢谢大家听完我的抱怨
[00:33:07] 那出梦工艺家平安顺利
[00:33:08] 安哥诺亚
[00:33:09] 平安长大爱您
[00:33:10] 对
[00:33:11] 对现在真的是一个非常恐怖的世界
[00:33:13] 那当然也是因为一些战争的disruption
[00:33:15] 所以我们是有看到一些原物料的价格
[00:33:17] 都还是持续的在做上涨
[00:33:19] 那后面等到一些
[00:33:21] 像甚至连这种Pasic Components
[00:33:23] 那他都用原物料去涨他的客人
[00:33:25] 那他顺利可以被涨价的话
[00:33:26] 搞不好上游的原物料又想说
[00:33:28] 我不演了我也在继续的涨价
[00:33:29] 所以说不定后面就真的会看到一个
[00:33:31] 那种蛮大的
[00:33:32] 就人家讲那种通膨循环的产生
[00:33:34] 其实真的是有机会看到
[00:33:35] 因为现在需求实在是太庞大了
[00:33:37] 那大家会说消费性不好
[00:33:38] 没错
[00:33:39] 但我们有就是我在联网上写到的
[00:33:41] CSP他们是开go glitch
[00:33:43] 然后在做这种采购
[00:33:44] 他不计代价在买的
[00:33:45] 所以他一个人就可以抵
[00:33:47] 不知道就是可能一万个消费者吧
[00:33:49] 那以这样的角度去算的话
[00:33:50] 你会知道说
[00:33:51] 就是后面这些东西在持续上涨的
[00:33:53] 几率是蛮高的
[00:33:54] 就直到大家可能开始去放弃
[00:33:56] 对AI大幅度的投资之前
[00:33:57] 不然可能甚至都会维持在高档一阵子
[00:34:00] 那对就是该反应的话
[00:34:01] 就反应给客人吧
[00:34:02] 那我觉得大家如果都有反应的话就没事
[00:34:04] 有时候就只是比谁先开第一枪
[00:34:06] 当你开第一枪
[00:34:08] 别人忍不住你就跟着开
[00:34:09] 我觉得像他去做一些涨价
[00:34:11] 应该是蛮合理的
[00:34:12] 应该也不因为这样子调客人之类的
[00:34:14] 下面一位
[00:34:15] 信仰人依依巴拉巴拉蹦
[00:34:17] 梦公我老公
[00:34:18] 梦公最近真的瘦好多
[00:34:19] IG上面的照片
[00:34:20] 已经没有以前的熊样了
[00:34:21] 现在的奶奶大鸡鸡
[00:34:23] 穿着衣服好凸挺
[00:34:25] 
[00:34:25] 不知道梦公有没有感觉
[00:34:26] 最近的房市有点冷
[00:34:28] 至少会在FB跳出来
[00:34:29] 被我看到的物件均价都有在降低
[00:34:31] 是不是钱都跑来市场了
[00:34:33] 另外
[00:34:34] 买想要的房子的话有什么特别需要注意的
[00:34:36] 或是准备的吗
[00:34:37] 那我目前只有偶尔有空的时间
[00:34:39] 问问CHAT GPT
[00:34:40] 会想问问耐心回答问题的梦公
[00:34:44] 首先先非常感谢你的赞美
[00:34:46] 然后再来讲说
[00:34:47] 是不是房市冷
[00:34:48] 绝对是
[00:34:49] 就连我们领口这种
[00:34:50] 就是迁入超级多人的地方
