[00:00:00] 欢迎收听古爱,我是圣木工
[00:15:58] 打脸过去的自己
[00:15:58] 所以不敢转的太凶猛
[00:16:00] 反正总之就是
[00:16:01] 我认为黄云勋一直都是对的
[00:16:03] 也是我们过去的节目
[00:16:04] 一直跟大家强调
[00:16:04] 就是我们站在黄云勋这一块
[00:16:06] AI是来帮大家改善工作效率
[00:16:09] 我们之后会有更多的
[00:16:10] high rate出现
[00:16:10] 而不是AI要去
[00:16:11] 所以取代很多人
[00:16:12] 不是那些末日论者所说的
[00:16:14] 那为什么这些老板
[00:16:15] 他们要一直末日论者呢
[00:16:16] 因为他们要去行销
[00:16:17] 自己的产品有多厉害
[00:16:18] 那只是现在这些东西
[00:16:20] 开始有一些backfire
[00:16:21] 我觉得最主要原因是因为
[00:16:22] 他不只是在科技圈里面的
[00:16:24] 一个讨论
[00:16:24] 他会进入到实体政治圈
[00:16:26] 的一些讨论
[00:16:27] 就是你们这些老板
[00:16:28] 你们整天在恐吓大家说
[00:16:29] 我的工具多强
[00:16:30] 害多少人失业
[00:16:31] 那我是政治人物
[00:16:32] 我的选民也会跟我靠腰
[00:16:33] 你看他们家
[00:16:34] 一些那种什么
[00:16:35] Google的高层
[00:16:36] 前高层什么的
[00:16:37] 跑去大学毕业演讲
[00:16:39] 那不是讲到AI
[00:16:39] 就被大家布到爆吗
[00:16:41] 大家狂虚他
[00:16:41] 为什么
[00:16:42] 因为妈你们整天都在讲说
[00:16:43] AI要杀爆我们
[00:16:44] 那我们当然要烦你的AI
[00:16:45] 对年轻人来讲
[00:16:46] 我看不到未来
[00:16:47] 妈的
[00:16:48] 你家那种股票那边
[00:16:49] 狂喷狂涨
[00:16:50] 那个也不干我的事情
[00:16:51] 我都还没有资本
[00:16:52] 我又没有capital
[00:16:52] 我家也不一定有留东西给我
[00:16:54] 那你跟我讲说
[00:16:55] 我他妈一出来
[00:16:59] 那所以一些政治人物
[00:17:01] 我相信也会给这些公司压力
[00:17:02] 就是你不要整天在那边
[00:17:03] 那边讲一堆几百话
[00:17:04] 你讲这种话
[00:17:05] OK那我们就来监管你
[00:17:06] 就既然你的东西
[00:17:07] 会害死大家
[00:17:08] 那我为什么不要监管你
[00:17:09] 我为什么不要去放
[00:17:10] 更多restriction在你身上
[00:17:11] 所以他们一方面
[00:17:12] 为了行销自己
[00:17:13] 把自己的东西讲
[00:17:14] 像是那种terminator
[00:17:14] 超恐怖的
[00:17:15] 可是一方面
[00:17:16] 当他推过头的时候
[00:17:17] 他就开始被修理
[00:17:18] 他就会被舆论攻击
[00:17:19] 他就会被政治人物
[00:17:20] 要去放现自己
[00:17:21] 所以他们注意到
[00:17:21] 不能够这样子
[00:17:22] 就开始去做一些收手
[00:17:24] 那当然我觉得
[00:17:24] 最核心的理由
[00:17:26] 当然不是因为说什么
[00:17:27] Dario或者说Sam
[00:17:29] 他们的一个论述的改变
[00:17:31] 就导致整个软体股上去
[00:17:32] 我觉得最后面
[00:17:33] 都还是靠成绩去做证明
[00:17:34] 那不然说像一些
[00:17:35] 公司派的强硬态度
[00:17:36] 你有注意到说
[00:17:37] 像Salesforce
[00:17:38] 他搞了一个
[00:17:39] 正常record high的一个buyback
[00:17:41] 他就狂买股票
[00:17:42] 你们觉得我公司很烂
[00:17:43] 是不是
[00:17:44] 老子狂买
[00:17:44] 我就用行动证明给你看
[00:17:45] 我狂买我自己的股票
[00:17:46] 那再来呢
[00:17:48] 我们也注意到
[00:17:48] 像是ServiceNow的老板
[00:17:49] 也是跟大家讲说
[00:17:50] 就是外面的那些AI论述
[00:17:52] 就是全部都是讲错的
[00:17:53] 其实它的公司是在一个
[00:17:54] 非常大的顺风上面
[00:17:56] 然后也是靠成绩慢慢的去证明
[00:17:57] 那最近像是什么Octa
[00:17:59] 或是Snowflake
[00:18:00] 都是开出极好的成绩
[00:18:02] 那就告诉大家说
[00:18:03] 其实AI是帮这些软体
[00:18:04] 去做加分
[00:18:05] 它不是一个扣分项
[00:18:06] 那当然一定会有人去举出说
[00:18:08] 有哪一些软体
[00:18:09] 它可能至今是摔到烂掉的
[00:18:11] 可是那个道理
[00:18:12] 我们讲过
[00:18:12] 它跟那个硬体一样
[00:18:13] 或者说晶圆代工一样
[00:18:14] 你也不是说AI好
[00:18:16] 晶圆代工业者好
[00:18:17] 就是每个晶圆代工业者都好
[00:18:18] 不是
[00:18:19] 有些晶圆代工业者
[00:18:22] 那道理你也不是说AI的server好
[00:18:24] 所以所有在做server的都好
[00:18:26] 没有有些server可能是躺在地上
[00:18:27] 但是也不要去忽略
[00:18:29] 这些躺在地上的东西
[00:18:29] 就像说像前面
[00:18:30] 我们自己是不太喜欢
[00:18:31] 成熟制程的东西
[00:18:32] 可是因为像是TSM
[00:18:33] 这些前端的制程
[00:18:34] 他们放出了很多
[00:18:35] legacy的东西在外面
[00:18:36] 你就注意到说
[00:18:37] 有些成熟制程的东西
[00:18:38] 在后面也就喷上去了
[00:18:39] 或像是前面大家都在专注
[00:18:41] 在GPU跟ASIC上面
[00:18:42] 最近大家发现说CPU很好
[00:18:44] 所以一堆东西就冲进去CPU
[00:18:45] 所以其实每个东西
[00:18:46] 都会有它的轮回存在
[00:18:48] 我觉得现在有一种
[00:18:49] 好像我们已经是梦回
[00:18:50] 不知道就几年前的感觉
[00:18:52] 让老AI再次全部跑回来
[00:18:54] 而且这是最有趣的
[00:18:54] 是因为陈台铭刚成为台湾首富
[00:18:56] 我是没有更新到礼拜五的状况
[00:18:58] 因为礼拜五我们看到
[00:18:59] 像鸿海跟广达都直接说掌题
[00:19:01] 其实那几个首富
[00:19:03] 他们的位阶赛还蛮接近的
[00:19:04] 也就是说
[00:19:05] 后面搞不好有机会
[00:19:06] 可以看到一个首富赛跑
[00:19:07] 我觉得这会很有趣
[00:19:08] 大家的市值是很接近的
[00:19:11] 不是说公司
[00:19:12] 就是个人的cap加起来是很接近的
[00:19:14] 所以这个股价的变化
[00:19:15] 就会直接去影响到说
[00:19:16] 首富的榜位会去换来换去
[00:19:19] 可能直到像是马斯科这样
[00:19:21] 直接拉出一个绝对的距离
[00:19:22] 他就是一个公认的首富
[00:19:23] 所以后面可能可以观察这一段
[00:19:25] 你说这些老AI家在喷什么
[00:19:27] 当然很多人说是因为
[00:19:28] DELL的成绩开得很好
[00:19:29] 它的营收的增速怎么样
[00:19:30] 但在我们的角度
[00:19:32] 或认识的市场人士的角度
[00:19:35] 其实大家不会觉得
[00:19:35] 这是一个非常意外的成绩
[00:19:37] 有什么的
[00:19:38] 因为其实大家都知道很好
[00:19:39] 现在关键只是
[00:19:40] 到底资金要在哪里
[00:19:41] 确实在过去一段时间
[00:19:43] 资金已经是大幅的去撤出
[00:19:44] ODM
[00:19:45] 或者说EMS这类的东西
[00:19:47] 撤出并不是说它不会涨
[00:19:48] 它的成绩都一直有
[00:19:50] 它营收跟货率一直都有
[00:19:51] 只是市场不喜欢它
[00:19:52] 没有要去推它的一个
[00:19:53] PE的估值
[00:19:54] 跑去推什么
[00:19:55] 推像光通这样子的东西
[00:19:56] 最近光通休息了
[00:19:57] 那就变成说
[00:19:58] 你看又是再一次的轮回
[00:20:00] 所以我们才会很常跟大家讲说
[00:20:01] 你不要在一个东西不好的时候
[00:20:02] 一直去乱diss它
[00:20:03] 像前面SRLAB在地上的时候
[00:20:05] 也是一堆人
[00:20:05] 你前面都说它好的
[00:20:07] 我突然间就全部改口了
[00:20:08] 现在300块
[00:20:09] 请问你怎么去自洽你的逻辑
[00:20:10] 就代表说
[00:20:11] 你就是一个见风转舵仔
[00:20:13] 那当然见风转舵在市场里面
[00:20:14] 我觉得有时候是必要的
[00:20:16] 就是你不要抱着一个垃圾东西
[00:20:18] 然后就一路相信它到底
[00:20:20] 然后最后面就直接整个撑下去
[00:20:21] 但是如果你要去看族群性的话
[00:20:23] 其实还是要去理解说
[00:20:25] 族群本身是会轮动的
[00:20:26] 所以有时候就是
[00:20:27] 你要有一点耐心而已
[00:20:29] 那现在重新动回去
[00:20:30] 这些老AI的话
[00:20:31] 当然对很多人来讲
[00:20:32] 它是一个很大的刺激
[00:20:33] 他会觉得说这是一个好东西
[00:20:35] 我可以冲进去或什么的
[00:20:36] 那只是站在我们自己的角度
[00:20:37] 还好
[00:20:38] 就是我不会因为说
[00:20:39] 今天可能看到红爱广达
[00:20:40] 或是美国的这几个
[00:20:44] 可能OEM ODM
[00:20:45] 那他们的表现很好
[00:20:45] 就会觉得资金该往这个方向去
[00:20:47] 我认为一下市场的一个状态是这样
[00:20:49] 就是说
[00:20:49] 其实它是百花齐放
[00:20:51] 因为就是多头
[00:20:51] 那又在新高的位置
[00:20:53] 所以有很多的东西在市场上
[00:20:55] 那这时候就是
[00:20:56] 你怎么样去选择而已
[00:20:57] 就像是我最近很常跟身边朋友讨论
[00:20:59] 我最常讲的一句话
[00:21:00] 就是说
[00:21:00] 现在被动严腱已经是被市场注意到
[00:21:02] 前面大家都没有在看
[00:21:03] 然后后来大家终于注意到
[00:21:04] 然后开始进去
[00:21:05] 那可是我还是会有一点
[00:21:07] 我觉得不太协调的地方
[00:21:08] 据来说
[00:21:08] 我们目前看到最缺的东西
[00:21:10] 当然弹电
[00:21:11] 然后高阶MLCC
[00:21:12] 那再来就是驴电容
[00:21:14] 驴电容是非常的缺乏
[00:21:15] 特别是日商要撤出一些产品
[00:21:17] 一些牛角电容等等的
[00:21:18] 然后再来可能会到电杆之类
[00:21:20] 电阻
[00:21:20] 那可是在市场里面的一些讨论
[00:21:23] 很有趣的是
[00:21:24] 就大家只有在看那个MLCC
[00:21:26] 所以有时候就是说
[00:21:26] 市场还会走的比较慢一点
[00:21:27] 就是大家没有反应过来
[00:21:29] 因为对大家来说
[00:21:30] 最稀反应的东西就是
[00:21:31] 之前我们都是在看MLCC
[00:21:33] 2018的时候
[00:21:34] 所以到现在我们
[00:21:35] 当然还是先从MLCC开始
[00:21:36] 所以它忽略掉一些东西
[00:21:38] 那实际上
[00:21:38] 这个东西被忽略掉又怎么样
[00:21:40] 它还是有涨
[00:21:41] 就不是说什么驴电容
[00:21:42] 或者说其他的
[00:21:43] 被动人籍没有碰
[00:21:44] 没有
[00:21:44] 他们其实都是有碰
[00:21:46] 只是市场对它的讨论度是不够的
[00:21:47] 所以这个逻辑
[00:21:48] 其实可以套用在市场里面的
[00:21:49] 像这些族群
[00:21:51] 就是有很多可能拿着ODM的
[00:21:52] 他们有在抱怨说
[00:21:53] 你们这些人怎么都看不懂
[00:21:55] 你们怎么都没有进来买
[00:21:56] 终于涨停了
[00:21:57] 然后可能冲进去之后
[00:21:57] 又发现又要回档之类
[00:21:58] 但我是相信说
[00:21:59] 都会去慢慢的往上推
[00:22:01] 就是因为市场的资金
[00:22:02] 很充沛的状况之下
[00:22:04] 只要后面没有突然间杀出一个
[00:22:05] 什么疯狂的升息规划
[00:22:07] 然后或者是
[00:22:08] 又一些国际的事件产生的话
[00:22:10] 其实目前的状态
[00:22:11] 本来就是满地都是有好东西
[00:22:13] 像刚才前面去比说
[00:22:14] 我认为市场可能过度关注的
[00:22:17] 你说MLCC有没有缺
[00:22:18] 那绝对也是有缺
[00:22:19] 可是你们花太多心意在上面
[00:22:20] 因为有更缺的东西在旁边
[00:22:21] 那个已经是一种
[00:22:22] 就是我跟朋友称为
[00:22:23] 是锦上添花的行为了
[00:22:25] 就是反正都有喷
[00:22:26] 只是大家都会觉得说
[00:22:27] 自己家的孩子是最好的
[00:22:28] 你买最多的应该要喷最多
[00:22:30] 可是那个有时候你要去尊重一下
[00:22:32] 就是市场资金怎么样去做轮动
[00:22:34] 那如果你真的觉得没效率的话
[00:22:36] 那当然你就可以去
[00:22:37] 随着这个资金的流动去赌看看
[00:22:39] 就像你现在就很明确的看到
[00:22:40] 你看那个像IGV这个ETF
[00:22:43] 因为它里面包的
[00:22:44] 当然它不是完全都是very software
[00:22:46] 它有些还是偏向硬体的东西
[00:22:47] 但我觉得它已经算是一个
[00:22:49] 可以去参考的东西了
[00:22:50] 那你看它直接拉出一个
[00:22:51] 这么高的一个parall
[00:22:52] 这在我们的眼中
[00:22:53] 就视为是一个表态了
[00:22:55] 那所以后面就是有可能
[00:22:56] 这个资金会往这个软体的方去跑
[00:22:58] 那所以前面很多软体股的持有者
[00:23:00] 你喊破喉咙
[00:23:01] 市场就照样会把你的东西dunk下去
[00:23:03] 因为大家就是觉得不好或什么的
[00:23:05] 那只是如何去维持自己的
[00:23:07] 怎么讲
[00:23:07] 就是你的理智
[00:23:08] 那同时呢
[00:23:09] 在最有效率的地方去做加码
[00:23:11] 这个才是我们努力的方向
[00:23:12] 就是你不用花太多心力
[00:23:13] 去跟大家沟通
[00:23:14] 说什么市场是对是错
[00:23:15] 那真的不重要
[00:23:16] 那重点是
[00:23:17] 就是你现在已经看到表态
[00:23:18] 那你敢不敢再跟着
[00:23:19] 再继续推
[00:23:20] 就类似说你看到老AI表态
[00:23:22] 你要不要再继续推
[00:23:23] 那我就讲我的意见
[00:23:24] 就是我觉得这些东西
[00:23:25] 其实都是好的
[00:23:25] 我们本来就不会在他可能盘整的时候
[00:23:27] 就去乱dis他或什么的
[00:23:28] 那只是
[00:23:29] 就是你还是会有一个轻重缓急
[00:23:31] 就类似说
[00:23:32] 一样是被动连接
[00:23:33] 你会选择去压
[00:23:34] 你觉得他可能是
[00:23:35] 在后面会更缺的东西
[00:23:36] 拉长看
[00:23:37] 最终都会回到基本面
[00:23:38] 那哪个东西可能是
[00:23:40] 在后面涨价会涨最多的
[00:23:41] 可能是毛利药生
[00:23:42] 会是最高的
[00:23:43] 会是最缺乏的
[00:23:44] 会是房间里面的大象
[00:23:46] 就是大家可能
[00:23:46] 隐约知道有个东西是在那
[00:23:47] 可是还没有注意到
[00:23:49] 那可能就会是
[00:23:50] 大家想要去
[00:23:50] 专注的一个重点
[00:23:52] 所以其他的盘面
[00:23:54] 我个人认为说
[00:23:55] 反正就是一个
[00:23:55] 非常漂亮的多坨
[00:23:56] 然后东西都在一直喷
[00:23:58] 那也不是说没有发生天法
[00:24:00] 其实前面都有发生天法
[00:24:01] 都有罚一下
[00:24:01] 那只是说
[00:24:03] 这个很特别一点是
[00:24:04] 市场都还是一直有资金
[00:24:06] 在持续往上推
[00:24:06] 那在我自己的角度会认为说
[00:24:08] 像前面这样子
[00:24:09] 有一些压力测试
[00:24:10] 摔一下
[00:24:10] 那都是好的
[00:24:11] 就是如果说不摔的话
[00:24:12] 那可能后面一摔
[00:24:13] 就是摔一个非常大的
[00:24:14] 但前面都会时不时的
[00:24:16] 一些热门股
[00:24:17] 会出现什么跌停
[00:24:18] 或是大盘会出现一些回挡
[00:24:19] 大逃杀或什么的
[00:24:22] 就是后面就算有杀人的话
[00:24:24] 那不会是那种
[00:24:25] 清天霹雳那种等级的
[00:24:27] 我会觉得应该是还OK
[00:24:28] 那只是当然随着市场的资金
[00:24:30] 越来越乐观
[00:24:30] 后面会不会又再有新的改变
[00:24:32] 不确定
[00:24:32] 因为我们就要看到
[00:24:32] 融资增加的速度是超级快的
[00:24:34] 所以确实是蛮多人已经是
[00:24:36] 就是有点像说拿命去搏
[00:24:38] 然后跟他干干到底了
[00:24:39] 那当然可能后面
[00:24:40] 都还是会有一些状况产生
[00:24:41] 但我们目前就是
[00:24:43] 纯用fundamental的角度来看的话
[00:24:44] 在硬体这边
[00:24:45] 有大量的ODM OEM
[00:24:47] 持续交出很好成绩
[00:24:48] 然后现在有论书被带起来
[00:24:50] 由美国这边去发起进攻之后
[00:24:52] 台湾的硬体也都跟得上去
[00:24:54] 这个我觉得OK是蛮健康的
[00:24:56] 然后在软体的部分
[00:24:56] 自从最前面的那家叫什么
[00:24:59] Teams
[00:24:59] 其实Teams先跳上去
[00:25:01] Alessian
[00:25:01] 他先跳上去之后
[00:25:02] 然后后来
[00:25:03] 持续的一家一家接棒
[00:25:04] 到现在好多家都已经跳上去了
[00:25:06] 代表软体也起来
[00:25:07] 所以他就是一个
[00:25:08] 全面好的一个状态
[00:25:09] 简单讲
[00:25:10] 大家都在cherry picking
[00:25:11] 现在你就是去跳一个
[00:25:13] 你觉得可能哪里最会动的
[00:25:14] 然后可能就往那个放上去
[00:25:15] 也是我自己会做的一个做法
[00:25:17] 但目前的状态也是
[00:25:18] 以台国来讲
[00:25:19] 因为巨大多数的东西
[00:25:20] 都锁住除智库
[00:25:21] 所以基本上没有办法动
[00:25:22] 那就是看后面怎么样
[00:25:23] 可能出除智之后
[00:25:24] 或是有一些新的想法
[00:25:25] 然后再做一些资金的变换
[00:25:27] 那不然其实
[00:25:28] 现在就是一个
[00:25:29] 就大家都很好的一个状态
[00:25:31] 比大家赚多赚少
[00:25:32] 可是应该每个人都在赚钱
[00:25:33] 那昨天去参加了一下
[00:25:35] 好朋友梁董邀请的
[00:25:37] 就是反正台湾软体公司的
[00:25:38] 一个软体发布会
[00:25:40] 那稍微的看了一下之后
[00:25:41] 自己有一些心得跟想法
[00:25:43] 那首先我们都知道说
[00:25:45] 在一个大原则之下
[00:25:47] 一般科技的演变是这样
[00:25:49] 反正前面会有一个infra槽
[00:25:51] infra槽之后
[00:25:52] 就会进入到application
[00:25:53] 确实我们在2023年至今
[00:25:56] 应该说在2023到2024
[00:25:58] 它算是一个小循环
[00:25:59] 它前面有一个infra的建置槽
[00:26:01] 就那时候OEM ODM超级喷
[00:26:03] EMS喷到天上去
[00:26:04] 那后来就换成是software这边
[00:26:07] 就注意到美股软体股喷到天上去
[00:26:09] 像那时候Payntier是20几
[00:26:10] 直接喷到100多
[00:26:11] 那Cloudflare什么
[00:26:12] Fanbay Cloudstrike
[00:26:13] 就是一堆软体都直接射出去
[00:26:15] 那后来也就是开始出现说
[00:26:17] AI可能会去取代工作
[00:26:19] 取代软体
[00:26:19] 这样的一个论述之后
[00:26:20] 又重新的去洗牌
[00:26:22] 再一次的前跑来去硬体
[00:26:23] 那只是在2025那时候
[00:26:25] 最火红的硬体
[00:26:25] 其实是光通
[00:26:26] 光通是2025可能一个最大的表现
[00:26:29] 后来一路到了2026之后
[00:26:31] 那现在又再一次的资金
[00:26:32] 重新的去回到一些
[00:26:33] 所谓的老AI
[00:26:34] 老ODM OEM
[00:26:36] 然后以及呢
[00:26:37] 现在我们又看到说
[00:26:38] 资金跑来去软体
[00:26:39] 那我个人是会觉得说
[00:26:40] 那有点像是一个
[00:26:41] 这种除了是周期循环之外
[00:26:43] 那也是一个小波跟大波的结构
[00:26:45] 前面先演一次
[00:26:46] 大家是去想象说
[00:26:47] OK硬体走完去走软体
[00:26:48] 那后来是来真的
[00:26:50] 就是在可能硬体这边
[00:26:51] 有营收搭配获利
[00:26:52] 开出来的一个大波之后
[00:26:54] 然后接着可能就是在软体这边
[00:26:55] 好像开始注意到
[00:26:56] 像前面提到的一些公司
[00:26:58] 不管是什么
[00:26:59] 最近开财报的Snowflake
[00:27:01] 或是前面给大家很多惊喜的
[00:27:03] 那几家小型软体公司
[00:27:05] 他们的营收跟获利的数字
[00:27:06] 直接那种跳出去
[00:27:07] 是增速的
[00:27:08] 就大家本来说你应该会死
[00:27:09] 结果他没有死掉
[00:27:10] 那一个Sexy Bag之后
[00:27:11] 那我觉得后面可能论述
[00:27:13] 又会再次的跑回去
[00:27:14] 这些软硬结合
[00:27:16] 或者说在软体的应用面
[00:27:17] 那软体的应用面也不要误会
[00:27:18] 他不是只有说
[00:27:19] 可能台面上的这些软体公司
[00:27:20] 他一定也会有一些是新的玩家
[00:27:23] 据说最后面这个
[00:27:24] 软体的portfolio里面的组成
[00:27:26] 可能有蛮大一部分
[00:27:27] 他本身就是OpenAI跟Anthropic
[00:27:30] 因为你去看他那个AR
[00:27:32] 这个恐怖数字就知道说
[00:27:33] 他确实是抓到了
[00:27:34] 很多应用面的一个钱
[00:27:36] 那这是过往的一些软体公司
[00:27:37] 蛮多也成功的去从
[00:27:39] 本来是Sea Base的计费方式
[00:27:41] 变成是Token Base的计费方式
[00:27:42] 所以他们也会随着
[00:27:44] AI的应用放大
[00:27:45] 你会注意到他的营收
[00:27:46] 跟获利的数字
[00:27:47] 也是会越开越好
[00:27:48] 在公司去做一些调整之后
[00:27:49] 他们跟这些新兴的AI
[00:27:52] 软体公司比起来的差别在于说
[00:27:54] 他们是需要一些转换期的
[00:27:56] 因为他本来的收费方式
[00:27:57] 他并不是符合
[00:27:58] 这个时代的一个收费方式
[00:27:59] 所以他在转换期的时候
[00:28:01] 他会出现一些
[00:28:02] 不然说像是股价的崩杀
[00:28:03] 然后或者说一些裁员
[00:28:04] 一些结构上的调整
[00:28:06] 那个是正常的
[00:28:07] 但只要可以把它调出来的
[00:28:08] 特别是像之前有跟大家分享过
[00:28:10] 只要是Founder Mode的公司
[00:28:11] 就现在Founder还在里面
[00:28:12] 他们可以立刻的
[00:28:14] 破釜成熟去做改变
[00:28:15] 其实蛮多后面都有机会
[00:28:16] 会给大家带来一个惊喜
[00:28:18] 所以就是有机会
[00:28:19] 在这个应用层面这边
[00:28:20] 你会注意到
[00:28:21] 他带来的一个市场
[00:28:23] 是难以想象的
[00:28:24] 可能是会非常非常大的
[00:28:25] 去听完这个软体发布会
[00:28:27] 我自己有一些想法
[00:28:29] 这个想法可能不知道
[00:28:30] 有些可能听起来很奇怪
[00:28:32] 但反正就是我的想法
[00:28:33] 我简单跟大家讲一下
[00:28:34] 总之就是
[00:28:35] 现在大家很专注的东西
[00:28:36] 是在于说
[00:28:37] 就是你在网上
[00:28:39] 就看到蛮多人讲
[00:28:39] 模型谁比较厉害
[00:28:41] 谁生出来的结果比较好
[00:28:42] 或什么的
[00:28:42] 但我自己是这样认为
[00:28:44] 因为它绝大多数的模型的训练
[00:28:46] 它是based on
[00:28:47] 网路上的一些公开资讯
[00:28:48] 所以其实大家拿到的资料
[00:28:49] 是一样的
[00:28:50] 除非说
[00:28:51] 当然有些东西你去拿了
[00:28:52] 可能给人家告
[00:28:52] 所以你必须要付钱给它
[00:28:54] 然后特别去拿一些
[00:28:54] 特有的资料
[00:28:56] 或者有些社群平台
[00:28:57] 它有时像Glock
[00:28:58] 它就可以去使用
[00:28:59] 在X上面的一个资料
[00:29:00] 但其实大家拿到的资料
[00:29:02] 我觉得通知性是相对高的
[00:29:04] 反正就是普罗百姓
[00:29:05] 在网路上的各种分享跟讨论
[00:29:07] 或者一些新闻媒体
[00:29:08] 一些什么学术论文
[00:29:10] 只要在网上公开的东西
[00:29:11] 大家拿到的东西
[00:29:12] 可能是差不多的
[00:29:12] 但后面会进展的方向是怎么样
[00:29:14] 就是势必在资料这边
[00:29:16] 会去做出一些区别
[00:29:17] 所以你去掌握资料的人
[00:29:19] 才是真正的赢家
[00:29:20] 也就是你去拿通用资料
[00:29:21] 去做训练的话
[00:29:22] 到某个程度上
[00:29:23] 大家会发现说
[00:29:24] 编辑效应递减
[00:29:25] 就是大家做出来的
[00:29:26] 可能差不多的
[00:29:26] 那谁可以去拿到专家资料
[00:29:29] 特有资料
[00:29:30] 或是一些封闭式的付费资料
[00:29:33] 或甚至是不对外开放的
[00:29:34] 因为我是大企业
[00:29:35] 那我资料为什么要对外
[00:29:37] 就算你要跟我买
[00:29:37] 我也不要卖给你啊
[00:29:38] 那可以去access这些资料的
[00:29:41] 就是那些deployment公司
[00:29:42] 他可能也是软件公司
[00:29:43] 或是他这些整合公司
[00:29:45] 那他们可能在后面
[00:29:46] 获得前所未有的一个优势
[00:29:47] 为什么
[00:29:48] 因为他拿到的资料
[00:29:49] 是特别的资料
[00:29:49] 那这个资料就可以在
[00:29:51] AI模型的一个
[00:29:52] 强大帮助之下
[00:29:53] 会发挥出很好的一个效果
[00:29:54] 所以以前我们很常听到一个说法
[00:29:57] 什么AIoT大数据
[00:29:58] 这个就是已经变成像是一个buzzword
[00:30:00] 就是反正那种路边的阿伯
[00:30:01] 每个也会跟你讲这个
[00:30:03] 一堆创业老板跟你催这个
[00:30:04] 然后妈根本就拿不出半摊销
[00:30:06] 什么大数据
[00:30:07] 大数据就是收集一堆
[00:30:08] 什么几百万笔的资料
[00:30:10] 然后没有一笔你会用
[00:30:11] 一堆垃圾资料在那边
[00:30:12] 可是现在的差别是在于说
[00:30:13] 以前这个资料
[00:30:14] 你要去做分析
[00:30:15] 你要去做利用
[00:30:16] 确实是很困难
[00:30:17] 但现在在AI的一个导入之下
[00:30:19] 那个速度是超级快的
[00:30:21] 我用AI去看
[00:30:21] 他可以很快就理出说
[00:30:23] 里面的pattern是长什么样子
[00:30:24] 他真的可以把这个资料
[00:30:25] 变出一个有用的结果
[00:30:27] 那重点是说
[00:30:28] 那到底谁有这些资料
[00:30:29] 所以获得资料本身
[00:30:31] 在后面会是一个
[00:30:33] 鉴别度的东西
[00:30:34] 然后再另外一个就是
[00:30:35] 业务的拓展会是一个
[00:30:36] 鉴别度的东西
[00:30:37] 那他跟前面的大前提还是一样
[00:30:40] 也就是说当今天我已经注意到
[00:30:42] 你们各家做出来的服务
[00:30:44] 其实你说一下你强一下他强
[00:30:46] 可是最终拉长看
[00:30:47] OK那你们其实是难分宣制的
[00:30:49] 那在这样状况之下
[00:30:50] 谁可以去接到业务
[00:30:52] 那谁就可以赚钱
[00:30:54] 听起来常常废话
[00:30:55] 但我会认为在后面一阵子
[00:30:57] 有可能大家开始去讨论的重点是
[00:30:59] 业务能力
[00:31:00] 商务能力
[00:31:01] 它会是这些软体去做deploy的时候
[00:31:04] 可以获得最大优势的一个主因
[00:31:07] 而不是说你背后的模型
[00:31:09] 跟你去使用的这些硬件有多强
[00:31:12] 因为那个不是一个关键点
[00:31:13] 那特别是在现在
[00:31:15] 我自己有去使用
[00:31:16] Perplexity Computer的一个
[00:31:18] 使用情境里面
[00:31:20] 我个人是不会太在意说
[00:31:22] 他现在帮我用的模型是什么
[00:31:23] 虽然有时候还是会去做一些小改正
[00:31:25] 就像我还是比较喜欢Cloud的模型
[00:31:28] 我没有那么喜欢
[00:31:29] 这个GPT的模型
[00:31:30] 可是在最大多数状况之下
[00:31:32] 只要你可以deliver
[00:31:33] 我要的一个结果给我
[00:31:35] 我请你分析
[00:31:36] 我请你帮我画
[00:31:37] 我儿子的宝可梦图
[00:31:38] 我不管你去支用哪一个模型
[00:31:39] 反正你最后面有帮我把东西做出来
[00:31:41] 我就OK
[00:31:42] 所以对我来说
[00:31:43] Perplexity Computer
[00:31:44] 它就是做好了一个很好的业务能力
[00:31:46] 因为它解决了我的问题
[00:31:47] 那我不在意你背后用的模型是谁
[00:31:49] 它实际上背后是串的各种模型
[00:31:51] 然后它会去做一个交互的支用
[00:31:53] 那这什么意思呢
[00:31:54] 这代表说
[00:31:55] 它其实capture到了很大的一个价值
[00:31:57] 因为我身为用户
[00:31:58] 我付钱给你
[00:31:59] 我不在意你后面用是谁
[00:32:00] 所以你后面用的模型
[00:32:02] 说不定他们还要来拜托你说
[00:32:03] 你可以多用我一点或什么的
[00:32:05] 我给你降价一些
[00:32:05] 所以这对它来讲都是一个margin
[00:32:07] 它都是可以赚到钱的
[00:32:08] 那这个是我们讲说
[00:32:09] 就是在消费端的一个软体的应用方面
[00:32:12] 然后再来就是在实体的应用方面
[00:32:13] 当今天你要去开放你的公司的资料
[00:32:16] 让别人来看的话
[00:32:17] 你会选择开放给哪样的公司
[00:32:19] 像我们前面有聊到说
[00:32:20] 为什么Google去跟人家搞那个
[00:32:22] 然后就跟黑石搞TPU as a service
[00:32:24] 就是TPU的一个出租
[00:32:26] 这个是有稿头的
[00:32:27] 比它自己在自己内建的cloud
[00:32:29] 有稿头远近
[00:32:29] 因为有些公司就觉得说
[00:32:30] 我不想要把资料给Google
[00:32:32] 我就是不想把我资料放在Google上面
[00:32:33] 可是如果你今天是
[00:32:34] 额外出来搞一个Neo Cloud的话
[00:32:36] OK那就是可以的
[00:32:37] 所以这时候大公司不一定有优势
