[00:00:00] 欢迎收听古埃,我是孟公
[00:16:33] 它没有像可能海外的IDM
[00:16:34] 是直接呈现一个
[00:16:36] 集体表态的状态
[00:16:37] 不管去看一下什么英飞玲或是
[00:16:39] 什么安森美
[00:16:40] 然后相关的NPS
[00:16:41] 那或者是瑞萨
[00:16:42] 就是他们其实都是在过去的两个月
[00:16:44] 是涨蛮多
[00:16:45] 就是直接拉了一波走
[00:16:46] 然后现在可能稍微的
[00:16:47] 横盘在那边休息一下
[00:16:48] 那不然像德州仪器也是
[00:16:49] 那过去我们大概有跟大家提一下
[00:16:52] 就是有注意到说
[00:16:53] 我们有看到这些PIMIC
[00:16:54] 那他们可能
[00:16:55] 有一些涨价的情形发生
[00:16:57] 那只是他们的涨价呢
[00:16:58] 一般来讲应该是比较
[00:16:59] 趋向是成本涨价
[00:17:01] 因为在金融代工端这边的价格是有上升
[00:17:03] 他们有些东西是外包出来的
[00:17:05] 那所以呢就因为成本的上升
[00:17:06] 所以要去调一下他的价格
[00:17:08] 那只是我最近稍微的去看了一下
[00:17:10] 我觉得他的故事
[00:17:11] 其实是有一点跟
[00:17:12] 就是前面的那一种缺货涨价
[00:17:14] 也蛮近似的
[00:17:16] 那只是他的这个缺货涨价
[00:17:18] 不像是那种bottleneck式的
[00:17:20] 就是直接
[00:17:20] 可能某些东西会出现断供的情形
[00:17:23] 就来说像是一些高阶的被动元件
[00:17:25] 或像是弹电容
[00:17:26] 那这些是直接出现的
[00:17:28] 就是类似是有断货危险的
[00:17:30] 或者后面的牛角电容
[00:17:31] 都是有类似的一个情形
[00:17:32] 但是呢在这些可能比较偏向是
[00:17:35] power端的discrete
[00:17:36] 这些离散元件
[00:17:37] 他们应该是比较不会出现一些
[00:17:39] 断货的可能性
[00:17:40] 因为在里面供应的厂商是蛮多
[00:17:43] 那当然这高阶的
[00:17:44] 可能还是由部分的去做支援
[00:17:46] 像是英飞零这样
[00:17:47] 那只是
[00:17:47] 就是因为高阶的需求的量
[00:17:50] 真的是蛮大
[00:17:51] 所以他确实是有可能会产生一些
[00:17:52] 排挤的效应
[00:17:53] 或者说外溢的效应
[00:17:55] 然后导致说一些
[00:17:56] 可能比较高阶的厂商
[00:17:57] 会把它比较中低规格的东西丢出来
[00:18:00] 那这丢出来的东西
[00:18:00] 当然蛮多就会被台厂给吃掉
[00:18:02] 那所以其实过去
[00:18:03] 有大概提一下这个故事
[00:18:05] 那只是因为最近
[00:18:06] 就是看到被动元件
[00:18:07] 开始有蛮多的筹码跑进来
[00:18:08] 所以觉得说
[00:18:09] 不会觉得它差不多啦
[00:18:11] 但就是如果我现在要再去买新的东西
[00:18:13] 我不会想再去那种超级热闹的地方
[00:18:15] 去餐一咖这样
[00:18:17] 就会觉得可能
[00:18:18] 我反而会想要去找新的东西看
[00:18:19] 所以就往新的东西看
[00:18:20] 就会开始注意到说
[00:18:21] 其实它有蛮多的可能性在背后
[00:18:23] 那首先呢
[00:18:24] 这些离散元件
[00:18:25] 其实它在过去有一个大事件
[00:18:27] 那个大概我们应该是在去年的年底
[00:18:30] 那会有印象是
[00:18:31] 因为那时候我人在日本
[00:18:32] 所以对这个事件比较有感受
[00:18:34] 反正那时候就是
[00:18:35] 安市半导体
[00:18:36] 它被制裁
[00:18:38] 然后跟控管
[00:18:39] 然后所以就导致说
[00:18:40] 它相关的一些订单
[00:18:41] 是有被丢出来
[00:18:43] 那只是那时候
[00:18:43] 我自己其实有去找一些
[00:18:45] 市场的东西布局
[00:18:46] 也有去弄
[00:18:47] 然后最后面是
[00:18:48] 没有赚到太多钱
[00:18:49] 那后来就会觉得说
[00:18:50] 这个问题可能是在于说
[00:18:51] 参加的太早
[00:18:52] 就是太早跑进去
[00:18:54] 那所以导致这个题材
[00:18:55] 它是没有被酝酿起来
[00:18:57] 那但是这个东西算是种下了一个原因
[00:19:00] 就是因为安市半导体被制裁
[00:19:02] 所以它确实是有产生一些缺口
[00:19:05] 然后再来呢
[00:19:06] 到后面就是像中国的一些半导体
[00:19:08] 公力半导体厂商
[00:19:09] 其实也开始遇到
[00:19:11] 像是欧盟的一个制裁
[00:19:12] 就是它不希望大家去使用中国的料
[00:19:14] 所以像这样子的一个事件
[00:19:16] 它虽然是发生在大概半年前左右
[00:19:18] 但是它的余微仍在
[00:19:19] 然后甚至是开始造成了一些后续的影响
[00:19:22] 所以像目前是有看到说
[00:19:24] 这些缺口开始持续的酝酿出来
[00:19:26] 因为那时候它产生了这个缺口
[00:19:28] 那可是呢
[00:19:29] 刚好车用或者说消费这边
[00:19:31] 它的状况是不好的
[00:19:32] 没有拉火嘛
[00:19:33] 那所以就会导致说
[00:19:34] 大家其实没有特别在意这件事情
[00:19:36] 所以它以一个事件去做交易的话
[00:19:38] 那时候认为说算是失败的一个交易
[00:19:40] 那只是走到现在就开始去意会到
[00:19:43] 因为有蛮多厂商
[00:19:44] 在我们可能去check的一个过程中
[00:19:47] 都有提到这件事情
[00:19:48] 就是说因为
[00:19:49] 它的一些市场的share被丢出来
[00:19:51] 或者说大家害怕
[00:19:52] 后续会有类似的事情再一次的发生
[00:19:55] 所以提早的去做non-china的布局
[00:19:58] 就跟其他的半导体元件一样
[00:19:59] 那所以导致呢
[00:20:00] 其实现在有蛮多这个
[00:20:01] 不管是美系
[00:20:02] 或者说台系
[00:20:03] 或者是欧系的厂商
[00:20:04] 就是在这些事件的影响之下
[00:20:06] 它是开始有一个受贿的情形
[00:20:09] 然后是逐渐的酝酿
[00:20:10] 然后到现在算是把它放到蛮大
[00:20:12] 所以它的那个起始点
[00:20:13] 跟我觉得被动元件有点像
[00:20:15] 就是它最早其实真的只是一个成本转价
[00:20:18] 所导致的一些涨价
[00:20:20] 那后来随着一些在吊价场里面的赶虾鱼
[00:20:24] 我蛮喜欢用这个去做举例的
[00:20:26] 然后导致就是可能市场里面
[00:20:28] 真的有掀起一些联谊
[00:20:29] 后面有些些状况会产生
[00:20:30] 那一样市场里面的赶虾鱼
[00:20:32] 就是这些AI伺服器
[00:20:33] 或是当然最大的卡
[00:20:35] 就是NVIDIA的VR-Rubin
[00:20:36] 在后面要开始去做生产的
[00:20:38] 然后外加
[00:20:39] 其实前阵子这些族群
[00:20:41] 前面也都有拉一波
[00:20:42] 然后后来就开始出现修正
[00:20:43] 那我自己就有观察的一个现象
[00:20:45] 当然我不是那种阴谋论者
[00:20:46] 只是我自己观察的一些现象
[00:20:48] 我就会想去拆解说到底这发生什么事情
[00:20:49] 就是有蛮多这些
[00:20:51] 像是攻略半导体相关的厂商
[00:20:53] 它的外资的持股减少超多
[00:20:55] 然后刚好那个时间点
[00:20:56] 就差不多是Semi-Analysis
[00:20:58] 去讲说800VDC可能会有地延
[00:21:01] 然后外加说光通可能会有地延的一个状况产生
[00:21:03] 那当然最近我是有看到说
[00:21:05] DM Patel他在X上面就回人家的时候
[00:21:07] 他就有讲到说
[00:21:09] 我们没有讲错啊
[00:21:10] 确实就是800VDC
[00:21:11] 可能你在明年就只会看到一个5%的Penetration Rate
[00:21:14] 就只有一个5%的渗透率
[00:21:15] 那其实我看到这个
[00:21:16] 我马上就传给我自己产业的一些朋友
[00:21:19] 我想说5%很多呢
[00:21:20] 其实5%很多呢
[00:21:22] 5%对这些人来讲
[00:21:23] 他们可能觉得说Too early
[00:21:25] 或者说市场给的预期太高
[00:21:26] OK因为确实就是有蛮多那种炒股票
[00:21:29] 他把数字喊到超级高
[00:21:30] 这个我们也都是很常见
[00:21:31] 但一个东西如果有办法
[00:21:33] 在明年就有5%的一个Penetration Rate的话
[00:21:36] 这个在我们的角度是很真实的题材
[00:21:39] 为什么
[00:21:39] 妈的我们连SpaceX都会去买了
[00:21:41] 你说火箭什么时候会赚钱
[00:21:42] 干根本不知道
[00:21:43] 我们都会去买那个好几年后的
[00:21:45] 我们都买了
[00:21:46] 那你说明年就有
[00:21:47] 而且是5%
[00:21:48] 哇靠我突然间觉得说
[00:21:50] 我不知道
[00:21:50] 我觉得他的那个报告好像是
[00:21:52] 某个程度上帮大家洗筹码了
[00:21:54] 把那些信仰不坚的丢一丢丢下车之后
[00:21:56] 说不定我们之后看到美国的IDM
[00:21:58] 全部都在这动起来
[00:21:59] 所以我最近是有想观察这个东西
[00:22:01] 就是我觉得如果真的要去
[00:22:03] 做一个启动的话
[00:22:04] 应该是会先注意到
[00:22:06] 这些在美国上市IDM
[00:22:07] 他们一定是要先动起来
[00:22:08] 因为它是一个全面性的东西
[00:22:10] 然后外加
[00:22:10] 它其实跟前面我们刚才所提到
[00:22:12] 它那个bottleneck的状况是不太一样
[00:22:14] 它并没有说会有立刻的缺货
[00:22:17] 或是断货的一个可能性
[00:22:18] 它只是供需可能会产生一些变化
[00:22:22] 那大的厂商呢
[00:22:23] 他们会去做更高阶的内容
[00:22:25] 像现在在市场上很热门的一个话题
[00:22:27] 就是在讲说DRMOS
[00:22:28] 就是Driver MOS
[00:22:30] 那这个东西主要是用在哪
[00:22:31] 它是用在板端
[00:22:32] 像是GPU或是ASIC
[00:22:33] 它一次又用到可能十几二十颗
[00:22:35] 那后面还会再更大
[00:22:36] 那为什么会去做这种
[00:22:38] Driver然后加MOS的一个结合呢
[00:22:40] 就是因为板上的空间是非常珍贵的
[00:22:42] 所以包含说像是用一些什么弹电容
[00:22:44] 为什么要用这个东西
[00:22:45] 为什么要用一个争议金属的原因
[00:22:46] 是因为它可以做的比较小一点
[00:22:48] 它没有这么大颗
[00:22:49] 那或是为什么有一些铝电
[00:22:51] 要用那种叠层次的
[00:22:52] 就是因为它需要去珍惜板上的空间
[00:22:55] 这个板上的空间真的是不够用
[00:22:57] 那像这些Driver MOS
[00:22:59] 或是说这些近板端的东西
[00:23:00] 当然蛮多可能就是
[00:23:01] 握在欧美大厂的手里面
[00:23:04] 那台厂可能有部分是有机会去做到
[00:23:06] 那只是呢
[00:23:07] 目前看可能是跟消费端的是比较有关系
[00:23:09] server端可能还需要一些时间去组之类的
[00:23:12] 那随着这些厂商开始去往这些
[00:23:15] 可能比较偏向是
[00:23:16] 就来说像这个Driver MOS
[00:23:17] 它是一个
[00:23:18] 我们可以把它想象成是
[00:23:20] 某个程度上比较高端
[00:23:21] 毛利较高的一个生意
[00:23:22] 大概是四五十%以上的毛利
[00:23:23] 那往这边去挤
[00:23:24] 然后外加可能往一些高压的
[00:23:26] section去跑
[00:23:28] 就像说在
[00:23:28] 可能我们后面如果真的进入800VDC的话呢
[00:23:31] 它会有SIC的MOSFET
[00:23:33] 放在最前端那个地方
[00:23:35] 然后去搭配高压的superjunction
[00:23:37] 所以当越来越多厂商往这边去靠
[00:23:39] 然后发现这边的需求是很大的
[00:23:41] 它自然而然
[00:23:42] 它没有办法去做其他环节的东西
[00:23:44] 那其他环节的东西
[00:23:45] 它不会像前面我们听到的一些故事
[00:23:48] 各个元件会断货
[00:23:49] 它不会断货
[00:23:50] 可是它确实也就是产生了一些
[00:23:52] 供应的可能性
[00:23:53] 那甚至是有一些台商
[00:23:54] 可能因为这样子就第一次的变成是恶工
[00:23:56] 它可能以前是没有办法做进去的
[00:23:58] 但因为现在就是取货
[00:23:59] 所以取货就会去验证你
[00:24:00] 这个其实我们在被动元件的
[00:24:01] 铝电容也有看到
[00:24:02] 以前就是日本三控
[00:24:03] 就是Rubicon
[00:24:04] Chemicon
[00:24:05] 然后跟Nichicon
[00:24:06] 那可是现在可能三控的东西你拿不到
[00:24:08] 那怎么办
[00:24:08] 你就去找台系的厂商
[00:24:10] 这个我们已经在一些大型的EMS
[00:24:12] 有看到这样的一个情形
[00:24:13] 就要开始去验证台系厂商的东西
[00:24:14] 然后要去做采用
[00:24:16] 所以其实一样的道理
[00:24:17] 也是用在之前的Nexperia事件
[00:24:19] 就是以前可能很习惯都是用Nexperia
[00:24:21] 那老实讲那些料也都不贵嘛
[00:24:23] 那也都稳定
[00:24:24] 所以就长期去做使用
[00:24:25] 但我开始出现一些问题的时候
[00:24:27] 我可能就需要去验证新的厂商
[00:24:28] 所以因为这样子产生一些新的机会
[00:24:30] For others
[00:24:31] 但是当然这个东西会不会变成是一个
[00:24:33] 缺货涨价密集的东西
[00:24:35] 我们不确定
[00:24:36] 但是它应该会产生一个新的供需的结构
[00:24:39] 所以我就是最近因为可能看到被动元件
[00:24:42] 开始筹码变乱走
[00:24:43] 然后想说要去找别的东西
[00:24:44] 因为总是要有下一个地方吧
[00:24:46] 总是角度要有别的枯吧
[00:24:47] 那一个枯我已经想好就台积电
[00:24:49] 随时我发现说
[00:24:50] 妈的风向不对
[00:24:51] 我就要密底瓜康
[00:24:53] 就要躲进台积电
[00:24:54] 那同时也去看其他东西才发现说
[00:24:55] 原来这个东西也是蛮有搞头的
[00:24:57] 然后特别是
[00:24:58] 当我看到Semi Analysis有提到说
[00:25:00] 这个东西它可能在短期内
[00:25:02] 它就会有一个5%
[00:25:03] 其实5%就已经是一个
[00:25:04] 像是那种破冰船一样的
[00:25:07] 就是那种直接车进去
[00:25:08] 那不管你是走哪一种approach
[00:25:10] 800V DC或是400V的去做一个中继的话
[00:25:14] 其实都代表说
[00:25:15] 你不管是在power段或在板端这边
[00:25:18] 你会用到的功率元件的数量
[00:25:19] 都是大幅的上升
[00:25:20] 就是那个整个PSU里面
[00:25:22] 功率元件的密度都会去拉高很多
[00:25:24] 所以其实整体来看
[00:25:25] 这边也是一个蛮大的增量市场
[00:25:28] 而且它不只是增量
[00:25:29] 它也有这个价增的一个可能性
[00:25:31] 不管是在成本转家
[00:25:32] 或是我们讲因为供需结构的转变
[00:25:34] 那可能过去这些是大厂在做的
[00:25:37] 然后现在变成是台系的一些厂商
[00:25:39] 你说中系的可能要做
[00:25:40] 还不一定可以做
[00:25:41] 它可能只能够去供他们自己
[00:25:42] 华为相关的东西
[00:25:43] 那台系的厂商
[00:25:43] 就有可能去补这个漏洞之外
[00:25:46] 然后说不定也会有一些涨价的可能性
[00:25:47] 虽然它没有像可能被动元件
[00:25:50] 或是前面一些像记忆体
[00:25:51] 那种缺货
[00:25:52] 然后那种死命苟长
[00:25:53] 但它其实也是一个不错的故事
[00:25:55] 所以你会发现说
[00:25:56] 这个市场蛮有趣的
[00:25:57] 就确实在市场里面
[00:25:58] 现在最喷的就被动元件
[00:26:00] 因为被动元件是
[00:26:01] 它有可能会有断货的情形
[00:26:03] 特别是在一些料件上面
[00:26:04] 所以它真的就是最喷
[00:26:05] 它就是老大
[00:26:06] 没有问题
[00:26:06] 我想前面记忆体
[00:26:07] 记忆体有什么可以喷成这样
[00:26:08] 因为记忆体真的超狗缺的
[00:26:10] 可是老大跟老二之后
[00:26:11] 然后再来老三老四老五
[00:26:13] 虽然可能老大老二很好的时候
[00:26:15] 你根本就不会想看老三老四老五
[00:26:17] 但如果说老大老二
[00:26:18] 没有这么好的时候
[00:26:19] 或许大家就会去看老三老四老五
[00:26:21] 因为它也是有受惠
[00:26:21] 它受惠的程度可能是
[00:26:23] 相对的低一点
[00:26:24] 所以我也往这个方向去思考
[00:26:26] 然后去找市场中其他
[00:26:28] 题材的可能性
[00:26:29] 其实在过去已经有蛮多的
[00:26:31] 不管是地方听众
[00:26:32] 自己身边的朋友
[00:26:32] 都是有跟我讲说
[00:26:33] 他可能看到像什么
[00:26:34] Texas Instrument
[00:26:35] 他们在疯狂的加单
[00:26:37] 然后我就说加单加什么
[00:26:38] 他们说看到车用跟机器人很好
[00:26:40] 然后我前面都是
[00:26:41] 怎么讲
[00:26:41] 因为那种半信半疑
[00:26:42] 机器人杀小
[00:26:43] 我一直觉得说机器人是一个超级远的故事
[00:26:45] 他们说可能在机器人
[00:26:47] 或者说什么轮身工厂
[00:26:48] 在工业团这边
[00:26:49] 我看到蛮多的用量去做加
[00:26:51] 我以前都不知道说
[00:26:53] 这到底是在干嘛
[00:26:54] 可是现在开始有一点看懂
[00:26:56] 就是说他们可能提早
[00:26:57] 要去往新的路线去做布局
[00:27:00] 然后就先把库存的数量给拉上去
[00:27:02] 提早去做备货
[00:27:03] 可能相对一个保守的approach
[00:27:05] 那时候看不懂
[00:27:06] 然后现在可能就可以去理解到说
[00:27:07] OK可能是因为他们也注意到
[00:27:08] 后面的这些discreet
[00:27:10] 或是一些功率元件
[00:27:11] 他会在用量上面显著的提升
[00:27:13] 然后在SP也是有机会去提升
[00:27:15] 所以提早先往那个方向去做迁移
[00:27:17] 那浪子还是要先回归到原点
[00:27:20] 就是说他应该是不会有那种
[00:27:21] 超级FOMO的一个故事产生
[00:27:23] 那大家对他的预期可能也比较低一点
[00:27:25] 但如果说今天
[00:27:26] 这个鼠中无大将的话
[00:27:28] 那料化也可以拿出来当先锋
[00:27:29] 所以可能会稍微的注意一下
[00:27:32] 所以讲一下来讲
[00:27:33] 就是说现在市场里面的故事跟题材
[00:27:35] 真的是还蛮多的
[00:27:36] 特别是每次其实在各种修正之后
[00:27:38] 像前一波修正虽然没有很多
[00:27:40] 但是也就有吓到蛮多人
[00:27:42] 喷得蛮成屎
[00:27:42] 那其实这些东西出来之后
[00:27:44] 你就会注意到说市场蛮有趣的
[00:27:46] 就是可能你在那个修正之前
[00:27:48] 你会开始注意到说
[00:27:49] 有些地方可能已经是
[00:27:51] 开始鸟兽散了
[00:27:52] 大家不喜欢了
[00:27:53] 可是叠完之后
[00:27:54] 好像筹码那种洗一洗之后
[00:27:55] 又有新的东西又会跑出来
[00:27:57] 所以目前觉得市场里面是
[00:27:59] 我觉得有很多故事
[00:28:00] 那当然每个人会有不一样的意见
[00:28:02] 没有关系
[00:28:02] 你只要不要说是我的意见
[00:28:04] 然后到处跑去宣扬
[00:28:05] 这个我真的不喜欢
[00:28:06] 但每个人有不一样的意见
[00:28:07] 就像我上集讲说
[00:28:08] 我觉得修正应该是差不多了
[00:28:10] 那我们的YT就有听众
[00:28:11] 良性的沟通
[00:28:12] 就是说他觉得根本还没有开始跌
[00:28:14] 或什么的
[00:28:14] 可是后来也理解这件事情
[00:28:16] 为什么可能同一个市场
[00:28:17] 然后大家感受不一样
[00:28:18] 因为你如果是被动严肩
[00:28:20] 你上礼拜五你早就新高了
[00:28:21] 所以早就对你来说是没有跌了
[00:28:23] 根本就是没有跌
[00:28:24] 根本就是新高
[00:28:25] 可是对于一些人
[00:28:25] 他觉得他说你满手是光的
[00:28:27] 你一定觉得说
[00:28:27] 妈的跌成狗了
[00:28:29] 妈也太惨了
[00:28:30] 那能够说
[00:28:30] 虽然现在有那种百花齐放的现象
[00:28:33] 可是当然如果你的持股
[00:28:34] 都是高度集中在某一个特定的族群的话
[00:28:36] 就可能会有这个大好大坏的现象
[00:28:38] 而进而去导致
[00:28:40] 你可能对于盘面的判断
[00:28:41] 会有一点失距
[00:28:42] 你会觉得说
[00:28:43] 因为你看你手上的东西不好
[00:28:44] 你就觉得说整个盘不好
[00:28:44] 但可能整个盘
[00:28:45] 其实有蛮多故事在那边
[00:28:47] 大概这样子
[00:28:48] 那真的要去理解的时候才会知道
[00:28:49] 像我前面也都
[00:28:50] 全部都在盯那个被动元件
[00:28:52] 然后导致说
[00:28:53] 也就是我就没有注意力去看其他东西
[00:28:55] 可是真的出来看其他东西
[00:28:56] 觉得说
[00:28:56] 其他东西其实也蛮香的
[00:28:57] 那只是当然
[00:28:58] 它可能就是有赖于说
[00:28:59] 那些最主流的东西要休息
[00:29:01] 然后大家才会跑进去
[00:29:02] 不管像现在大家都觉得
[00:29:04] 超级便宜的台机或是NV
[00:29:05] 因为一堆人在问
[00:29:06] NVIDIA
[00:29:07] 现在可能是每股AI股
[00:29:08] 最便宜的东西
[00:29:09] 可是为什么大家不要进去
[00:29:10] 我觉得可能道理是有点类似的
[00:29:12] 就是有新的东西在
[00:29:13] 或者说
[00:29:14] 大家跑去买那个SpaceX
[00:29:15] 然后短期内
[00:29:16] 其实我看到那个东西
[00:29:17] 我昨天就跟A君讨论
[00:29:19] 我就说
[00:29:19] 我觉得这是很恐怖的事情
[00:29:21] 因为SpaceX
[00:29:22] 一天可能喷个一两成
[00:29:23] 它那个喷出来的这个市值量
[00:29:25] 换散在马斯克的身价
[00:29:26] 它等于它只花一两天
[00:29:28] 它都转营巴菲特的一辈子
[00:29:30] 就很狂
[00:29:31] 这个世界真的会超出自己的想象
[00:29:33] 或是我最近其实也有看到
[00:29:34] 马斯克在分享一篇文章
[00:29:36] 是一个法国人去评论他的公司
[00:29:38] 就有提到说
[00:29:39] 其实我们现在用地球的市值来看
[00:29:41] 都会觉得说
[00:29:43] 这个是一个很贵的公司
[00:29:44] 可是如果你用全宇宙的角度来看
[00:29:46] 当然这可能有点那种造梦太豪小
[00:29:48] 但因为马斯克有转发
[00:29:49] 我就稍微看一下
[00:29:50] 就是如果你用一个更高
[00:29:52] 层次的角度去看的话
[00:29:54] 它未来可以掌握的资源
[00:29:56] 它不只是地球的资源
[00:29:57] 还是可能宇宙的资源
[00:29:59] 或是什么的
[00:29:59] 或是说太空的一些发展
[00:30:01] 所以其实TAM可以拉到超级高的
[00:30:04] 也就是说
[00:30:04] 你不要被你的世界给影响
[00:30:07] 你这个视野的结界
[00:30:09] 世界
[00:30:09] 你不要被这个影响到
[00:30:10] 因为你没有想到说
[00:30:12] 原来世界当然钱可以这么多
[00:30:13] 那可能是超出你的想象之类的
[00:30:15] 所以有时候
[00:30:16] 还是用这个去提醒一下自己
[00:30:18] 就是有时候
[00:30:18] 当我们觉得某些东西
[00:30:20] 感觉已经到价了
[00:30:21] 感觉已经吵过头了
[00:30:22] 就真的是有很多事件
[00:30:23] 会告诉你说
[00:30:24] 没有现在还早
[00:30:25] 这样记忆体我自己算是卖的蛮早的
[00:30:27] 除了美光
[00:30:28] 因为美股比较不习惯一直去动
[00:30:29] 台股因为你一直看它
[00:30:31] 一直盯着
[00:30:31] 所以就
[00:30:31] 前面看到那种什么廉价回档
[00:30:33] 我直接把它砍光
[00:30:34] 然后没有想到后面有这么大一段
[00:30:36] 当然有追回来一部分
[00:30:38] 可是就是没有吃完全部
[00:30:39] 就是因为想象力不足
[00:30:41] 所以想象力不足
[00:30:42] 有时候可能是
[00:30:42] 要去改善的一个灶门
[00:30:44] 大概这样
[00:30:45] 那这一部分
[00:30:45] 在这边我们接下来进行的部分
[00:30:46] 第一位 又又 梦恭您好
[00:30:48] 我大约是听了两年的听众
[00:30:50] 刚开始听的时候
[00:30:51] 对我来说都太专业
[00:30:53] 听不太懂
[00:30:53] 但我很喜欢听你分享生活的故事
[00:30:55] 或者是一些事情的看法
[00:30:56] 那后来我去做了更多功课
[00:30:58] 慢慢也听得懂你讲产业的事情
[00:31:01] 今年的低轨光通
[00:31:02] 被动元件一早就上车了
[00:31:04] 谢谢您总是无私的分享产业的资讯
[00:31:06] 让我们也有机会赚钱
[00:31:08] 祝福全家身体健康
[00:31:09] 我是6月14号生日跟川普一样
[00:31:11] 希望您可以祝我生日快乐
[00:31:13] 但不要川普的声音
[00:31:14] 谢谢啊
[00:31:15] 那我们祝悠悠生日快乐
[00:31:16] 非常感谢你的支持
[00:31:16] 下面一位无情社畜
[00:31:18] 想询问MK大如何跟同事相处
[00:31:21] 如果说有一个别的部门
[00:31:22] 但同办公室的同事
[00:31:24] 一天到晚一直在办公室
[00:31:26] 炫耀自己股票赚多少
[00:31:27] 谁要当老板的狗
[00:31:29] 白痴才工作
[00:31:30] 然后老板来了就一个屁都不敢放
[00:31:32] 然后觉得自己是下一个小主管
[00:31:34] 办公室什么事物都要管
[00:31:36] 都要评论
[00:31:37] 连别人的小孩都要偷耶鱼
[00:31:39] 那更扯的是
[00:31:40] 还会对自己的女同事手脚乱来
[00:31:43] 上班听到她的声音都好造
[00:31:45] 请问MK有解法吗
[00:31:47] 不是啊
[00:31:47] 她不是都手脚乱来了吗
[00:31:49] 你这个报信品就直接把她处理掉了
[00:31:51] 这种就把她处理掉就好了
[00:31:52] 下面一位
[00:31:53] Iris1980
[00:31:55] MK你好
[00:31:56] 我大四的孩子最近付卡账单偏高
[00:31:59] 包含累积8万多的无息分歧
[00:32:01] 孩子觉得只要按时的还款就没有问题
[00:32:04] 但身为父母人担心学生的身份
[00:32:06] 承担这个金额过高
[00:32:07] 那想请问MK面对成年孩子的信用消费
[00:32:11] 父母该如何拿捏关心跟放手的界线
[00:32:14] 那谢谢您回复我主妇之友的读者投稿
[00:32:18] 那最后想请您用猛男的声音对阿哲说
[00:32:21] 人生只有一次要用力玩
[00:32:23] 但也别忘了帮自己的未来做好妥善的规划哦
[00:32:25] 有钱就拿去买006208也很好啊
[00:32:28] 祝您全家平安喜乐
[00:32:30] 每天都笑着睡着
[00:32:31] 那关于这个问题的话呢
[00:32:33] 我觉得
[00:32:33] 包含说像我自己的孩子算是未成年
[00:32:36] 但我就已经在面对差不多的一个考验了
[00:32:39] 就是到底我们应该涉入孩子的生活
[00:32:41] 到什么样的一个程度
[00:32:43] 那以我自己的经验的话呢
[00:32:45] 因为我的爸妈是属于比较严格的父母
[00:32:48] 虽然我妈都讲说
[00:32:49] 土鸡饲养法没有在管你们
[00:32:50] 但其实现在我回头看
[00:32:52] 他们是管蛮多的
[00:32:53] 就是他们会有蛮多
[00:32:54] 是希望你怎么做的东西
[00:32:56] 那这些东西呢
[00:32:56] 当然我觉得其实去养育孩子很难的一点是
[00:33:00] 像我就还蛮感谢我爸妈
[00:33:01] 可能那时候是这样对我
[00:33:02] 即便有些东西
[00:33:03] 我自己是不太认同什么
[00:33:04] 可是如果他没有这样搞的话
[00:33:06] 搞不好我就没有现在的抗压性或什么的
[00:33:08] 所以每个东西的来源都不是偶然
[00:33:11] 那你到底怎么样可以养出一个
[00:33:12] 就是所谓的最健全
[00:33:14] 最自在
[00:33:15] 那不用对别人交代
[00:33:18] 或者说活出自我的一个孩子
[00:33:20] 这个可能是一个大灾问
[00:33:21] 但我们会试着用自己的一些感受去修正
[00:33:25] 就是我们到底要怎么样去对孩子
[00:33:26] 那我的爸妈
[00:33:27] 他们就是属于相对是严格的
[00:33:29] 所以到我这里
[00:33:30] 我就会觉得说
[00:33:31] 我对孩子应该要更加的放手
[00:33:33] 那甚至是
[00:33:33] 你可能以前有一些体验是
[00:33:35] 你跟你家人说你想要做什么
[00:33:36] 然后他们就跟你讲说这个东西没有办法赚钱
[00:33:38] 你怎么样
[00:33:38] 当然这一定都是为了你好没有问题
[00:33:40] 那可是我自己知道这个体验不是太好
[00:33:43] 所以我觉得希望说我的孩子
[00:33:44] 我要放手让他去做所有的事情
[00:33:45] 那既然你要放手让他去做的话
[00:33:48] 你就势必会要看到他
[00:33:50] 他可能会受伤
[00:33:51] 他可能会跌倒
[00:33:51] 他可能真的会不小心会嘎不过来
[00:33:54] 要找你求救之类的
[00:33:56] 那那个时候你一定会很想跟他讲说
[00:33:58] 干我是早就告诉你了
[00:34:00] I told you
[00:34:00] 我早就跟你讲了
[00:34:01] 可是你讲这个
[00:34:02] 你的孩子又被你推走了
[00:34:03] 对吧
[00:34:04] 就是有被讲过这种话的孩子
[00:34:05] 你用家摸着这个软蛋是不是
[00:34:06] 你爸妈跟你讲这个
[00:34:07] 你就会觉得说
[00:34:08] 妈的好啊
[00:34:09] 那我以后什么都不要跟你讲了
[00:34:10] 就是对
[00:34:10] 我这次真的遇到问题
[00:34:11] 那我以后都不要找你
[00:34:12] 我都找别人
[00:34:13] 所以我觉得就是他们一定会遇到一些问题
[00:34:16] 那只要他不是去找什么高利贷
[00:34:19] 然后或者是说
[00:34:20] 他真的去买一些很浮夸
[00:34:23] 然后根本就是在张扬的东西
[00:34:25] 因为那个有可能就是价值观偏差
[00:34:27] 就是如果是这样子
[00:34:28] 我会去介入
[00:34:28] 但如果说你说这个8万的无息分析
[00:34:31] 他是在买一些
[00:34:32] 可能工作上会用到的东西
[00:34:34] 他在买一些设备或什么的
[00:34:36] 甚至我会默默的去赞助他
[00:34:38] 你懂吗
