[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由Sally赞助
[00:18:14] 就是他们其实是跟他
[00:18:15] 在做一个很深度的合作之类的
[00:18:17] 那当然这边不知道
[00:18:17] Q大家说
[00:18:18] 所以Adobe的第一点到了
[00:18:19] 那个毕竟这个对我来讲
[00:18:21] 是一个比较相对不熟悉的领域
[00:18:22] 只是他很有趣的是
[00:18:23] 就是一个大家在市场上说
[00:18:25] 要被淘汰的某个东西
[00:18:27] 那竟然是看得出来
[00:18:29] 是他们深度合作的伙伴
[00:18:30] 那甚至为了这个软体呢
[00:18:32] 他们可能在硬体上面
[00:18:33] 有去做一些调整
[00:18:34] 那为什么RTX Spark
[00:18:35] 可以去做到这些这么厉害的东西
[00:18:37] 最主要就是它那个Unified Memory
[00:18:38] 就是说它把整个记忆体的pool
[00:18:40] 我都可以拿来用
[00:18:41] 所以我可以放进去更大的模型
[00:18:43] 我可以一次处理更多的参数
[00:18:45] 那所以它有去展示
[00:18:47] 像它可以去把New York City
[00:18:49] 可能不知道30到50block之间的一个地貌
[00:18:52] 直接在一瞬间就Render出来
[00:18:54] 而且它的速度超级快
[00:18:55] 它不会因为说什么你转头
[00:18:56] 然后它就需要去载路
[00:18:58] 或者说会卡顿之类的
[00:18:59] 非常的顺
[00:19:00] 我就想说
[00:19:00] 因为以前我们都知道说
[00:19:02] 每次的GTA出来
[00:19:03] 它就是一个硬体大屠杀
[00:19:04] 甚至是可能连
[00:19:05] 当下台面上最强大的硬体
[00:19:08] 都没有办法去跑它的最高效能
[00:19:10] 你要等到可能一两年之后才有办法
[00:19:12] 那今年呢
[00:19:13] 我觉得会有一些变化啦
[00:19:15] 就是可能在AI的辅助之下
[00:19:17] 不管是NVDLSS什么的
[00:19:19] 或是去帮你补帧之类的
[00:19:20] 就是下台的帧呢
[00:19:22] 并不是每一帧都是直接去把它Render出来
[00:19:24] 尤其是用AI去算的
[00:19:25] 所以它会让硬体的负载
[00:19:27] 可以再更加的大一点
[00:19:28] 然后外加Unified Memory的一个处理
[00:19:30] 在这样的一个展示之下
[00:19:32] 其实我已经可以去想象到说
[00:19:33] 一些3A大作
[00:19:34] 那它可能可以去把更好的画面呈现给玩家
[00:19:37] 而不用让玩家一定要去追求
[00:19:39] 可能最贵的硬体设备
[00:19:40] 也可以达到
[00:19:41] 就是说在硬体跟软体的协作之下
[00:19:43] 软体让硬体装上了一双翅膀
[00:19:46] 差不多这样的一个感受
[00:19:47] 所以其实整个展会看下来的东西
[00:19:49] 都是在聚焦
[00:19:50] 如何的让一些软体执行的更快
[00:19:52] 剪片修图
[00:19:53] 那或者说去做设计跟打游戏
[00:19:56] 怎么样跑得超级顺
[00:19:58] 那我认为这个是
[00:19:59] 我自己会很意外
[00:20:00] 我会讲这样的话
[00:20:01] 如果我是两三年前
[00:20:02] 那一开始去看AI展看到这个
[00:20:04] 我一定会觉得不太对
[00:20:05] 就是你应该要跟我去demo一些未来的可能性
[00:20:08] 可是在经过两年的疯狂的审美疲劳之后
[00:20:12] 现在他就会觉得
[00:20:13] 这些东西是实际上
[00:20:15] 我一看就知道会影响到我的工作
[00:20:17] 我的生活
[00:20:18] 或者说我的娱乐
[00:20:19] 他会直接去做很大幅度的耀神
[00:20:22] 所以看到这样的东西是觉得超级的开心
[00:20:25] 那在联发课这边
[00:20:26] 我有去跟他们聊了一下
[00:20:28] 因为其实RTX Spark
[00:20:29] 它会分两个规格
[00:20:31] 反正就N1X跟N1
[00:20:33] 那比较高规格的话
[00:20:34] 它的ASP应该就是会落
[00:20:36] 我们不是在讲晶片
[00:20:37] 我们在讲说笔电出去
[00:20:38] 应该大家要买到的话
[00:20:40] 要9万到10万台币左右
[00:20:41] 那如果是N1
[00:20:42] 就是比较低规格的话
[00:20:43] 那应该是会在5-6万左右
[00:20:45] 那当然
[00:20:46] 其实我也觉得要去买这个东西
[00:20:47] 应该要直上
[00:20:49] 就是虽然大家都知道我是直上仔
[00:20:51] 所以你什么都会推直上
[00:20:52] 可是这个是真的要直上
[00:20:53] 为什么
[00:20:54] 因为你重点就是
[00:20:55] 你要有这么大的一个unified memory
[00:20:57] 你就要有这么大的记忆体破
[00:20:59] 所以你买比较低规一点的
[00:21:00] 其实我会觉得你应该会蛮死亡的
[00:21:03] 因为有很多很酷的尝试
[00:21:05] 或者是说可能过去一两年
[00:21:07] 还不敢拿出来
[00:21:08] 已经有这样子的东西
[00:21:08] 但是知道拿出来
[00:21:09] 因为它会卡顿
[00:21:10] 你demo一定会给大家笑死
[00:21:12] 就是因为它有很大的unified memory pool
[00:21:15] 所以我会觉得说
[00:21:16] 那个记忆体的容量是很大的关键
[00:21:18] 你就是必须要买到那个顶规
[00:21:20] 那你才可以去跑一些
[00:21:22] local端的Agentic AI
[00:21:23] 或者说去跑
[00:21:25] 前面所讲到的超快的剪片修图
[00:21:28] 跟图像rendering什么的
[00:21:30] 或者说游戏里面的补帧
[00:21:32] 那应该都是需要大量的memory
[00:21:33] 才可以去支撑这样的事情
[00:21:35] 所以我自己目前在猜想
[00:21:36] 就是等到那个RTX上了之后
[00:21:38] 应该会是高阶的销量要好一点
[00:21:41] 当然这是在理性的结果之下
[00:21:42] 说不定很多人是常先党
[00:21:44] 然后他也没有认真去研究
[00:21:46] 他想说先买一个入门款
[00:21:47] 然后就入门款卖得更好
[00:21:48] 但我会觉得说
[00:21:49] 买入门款的人应该会干掉
[00:21:51] 我会觉得说他们应该会干掉
[00:21:53] 因为你要去塞很大的模型
[00:21:55] 或是要做上述的东西
[00:21:57] 你都需要大量的记忆体
[00:21:58] 跟大量的算力
[00:21:59] 所以应该是要一次买到位
[00:22:00] 才会有机会
[00:22:01] 那这个产品会不会跟过去的
[00:22:04] 像高通啊
[00:22:05] 或者说我们知道MacBook
[00:22:06] 大家都有在推local AI
[00:22:08] 那高通的那一次呢
[00:22:10] 严格上来说是有一点失败
[00:22:12] 那不能够怪他
[00:22:13] 而是说就时间还没有到
[00:22:14] 类似 AIP那时候出来
[00:22:16] 我们也想说
[00:22:16] 他在几年之后
[00:22:18] 说不定有机会
[00:22:18] 可是在这个时间点出来
[00:22:19] 就一定是没有办法
[00:22:20] 因为时间是还没有到的
[00:22:22] 那我觉得这是RTX Spark
[00:22:24] 目前
[00:22:25] 纯用这个demo的内容来看
[00:22:27] 我觉得他成功的几率会是高的
[00:22:29] 但他还缺临门一角
[00:22:31] 临门一角是什么
[00:22:32] 因为我说的成功几率高
[00:22:34] 是based on
[00:22:35] 我现在的一个生活的做法
[00:22:36] 是怎么样
[00:22:36] 我用了很多的Propaxity Computer
[00:22:38] 我已经开始有用很多的AI的内容
[00:22:40] 所以这些AI的内容对我来讲
[00:22:42] 因为我现在用的AI
[00:22:43] 并不是可能一般消费者
[00:22:44] 我会去接触到的
[00:22:45] 我一个月几百块之后
[00:22:46] 我是一个月是付6000固定的月费
[00:22:48] 然后外加
[00:22:49] 我还会再去额外的买Token
[00:22:50] 因为这东西太好用了
[00:22:51] 他已经是在我的实务层面
[00:22:53] 就在说我现在要去
[00:22:54] 买一些红酒
[00:22:55] 那我要知道说
[00:22:56] 他在拍卖的价格
[00:22:57] 或说他在各个网站上的评价是怎么样
[00:22:59] 其实我透过Agenti AI
[00:23:00] 去爬超级快
[00:23:01] 而且很准确
[00:23:02] 就是他会去检查资料
[00:23:03] 那当然他准确跟超级快的一个代价是什么
[00:23:07] 就是说要花蛮多的钱
[00:23:09] 所以其实
[00:23:09] 每个月可能都花了几万块在AI上面
[00:23:12] 而且他是很被动的一直出资进去
[00:23:14] 因为就好用嘛
[00:23:14] 你一直用嘛
[00:23:15] 他就一直上去
[00:23:15] 所以不是说什么
[00:23:16] 我去买一个东西
[00:23:17] 那我都没有来用
[00:23:18] 而是因为你就是真的把用量都用完了
[00:23:20] 所以在我的角度会去考量的是
[00:23:22] 如果说有些东西可以把它
[00:23:24] 结合到地端的模型的话
[00:23:27] 就类似我们前面在聊Snowflake
[00:23:28] 可能有些东西下次要外包到LA
[00:23:30] 没有办法
[00:23:31] 那等到你开始有些data
[00:23:32] 把它建立进来的时候
[00:23:32] 有些东西可以在地端直接去跑的话
[00:23:34] 那说不定每个月你就可以省下
[00:23:36] 我们随便举例
[00:23:37] 一万块好了
[00:23:38] 那你省十个月
[00:23:39] 你的笔电就回来了
[00:23:40] 那是不是就很合理
[00:23:41] 就类似说像XAI
[00:23:42] 现在把它的Colossus
[00:23:44] 那租给Amphlapic
[00:23:45] 那个其实算下来
[00:23:46] 就是说一年内就回本了
[00:23:48] 那对你来说
[00:23:49] 你是不是就很有动机去买这个硬体
[00:23:51] 所以我目前看下来会认为
[00:23:54] 以我的这个实用情境来说
[00:23:56] 我非常有动机去买它
[00:23:57] 可是不是每个人会这样子做
[00:23:59] 所以那时候就问了
[00:24:00] 联发哥帮我展示的这位大哥
[00:24:02] 我就说
[00:24:03] 这个可不可以打游戏
[00:24:05] 他就说
[00:24:05] NVIDIA东西一定都是可以打游戏
[00:24:07] 因为他们就是从游戏起家的
[00:24:09] 那这个RTX Spark
[00:24:11] 它虽然是很小的一个晶片
[00:24:13] 可是它大概是等效5070的东西
[00:24:15] 那我就觉得
[00:24:16] 这是有搞头的
[00:24:17] 就是如果说它是
[00:24:19] 可以做到5070
[00:24:20] 然后并且因为在
[00:24:22] 这个大量的记忆体之下
[00:24:24] 可以有很多的AI的功能导入
[00:24:25] 然后甚至去优化一些游戏
[00:24:27] 或者说一些软体的表现的话
[00:24:28] 那搞不好可以把这个5070
[00:24:30] 等效的表现又推到一个更新的高度
[00:24:33] 在后面的一些软体更新跟优化上
[00:24:35] 那它拿来打游戏就会很赞
[00:24:37] 就是说你花10万块去买一个
[00:24:39] 你不要想要是AI笔电
[00:24:41] 因为AI不一定是很多人会用的东西
[00:24:42] 但是它现在是AI笔电
[00:24:44] slash电竞笔电
[00:24:45] 那这样就不一样
[00:24:47] 因为电竞笔电本来就蛮贵的
[00:24:48] 那可是这一台电竞笔电
[00:24:51] 虽然他们家不会这样去行销它
[00:24:52] 但是我会用这样去看它
[00:24:53] 这台电竞笔电它
[00:24:55] 对可能比一般电竞笔电又再贵一点
[00:24:57] 可是它是轻薄的
[00:24:57] 因为很多电竞笔电是超级厚的
[00:25:00] 然后它可能放很多的风扇或什么的
[00:25:02] 那当然其实我们家讲可能都太快了
[00:25:04] 因为你不知道它会不会后来跑电脑
[00:25:06] 一些什么软体
[00:25:07] 或者说可能像是游戏
[00:25:10] 然后会有热档的状况产生
[00:25:11] 这个不太确定
[00:25:12] 你怎么可以做这么轻薄
[00:25:13] 所以这个还要再观察
[00:25:14] 但如果说它在游戏的部分表现很好的话
[00:25:17] 你买这台笔电
[00:25:19] 你就试想吧
[00:25:20] GTA6是不是要出了
[00:25:21] 你买这台笔电可以直接无痛打GTA6
[00:25:23] 买不买还可以顺便搞AI
[00:25:25] 买不买
[00:25:26] 买
[00:25:26] 很多人就觉得说
[00:25:27] 卖
[00:25:28] 妈的Shut up take my money
[00:25:29] 所以我会认为说
[00:25:31] 如果可以把这个游戏的东西
[00:25:32] 稍微的加强去讲的话
[00:25:34] 那搭配前面的工作性的软体
[00:25:37] 生产力软体
[00:25:39] 不管是剪片修图什么的
[00:25:40] 然后搭配Agentic的Local AI
[00:25:42] 大量的参数可以直接挂进去
[00:25:44] 我觉得这台笔电
[00:25:45] 至少我会买的很高兴
[00:25:47] 而且我觉得它比前面的几款AI笔电
[00:25:49] 会有更高的一个成功几率
[00:25:51] 大概这样子
[00:25:51] 最后面我们去看ASUS ROG
[00:25:54] 我觉得这次ROG也是精锐进出
[00:25:58] 他们已经是洪荒之力了
[00:26:00] 很明显
[00:26:00] 简单来讲
[00:26:01] 他们跟市面上的太太们宣战
[00:26:04] 真的是直接宣战
[00:26:05] 他们就是做出很多的酷东西
[00:26:07] 我稍微的侧面了解一下
[00:26:09] 其实好像今年的消费性厂家
[00:26:12] 蛮多都做了很多的酷东西
[00:26:13] 不管是可能在键盘上面
[00:26:15] 很夸张
[00:26:16] 现在开始会去做一些什么客制化
[00:26:18] 或者说很酷的内容
[00:26:20] 一些什么键帽
[00:26:21] 它已经是像盲盒一样可以用抽的
[00:26:24] 后面还有一个什么24K镀金的
[00:26:27] 一个小背板
[00:26:28] 但是坐在那个根本就不会有人看到的地方
[00:26:30] 但是说你要低调奢华
[00:26:32] 要炫一下的话
[00:26:32] 找那个女生来家里看猫咪的时候
[00:26:34] 那个键盘可以不小心
[00:26:35] 键盘翻过来了
[00:26:37] 怎么会有一个24K金的金卡在这呢
[00:26:40] 送你
[00:26:40] 然后可能就直接就结婚了
[00:26:43] 所以他们有很多这种看起来超级中二的东西
[00:26:47] 就是花一堆心力去强调产品的外观之外
[00:26:51] 连实用性的部分也都做得很好
[00:26:53] 为什么
[00:26:54] 因为消费级的表现不好
[00:26:56] 所以大家都必须要使出全力
[00:26:58] 然后看怎么样去吸引到更多的消费者
[00:27:01] 所以看到了
[00:27:02] 不管是他们跟T1联名的显示卡
[00:27:05] 然后再来就是像那些键盘滑鼠
[00:27:07] 或者说硬体电脑
[00:27:09] 你知道像很夸张
[00:27:10] 它现在的主机
[00:27:11] 以前我们的主机是怎样
[00:27:12] 就是RGB三元色
[00:27:13] 我讲说那个是宅男的博文灯
[00:27:15] 那只是没有想到这个博文灯下已经进阶道
[00:27:18] 我就直接放一个面板在那边
[00:27:20] 然后那上面可以去放自己客制化
[00:27:22] 自己去选的影片
[00:27:23] 那一开始我看到想说
[00:27:24] 谁会买这个东西
[00:27:26] 然后我隔壁那个天传法师
[00:27:27] 又跟我去看展
[00:27:28] 他直接想说我会买
[00:27:29] 他直接说他会买
[00:27:30] 所以立刻就谈成了一个生意
[00:27:32] 然后看完之后就立刻被说服了
[00:27:34] 所以你说电玩展是不是有很多
[00:27:36] 像刚才前面讲
[00:27:37] 无关紧要的人的时候跑进来
[00:27:39] 像那个法师
[00:27:40] 他其实根本就不需要看展
[00:27:41] 他看线型的
[00:27:42] 他屌你基本面少小
[00:27:43] 他根本不管
[00:27:44] 他进来随便看一下
[00:27:45] 你看他就直接就买一台电脑了
[00:27:46] 然后前面一堆那种哈拉一大堆讲说
[00:27:48] 什么那个谁进来
[00:27:49] 你们到底会花多少钱
[00:27:51] 你们有花多少钱
[00:27:52] 随便找一个像我讲的这种路人进去
[00:27:55] 20万的电脑
[00:27:56] 直接就要给他刷下去
[00:27:57] 他就直接就要买了
[00:27:58] 当然现场没有卖
[00:27:59] 后面就是要直接去买
[00:28:00] 然后看了周边
[00:28:01] 他看了他说他就是要直接包鬼
[00:28:03] 要全包
[00:28:03] 所以你看大家还是要去敞开心胸
[00:28:05] 就是一些那种感觉是
[00:28:07] 他平常根本不会来看展的
[00:28:08] 他被我带来看
[00:28:09] 然后他就就知道买下去
[00:28:11] 这个就是一些意外的发展
[00:28:13] 反正总之就是
[00:28:14] ROG的各种产品
[00:28:16] 现在开始是往那种精致化的方向去走
[00:28:18] 然后外加他们有给我展了一个眼镜
[00:28:21] 这个眼镜也非常厉害
[00:28:22] 我看下来我感觉他有点像是
[00:28:24] 轻量化的Apple Vision Pro
[00:28:26] 我必须说当那时候Vision Pro出来
[00:28:29] 我去买的时候
[00:28:29] 我已经知道我自己会是一个盘子
[00:28:31] 但我其实还是蛮喜欢这个产品的
[00:28:33] 我对他诟病的点就是说
[00:28:34] 他真的太重
[00:28:35] 所以我不会想要整天把它拿出来
[00:28:36] 到现在老实跟大家说
[00:28:38] 他就是放着那边养灰尘
[00:28:40] 虽然在过去有一个感动时刻
[00:28:41] 就是我曾经用他来录儿子
[00:28:43] 后来去回放这些影片的时候
[00:28:45] 很感动
[00:28:45] 那会有换肢的效应
[00:28:46] 好像说你真的抱到这个孩子
[00:28:48] 那还是非常感动
[00:28:49] 可是真的太重了
[00:28:50] 他在生活中是难以去做应用的
[00:28:51] 所以这个就是回到
[00:28:53] 我们刚才前面所聊到的一个概念
[00:28:54] 就是什么东西是让你在
[00:28:56] daily basis
[00:28:57] 你也可以去使用的东西
[00:28:58] 这非常重要的
[00:28:59] 你不可以跟我讲太多太科幻的东西
[00:29:00] 可是他要付出巨大的代价
[00:29:02] 那个对人家来讲
[00:29:03] 就是很难去做到每天的尝试
[00:29:05] 可是ROG的这款眼镜戴上去之后
[00:29:08] 他给我的第一个感受是
[00:29:09] 他的画面是非常好的
[00:29:11] 然后跟流畅度或什么的
[00:29:12] 那就像是我那时候在看Vision Pro
[00:29:14] 甚至是超越了
[00:29:15] 然后他只是一个眼镜的重量
[00:29:17] 所以我很难去想象说
[00:29:19] 你在给他们一两年的时间
[00:29:20] 他们会把这个东西
[00:29:21] 完成什么样子
[00:29:22] 所以其实我当下的想法就是说
[00:29:24] 眼镜可能真的是
[00:29:25] 非常有搞头的东西
[00:29:27] 可能我们过去看了很多的VR格好
[00:29:29] 然后跟AR的一些demo
[00:29:31] 我们觉得说
[00:29:32] 这东西可能来太远
[00:29:33] 可是这次的电脑展
[00:29:35] 综合刚才前面所讲的东西
[00:29:37] 他给我的感受就是说
[00:29:38] Future is now
[00:29:39] 就是所有东西之下
[00:29:40] 都可以立刻实现的
[00:29:42] 而不是说
[00:29:42] 停留在纸上尬吹的环节
[00:29:44] 总之就是收获非常多
[00:29:46] 那最后Micky来带我们去看了
[00:29:48] ASUS的施展
[00:29:49] 他们一样在南港展演馆里面
[00:29:50] 有包一个小空间
[00:29:52] 那以前上上去的时候
[00:29:53] 其实里面有什么机械狗
[00:29:54] 那这次一样没有看到机械狗
[00:29:56] 但是他们多了蛮多
[00:29:57] 除了去展示伺服器之外
[00:30:00] 伺服器一样
[00:30:01] 我觉得反正下大家都差不多了
[00:30:02] 但是他有去秀了一些软体的应用
[00:30:05] 然后这些软体的应用
[00:30:06] 可以快速的去识别说
[00:30:07] 哪个地方
[00:30:08] 哪一排的伺服器的哪一个环节
[00:30:10] 可能目前是有问题的
[00:30:12] 可以立刻去做一些状况的排除
[00:30:14] 那他是跟我讲说
[00:30:15] 这些软体的应用
[00:30:17] 其实成为我节目所讲的
[00:30:19] 你没有办法很轻松的说
[00:30:21] 有AI agent
[00:30:22] 所以就不需要所有的软体
[00:30:24] 因为真的不是这样子
[00:30:25] 有些东西会下去
[00:30:26] 有些东西会上来
[00:30:27] 在这些AI的coding的协助之下
[00:30:30] 其实他们更是做出了很多
[00:30:31] 很实用的软体
[00:30:32] 如果客户要跟他们买这些东西的话
[00:30:34] 都可以帮斗一起出去给他
[00:30:35] 所以看起来是印象深刻
[00:30:37] 所以总之就是以上我电脑展的感受
[00:30:41] 这次觉得是把很多
[00:30:43] 可能在过去是像纸上谈平的东西
[00:30:46] 直接把它非常扎实的展现出来
[00:30:49] 然后去加速大家的工作
[00:30:51] 他要做的诉求
[00:30:52] 并不是在告诉你说
[00:30:54] 这是一个无人的世界
[00:30:56] 所有东西都自动化去跑
[00:30:57] 他在告诉你说
[00:30:58] 这是一个让你变得非常轻松的世界
[00:31:00] 你只要去下个指令
[00:31:02] 你只要稍微的看一下
[00:31:03] 拿着咖啡
[00:31:04] 让你的电脑去跑
[00:31:05] 那他就可以完成你的很多任务
[00:31:07] 那同时呢
[00:31:08] 你还是会维持很多的
[00:31:09] 个人化色彩在里面
[00:31:10] 你不会因为说让AI去做
[00:31:12] 然后产出一个random的结果
[00:31:14] 他是把各种
[00:31:15] 产出跟执行呢
[00:31:17] 变得更加的可视化
[00:31:19] 跟可以直接
[00:31:20] 很无脑的
[00:31:21] 类似像是no code的一个形式
[00:31:23] 你可以用drag and place的方式
[00:31:25] 就可以完成超多事情
[00:31:27] 我觉得这个是我们期待的一个未来
[00:31:29] 我觉得这也是会让
[00:31:30] 产业加速的一个
[00:31:31] 很有机会的一个未来
[00:31:34] 所以目前是觉得
[00:31:35] 非常喜欢这一次的电脑展
[00:31:37] 大概这样
[00:31:37] 简单跟大家分享一下
[00:31:38] 那因为聊一聊就已经没有时间了
[00:31:40] 没有时间跟大家聊说
[00:31:41] 因为大家都知道说
[00:31:42] 像昨天夜盘
[00:31:44] 已经出现了大场面
[00:31:45] 最深的时候
[00:31:46] 我看台子有摸到-10%
[00:31:48] 后来拉到-6-7%
[00:31:49] 所以下礼拜呢
[00:31:50] 大家就是brace for impact
[00:31:51] 那也没有什么好讲的
[00:31:53] 因为我们本来就知道说
[00:31:54] 你舒服久了
[00:31:55] 你就是会
[00:31:56] 你知道要还
[00:31:57] 一定会有天法
[00:31:58] 一定会有天钱
[00:31:59] 然后你在舒服的当下
[00:32:00] 你跟大家讲
[00:32:01] 当然老听众一定都知道
[00:32:02] 大家都一定随时做好心理准备
[00:32:04] 可是新的人一定不相信
[00:32:05] 股票只会涨
[00:32:06] 你看每天跌个一趴
[00:32:08] 那边干干叫
[00:32:09] 礼拜一就有大场面了
[00:32:10] 可是
[00:32:10] 由我自己的角度来讲
[00:32:12] 我觉得这样子去洗一下虫
[00:32:14] 绝对是好事
[00:32:14] 礼拜一这样杀一杀
[00:32:15] 如果有些是锁死的话
[00:32:17] 可能就需要在两三天的时间
[00:32:18] 去把里面的这些杠杆仔给清掉
[00:32:21] 融资融最大的
[00:32:23] 古旗杠最大
[00:32:24] 其实过去的几天
[00:32:25] 已经有在杀古旗了
[00:32:26] 那种古旗杠最大
[00:32:27] 你看到一大堆古旗
[00:32:28] 8点45分开盘
[00:32:29] 直接开超低
[00:32:30] 然后接着马上拉上来的
[00:32:31] 你知道怎么开一个超低吗
[00:32:33] 那就是那些人自杀了
[00:32:34] 因为没有办法
[00:32:35] 谁叫你要杠这么大
[00:32:35] 那就被洗掉
[00:32:36] 所以在后面可能还会有一阵子的
[00:32:38] 心风邪雨
[00:32:39] 但其实整体看下来我觉得
[00:32:41] 我们在产业端这边
[00:32:43] 是没有看到什么太多的问题
[00:32:44] 特别是去电脑展
[00:32:45] 更是充满了很多的信心
[00:32:47] 所以我觉得就是过程中
[00:32:48] 涨多也会可能
[00:32:50] 跌的时候也会多一点
[00:32:51] 那后面整理之后呢
[00:32:52] 我们再看新的方向在哪
[00:32:54] 再持续的跟大家分享
[00:32:55] 希望大家在下离拜一
[00:32:56] 当然我们美股的朋友们
[00:32:57] 不然像我自己
[00:32:58] 礼拜五已经去承受了
[00:32:59] 那礼拜一
[00:33:00] 还台股要承受一下
[00:33:01] 这个大家要做好自己的心理准备
[00:33:03] 再讲
[00:33:03] 那接下我们进去的部分
[00:33:04] 第一位领口区金城武
[00:33:05] 都在铜间健身房
[00:33:06] 怎么完全没有遇到过
[00:33:08] 孟公您好
[00:33:08] 有两点要请教
[00:33:09] 一要怎么学川普语音包
[00:33:11] 尝试好几次都不像
[00:33:13] 而目前25岁
[00:33:13] 美股绩效YTD
[00:33:15] 目前是25%
[00:33:16] 挂号自知偏烂
[00:33:21] 其持有获利
[00:33:22] 那虽然资金轮动较快
[00:33:23] 但常有卖飞的情况
[00:33:25] 有什么操作建议呢
[00:33:26] 能够开进口唱七里香吗
[00:33:28] 祝您全家健康幸福爱您
[00:33:30] 从上集就讲
[00:33:31] 就下来已经开始
[00:33:32] 有那个吃土的味道
[00:33:34] 只唱得出救命
[00:33:35] 现在没有办法唱七里香
[00:33:36] 那再来川普的语音包
[00:33:38] 我觉得你可以加上手势啊
[00:33:39] 你试试看加上手势
[00:33:41] 然后跟稍微往前请
[00:33:42] 那头要这样歪一点点
[00:33:43] 应该就会更有办法
[00:33:45] 那再来说
[00:33:46] 你自己都知道说
[00:33:47] 计较没有到很好
[00:33:48] 那你再去问西部的操作
[00:33:49] 我觉得也是没有什么用
[00:33:50] 就是有时候还要从大方向去改变
[00:33:52] 选择比较重要
[00:33:53] 那再来才努力
[00:33:54] 下面一位
[00:33:55] 对股市萌萌冬冬的小蜥蜴
[00:33:57] 向帅气幸福勇猛的
[00:33:59] 梦恭大大的许愿
[00:34:00] 您好
[00:34:01] 最近因为男友的关系
[00:34:02] 接触骨验
[00:34:02] 男友是您的忠实粉丝
[00:34:04] 常常听他梦恭长梦恭短
[00:34:05] 也跟我分享一些
[00:34:06] 贵节目的乐趣
[00:34:07] 还有梦恭大大的幸福家庭
[00:34:09] 那在此想请梦恭大大
[00:34:10] 用最幸福面满的声音
[00:34:12] 祝6月3号生日的
[00:34:13] 熏熏生日快乐
[00:34:14] 谢谢帅气幸福勇猛的梦恭大大
[00:34:16] 那我们祝熏熏生日快乐
[00:34:17] 下面一位
[00:34:18] 愤怒小共玩的哥哥暖寿
[00:34:20] 梦恭请你跟自己说
[00:34:23] 挂好弹牌的声音
[00:34:24] 那四个字
[00:34:24] 你娘卡好
[00:34:25] 那或是用跟秋口的声音
[00:34:27] 祝自己生日快乐
[00:34:29] 生日快乐
[00:34:29] 爱您
[00:34:30] 另外也在想梦恭484
[00:34:32] 最近被太多人说
[00:34:33] 生日快乐才突然狂暴发言
[00:34:34] 因为这两个留言
[00:34:35] 都跟生日有关
[00:34:36] 其实上次那个
[00:34:36] 根本就没有狂暴发言
[00:34:37] 就我自己是觉得
[00:34:39] 还还蛮好笑的
[00:34:40] 只是因为那个妈妈
[00:34:41] 她说她要胎叫
[00:34:42] 所以就我怎么可以后面乱接话
[00:34:45] 但我其实还蛮喜欢乱接话
[00:34:46] 因为上次乱接的话
[00:34:47] 严格上来讲叫普遍级的
[00:34:49] 我不知道大家是活在什么
[00:34:50] 粉红泡泡的世界
[00:34:51] 因为发现
[00:34:53] 当然绝大多数的听众
[00:34:54] 都是说很好笑很好玩
[00:34:55] 那还是有少部分
[00:34:56] 就是说好像我讲了什么
[00:34:57] 很严重的话
[00:34:57] 赶快滚回去
[00:34:59] 看巧虎
[00:35:00] 还是有很多这种怪小
[00:35:01] 还是觉得这个节目大了
[00:35:02] 有时候会唠叨一些
[00:35:03] 我真的很不喜欢的人
[00:35:04] 你觉得这个很严重
[00:35:05] 你赶快回去听巧虎
[00:35:08] 下面一位
[00:35:08] 我北头昂金星
[00:35:11] 那6月6号是什么好日子
[00:35:13] 便念到可以吹一辈子
[00:35:14] 孟公你听过第二根脚趾头
[00:35:16] 比大拇指长的玄学吗
[00:35:17] 据说第二根脚趾较长的
[00:35:19] 俗称希腊脚
[00:35:20] 人生通常顺
[00:35:21] 所以不需要去走太多的弯路
[00:35:23] 那不知道孟公去嘎
[00:35:24] 脚趾头是什么脚
[00:35:25] 我有试着找你穿拖鞋的照片
[00:35:27] 放大来看
[00:35:28] 但还是看不太清楚
[00:35:29] 如果有心被您念到留言
[00:35:30] 可以po在线洞
[00:35:31] 你脚趾头给我看吗
[00:35:32] 拜托了
[00:35:33] 甚至快乐爱您
[00:35:34] 那对了
[00:35:34] 我也会拍我的脚趾头给你看
[00:35:36] 一点都不想看
[00:35:37] 拜托不要突然间什么拍脚趾头
[00:35:40] 还什么奇怪的照片
[00:35:41] 有些奇怪的照片不要讲
[00:35:43] 讲的怕给人家一些灵感
[00:35:44] 但我有一个朋友
[00:35:45] 他开那个按摩店
[00:35:46] 然后就会有人传那个吊照给他
[00:35:49] 然后他有想法
[00:35:50] 整组直接传给他
[00:35:51] 然后他就要去报警才麻烦
[00:35:53] 那脚的话
[00:35:54] 我当时叫他什么罗马脚
[00:35:56] 就是一二三四
[00:35:57] 那是比较这个序列排列的
[00:35:59] 那如果是希腊脚的话
[00:36:02] 就是第二根比较长
[00:36:02] 我知道很多人都是这样子
[00:36:03] 我们家里也有人是那样子
[00:36:05] 我不是
[00:36:05] 我是第二根是拍在第一根后面
[00:36:08] 这种大概是这样
[00:36:09] 那你说第二根比较长
[00:36:10] 对我们比较顺遂
[00:36:11] 好像还好
[00:36:12] 我下面一位
[00:36:13] 2026绩效大报社
[00:36:15] 三个问题想问
[00:36:16] 16小孩的时候会放着6
[00:36:18] 还是一直盯着
[00:36:18] 孩子阿公都说放给他自己玩就好
[00:36:20] 每天都爱戴他
