[00:00:00] 欢迎收听古爱,我是沈梦公
[00:16:51] 可能就会是市场
[00:16:52] 想要去关注的一个对象
[00:16:54] 所以最近的成交量是拉得比较高一点
[00:16:56] 杠杆的倍数也是拉得比较高一点
[00:16:58] 但是遇到像这类型的回荡
[00:17:00] 像今天我自己是没有去降杠
[00:17:01] 理论上是要去降一点
[00:17:02] 但简单来讲
[00:17:03] 因为过去真的是拉太远
[00:17:05] 所以不会急着在第一时间就去做调整
[00:17:07] 如果后面有在一些回荡出现的话
[00:17:09] 可能才会去执行降杠
[00:17:11] 像我可能之前有跟大家聊过
[00:17:13] 我现在的观念就是
[00:17:14] 我不想要在派对结束之前就走出去
[00:17:18] 我宁愿等到派对开到一半
[00:17:20] 然后突然间警察进来说
[00:17:21] 林姐看证件了
[00:17:23] 你发现说
[00:17:23] 你隔壁这些老兄这些老妹
[00:17:25] 全部都没有带证件
[00:17:27] 你不知道是跟一群牛鬼舌神混进来
[00:17:29] 什么的
[00:17:29] 可能大家一起被带回去派出所
[00:17:31] 观察一下之后
[00:17:32] 然后你才被放出来
[00:17:33] 但不管了
[00:17:33] 所以你会去吃到一些回荡
[00:17:34] 你会吃到一些受伤
[00:17:35] 但不管
[00:17:36] 反正就是这个行情家很疯
[00:17:37] 那就是会选择一路搭
[00:17:39] 搭到出那种大盘格局的
[00:17:41] 长黑K
[00:17:42] 什么吞噬之类的
[00:17:43] 那接着再来看不会怎么样调整
[00:17:45] 但是其实老实讲
[00:17:46] 按照下这种邪律
[00:17:47] 就大盘拉的这种邪律
[00:17:49] 它就算掉下来
[00:17:51] 掉很凶
[00:17:52] 也没关系
[00:17:53] 应该很快都会再出反弹
[00:17:54] 简单来讲就是说
[00:17:55] 到底发生什么事情
[00:17:57] 我们也是不知道
[00:17:58] 反正就是且战且走
[00:17:59] 那心中掌握的就是
[00:18:01] 我知道市场上的故事在哪里
[00:18:02] 我知道现在CPU
[00:18:03] 我知道ISIC
[00:18:04] 我知道他们相关的一些components
[00:18:06] 我知道被动元件
[00:18:07] 那当他们都持续的去走
[00:18:10] 我也知道它后面
[00:18:10] 有fundamental的东西支撑的话
[00:18:12] 那其实就不会想太多
[00:18:13] 反正就是看这个行情
[00:18:15] 可以走到哪里
[00:18:16] 然后就跟着搭车就好
[00:18:17] 这是我自己在
[00:18:18] 最近处理这个盘式的一个心得
[00:18:21] 那至于像过去是
[00:18:23] 可能两三万点
[00:18:24] 三万点的时候
[00:18:25] 有跟大家聊到说
[00:18:26] 那时候我们去看TSM
[00:18:27] 其实你按照它
[00:18:28] 在2027的一个
[00:18:30] 这个EPS估算的话
[00:18:32] 我们是觉得说
[00:18:32] 有机会可以到四万点
[00:18:33] 只是说现在四万点已经到了
[00:18:35] 那心中会不会觉得说
[00:18:36] 有机会可以到五万点
[00:18:37] 还算不到
[00:18:38] 还算不到
[00:18:39] 所以自己会稍微的
[00:18:41] 也不能够说保守
[00:18:42] 因为反正那个牌都已经推进去了
[00:18:43] 反正就看会走到哪里
[00:18:45] 然后再去识别说
[00:18:47] 到底下市场是愿意给
[00:18:48] 整体的盘面到
[00:18:49] 怎样的一个估值
[00:18:50] 但其实我觉得市场里面
[00:18:51] 蛮多东西都是相对的
[00:18:52] 就像说像过去
[00:18:53] 喷很凶的一些光通
[00:18:54] 最近开始出现一些回导
[00:18:55] 这些光通股其实有些是交易在
[00:18:58] 两三年后的一百倍
[00:18:59] 简单来讲说
[00:19:01] 市场都愿意去买这种东西
[00:19:02] 所以你说市场里面的
[00:19:04] 这种大型全职股
[00:19:05] 它只交易在20倍
[00:19:07] 甚至是
[00:19:08] 怎么讲
[00:19:08] 就高级成长性
[00:19:10] 可是都只有30倍左右的一些ASIC
[00:19:12] 这种大市值的
[00:19:14] 那他们就显得是非常便宜
[00:19:15] 简单来讲说
[00:19:16] 如果大家可以接受
[00:19:17] 那个东西存在的话
[00:19:18] 那这些东西其实都非常便宜
[00:19:19] 那我们就是去保持弹性
[00:19:21] 当你们都可以去买那些东西的时候
[00:19:22] 那我就可以来买这些东西
[00:19:23] 那直到什么时候
[00:19:24] 直到可能大盘走到某个地方
[00:19:26] 做了个头
[00:19:26] 那大家知道说
[00:19:28] 估值的上限到这边
[00:19:29] 那我们才会再去执行
[00:19:30] 下一波的太罗流强
[00:19:31] 所以这是自己最近
[00:19:32] 对于盘面的一些看法
[00:19:34] 那后面我们来聊一下
[00:19:35] 因为Panentear它开了一个财报
[00:19:37] 那参观的财报数字呢
[00:19:38] 因为现在AI都非常方便
[00:19:39] 大家去问AI
[00:19:40] 它就直接把数字都给你
[00:19:41] 所以我们不用去讲太多
[00:19:42] 量化方面的东西
[00:19:44] 我们去聊一些直化相关的内容
[00:19:45] 那我觉得它里面
[00:19:46] 讲了一段深得我行
[00:19:48] 或甚至可以直接就呼应到
[00:19:49] 我们上集所说的内容
[00:19:50] 就是提到说
[00:19:51] 他们现在要去
[00:19:53] 怎么讲就是搞一个类似说
[00:19:54] No AI Slop Zone
[00:19:56] 这什么意思呢
[00:19:56] AI Slop就是我们讲说
[00:19:57] AI在网络上去产生的一些
[00:19:59] 废文废图什么的
[00:20:00] 那最近有看到
[00:20:01] 在亚马逊的这个ebook
[00:20:03] 就是说电子书的产质量呢
[00:20:06] 最近那个数字是拉得很高
[00:20:08] 为什么
[00:20:08] 因为可能一堆人透过AI
[00:20:09] 然后就开始去出一些垃圾内容
[00:20:11] 当然我们不在讲说
[00:20:12] 每个东西都是垃圾啦
[00:20:13] 可是一定有很多东西
[00:20:14] 就是粗之烂造的东西
[00:20:15] 透过AI的协助
[00:20:16] 才有办法把这些作品生得这么快
[00:20:17] 那我们也是相信说
[00:20:18] 当然有AI的协助
[00:20:19] 可以让一些作者
[00:20:20] 它可能本来就很有天分
[00:20:21] 那只是加了一个杠杆加速器一样
[00:20:23] 然后把这个东西可以做出来
[00:20:25] 但反正总之呢
[00:20:26] 我们知道在网络上
[00:20:26] 下它的内容呢
[00:20:28] 它其实是越来越廉价的一个情形
[00:20:30] 因为产出的量子还是太大
[00:20:32] 那这我们就把它称为是AI Slop
[00:20:33] 不管是文字的
[00:20:34] 不管是图片
[00:20:35] 或是一些观念的传达
[00:20:37] 或是一些影片
[00:20:37] 你开始划一些端影
[00:20:38] 又会看到说
[00:20:39] 什么去切一个玻璃水果
[00:20:40] 然后发出奇怪的声音
[00:20:41] 或什么的
[00:20:42] 或甚至是那种高度拟真的
[00:20:44] 川普的影片或什么的
[00:20:46] 这些东西呢
[00:20:46] 都是我们可以把它泛指为是AI Slop
[00:20:48] 那当然这AI Slop呢
[00:20:49] 它如果是一个像是迷因性质
[00:20:51] 好笑的东西
[00:20:52] 那绝对是没有问题嘛
[00:20:54] 反正大家看的
[00:20:55] 就是笑一笑就结束
[00:20:55] 可是问题是
[00:20:56] 当你今天要把这些AI Slop
[00:20:58] 拿进去公司里面去做应用的时候
[00:21:00] 它立刻就会产生问题
[00:21:01] 你在公司的应用
[00:21:02] 你不可以去处于一个
[00:21:03] 魔人两可的东西
[00:21:04] 如果你今天只是
[00:21:05] 像你的老板
[00:21:06] 你不知道
[00:21:06] 你在一个投资公司上班
[00:21:07] 然后他可能也没有
[00:21:08] 叮你叮得太紧
[00:21:09] 他会想说
[00:21:09] 你去帮我去生一个
[00:21:11] AMD的Earnings Code报告
[00:21:12] 那这个其实你现在
[00:21:13] 真的透过AI就立刻做出来
[00:21:14] 老板可能还觉得说
[00:21:18] 不是但是什么这种删掉
[00:21:20] 因为那是AI的用词
[00:21:21] 这个老板会抓到
[00:21:22] 那除此之外呢
[00:21:23] 就是这种可能比较偏向一些
[00:21:25] 概念式分析的东西
[00:21:27] 它不用抓得太准
[00:21:29] 它只要抓到一些关键字
[00:21:30] 这个交给AI做是没有问题
[00:21:31] 可是当然你今天是处理到
[00:21:33] 账务会计
[00:21:34] 法尊
[00:21:35] 人事
[00:21:35] 或者是有去对到你的客人的话
[00:21:38] 那这个东西就要求到
[00:21:39] 非常的精准
[00:21:40] 所以Parentier
[00:21:41] 他现在在努力的一块
[00:21:42] 或者说他在推动的一块
[00:21:43] 就是说这个AI必须要
[00:21:45] 尽可能去降低
[00:21:46] 所谓的AI Slop
[00:21:47] 那他的FDE
[00:21:48] 某个程度上就在扮演
[00:21:49] 这样子一个角色
[00:21:50] 简单说这个数据就是
[00:21:52] Garbage in garbage out
[00:21:53] 如果你今天是喂垃圾的话
[00:21:54] 那出来的东西也高
[00:21:55] 几率是垃圾
[00:21:56] 那如果说今天公司只是
[00:21:57] 随便去串一个网上的AI
[00:21:59] 去做生成的话
[00:22:00] 你生成的东西不只是不准
[00:22:02] 还有可能会对公司
[00:22:03] 造成一些伤害
[00:22:04] 所以非常精准的AI是需要的
[00:22:07] 那这件事情呢
[00:22:07] 我最近在网上看到一个
[00:22:09] 说法非常的有趣
[00:22:10] 忘记是在谁的留言区
[00:22:12] 然后有提到这件事情
[00:22:13] 就是说现在的网路
[00:22:15] 就是大家都宣称
[00:22:16] 自己有传说厨具
[00:22:17] 可是我们至今还没有看到
[00:22:19] 传说料理的诞生
[00:22:20] 这什么意思
[00:22:21] 传说厨具就是说
[00:22:22] 因为现在每个人都有AI
[00:22:23] 所以每个人都可以宣称说
[00:22:24] 什么AI多屌要取代谁
[00:22:25] 最喜欢讲取代别人
[00:22:26] 都不会说取代自己
[00:22:27] 那接着就是说
[00:22:28] 我今天用AI又科出了什么产品
[00:22:31] 我今天用我的AI又怎么样
[00:22:32] 那我就问你各位
[00:22:33] 那你他妈产品到底在哪里
[00:22:35] 所以其实现在很多人
[00:22:36] 在用AI做的东西都是
[00:22:37] 怎么说
[00:22:38] 他可能自己觉得说
[00:22:39] 这是我一个小创作
[00:22:40] 我可以做出一个
[00:22:41] 我以前没有办法想到的应用
[00:22:43] 或什么的
[00:22:43] 你也看到很多人开课跑出来讲这个
[00:22:44] 我用AI生成了一个什么
[00:22:46] 小gadget
[00:22:47] 一个小功能
[00:22:48] 小tools
[00:22:49] 这个东西非常好用
[00:22:50] 以前我可能要买或什么的
[00:22:52] 但这些东西已经是非常严重的
[00:22:54] 怎么讲
[00:22:55] 就是在市场里面是膨胀到
[00:22:57] 就是基本上猴子都可以做出来
[00:22:59] 所以你现在可以做出这个东西
[00:23:01] 一点都不稀罕
[00:23:02] 那最直接的验证就是
[00:23:04] 你一定没有办法
[00:23:05] 拿这个东西去卖钱
[00:23:06] 你会看到很多小故事
[00:23:07] 告诉你说
[00:23:08] 他做一个什么小应用赚
[00:23:09] 多少钱或什么的
[00:23:09] 但你会发现
[00:23:10] 他是凤毛麟角
[00:23:11] 因为现在他在做这件事情
[00:23:12] 的人实在是难道太多了
[00:23:13] 可是真的有办法
[00:23:14] 把它变成是
[00:23:15] 可以营运下去
[00:23:17] 可以去获利的一个产品的人
[00:23:19] 这很少的
[00:23:20] 所以产品本身超级重要
[00:23:22] 这个AI stop的观念
[00:23:23] 就会反映在
[00:23:24] 就是在未来的一段时间
[00:23:27] 不然说像我们上期
[00:23:28] 有稍微的提一下
[00:23:29] NSN
[00:23:30] 即便这家公司并不是自己
[00:23:31] 有在观察
[00:23:32] 或是有布局的东西
[00:23:33] 可是它开出来的数字
[00:23:35] 是颠覆市场想象的
[00:23:36] 因为市场本来认为说
[00:23:37] 你就是死定了
[00:23:38] 特别是要知道说
[00:23:40] 这个东西死定
[00:23:40] 它不会是一个未来
[00:23:41] 它应该是现在进行师
[00:23:42] 为什么
[00:23:42] 因为过去你已经看到
[00:23:44] 巨头或是一些enterprise
[00:23:46] 它确实是shift了一大堆
[00:23:47] 可能过往的IT资源
[00:23:49] 或者说会去买一些软体
[00:23:51] 买一些有的没有东西资源
[00:23:52] 全部拿去买AI伺服器
[00:23:53] 这个是已经在发生的事情
[00:23:55] 所以一定是有人受害的
[00:23:56] 就是你的钱
[00:23:57] 不是说会无限增生的
[00:23:59] 当你拿这么多的钱
[00:24:00] 去医到某个地方
[00:24:02] 一定有些地方
[00:24:02] 钱会不见
[00:24:03] 所以如果今天你注意到
[00:24:05] 有些公司
[00:24:05] 它还是有钱进来
[00:24:07] 那它真的是有机会
[00:24:08] 可能就是错杀
[00:24:09] 因为在过去
[00:24:09] 市场给大家的一个论述
[00:24:11] 就是即便老黄
[00:24:12] 就是AI教主
[00:24:13] 他自己都反对
[00:24:14] 他都说应该是要创造更多工作
[00:24:16] 软体会变得比
[00:24:17] 既往更重要或什么的
[00:24:18] 但蛮多人的想法
[00:24:20] 就是说
[00:24:20] 这个以后都不需要
[00:24:21] 有任何的software
[00:24:22] 其实这个是很矛盾的
[00:24:23] 因为如果是这样的话
[00:24:24] 那科技巨头
[00:24:24] 应该全部都要丢掉
[00:24:25] 不是说不用software
[00:24:27] 可是一定会有一些
[00:24:28] 可能典范转移的事情发生
[00:24:30] 或是一定会有一些
[00:24:31] 胎肉流强的状态发生
[00:24:33] 那这个也不要讲说是软体
[00:24:34] 其实你说硬体也是
[00:24:35] 这阵子
[00:24:36] 如果你在做工业电脑
[00:24:38] 这些厂商
[00:24:38] 其实就超级危险
[00:24:39] 为什么
[00:24:39] 因为简单说
[00:24:41] 就是你的采购
[00:24:42] 溢价能力本身
[00:24:42] 也没有人家强
[00:24:43] 你料也拿不赢人家
[00:24:44] 所以那些五哥十哥
[00:24:46] 他去做AI伺服器
[00:24:47] 即便那个毛利数字
[00:24:48] 没有这么高
[00:24:48] 可是他至少给你确保
[00:24:49] 就一直赚钱
[00:24:50] 那你那种采购力
[00:24:51] 没人家强的
[00:24:52] 你现在又要去买
[00:24:52] 那种贵生生的记忆体
[00:24:53] 然后像板子又变贵
[00:24:54] 什么又变贵
[00:24:55] 所以一样是在做server
[00:24:57] 可是其实有些人的财务状况
[00:24:59] 在后面是有机会出现爆雷的
[00:25:00] 所以出事情的
[00:25:01] 那所以不是说
[00:25:02] 每个做硬体的都一定会好
[00:25:03] 那一样的道理就是
[00:25:04] 不是说每个做软体的都会好
[00:25:06] 但是你已经开始注意到
[00:25:08] 特别是
[00:25:08] 我觉得像我们节目去提到
[00:25:10] 自己喜欢的软体
[00:25:11] 这当然这不知道自吹
[00:25:12] 但你回头看一下
[00:25:13] 像我们特别喜欢的
[00:25:14] CrossTripe
[00:25:14] 或是Parente
[00:25:15] 或是这个
[00:25:16] 这个叫什么
[00:25:17] Coffflare
[00:25:19] 就是他们在过去认知
[00:25:21] 其实像Year Today
[00:25:22] 有两家是正的
[00:25:23] 只是在Parente
[00:25:24] 还是负的
[00:25:24] 还是在水下
[00:25:25] 但相较于一些software
[00:25:27] 它可能是已经跌掉40% 50%
[00:25:29] 甚至是有跌掉60% 70%的
[00:25:31] 那他们是相对撑得住的
[00:25:32] 所以我觉得这里面
[00:25:33] 要传达的一个概念就是
[00:25:35] 你没有办法很笼统的去听
[00:25:38] 市场的某一种说法
[00:25:40] 然后就把投资这件事情做好
[00:25:42] 你要有自己的一些判断
[00:25:43] 那这个判断不代表
[00:25:44] 你一定是会对
[00:25:45] 就是一定会有错的时候产生
[00:25:47] 那至少你要Stand your ground
[00:25:49] 就是你不要说
[00:25:50] 今天听到一些风吹草动
[00:25:51] 然后立刻就改一个说法
[00:25:52] 因为这对自己的credit也很伤
[00:25:54] 我知道绝对多数的散户
[00:25:55] 你不用管credit
[00:25:56] 可是在我们自己的工作领域里面
[00:25:58] 因为大家其实是会互相推标的
[00:26:00] 就是我跟你认识
[00:26:02] 虽然我不是投资公司
[00:26:03] 可是我们互相
[00:26:04] 你在看什么我在看什么
[00:26:05] 你整天都妈推垃圾
[00:26:06] 久而久之大家都知道说
[00:26:07] 你就是一个垃圾
[00:26:08] 所以你不能够就整天改说法
[00:26:09] 然后或者说人家每次问你标的
[00:26:11] 你就是手上都是强势股
[00:26:13] 听起来好像很屌
[00:26:13] 很多散户看到那种
[00:26:14] 有些人手上是强势股
[00:26:15] 觉得说这一定是神的
[00:26:16] 没有
[00:26:17] 那麽这些东西
[00:26:18] 你只要每天打开XQ
[00:26:19] 你就涨幅排行榜
[00:26:20] 你就每个都去买
[00:26:21] 你手上就全部都是强势股
[00:26:23] 可是问题是
[00:26:23] 我没有办法在里面看到一个
[00:26:25] 叙事逻辑的话
[00:26:25] 这会出状况的
[00:26:26] 就是你可能只是
[00:26:27] 不知道
[00:26:28] 就除非你是一个超强的量化魔人吧
[00:26:30] 不然可能长期来看
[00:26:32] 都不是一个太好的情形
[00:26:34] 所以我认为去识别
[00:26:35] 就是每个软体之间的
[00:26:37] 那个差异是非常重要的
[00:26:38] 那特别是一个很好的验证
[00:26:40] 就是现在的AI时代
[00:26:42] 大家正在把大量的资源
[00:26:44] 投进去AI里面
[00:26:45] 所以呢
[00:26:45] 如果在后面的财务数字
[00:26:47] 开出来是OK的
[00:26:48] 很重要
[00:26:49] 就是财务数字开出来
[00:26:50] 而不是说
[00:26:51] 在那边嘴炮说什么
[00:26:52] AI怎么样的
[00:26:53] 你真的有财务数字
[00:26:54] 你真的有去提升你的margin
[00:26:56] 就是你整体的表现
[00:26:58] 是变好的话
[00:26:58] 那这些东西
[00:26:59] 有可能就是后面的一个
[00:27:01] 机会之所在
[00:27:02] 所以这个当然
[00:27:03] 我不会现在选择去做介入
[00:27:05] 因为我们的交易
[00:27:06] 其实是包含了
[00:27:07] 蛮多的事件跟动能在里面
[00:27:08] 那我自己的想法是这样子
[00:27:10] 就是因为怎么讲
[00:27:11] 就现在美股
[00:27:12] 其实有些标的
[00:27:13] 自己手上持有的
[00:27:14] 已经疯到
[00:27:14] 你也不知道该说什么了
[00:27:15] 那台股其实也是
[00:27:16] 就是一些那种租群线的东西
[00:27:17] 整个都已经拉出去
[00:27:18] 好几根涨停
[00:27:19] 或什么的
[00:27:20] 那想法是这样
[00:27:21] 就是如果说这些东西
[00:27:22] 后面开始软掉去横盘的话
[00:27:23] 才会有机会会去找那些东西
[00:27:26] 就点类似说
[00:27:27] 其实我现在手上
[00:27:28] 看得到的一些剧本
[00:27:30] 你说像那个矽晶元
[00:27:31] 环球晶算
[00:27:32] 昨天讲的不是特别好
[00:27:34] 但整体来看
[00:27:35] 就是矽晶元的一个周期
[00:27:36] 应该开始要上去了
[00:27:37] 那这就不会是首选
[00:27:39] 它是排在后面的一个选择
[00:27:40] 虽然它可能最近股价也蛮强的
[00:27:42] 那再来另外一个
[00:27:42] 我觉得也蛮意外的是
[00:27:44] 像Vanguard就是世界先进
[00:27:46] 世界先进
[00:27:47] 它在最近的一次对外的说法
[00:27:50] 也是显示了
[00:27:50] 它一些厂房
[00:27:51] 它是在做成熟制成的
[00:27:53] 就成熟制成的一些厂房
[00:27:54] 它可能还没有盖好
[00:27:55] 然后东西都卖掉
[00:27:56] 它的利用率也是超级高的
[00:27:58] 虽然这个其实大概在
[00:28:00] 几个月前就看得到
[00:28:01] 但它就是不会是一个首选
[00:28:03] 所以我们现在的概念
[00:28:04] 有点像说
[00:28:04] 我们自己的心目中
[00:28:05] 会有一些异军跟俄军
[00:28:06] 那异军就是股价确实在右上角
[00:28:09] 然后故事又对的东西
[00:28:10] 那当异军今天开始
[00:28:11] 有一些软掉的情形产生的时候
[00:28:13] 那就会选择可能部分往二军去
[00:28:15] 或者说可能一军拉回够深的话
[00:28:16] 有机会再去做更进一步的布局
[00:28:18] 但整体看会认为说
[00:28:20] 以下这个盘面
[00:28:21] 就是它那个邪率
[00:28:22] 真的是太高了
[00:28:23] 所以一般这么高的邪率
[00:28:25] 不知道
[00:28:26] 除非是像那种打抗抗那种
[00:28:27] 就后来就直接A下去
[00:28:29] 不然很难
[00:28:30] 就是一般一定会有一个
[00:28:31] 后面会给一个盘整段
[00:28:33] 盘整段就去拼选股
[00:28:34] 到时候就可以在这些东西
[00:28:35] 去做一些轮动
[00:28:36] 所以自己心中的规划是这样
[00:28:39] 所以美股的一些在过往
[00:28:40] 可能是所谓的被AI排挤
[00:28:42] 被杀到的东西
[00:28:43] 一些service
[00:28:44] 或者说SaaS related的东西
[00:28:46] 它只要是财务数字够好的
[00:28:48] 可能后面都会想去注意它
[00:28:49] 因为它真的都蛮多跌到
[00:28:50] 所谓的便宜的位置
[00:28:51] 当然便宜有可能是一个价值陷阱
[00:28:54] 只是如果有财务数字
[00:28:56] 可以去做背书
[00:28:57] 如果说公司给的guidance
[00:28:58] 也是够高的话
[00:28:59] 有可能后面会产生一些
[00:29:00] 市场论述的翻转现象
[00:29:02] 就在说在CPU这波转好之前
[00:29:04] 所以我说市场里面
[00:29:06] 有时候要很好的记忆力
[00:29:07] 因为你瞎子记得
[00:29:08] 大家都讲CPU很好
[00:29:09] 可是其实在几个月前
[00:29:10] 是不会有人跟你说CPU很好的
[00:29:12] 甚至你问大家
[00:29:12] 大家讲说谁会去买CPU
[00:29:14] 有时候就是在一个瞬间
[00:29:15] 这些东西就会去做反转
[00:29:17] 类似说可能在今年年初的时候
[00:29:19] 有些人就直接跟你讲说
[00:29:20] 美股死定了
[00:29:21] 对不对
[00:29:21] 不要再做美股什么的
[00:29:23] surprise motherfuckers
[00:29:24] 直接就一路紧盆
[00:29:25] 所以我们已经开始有去思考
[00:29:26] 说就下一步可能要往哪走
[00:29:28] 只是要等到时间到有trigger
[00:29:29] 开下去之后
[00:29:30] 那可能再去做相对应的布局
[00:29:32] 类似说那时候可能看到
[00:29:33] CPU的股价GT转强
[00:29:35] 这个是蛮重要
[00:29:36] 就是市场先买给你看
[00:29:37] 有一些大资金
[00:29:38] 知道我们不是笨蛋
[00:29:39] 他为什么要去帮前面这些人解套
[00:29:40] 当他去做的时候
[00:29:42] 那可能我们就会选择
[00:29:43] 去稍微的看一下
[00:29:44] 就像我自己今天
[00:29:45] 在盘中的操作是这样子
[00:29:47] 就虽然我没有去做什么解码
[00:29:48] 可是我注意到尾盘转强的东西
[00:29:49] 我妈妈直接进去卡位
[00:29:50] 我就先卡
[00:29:51] 我这位置上的故事是什么
[00:29:52] 可是你之前你不拉的时候
[00:29:53] 我就不要嘛
[00:29:54] 你一下要拉
[00:29:54] 我可能就卡一下
[00:29:55] 反正快盘就是用一些快盘的做法
[00:29:57] 大概是这样子
[00:29:58] 好那接下我们进去的部分
[00:29:59] 第一位Brian Wang
[00:30:00] 淡淡有一颗字
[00:30:01] 留意密码测试
[00:30:02] 当初我还是气氛仔
[00:30:04] 都在85度Z跟高中兄弟聊股票
[00:30:06] 国外节目出来后
[00:30:07] 我们又有更多的话题
[00:30:08] 孟公你是风
[00:30:09] 你是光
[00:30:10] 你是唯一的升华
[00:30:12] 只是我兄弟比你早点变二宝罢了
[00:30:15] 他是两个女儿
[00:30:16] 祝福孟公
[00:30:17] 生活事业都顺心
[00:30:19] 重要的是全家都要平安健康
[00:30:21] 只有麻烦你用川普的口音
[00:30:22] 祝我兄弟
[00:30:23] 宜郎水煎包老板兼
[00:30:25] 美股去年被大盘击败的战神
[00:30:27] 大屌宣
[00:30:28] 过期的生日快乐
[00:30:30] 他也要祝云云跟云娜
[00:30:41] 快乐平安长大
[00:30:42] 介绍大学同学给叔叔
[00:30:45] 死变态
[00:30:45] 我跟你讲
[00:30:46] 讲到这一点
[00:30:47] 我最近跟我朋友就聊这件事情
[00:30:48] 就是呢
[00:30:49] 我以前在大学的时候
[00:30:50] 因为我有一个前女友
[00:30:52] 她的男朋友就是社会人士
[00:30:54] 然后那时候
[00:30:55] 因为我刚刚跟她在一起
[00:30:56] 我不知道什么
[00:30:56] 我心中就很纠结
[00:30:57] 我很自卑吧
[00:30:58] 我就是整天在喷说
[00:30:59] 我跟你讲
[00:31:00] 你那个男朋友就是他妈的
[00:31:01] fucking loser
[00:31:02] 谁会
[00:31:03] 你知道你已经收人士
[00:31:04] 然后你还要
[00:31:04] 反正跑回来爬大学
[00:31:06] 你怎么会跑来
[00:31:07] 爬大学的妹妹
[00:31:08] 这很丢脸啊
[00:31:09] 你一定是什么
[00:31:10] 外面的鲁蛇
[00:31:10] 然后那童年都比较你
[00:31:11] 反正那时候我就讲出一些
[00:31:12] 那种超级激进的话
[00:31:14] 那后来我们更长大的时候
[00:31:16] 有一件事情还蛮好笑
[00:31:17] 反正就是我们那时候在
[00:31:18] 国高中的时候
[00:31:20] 我们就认识一个在苗栗
[00:31:22] 教英文的老师
[00:31:23] 那当然
[00:31:24] 因为苗栗真的太小
[00:31:25] 所以我们就不要说是谁
[00:31:26] 那反正这个老师呢
[00:31:27] 是一个外籍人士
[00:31:29] 他那时候真的就是
[00:31:30] 每天跟我们混
[00:31:30] 那我就记得
[00:31:31] 这个老师呢
[00:31:32] 他给我们很多
[00:31:33] 生活上的冲击
[00:31:34] 就像说
[00:31:34] 我们小时候开冷气怎么开
[00:31:36] 我们就睡觉前
[00:31:37] 开一到两个小时
[00:31:38] 然后爸爸就会起来
[00:31:38] 把冷气关掉
[00:31:39] 省钱
[00:31:40] 上床
[00:31:41] 没钱
[00:31:41] 然后存钱
[00:31:42] 那反正就有凉就好
[00:31:43] 大家可以睡着就好
[00:31:44] 那晚上呢
[00:31:45] 可能甚至是
[00:31:46] 还是需要盖被之类的
[00:31:48] 那时候去这个
[00:31:49] 外籍老师家呢
[00:31:50] 就会注意到
[00:31:51] 哇
[00:31:51] 他家的冷气超屌
[00:31:52] 他24小时都不关
[00:31:53] 就整天冷气都开着
[00:31:55] 然后他会把他的墙面
[00:31:56] 就漆成什么红色蓝色
[00:31:57] 你知道一样
[00:31:58] 苗栗的乡下孩子
[00:31:58] 我们真的没有看过
[00:31:59] 这种事情
[00:32:00] 我们家里一定是
[00:32:00] 上面就是青钢架嘛
[00:32:02] 白墙壁嘛
[00:32:03] 反正一定那种最土的
[00:32:04] 然后地板就磁砖
[00:32:05] 第一次看到的时候
[00:32:05] 有人可以把室内装潢
[00:32:07] 弄成这样
[00:32:07] 然后他的房间
[00:32:08] 还有一个螺旋桨
[00:32:09] 就真的是飞机的螺旋桨
[00:32:11] 然后直接那边展示
[00:32:12] 给大家看
[00:32:12] 然后花了好几万去买的
[00:32:14] 所以当时我们都很喜欢他
[00:32:15] 然后他带我们去酒吧
[00:32:16] 然后他也都是会负责付钱
[00:32:18] 然后跟我们聊天
[00:32:19] 我们知道说他是基劳
[00:32:20] 可是呢
[00:32:20] 他也没有对我们
[00:32:21] 产生过任何兴趣
[00:32:22] 然后甚至那时候
[00:32:23] 家人会讲说
[00:32:24] 你那个朋友
[00:32:25] 他年纪比较大
[00:32:26] 稍微注意一下
[00:32:27] 你们知道去哪玩
[00:32:28] 就家人会多问一点
[00:32:29] 他讲说
[00:32:29] 问太多啊
[00:32:30] 干嘛啦
[00:32:30] 朋友啦
[00:32:31] 或什么的
[00:32:32] 可是我们长大才发现
[00:32:33] 你说我现在
[00:32:34] 我三十几岁
[00:32:36] 你说我本想去跟一个
[00:32:37] 你不要说大学生
[00:32:38] 你说刚出社会的
[00:32:39] 我根本也懒得
[00:32:40] 跟刚出社会的混
[00:32:41] 没有任何恶意
[00:32:42] 可是对话对不起来
[00:32:44] 那更何况
[00:32:44] 我去跟一个学生混
[00:32:45] 我怎么可能
[00:32:46] 我三十几岁
[00:32:47] 然后我去跟一个大学生混
[00:32:48] 这我真的做不来
[00:32:49] 所以你懂的话
[00:32:50] 就会知道
[00:32:51] 靠北
[00:32:51] 那个老外他妈的
[00:32:53] 他四五十岁
[00:32:53] 然后整天跟国中生混
[00:32:55] 其实我若是爸爸
[00:32:56] 我也担心
[00:32:56] 今天他妈诺雅
[00:32:57] 国高中
[00:32:58] 然后整天跟一个
[00:32:59] 老人家混在一起
[00:33:01] 我也想说是要干嘛
[00:33:02] 是要被钢了
[00:33:02] 还是怎么样
[00:33:03] 所以是真的会很小心
[00:33:04] 只是
[00:33:04] 还有后面
[00:33:05] 都没有什么事情发生
[00:33:06] 所以看到你这个
[00:33:07] 突然提到说
[00:33:08] 什么介绍大学同学
