[00:00:00] 欢迎收听股癌,我是陈梦工
[00:15:29] 你的想法也会改变
[00:15:30] 所以有一个说法很经典
[00:15:32] 就是说你去做长期投资
[00:15:33] 你以为它是做一个决定
[00:15:35] 其实不是
[00:15:36] 是你每次来看这个部位的时候
[00:15:37] 你等于都下了一个决定
[00:15:39] 什么决定
[00:15:39] 就是我是不是要继续持有
[00:15:40] 还是我要把它卖掉
[00:15:41] 所以继续持有
[00:15:42] 本身也是去下了一个决定
[00:15:44] 那当然可能公司在路上
[00:15:46] 都会有一些改变
[00:15:46] 那这个也非常常见
[00:15:47] 你可能押注的某一家公司
[00:15:49] 他之前是在做网通的
[00:15:51] 就好像切进去伺服器之类的
[00:15:53] 那整个估值就改变了
[00:15:55] 那当然你的持股可能都没有动
[00:15:57] 可是你的想法也是跟着改变
[00:15:58] 所以这是很正常的事情
[00:15:59] 那像Tesla这样子的一个转变
[00:16:01] 我觉得对很多长期的股东来讲
[00:16:03] 也是欣然的接受
[00:16:04] 反正总之就希望说
[00:16:05] 有一天马斯克
[00:16:06] 真的可以带大家飞出去
[00:16:07] 好像他作用一个非常高的估值
[00:16:08] 那相信SpaceX
[00:16:10] 也是会是一个类似的道理
[00:16:12] 那当然他的招股书
[00:16:13] 或者说在各地roadshow的一些PDF
[00:16:15] 现在都有传出来了
[00:16:16] 那里面当然就是跟你讲
[00:16:17] 首先他很大的一个获利来源
[00:16:19] 就是在Starlink这边
[00:16:20] Starlink算是他的一个印钞机
[00:16:22] 然后再来就是说
[00:16:23] 他后面要做什么direct to sell
[00:16:24] 或什么有的没有的
[00:16:25] 但是我自己是觉得
[00:16:26] 特别是在可能前面一两集
[00:16:27] 有跟大家分享到
[00:16:28] 你可以注意到像Amphlopic
[00:16:29] 去跟他租这个Data Center
[00:16:31] 那基本上你可以知道说
[00:16:34] 马斯克现在可能已经发现说
[00:16:35] Data Center是一个非常好的生意
[00:16:37] 所以他一直在强调说
[00:16:38] Mark my word
[00:16:40] 在之后大家就是会看到
[00:16:41] 卫星上面会放一些Data Center
[00:16:44] 会放一些伺服器去做运算
[00:16:46] 因为那边有无限的能源
[00:16:48] 他强调的重点其实是说
[00:16:49] 太阳能的能源
[00:16:50] 那散热或是什么其他东西
[00:16:51] 都可以去做解决
[00:16:52] 那我觉得就是他自己也闻到这个味道
[00:16:54] 就是在AI的运算方面
[00:16:56] 大家都会跟你讲说
[00:16:58] 其实这个需求是非常庞大
[00:17:00] 那当然就是敢去压的人
[00:17:01] 会获得最终的胜利
[00:17:03] 其实你看像是OpenAI
[00:17:04] 或是Amphlopic也是这样子
[00:17:05] 因为Amphlopic可能在前面
[00:17:06] 是不太敢投资
[00:17:07] 所以在某些时候
[00:17:08] 你就会注意到说
[00:17:09] 你看你那个东西变笨的速度
[00:17:11] 是比OpenAI来得更快
[00:17:12] 因为你的算力是不够的
[00:17:14] 那所以看起来就是
[00:17:15] 马斯克的想法是
[00:17:16] Go Big or Go Home
[00:17:17] 他就是要赌一个大的
[00:17:18] 那所以他后面呢
[00:17:20] 甚至有机会会看到
[00:17:21] 但我不知道他会想要把营收
[00:17:23] 或是各种获利做在哪个地方
[00:17:24] 但我自己是会相信说
[00:17:26] SpaceX某个程度上
[00:17:28] 可能会变成新的一种
[00:17:29] Neo Cloud的概念股
[00:17:30] 什么意思
[00:17:31] 就是他会去做一些
[00:17:32] 算力的销售或是出租
[00:17:34] 我认为这个是很高几率
[00:17:35] 会看到的
[00:17:36] 那这些东西
[00:17:37] 其实我们目前在工业链上
[00:17:38] 已经有看到一些蛛式码机
[00:17:40] 我虽然可能现在去讲说
[00:17:41] 卫星的资料中心
[00:17:43] 很多人来说觉得说
[00:17:43] 那Fucking好小子
[00:17:44] 就类似说
[00:17:45] 你可能在几年前讲AI
[00:17:46] 大家会觉得说
[00:17:46] 你在讲什么
[00:17:47] 可是我觉得AI在这几年
[00:17:49] 带给我们一个最大的收获
[00:17:50] 是现在大家都敢变成是believer
[00:17:52] 大家都敢当dreamer了
[00:17:54] 所以即便我们想要看
[00:17:55] 在轨道上面的AI伺服器
[00:17:57] 你会认为说
[00:17:58] 有很多问题要去做解决
[00:17:59] 但是我觉得现在
[00:18:01] 包含说美国的一些新创
[00:18:03] 或者一些大企业
[00:18:03] 他们都在快马加鞭的
[00:18:05] 往这个方向去推
[00:18:06] 那散热呢
[00:18:07] 算在最近的台股里面表现
[00:18:09] 是比较不好的
[00:18:10] 可是他们这些
[00:18:12] 可以去过验证的
[00:18:13] 你知道他如果今天是到
[00:18:14] 轨道伺服器上面去
[00:18:16] 做散热片的话
[00:18:18] 他那一片是超级大的
[00:18:20] 就像那时候我去SpaceX的总部
[00:18:22] 稍微看了一下
[00:18:23] Hottham那边的一个总部
[00:18:24] 那就是有注意到说
[00:18:25] 他那个卫星超掉
[00:18:26] 他其实打开来
[00:18:27] 是很大一片
[00:18:27] 他上去的时候是折叠的
[00:18:29] 就那太阳能板
[00:18:30] 然后他打开来变成
[00:18:31] 超级巨大的
[00:18:32] 那你现在就变成
[00:18:32] 你还要再多一个散热片
[00:18:34] 所以不管是在太阳能板这边
[00:18:35] 或者是在散热这边
[00:18:37] 如果说轨道卫星的AI伺服器
[00:18:39] 是真的可以推起来的话
[00:18:40] 现在看起来是本梦比的东西
[00:18:42] 可能到后面
[00:18:43] 都会带来非常巨额的一个收入
[00:18:45] 那我们自己有稍微
[00:18:46] 去问一下产业人士
[00:18:47] 当然他可能有很多的验证
[00:18:49] 或是有的没有东西要做
[00:18:50] 但大家其实觉得说
[00:18:51] 只要你有办法
[00:18:52] 一直把payroll设上去的话
[00:18:54] 那其中的一些技术的难度
[00:18:56] 不然说散热要怎么样做
[00:18:57] 那是不是里面要用一些
[00:18:58] 什么特殊材质
[00:18:59] 那其实应该都是
[00:19:00] 可以把它pay过去的
[00:19:01] 就最难的就是
[00:19:02] 要有办法把它打上去
[00:19:03] 可是我们知道说SpaceX
[00:19:04] 它最强的就是把东西打上去
[00:19:05] 所以既然它可以
[00:19:07] 很容易的把东西打上去
[00:19:08] 而且它打得非常顺
[00:19:09] 它来回汤字超级多的话
[00:19:11] 你可以想象
[00:19:12] 如果今天要去卡太空运算的话
[00:19:14] 它一定就是第一棒
[00:19:15] 所以现在可能大家在盯的是
[00:19:17] 什么direct to sell
[00:19:17] 就是还是去针对地球的
[00:19:19] 针对地球的网络
[00:19:20] 针对地球的
[00:19:21] 什么手机的讯号连接
[00:19:23] 那些当然都会是
[00:19:24] 公司的一个动能
[00:19:24] 可是我自己觉得
[00:19:25] 现在潜在的动能
[00:19:26] 就类似说
[00:19:27] 我们知道说当然
[00:19:28] 特斯拉最大的收入
[00:19:29] 还是它的电动车
[00:19:31] 可是我们总是要看未来
[00:19:32] 可以去把估值拉起来的东西
[00:19:34] 是什么
[00:19:34] 那它现在把未来估值
[00:19:35] 拉起来的东西
[00:19:35] 可能就是类似像Neo Cloud
[00:19:37] 它是在做一些算力
[00:19:39] 或是即便它可能
[00:19:40] 不是自己去经营算力
[00:19:41] 可是它去帮忙
[00:19:42] 把大家的算力打上去
[00:19:44] 接着去收费用
[00:19:46] 这可能会变成是
[00:19:46] 它的营收很大的来源之一
[00:19:48] 所以这是自己
[00:19:49] 比较大胆的一个猜想
[00:19:51] 因为像在过去的话
[00:19:52] 我自己是没有去投资
[00:19:53] 一些Neo Cloud相关的股票
[00:19:55] 几乎都是没有
[00:19:56] 那时候跟大家说自己的理由
[00:19:57] 虽然现在看
[00:19:58] 我觉得我当时的判断是有点
[00:20:00] 怎么讲
[00:20:01] 就是自己想太多
[00:20:01] 因为我的想法是说
[00:20:02] 你去买一堆这种高价伺服器
[00:20:04] 如果后来证实AI
[00:20:05] 假设发展的是没有这么快
[00:20:07] 或是有一些意外的话
[00:20:08] 那其实你还要去扛
[00:20:10] 折旧的风险
[00:20:11] 那就很恐怖
[00:20:11] 那直到最后面
[00:20:12] 我们都知道说AI伺服器
[00:20:13] 它不只是可能折旧的时间
[00:20:16] 可以比大家想来得长之外
[00:20:17] 然后再来就是
[00:20:18] 你知道它那个算力
[00:20:19] 竟然还可以在
[00:20:20] 某些特殊的时间点
[00:20:21] 用量很大的时候
[00:20:22] 它还在涨价
[00:20:22] 所以这个算是颠覆自己的想象
[00:20:24] 但我们有时候是这样
[00:20:25] 就是我们在市场里面
[00:20:26] 你不可能每个东西都投到
[00:20:27] 你一定有可能
[00:20:28] 比较看好
[00:20:29] 或是比较没有这么看好的
[00:20:30] 以前我去看这些Neo Cloud
[00:20:31] 我是属于说
[00:20:32] 比较没有这么看好
[00:20:33] 可是它今天假如换个包装
[00:20:34] 变成说
[00:20:34] 它是要去卫星上面搞这个
[00:20:37] 我突然间我就觉得
[00:20:38] 我兴致大开
[00:20:39] 我对这个东西就是有兴趣的
[00:20:41] 不管是你是负责
[00:20:42] 把这些仇宰放上去的
[00:20:44] 或者说你是直接在上面去
[00:20:45] 钻营卫星的算力出租的
[00:20:47] 我都觉得是非常的有机会
[00:20:49] 也不知道马斯科会怎么样包
[00:20:50] 但总之我觉得这个会是
[00:20:52] 这一家公司
[00:20:53] 在之后一个很大的话题
[00:20:55] 这个话题可能现在聚焦的人
[00:20:56] 还没有到这么多
[00:20:57] 因为大家可能都是一直在看说
[00:20:59] 我已经知道说你有这个Starlink
[00:21:00] 然后去算这个Starlink的数字怎么样
[00:21:02] 但我觉得我还要往前跳一步
[00:21:03] 我觉得那个应该不是特别的重点
[00:21:06] 它是一个当然公司的中流砥柱
[00:21:08] 没错
[00:21:08] 它是支撑它可以做其他东西的一个主因
[00:21:10] 但是要去刷估值的话
[00:21:12] 其实都是需要有一些sexy的东西在
[00:21:14] 所以可能是在卫星这一块
[00:21:17] 再来就是说
[00:21:17] 如果你要回来看台股的供应链的话
[00:21:19] 一样
[00:21:20] 就是大家一定会跟你讲说
[00:21:21] 像他做这东西是多难多不可思议
[00:21:23] 但是我已经看了好几个
[00:21:25] 反正就是投资公司延调
[00:21:26] 然后他们去做的
[00:21:28] 也不能说是某一种
[00:21:29] pitching deck
[00:21:30] 反正总之就是要去
[00:21:31] 跟公司内部去行销
[00:21:32] 我们要去投资这些东西
[00:21:34] 为什么
[00:21:34] 我稍微看了一下
[00:21:35] 我觉得里面看起来一些
[00:21:37] 所谓的难题
[00:21:38] 特殊材料
[00:21:39] 或者说在太空是
[00:21:41] 就在说你是没有办法去传导热的
[00:21:43] 要没有空气
[00:21:44] 所以你要透过什么辐射
[00:21:45] 有的没有鞋带
[00:21:46] 感觉很难的事情
[00:21:47] 我觉得都会推过去
[00:21:48] 这个类似说像我们去看
[00:21:50] 为什么讲说AI让蛮多人变成是
[00:21:52] believer或dreamer
[00:21:53] 是以前你去看NVIDIA
[00:21:55] 那时候他要推GB的时候
[00:21:56] 就是他要去推Oberon的时候
[00:21:57] 其实大家都说
[00:21:58] 不可能
[00:21:58] 太难了
[00:21:59] 你知道你要从HGX的东西
[00:22:01] 就是本来我们最早看到的
[00:22:03] HG100那种伺服器
[00:22:04] 然后变成那种垂直式的一整台
[00:22:06] 然后它里面有超多技术问题要解决
[00:22:08] 只是后来我们就注意到说
[00:22:10] 真的是人定胜天
[00:22:11] 大家硬干
[00:22:11] 大量资本丢下去
[00:22:12] 真的就是会把它解决
[00:22:13] 那时候其实在产线上
[00:22:14] 很多朋友讲说
[00:22:15] 不可能
[00:22:16] 一定delay
[00:22:17] 良率比狗还烂
[00:22:18] 然后什么的
[00:22:18] 最后面都是硬尻尻尻过
[00:22:20] 甚至是
[00:22:20] 当然就不方便直接讲是哪一块料
[00:22:22] 反正有一些东西
[00:22:23] 那时候是说什么
[00:22:24] 插拔一阵子就会坏掉
[00:22:25] 所以他过不了可靠验证
[00:22:27] 后面怎么样
[00:22:28] 我就不要插拔这么多次就好
[00:22:29] 有点像是说
[00:22:30] 偷偷放点水
[00:22:31] 就是让你过了
[00:22:32] 反正你就不要整件插拔
[00:22:33] 一直插拔会坏掉
[00:22:34] 没错
[00:22:34] 你就不要整件插拔
[00:22:35] 听起来是很荒谬没错
[00:22:37] 可是情急了
[00:22:38] 什么事情都会发生
[00:22:39] 类似说
[00:22:40] 像我们知道说
[00:22:41] 有一些元件在缺货
[00:22:42] 不管是被动元件
[00:22:43] 用这些功率元件
[00:22:44] 可以在涨价
[00:22:45] 你知道在很缺的时候
[00:22:48] 其实会发生的情形是
[00:22:49] 以前我们可能
[00:22:50] 走一个验证要走多久
[00:22:51] 什么坦电容
[00:22:53] 因为这个是市场
[00:22:54] 非常需要的一个东西
[00:22:55] 可是坦又是一个争议金属
[00:22:57] 所以就变成
[00:22:58] 可能在供需方面
[00:22:59] 是已经有些地方会断工
[00:23:01] 价格上涨更不要提了
[00:23:02] 可是有什么东西
[00:23:03] 可以取代坦电容
[00:23:04] 其实各个厂商
[00:23:05] 要精锐进出
[00:23:06] 不然说像是MLCC
[00:23:07] 或是用一些铝电容
[00:23:09] 去做取代
[00:23:10] 这些东西
[00:23:11] 在大家的想象是说
[00:23:12] 他去做验证
[00:23:13] 他就要很长的一段时间
[00:23:14] 但那个是成平时期
[00:23:16] 如果你今天进入到一个
[00:23:17] 不知道就战斗时期
[00:23:18] 然后大家都是赶着要去抢
[00:23:20] 赶着要去推的时候
[00:23:21] 那其实真的什么东西
[00:23:22] 都是有可能用资本的力量
[00:23:23] 快速的把它干过去
[00:23:24] 这个是有机会发生的
[00:23:25] 所以我自己对于说
[00:23:26] 像卫星的这种AI运算
[00:23:28] 虽然有些人会觉得说
[00:23:29] 太远了或什么
[00:23:30] 但我现在是会有兴趣
[00:23:32] 想要去看它的
[00:23:33] 所以或许不知道
[00:23:34] 我们不敢很明确的
[00:23:35] 讲一些时间走
[00:23:37] 但搞不好
[00:23:37] 说不定在可能28的下半
[00:23:40] 或是29的上半
[00:23:41] 即便可能根本就还没有
[00:23:42] 多少东西射出去
[00:23:44] 或是Prototype
[00:23:44] 可能才刚出来
[00:23:45] 当然可能东西都先走一波
[00:23:47] 因为你知道题材先行
[00:23:48] 出生段
[00:23:49] 然后后面可能
[00:23:49] 主生段的时候
[00:23:50] 就是东西开始真的放量的时候
[00:23:51] 然后等到大家都相信的时候
[00:23:52] 就是喷最后一段
[00:23:53] 所以这个是有机会的
[00:23:55] 就是说我们去观察
[00:23:56] 像因为SpaceX要上了
[00:23:57] 我们过去
[00:23:57] 像在今年年初
[00:23:59] 是做蛮多卫星的相关的股票
[00:24:01] 老实讲
[00:24:02] 我自己绝大多数
[00:24:03] 都已经是出脱掉
[00:24:04] 因为现在大家都相信了
[00:24:05] 我也没有赚到所谓的鱼尾
[00:24:07] 可是前面那种
[00:24:08] 很香的鱼头都有赚到
[00:24:09] 那你在赚鱼头的时候
[00:24:10] 还有很多人出来diss你
[00:24:11] 说你在那边炒股票
[00:24:12] 说你不懂
[00:24:13] 那你看你们现在就去买
[00:24:14] 那种很贵的东西
[00:24:15] 因为有时候真的就是
[00:24:16] 走在前面先相信的人
[00:24:17] 你会吃到那一段的premium
[00:24:19] 那当然有些人会选择
[00:24:20] 蹲到最后一刻
[00:24:21] 他们现在可能去压住
[00:24:22] 一些卫星的东西
[00:24:23] 然后就要等到SpaceX上的时候
[00:24:25] 然后看会推到哪
[00:24:26] 那都是有机会的
[00:24:27] 只是怎么说
[00:24:28] 有时候我们会去抓
[00:24:29] 自己懂的那一段
[00:24:30] 那现在对我来讲
[00:24:31] 就是虽然我们现在看这些卫星的AI
[00:24:33] 感觉是他妈的超级远
[00:24:34] 可是这个算是我会看的东西
[00:24:35] 就是我对于那种题材想象力的东西
[00:24:37] 还蛮可以去接受的
[00:24:39] 那其实现在台股也蛮多
[00:24:40] 在喷题材相关的东西
[00:24:41] 像是
[00:24:41] 虽然我们最近都在讲一些
[00:24:43] 可能偏向是AI或是零组件
[00:24:45] 被动元件等等的东西
[00:24:47] 但其实市场上很多东西都在动
[00:24:48] 像宅板你就不要讲了
[00:24:49] 就是他还是整天在那边喷
[00:24:50] 那一些料件
[00:24:52] 或甚至是像是
[00:24:53] 最近在喷超多机器人的类骨
[00:24:55] 那机器人的类骨
[00:24:57] 我自己怎么讲
[00:24:58] 就如果说我今天手上
[00:24:59] 没有现在正在喷
[00:25:00] 然后狂观处置的这些
[00:25:01] 有的没有的东西
[00:25:02] 说不定我也会想要去介入
[00:25:03] 就是我还蛮能够去接受这些
[00:25:05] 什么
[00:25:06] 你今年的机器人的营收占比多少
[00:25:07] 2%
[00:25:08] 然后大家可能跳2%
[00:25:09] 觉得说
[00:25:10] 妈
[00:25:10] 炒股票
[00:25:11] 狗屎
[00:25:11] 可是我最喜欢这种东西
[00:25:12] 因为你明年多少
[00:25:13] 你明年10%
[00:25:14] 这样就是5倍的成长
[00:25:15] 这个我就喜欢
[00:25:15] 所以现在有蛮多这种
[00:25:17] 机器人的东西在动
[00:25:17] 那我相信
[00:25:18] 就是说机器人这种东西
[00:25:19] 你都知道说
[00:25:20] 它并没有要在短期内
[00:25:21] 去做什么放量
[00:25:22] 那何况是
[00:25:24] 这个就是我们今天去讨论的
[00:25:26] 这个AI伺服器
[00:25:27] 它如果是有办法在
[00:25:29] 可能不知道
[00:25:30] 就是未来的2到3年内
[00:25:32] 大家会很专注去推它的话
[00:25:34] 那这些东西
[00:25:35] 它有可能它发酵时间点
[00:25:37] 就会更加提早
[00:25:38] 所以我的意思是说
[00:25:39] 如果你觉得机器人这个题材
[00:25:40] 大家都愿意去做它
[00:25:42] 然后给它这样的一个premium
[00:25:43] 给它这样的一个
[00:25:44] 陈述估值的话
[00:25:45] 那其实卫星也不是一个
[00:25:46] 太远的东西
[00:25:47] 我们讲的就是卫星的AI运算
[00:25:49] 那跟那个前面讲的那种
[00:25:51] 可能单纯的去设卫星
[00:25:52] 又有一点不太一样
[00:25:53] 因为它专注的点是不一样
[00:25:54] 我们会去注意的是一些那种
[00:25:56] 特别有在增量的市场
[00:25:58] 而不是像前面可能
[00:25:59] 我自己去关注卫星的时候
[00:26:01] 是在算说
[00:26:01] 就在说它的
[00:26:02] 就是Starlink的V3或是V4
[00:26:05] 它的PCBA
[00:26:06] 或者说它组装
[00:26:07] Router
[00:26:07] 然后跟什么Dish
[00:26:08] 里面用什么东西
[00:26:09] 那现在可能关注的不是这个
[00:26:10] 是偏向AI center
[00:26:11] 虽然一样是卫星
[00:26:12] 但是可能转向的东西
[00:26:14] 会不太一样
[00:26:15] 可能是接下来
[00:26:15] 自己会想要观察的一个东西
[00:26:17] 那以目前的视况来讲
[00:26:19] 我觉得没有什么特别的评论
[00:26:21] 那像前面有捏住软蛋的
[00:26:22] 这波就特别爽
[00:26:23] 那老实讲
[00:26:24] 我们也不是知道说
[00:26:25] 这波就说会这样捧
[00:26:26] 真的不知道
[00:26:27] 所以像你回听
[00:26:28] 就可能两三集前的节目
[00:26:29] 我都会直接跟大家讲
[00:26:30] 某程度上都是一种赌
[00:26:31] 就是身边朋友
[00:26:32] 有没有人在剪吗
[00:26:33] 还是有
[00:26:33] 只是绝大多数
[00:26:34] 因为大家都已经拉出成本太远
[00:26:35] 所以就不剪了
[00:26:36] 就是索性给你赌看看
[00:26:37] 那就赌到了
[00:26:38] 那赌失败怎么办
[00:26:39] 赌失败就是说
[00:26:40] 你会回吐比较多的一个获利
[00:26:41] 可是都是一个交换
[00:26:42] 所以我才会讲说
[00:26:43] 就是在QA里面
[00:26:44] 很多人都喜欢问一个稳赢的
[00:26:45] 可是你要知道
[00:26:45] 我们每天在做的事情
[00:26:46] 都是有一点那种赌的成分
[00:26:48] 我们只尽可能的让自己
[00:26:49] 就像说用贯签的骰子
[00:26:51] 我的赢面是比较大的
[00:26:52] 因为我有一些特别的资讯
[00:26:53] 或者说我有一些分析的能力
[00:26:55] 所以我不是很傻的
[00:26:57] 在那边丢骰子
[00:26:57] 完全靠几率
[00:26:58] 我会有一些赢面大的地方
[00:26:59] 那还是会有输的
[00:27:00] 只是就是说
[00:27:01] 尽量赢面大就OK
[00:27:02] 所以大概是这样子
[00:27:04] 那赌破行情
[00:27:04] 我觉得当然就是大家好好的珍惜
[00:27:07] 不管是珍惜这个行情
[00:27:09] 为你带来的获利
[00:27:10] 还是珍惜身边的朋友
[00:27:12] 因为有些你的同事们
[00:27:13] 搞不好后面就要离职了
[00:27:15] 已经有一些
[00:27:16] 我们自己节目的sponsor
[00:27:18] 跟我聊天的时候就聊到说
[00:27:20] 他要离职了
[00:27:20] 因为他已经是赚够了
[00:27:22] 其实蛮傻眼的
[00:27:23] 这一波真的是为很多人
[00:27:25] 带来巨大的财富
[00:27:26] 即便你没有很认真的
[00:27:27] 在那边考悬果
[00:27:28] 你看你光是买个0.50
[00:27:29] 其实一堆人也都是
[00:27:30] 学翻了
[00:27:31] 都超过自己的年薪了
[00:27:32] 所以未来一段时间
[00:27:34] 可能是牢房讲话
[00:27:35] 比较大声
[00:27:35] 比较昂虾一点
[00:27:36] 当然等到下次修正的时候
[00:27:38] 大家又会把离职信收回来
[00:27:39] 但希望大家都可以
[00:27:40] 顺利度过这样的行情
[00:27:42] 然后在这样的行情里面
[00:27:42] 可以持续的赚到钱
[00:27:43] 那持续的去找寻新的故事
[00:27:45] 新的题材
[00:27:46] 那接下来我们进去的部分
[00:27:48] 第一位
[00:27:49] 感谢梦工
[00:27:50] 赞叹梦工
[00:27:50] 谢谢被动员间
[00:27:51] 让我更知道要做功课投资
[00:27:53] 虽然我没有赚到
[00:27:55] 那想问梦工年过30了
[00:27:56] 你还会像青少年一样
[00:27:58] 有欣喜若狂的激动表现吗
[00:28:00] 年过30之后
[00:28:01] 真的好少像年轻时的
[00:28:03] 激情思吼
[00:28:04] 正臂高呼等等的表现
[00:28:05] 你最近一次高兴到
[00:28:07] 跳起来是什么时候呢
[00:28:08] 那最后祝福您平安顺心
[00:28:09] 恭喜梦工
[00:28:10] 就是我开头讲的
[00:28:11] 当我发现说
[00:28:12] 孩子竟然听得出
[00:28:13] 每次宝可梦的声音
[00:28:14] 那个对我来讲
[00:28:15] 是超级开心的事情
[00:28:16] 那确实你讲的没有错
[00:28:17] 就是已经很少有这种
[00:28:19] 超级嗨的一个时刻
[00:28:20] 但是我注意到
[00:28:21] 在运动场上的人
[00:28:22] 好像就是不管他
[00:28:23] 今天打到几岁
[00:28:24] 他是老将
[00:28:25] 大家都还说
[00:28:25] 耶或什么
[00:28:26] 所以我觉得要有一些
[00:28:27] 竞技的东西吧
[00:28:28] 不是那个塔布那个竞技
[00:28:30] 就是说就是比赛这种竞技
[00:28:31] 所以我才会一直觉得说
[00:28:32] 运动员是一个很帅的职业
[00:28:34] 如果小孩可以去走
[00:28:35] 运动员之小路的话
[00:28:36] 我觉得算还蛮酷的
[00:28:37] 那对
[00:28:38] 我觉得可能要去做一些
[00:28:39] 竞技类型的东西
[00:28:40] 也不能够太静态
[00:28:41] 如果你说是什么
[00:28:42] 竞技类型的手游
[00:28:44] 或者是电脑的话
[00:28:45] 在那边打家机坐机
[00:28:47] 我觉得也没有办法
[00:28:48] 很嗨啦
[00:28:49] 可能还是要去找一些
[00:28:51] 运动的东西才有机会吧
[00:28:52] 那确实就是你的心情
[00:28:53] 会越来越平静啦
[00:28:55] 那一方面可能是因为年纪
[00:28:56] 那另外一方面是
[00:28:57] 我相信大家
[00:28:58] 就是在生活之中
[00:28:59] 开始遇到各种鸟事之后
[00:29:01] 会知道说
[00:29:01] 你每次开始讲昂虾的时候
[00:29:03] 开始想要庆祝
[00:29:04] 跟大家说
[00:29:05] 你股票赚多少钱
[00:29:06] 开始离止性在那边
[00:29:07] 骂drafting的时候
[00:29:08] 那后面就是会给你一个填法
[00:29:10] 所以甚至是
[00:29:11] 你有一些高兴的东西
[00:29:12] 你都不敢跟大家讲
[00:29:13] 你知道讲会惹麻烦
[00:29:14] 这或许也是
[00:29:15] 你可能比较少庆祝的
[00:29:16] 一个原因吧
[00:29:17] 那下面一位大人
[00:29:19] MK我是全雷打王大屌祥评
[00:29:22] 每次打出全雷打
[00:29:23] 都会听你的节目
[00:29:24] 那另外想要请教
[00:29:25] 您两个孩子的名字
[00:29:26] 是自己取的
[00:29:27] 还是算命的呢
[00:29:28] 梦公爸妈
[00:29:28] 应该有找人帮你算过
[00:29:29] 后性名学有对上
[00:29:31] 我是准备迎接
[00:29:32] 儿子诞生的新手吧
[00:29:34] 那还是MK可以想一个字
[00:29:36] 给我参考参考吗
[00:29:37] 你脑中闪过的第一个字
[00:29:38] 感谢啦
[00:29:39] 力量的力吧
[00:29:42] 虽然这个可能
[00:29:42] 发在名字里面怪怪
[00:29:43] 可是突然间就想到
[00:29:44] 力量的力
[00:29:45] 那再讲说
[00:29:46] 是自己取的
[00:29:47] 还是算命的
[00:29:47] 都是自己取的
[00:29:48] 诺亚就是因为那时候看
[00:29:49] 有一个德国影集
[00:29:51] 叫做Dark
[00:29:51] 在Netflix上面
[00:29:52] 非常好看
[00:29:53] 然后里面的一个
[00:29:54] 逸正逸邪的角色
[00:29:55] 就叫做Noah
[00:29:56] 所以就决定要叫做诺亚
[00:29:57] 然后很多人都以为说
[00:29:59] 你们是不是在性教
[00:30:00] 没有没有在性教
[00:30:01] 就是单纯
[00:30:02] 那时候看了这个影集
[00:30:03] 觉得Noah这个角色
[00:30:03] 非常的帅
[00:30:04] 所以就叫Noah
[00:30:05] 中文就叫Noah
[00:30:06] 想说就只有一个名字
[00:30:07] 比较简单
[00:30:08] 那另外一个孩子的话
[00:30:10] 是因为我们很喜欢Killian Murphy
[00:30:11] 就是一个演员
[00:30:12] 真的很帅
[00:30:13] 就是奥本海默那个主角
[00:30:14] 那从以前就很喜欢他
[00:30:15] 所以就觉得说
[00:30:16] 应该有一个孩子
[00:30:17] 要叫Killian
[00:30:18] 只是就没有用他的那个Killian
[00:30:20] 就用另外一个
[00:30:20] K开头的Killian
[00:30:22] 那Killian的话
[00:30:23] 就齐安吧
[00:30:24] 反正就是去找一个谐音字
[00:30:26] 所以我们的名字
[00:30:27] 都是用比较
[00:30:28] 甚至可以讲说
[00:30:29] 无脑的方式
[00:30:30] 没有特别去算
[00:30:31] 没有特别去规划
[00:30:32] 就只是想到哪一个名字
[00:30:33] 觉得特别好听
[00:30:34] 就用哪一个名字
[00:30:34] 那你说我的名字的话
[00:30:36] 是我父亲他
[00:30:38] 小时候有一个经理
[00:30:39] 叫刘梦公
[00:30:40] 这个刘梦公
[00:30:41] 想要在哪
[00:30:42] 当然我也不知道
[00:30:42] 但我爸爸的意思是说
[00:30:44] 我妈也有讲
[00:30:45] 反正就说什么
[00:30:45] 他们有一个经理叫刘梦公
[00:30:47] 然后这个刘梦公
[00:30:48] 是一个做事非常负责
[00:30:49] 然后又有什么
[00:30:50] 很有魅力
[00:30:50] 反正就是很强大的人
[00:30:51] 我不知道我觉得很怪啦
[00:30:53] 就我自己不会想要
[00:30:54] 帮我孩子取什么
[00:30:55] 经理的名字
[00:30:55] 但我爸妈那时候
[00:30:56] 他们可能也是很用心吧
[00:30:57] 他们觉得说
[00:30:58] 这个人不错
[00:30:58] 类似说像那个
[00:30:59] Lisa他的名字
[00:31:00] 是因为他妈妈说
[00:31:02] 在工作的地方
[00:31:02] 有一个同事叫做Elizabeth
[00:31:05] 然后超级漂亮的
[00:31:06] 所以就直接帮
[00:31:07] 他的女儿取名叫做
[00:31:08] Elizabeth
[00:31:09] 就是Lisa
[00:31:10] 那我爸妈的逻辑是一样
[00:31:12] 我爸妈逻辑跟我岳母一样
[00:31:13] 反正就在工作里面
[00:31:14] 看到某些人
[00:31:15] 然后觉得说他特别酷之类
[00:31:17] 所以就取这个名字
[00:31:18] 那你说有没有去算过什么
[00:31:19] 我就不晓得了
[00:31:21] 那我们家的话
[00:31:21] 就是每个人的名字中间
[00:31:23] 都是一个梦啦
[00:31:24] 那个是不是算的
