[00:00:00] 欢迎收听古爱,我是顺目公
[00:16:29] 那就有可能会
[00:16:30] 把台积电推到一个蛮高的位置
[00:16:32] 因为大家要去补部位
[00:16:33] 这个补部位
[00:16:34] 其实有一个非常强烈的动机
[00:16:36] 简单讲就是说
[00:16:37] 你现在如果去做基金的操盘
[00:16:39] 但我们不敢讲说
[00:16:40] 每个都这样
[00:16:41] 可是我们有认识一些经理人
[00:16:43] 或者说我们自己的朋友
[00:16:44] 有去间接认识一些经理人
[00:16:45] 其实大家都大概知道一个概念
[00:16:47] 简单讲就是说
[00:16:48] 你不可以脱钩大盘太远
[00:16:49] 如果说你的绩效脱钩大盘太远
[00:16:52] 当然你是往上的话是很好
[00:16:53] 如果说在盘整或是往下的时候
[00:16:55] 你离大盘越来越远
[00:16:56] 那你可能就会开始被靠北
[00:16:57] 你甚至会失去你的工作
[00:16:59] 你到底在干嘛
[00:17:00] 你怎么可以输给大盘这么多
[00:17:01] 所以他们想要去追求的一个
[00:17:03] 最简单的保守牌就是
[00:17:04] 台积电我一定要先买好买满
[00:17:06] 我买满10%的台积电
[00:17:07] 我某个程度上
[00:17:09] 我的走势可能就跟加权是
[00:17:11] 有一点联动
[00:17:11] 接着90%就是我去拼我的选股
[00:17:14] 我现在告诉你说
[00:17:15] 台积电可以让你买到25%
[00:17:17] 而且台积电它很靠北的一点
[00:17:19] 就是台积电它其实你放在AIP里面
[00:17:21] 它真的是一个便宜的股票
[00:17:22] 因为我们讲
[00:17:23] 其实明年的共识
[00:17:24] 大家已经算是可以算到140块去了
[00:17:26] 只是用明年
[00:17:27] 你知道说现在很多AI股
[00:17:29] 它是在用2028 2029再去做反应
[00:17:31] 台积电它这么大的一个AI factory
[00:17:35] 那所有人都需要用到它
[00:17:36] 它竟然大家只敢用2028年的
[00:17:39] 可能就像说给它一个20倍
[00:17:41] 去给它一个估值
[00:17:42] 所以我们才会讲说140
[00:17:43] 那你用20倍
[00:17:45] 那可能就是2800
[00:17:46] 所以于是你有机会看到台股去上4万点
[00:17:48] 这是我们前几集跟大家讲的一个论述
[00:17:50] 那只是问题是
[00:17:51] 如果你今天有大量的资金可以推进去的话
[00:17:54] 会不会对这个平衡去产生一个新的变化
[00:17:56] 这就是我们很好奇的点
[00:17:58] 所以像我自己去看的话
[00:17:59] 我现在就会去想假设
[00:18:01] 就像说像MTK
[00:18:02] 现在也直接拉出去
[00:18:02] 然后台积电也拉出去
[00:18:04] 那我们都很常跟大家讲说
[00:18:05] 你在上涨的时候
[00:18:06] 你不要去预设高点
[00:18:07] 因为有时候会涨到你难以想象的一个剧情
[00:18:09] 那所以我们会尽量去把心中的一个剧本
[00:18:12] 就像说我本来是给你20倍
[00:18:13] 我现在各位给你25倍
[00:18:14] 我可不可以给你30倍
[00:18:15] 我可不可以自己在心中放一个比较高的一个
[00:18:17] target price
[00:18:18] 甚至我可不可以直接给你给到2028 2029
[00:18:20] 因为我已经看得到你在2028 2029的一个业绩了
[00:18:23] 那所以在这样的情况之下
[00:18:24] 我们就有机会去把
[00:18:25] 就是自己心目中的一个TP给上锈
[00:18:28] 那当然这个TP跟券商的TP
[00:18:29] 理论上要有一定程度的差距
[00:18:31] 就像说如果券商的TP都已经喊得
[00:18:33] 比我自己心中想的TP来得高
[00:18:35] 那这个东西可能就没有买的必要
[00:18:36] 因为代表市场上可能大家都充分预期了
[00:18:38] 所以我现在的想法就是
[00:18:40] 我认为会有大量的资金会海进去台积电
[00:18:43] 那特别是在礼拜五的时候
[00:18:45] 因为礼拜五的时候
[00:18:45] 其实像我自己或是我们身边有蛮多人
[00:18:47] 真的骂大家都在哄台积电
[00:18:48] 那就有注意到说
[00:18:50] 在盘后其实投信只有买1000多张
[00:18:53] 这代表什么意思
[00:18:54] 就是理论上大家要去买到上限的话
[00:18:57] 代表要10万张
[00:18:58] 那我们可不可以
[00:18:59] 我们今天不要抓这么紧绷
[00:19:01] 我们就抓可能五折就好
[00:19:02] 其实10万张都不一定是很紧绷的一个抓法
[00:19:05] 因为现在还有很多新的硬幕的ETF
[00:19:07] 一堆人都在买
[00:19:08] 现在整个市场大家超爱这种主动的ETF
[00:19:10] 所以其实一直有源源不绝的资金进来
[00:19:12] 但没关系我们先抓既有的
[00:19:14] 那就是跟你讲说
[00:19:14] 如果大家要到25%那就10万张
[00:19:16] 可是我不要抓10万张
[00:19:18] 我可以只抓5万张3万张就好
[00:19:19] 所以我可以看到投信拉到3万张5万张之后
[00:19:22] 我可能再去做警戒
[00:19:23] 如果后面转落我再把它除掉
[00:19:25] 其实我觉得完全是可以做的一个交易
[00:19:27] 所以在自己的心中就会觉得
[00:19:29] 真的是很难得
[00:19:30] 因为一般来讲像会去买台积电
[00:19:32] 或者说可能大量的部位跑去买台子旗
[00:19:34] 一般出现在崩盘的时候
[00:19:36] 就是崩盘的时候你知道说台积电是一个好灯塔
[00:19:39] 你会进去
[00:19:39] 那或者说可能像台子旗是一个不错的选项
[00:19:42] 那可是在一般的成平时期
[00:19:44] 我觉得很有趣
[00:19:45] 当然对于散户朋友来讲
[00:19:47] 这可能是某种很幸运的事情
[00:19:49] 你可能就只要买台积电
[00:19:50] 然后你去睡觉
[00:19:51] 你的部位就会蛮不错的
[00:19:52] 可是我注意到在交易圈里面
[00:19:54] 其实大家是不太喜欢买台积电的
[00:19:56] 绝大多数时间大家是不喜欢买台积电
[00:19:58] 但老实讲
[00:19:58] 就大家的报酬也真的都有跑赢台积电
[00:20:00] 就是去玩一些那种什么小鬼谷
[00:20:02] 然后那种中小型的
[00:20:03] 超黑盆的各种元件
[00:20:04] 是非常强大
[00:20:05] 可是最近算是非常的有共识
[00:20:08] 就是蛮多人都认为说要去加台积电
[00:20:10] 那只是当然有时候你听到很多人在做的时候
[00:20:12] 你就在思考说
[00:20:13] 那是不是钱都已经进去了
[00:20:14] 可是就我们去看筹码会觉得说
[00:20:16] 其实还没有
[00:20:17] 就是说这个钱应该还是有机会
[00:20:19] 会有更多会灌进去
[00:20:21] 那一样
[00:20:21] 就它都有可能会有一个风险
[00:20:23] 就每个交易都有一个风险
[00:20:24] 就像MTK现在非常好
[00:20:25] 那我已经在上集跟大家提早揭露
[00:20:28] 它的风险
[00:20:28] 就是假设Intel的封装出问题的话
[00:20:30] 只是那个是很久以后的事情
[00:20:31] 那一样的到底就是说
[00:20:32] 台积电的这个交易
[00:20:33] 它的风险可能就是会落在
[00:20:36] 就像说如果这个外资开始持命的倒置
[00:20:38] 但我自己的猜想是这样
[00:20:40] 就是当今天一个
[00:20:41] 就是过去我们都知道说
[00:20:43] 多人把它称为是护国神山
[00:20:45] 稳稳的涨或什么的
[00:20:46] 它如果开始变标股会怎么样
[00:20:48] 这是一个很大胆的假设
[00:20:51] 就像是可能MTK
[00:20:52] 你敢在可能上个月去假设说
[00:20:54] 它会有这么多根涨体吗
[00:20:56] 就连我自己是在起涨点前
[00:20:58] 就在跟大家聊到说
[00:20:59] MTK它可能在手机跟这个
[00:21:02] 就是AI伺服器的一个转换之间
[00:21:04] 有可能会有一个资金的新的轮动
[00:21:06] 那个是在涨停之前
[00:21:07] 我都不敢跟你讲说
[00:21:08] 我知道后面会涨停
[00:21:09] 因为会这样讲的一定都是诈骗集团
[00:21:11] 那不然你最好知道
[00:21:12] 你知道你就说话
[00:21:13] 你就变首富
[00:21:13] 我们真的都不知道
[00:21:14] 但只是当你注意到这个市场的钱
[00:21:17] 已经开始去往一些大型股去推的时候
[00:21:20] 特别你前面有看到一些case出来
[00:21:23] 就是原来这些大型的牛车
[00:21:26] 以前不太会动一下会飞
[00:21:27] 它们会飞起来
[00:21:28] 那有没有可能你也去假设
[00:21:30] 就是假设在大量的钱灌进来之后
[00:21:33] 那你会注意到TSM的股性改变
[00:21:35] 而且它其实在fundamentally
[00:21:38] 就是它是很有资格去做改变
[00:21:39] 因为它是便宜的股票
[00:21:41] 就如果说你今天去跟AIP而比的话
[00:21:44] 我觉得现在可能也算是便宜的股票
[00:21:46] 就是回答吧
[00:21:47] 但回答以外的满多东西
[00:21:48] 其实它都已经不是便宜的股票
[00:21:50] 就是你用它的4P ratio去推
[00:21:52] 可能都是高上额大概50%
[00:21:54] 或甚至是100%的一个状态
[00:21:56] 所以在这样的一个环境之下
[00:21:57] 一个相对便宜的东西
[00:21:59] 那它产生了一些catalyst
[00:22:01] 一些新的变化
[00:22:02] 它会有新的资金可以进来
[00:22:04] 那这些新的投信
[00:22:05] 如果说进来的过程中
[00:22:06] 还要强调
[00:22:07] 就是没有遇到那种北八外资
[00:22:08] 在那边耍白痴
[00:22:09] 然后那边大家要派对的时候
[00:22:11] 你跑来乱到货
[00:22:12] 如果被倒掉就可能会休息
[00:22:14] 就有机会这样
[00:22:14] 但如果说没有被倒掉
[00:22:16] 那被推上去
[00:22:17] 推上去之后代表什么意思
[00:22:18] 因为台股
[00:22:19] 像以加权来讲
[00:22:21] 那个占比很高是台积电
[00:22:23] 所以台股的市值
[00:22:24] 也会跟着被往上推
[00:22:25] 当市值被往上推的时候
[00:22:27] 那些去做
[00:22:28] global配置的一些外资们
[00:22:30] 他们也有机会看到说
[00:22:31] 今天台股的市值变大了
[00:22:33] 那我可能就可以
[00:22:34] 再多放一点钱进来
[00:22:35] 因为这个市场可能变得够大
[00:22:37] 它又去达到一些benchmarks
[00:22:38] 所以他们可能会去
[00:22:40] 甚至去助长
[00:22:41] 这一波的一个趋势
[00:22:42] 所以我觉得蛮有趣的一点
[00:22:44] 就是说过去我们可能在
[00:22:45] 就要说聊一些
[00:22:46] 产业面的东西
[00:22:47] 不管是可能像前面的记忆体
[00:22:50] 然后或者是
[00:22:51] 各式各样的元件
[00:22:52] 散热
[00:22:52] 水冷什么的
[00:22:54] 蛮多时候我们是
[00:22:55] 不太敢去直接去讲一些标题
[00:22:56] 因为其实老实讲
[00:22:57] 我们也不需要去影响市场
[00:22:58] 我们就可以赚钱
[00:22:59] 所以我们不用去帮自己
[00:23:00] 留那些麻烦
[00:23:01] 但台积电就是一个
[00:23:02] 反正就是白纳的东西
[00:23:03] 全民的台积电
[00:23:04] 大家都知道说
[00:23:05] 反正买股票
[00:23:06] 蛮多的都会跑去买台积电
[00:23:07] 虽然我自己还是会
[00:23:08] 比较推荐说
[00:23:09] 就是一般人
[00:23:10] 你尽量以006208
[00:23:11] 或者0050
[00:23:12] 作为你配置的一个主軸
[00:23:13] 但你其他要去
[00:23:14] 这边夹一点菜
[00:23:15] 那边夹一点菜
[00:23:16] 都没有问题
[00:23:16] 只是用指数投资
[00:23:18] 可能是相对保守的一个做法
[00:23:19] 但台积电本来
[00:23:20] 就是很多人的一个选择
[00:23:21] 所以我其实也
[00:23:22] 不会觉得说
[00:23:23] 有需要去
[00:23:24] 可能稍微避险一下
[00:23:25] 反正台积电就是
[00:23:26] 狂轰烂炸
[00:23:27] 然后现在自己的做法就是
[00:23:29] 我觉得可能也是
[00:23:30] 蛮多人的想法跟我一样
[00:23:31] 所以才会产生
[00:23:33] 礼拜四跟礼拜五
[00:23:34] 就是说这些smart money
[00:23:36] 因为动很快
[00:23:36] 大家在那边疯狂的
[00:23:39] 去推其他中小型的时候
[00:23:40] 然后你就注意到说
[00:23:41] 礼拜四直接大到货
[00:23:42] 然后礼拜五的时候
[00:23:43] 是拉高之后
[00:23:44] 又再大到货
[00:23:44] 为什么
[00:23:45] 因为可能他们的想法
[00:23:46] 都跟我一样
[00:23:46] 就是我现在就是要买台积电
[00:23:47] 所以我就必须要把钱丢出来
[00:23:50] 反之你去思考一下
[00:23:51] 我们刚刚前面都是在讲说
[00:23:53] pro TSM的东西
[00:23:54] 可是有没有一些com会出现
[00:23:55] 一定有
[00:23:56] 为什么
[00:23:56] 因为假设你要把台积电
[00:23:58] 先不要讲25%啦
[00:23:59] 你从本来10%
[00:24:00] 你要拉到15% 18%好了
[00:24:01] 你的钱要从哪里来
[00:24:02] 你懂的是吗
[00:24:04] 你在短期内
[00:24:05] 你的钱要从哪里来
[00:24:06] 你一定就是要去卖
[00:24:07] 你本来的一些持股
[00:24:09] 就像我们在做的事情一样
[00:24:10] 我们把一堆中小丢掉
[00:24:11] 所以我觉得在后面
[00:24:14] 会有一个有趣的现象是
[00:24:15] 有可能会变成是
[00:24:17] 就是蛮大规模的一个垃圾盘
[00:24:19] 就我们现在纯用筹码的角度
[00:24:21] 但你要知道一件事
[00:24:22] 就是说
[00:24:22] 其实像我们的节目
[00:24:24] 为什么会三六更新
[00:24:25] 就是因为有太多变数
[00:24:27] 突然间有打仗
[00:24:28] 突然间有干嘛
[00:24:28] 或是突然间哪个公司
[00:24:29] 开个财报影响到谁
[00:24:30] 我们现在都是用
[00:24:32] 我们既有的线索去做推理
[00:24:34] 为什么说
[00:24:34] 投资有时候蛮困难
[00:24:35] 或者说对我们主动交易者来讲
[00:24:37] 你需要一直去
[00:24:38] 就要说看盘
[00:24:39] 或是了解事情
[00:24:39] 就是因为他会有很多变数加强
[00:24:41] 但我们用既有的变数去看的话
[00:24:42] 其实蛮能够理解
[00:24:43] 就是你需要去买台积电
[00:24:45] 而且你有强烈的动机
[00:24:47] 因为假设你脱钩大盘
[00:24:48] 你会被你的老板当狗屌
[00:24:49] 所以你一定要去买台积电
[00:24:51] 买多买少
[00:24:52] 你就是一定会去加
[00:24:53] 你不可能说什么
[00:24:54] 调高上限到25%
[00:24:55] 然后你还是控占你的10%
[00:24:56] 因为你就输给你那些
[00:24:58] 手上都有台积电的同业们
[00:24:59] 所以你就必须去买
[00:25:00] 那这个是一个非常强烈的动机
[00:25:02] 就是no brainer
[00:25:03] 我觉得大家都一定会去买
[00:25:04] 这是买多买少的问题
[00:25:04] 那你买多买少就影响到
[00:25:06] 那你在其他标的买多买少
[00:25:08] 所以甚至有机会是这样子看
[00:25:10] 我觉得有一个身边的大哥
[00:25:12] 那个交易太聪明了
[00:25:13] 他第一瞬间就是
[00:25:14] 他也是尻了满手TSF
[00:25:16] 然后他去空台积电
[00:25:17] 那这个其实
[00:25:19] 听我们节目早期
[00:25:20] 有在跟你讲说
[00:25:21] 那种什么long short的
[00:25:22] 大家应该会带一点概念
[00:25:23] 这什么意思
[00:25:23] 你去做多台积电
[00:25:25] 然后你去空台积电
[00:25:26] 等于说你是去做多台积电
[00:25:28] 并空X台积电以外的标的
[00:25:30] 这是因为人家资金超级大
[00:25:32] 他要去做hedge
[00:25:33] 他会这样子做
[00:25:34] 那我是没有这样做
[00:25:36] 因为我资金没有大到
[00:25:37] 需要去做hedge
[00:25:37] 我可以直接去骂裸败就好
[00:25:40] 那所以类似的道理
[00:25:41] 就是说如果你今天
[00:25:42] 必须要去买台积电的话
[00:25:44] 你就有机会要去卖出
[00:25:45] 你手上的一些持股
[00:25:46] 所以这一些投信
[00:25:47] 他们可能在过去
[00:25:48] 买比较凶的东西
[00:25:50] 在后面一阵子
[00:25:52] 有机会是你要
[00:25:53] 稍微小心的东西
[00:25:54] 因为假设说
[00:25:55] 我的推论是对
[00:25:56] 但我的推论有可能是错的
[00:25:57] 有可能是错的
[00:25:58] 有可能就
[00:25:58] 现在真的是台积电的
[00:25:59] 什么热点
[00:26:00] 然后后来
[00:26:01] 你下礼拜开始就看到
[00:26:02] 盘整就不会涨
[00:26:03] 还是有机会是这样子
[00:26:05] 但如果说你注意到
[00:26:07] 就是我讲的剧本开始发生
[00:26:08] TSM直接一直上去的话
[00:26:10] 那就有可能会产生
[00:26:12] 一个FOMO的情绪
[00:26:12] 他必须要去丢掉他
[00:26:14] 手上持有的其他东西
[00:26:15] 然后转过来这里
[00:26:16] 那反之呢
[00:26:17] 就是说每次
[00:26:18] 这个投资交易里面
[00:26:20] 有趣的地方是
[00:26:20] 跌很深
[00:26:21] 就是有机会后面
[00:26:22] 会有大报酬可以转
[00:26:23] 涨很多
[00:26:24] 就有机会后面
[00:26:24] 就是有你得受
[00:26:26] 所以一样的道理
[00:26:27] 就是你现在知道说
[00:26:28] 这些东西
[00:26:29] 有机会在后面被sell
[00:26:31] 那反之呢
[00:26:32] 会不会等到
[00:26:33] 当资金开始
[00:26:34] 重新平衡之后
[00:26:35] 那这些东西
[00:26:36] 会产生一个
[00:26:36] 非常强大的补部位
[00:26:38] 那这也是我们在
[00:26:39] 大概两期前
[00:26:39] 有跟大家聊到
[00:26:40] 就是肋骨轮动的一个产生
[00:26:41] 我非常喜欢肋骨轮动
[00:26:43] 因为我们很会抓这种东西
[00:26:44] 所以呢
[00:26:45] 虽然我们家的想法
[00:26:46] 是认为说
[00:26:47] 这个市场可能会因为
[00:26:48] 法规面跟制度面的事情
[00:26:49] 大量的去买进台积电
[00:26:51] 前提
[00:26:52] 还要讲前提
[00:26:53] 就是外资没有跑出来乱的话
[00:26:54] 那如果说这个剧本
[00:26:55] 真的去启动的话
[00:26:56] 那可能就会导致
[00:26:57] 蛮多东西开始被狂卖
[00:26:58] 那这些狂卖的东西
[00:27:00] 如果说有撑住
[00:27:01] 有守住
[00:27:01] 等到这个资金的调整
[00:27:03] 完成之后呢
[00:27:04] 那有可能
[00:27:04] 你有新的东西可以做
[00:27:05] 所以还蛮有趣的
[00:27:06] 你刚才前面可能在
[00:27:08] 有些人在MTK
[00:27:09] 有些人在一些中小光通
[00:27:10] 什么赚很多钱
[00:27:11] 然后现在蛮多
[00:27:12] 有新的地方可以去
[00:27:12] 然后接着一个月
[00:27:13] 你就知道说
[00:27:14] 又有下一个地方可以去
[00:27:15] 假设说
[00:27:15] 这个国际情势
[00:27:16] 没有出什么大事
[00:27:17] 所以这个盘对我们来讲
[00:27:18] 就是超赞的
[00:27:19] 或许可能
[00:27:20] 不知道
[00:27:21] 就2026年真的是一个
[00:27:22] 令人意想不到的年
[00:27:24] 因为在前面
[00:27:25] 我们本来
[00:27:26] 至少由我自己来讲
[00:27:27] 我甚至觉得说
[00:27:27] 今年的美股就这样了
[00:27:29] 因为我自己的光通
[00:27:30] 其实是
[00:27:30] 有点难去成
[00:27:32] 我手上的一些大型股
[00:27:34] 表现或是一些软体股
[00:27:35] 也在回档
[00:27:36] 只是没有想到说
[00:27:37] 在过去一阵子
[00:27:38] 就全部都大喷射
[00:27:40] 这真的连想都不敢想的
[00:27:41] 一个剧本
[00:27:41] 当然因为既然东西
[00:27:43] 都已经喷出去了
[00:27:44] 所以我们想要做的
[00:27:45] 并不是要去散播一些情绪
[00:27:47] 就是说
[00:27:47] 涨高一定会跌
[00:27:48] 因为他妈
[00:27:48] 废物猴子都知道
[00:27:49] 涨高一定会跌
[00:27:50] 就是终究就是会跌
[00:27:52] 终究就是会有崩盘
[00:27:53] 可是重点是
[00:27:54] 在可以赚钱的时候
[00:27:55] 其实要非常积极的
[00:27:56] 特别是那种目标
[00:27:57] 很明确的时候
[00:27:57] 要积极的去做
[00:27:58] 所以现在的想法就是
[00:27:59] 可能可以注意一下
[00:28:00] 下礼拜开始
[00:28:01] 会不会有些新的
[00:28:02] 资金行情的出现
[00:28:03] 这些行情
[00:28:04] 它基本上表示的
[00:28:05] 就是说
[00:28:05] 它有机会产生
[00:28:06] 更多的波动
[00:28:07] 波动就是我们
[00:28:08] 在工作里面
[00:28:09] 有机会可以赚钱的机会
[00:28:10] 所以自己是觉得
[00:28:11] 非常兴奋
[00:28:12] 非常期待
[00:28:13] 下礼拜的一个到来
[00:28:14] 大概这样
[00:28:14] 就在那边
[00:28:15] 简单跟大家分享一下
[00:28:16] 自己对一下
[00:28:17] 施矿的一个分享
[00:28:18] 基本上在美股这边
[00:28:19] 也觉得没有什么特别
[00:28:21] 要说的
[00:28:21] 反正就
[00:28:22] 以这个
[00:28:23] 半头体像它内股来讲
[00:28:24] 反正就是一直喷
[00:28:25] 当然等到后面
[00:28:26] 有一些新的变化
[00:28:28] 产生的时候
[00:28:29] 就会再去做新的update
[00:28:30] 所以这边简单跟大家分享一下
[00:28:32] 就是我觉得这是一个
[00:28:32] 事件型驱动的
[00:28:34] 政策面的
[00:28:35] 某种程度的大力多
[00:28:37] 它只是就是看市场的资金
[00:28:38] 会怎么样去做反应
[00:28:39] 那我们设定好剧本
[00:28:40] 就是我们去执行
[00:28:41] 那一样
[00:28:42] 我们都还是会去设定一些
[00:28:43] 就像说像台积电
[00:28:44] 其实它本身不是很多
[00:28:46] 在做交易圈的人
[00:28:47] 他可能会频繁去做交易的东西
[00:28:48] 所以就是两个选项
[00:28:50] 一个就是说
[00:28:50] 我就买了房子去等
[00:28:51] 另外一个就是
[00:28:52] 你还是会去设一些
[00:28:53] 有些人把它称为是停损
[00:28:54] 虽然在台积电停损
[00:28:55] 挺小的
[00:28:59] 压小人就可以放在等
[00:29:00] 所以反正就是会往这个放上去
[00:29:02] 只是说做多做少的一个问题
[00:29:03] 大概是这样
[00:29:03] 好那接下来我们进去Q的部分
[00:29:05] 第一位板桥李多慧2.0
[00:29:07] 而是要法该保护的是人不是魔鬼
[00:29:09] 梦工取卡无安
[00:29:10] 最近因为YouTuber迷案追踪
[00:29:12] 再次整理了2023年
[00:29:13] 政经全台的歌喉案
[00:29:14] 看到里面的干歌干妹
[00:29:16] 所作所为
[00:29:16] 真的只能够恶心的魔鬼来形容
[00:29:18] 不知道您的看法如何
[00:29:19] 法律保护这些魔鬼的用意
[00:29:20] 究竟何在
[00:29:21] 机会下都会尽可能去
[00:29:23] 少看一些这种
[00:29:24] 关于小朋友的
[00:29:25] 受到伤害
[00:29:26] 或甚至是死亡的案子
[00:29:28] 因为看到后来就很难过
[00:29:30] 像上次有跟大家分享说
[00:29:30] 有一次在瑞典旅行的时候
[00:29:32] 然后刚好看到那个
[00:29:33] 就是一个那个虐婴案
[00:29:34] 然后后来我们两个就在餐厅
[00:29:35] 根本连饭都吃不下
[00:29:36] 两个一起在那边哭
[00:29:37] 那当然这不知道
[00:29:38] 去诉诸情绪或什么
[00:29:40] 就只是跟大家分享说
[00:29:41] 就看到这种东西
[00:29:41] 对有些人来讲
[00:29:42] 真的会很敏感会很难受
[00:29:44] 然后特别是
[00:29:44] 像你讲的这个歌警
[00:29:46] 我不知道我们是不是
[00:29:46] 看的是同一个歌警
[00:29:47] 我记得那时候有看到说
[00:29:49] 什么受害者的爸爸出来讲说
[00:29:50] 法官跟他讲说
[00:29:51] 有没有机会让什么
[00:29:53] 就是那个加害者
[00:29:53] 那个小朋友来孝顺你
[00:29:55] 你他妈你在讲什么
[00:29:56] 这到底是他妈什么
[00:29:57] 什么垃圾言论
[00:29:59] 这种人要不要抓去
[00:30:00] 他妈脑袋要不要拆开
[00:30:01] 检查一下
[00:30:01] 脑袋里面装什么东西
[00:30:03] 其实老实讲
[00:30:03] 我跟你讲
[00:30:04] 我们是相信专业的人
[00:30:06] 还是要先讲我们的
[00:30:07] button line
[00:30:07] 我们的前提
[00:30:08] 我们绝对是相信专业的人
[00:30:09] 大家一定都知道
[00:30:10] 我们一切都是输出专业
[00:30:11] 只是你不要跟我讲说
[00:30:13] 在同一个license下面的
[00:30:14] 每个人都是没问题的
[00:30:16] 一定有很多garbage
[00:30:16] 就像是在做交易的
[00:30:17] 有很多garbage
[00:30:18] 在那边当医生的
[00:30:19] 一定有很多是garbage
[00:30:20] 他可能在那边偷摘人家器官
[00:30:22] 还是说在做什么
[00:30:23] 奇怪的买卖
[00:30:24] 那再来就是说
[00:30:25] 这些法官
[00:30:26] 有些你就是判他妈垃圾的东西
[00:30:28] 所以不要很简单的
[00:30:29] 把大家划分成为说
[00:30:31] 你知道相信法官
[00:30:32] 那不相信的就是什么
[00:30:33] 民粹就是法盲
[00:30:34] 绝大多数的案例
[00:30:35] 我真的都相信法官
[00:30:36] 甚至有时候
[00:30:36] 我真的觉得是
[00:30:37] 大家在搞民粹
[00:30:38] 这种东西讲出来
[00:30:39] 你也是跟他妈势头对作
[00:30:40] 我现在都是懒得
[00:30:41] 去介入这种纠纷
[00:30:42] 只是你怎么会对一个
[00:30:44] 就是小朋友
[00:30:45] 被杀掉的父亲讲说
[00:30:47] 有没有可能让
[00:30:48] 别的小孩来孝顺你
[00:30:50] 如果你今天有小孩的话
[00:30:52] 你讲出这种话的话
[00:30:53] 我觉得这个就叫不适论
[00:30:55] 如果说你今天是没有小孩的话
[00:30:56] 那你可能就真的是
[00:30:58] 绵灭人心的那种
[00:30:59] 就是完全没有
[00:31:01] 他妈同理性的废物
[00:31:02] 简单讲是这样的
[00:31:03] 所以你知道有些那种
[00:31:04] 我可以理解
[00:31:07] 就像说像
[00:31:08] 因为大家蛮多时候
[00:31:09] 会想要去诉诸
[00:31:10] 什么东西都死刑
[00:31:11] 把人家砰掉
[00:31:11] 可是我其实是知道说
[00:31:13] 什么东西都不可以
[00:31:13] 是完全的死刑
[00:31:15] 为什么
[00:31:15] 因为如果你今天知道说
[00:31:17] 你做这个犯罪
[00:31:18] 你一定会死的话
[00:31:19] 这已经有一些统计处去佐证了
[00:31:21] 那我在犯罪的当下
[00:31:22] 其实我不会想要去hold back
[00:31:24] 我不会想要去反悔
[00:31:25] 因为我知道
[00:31:25] 反正我就死定了
[00:31:26] 所以我
[00:31:27] 我他妈我可能碾到一个人
[00:31:28] 我就直接就来回吧
[00:31:29] 碾死
[00:31:29] 类似这样
[00:31:30] 我如果每个东西都死刑
[00:31:31] 会变这样
[00:31:31] 所以有些民粹去讲的
[00:31:33] 什么
[00:31:34] 全部东西都应该死刑
[00:31:35] 要边刑
[00:31:35] 这个我是不认同的
[00:31:36] 但你也不要想要去
[00:31:38] 把死塞到嘴巴里面
[00:31:39] 告诉我说
[00:31:40] 因为我要去相信法官
[00:31:41] 所以你法官讲
[00:31:42] 他妈各种垃圾话
[00:31:43] 都不用去受到公平
[00:31:44] 像那个
[00:31:45] 就他妈超级垃圾话
[00:31:46] 那样子
[00:31:47] 讲到这种东西
[00:31:47] 就会影响到我的情绪
[00:31:48] 那我现在的做法就是
[00:31:49] 基本上我生活中
[00:31:51] 要忙的东西太多了
[00:31:52] 我要去工作
[00:31:53] 我要去照顾我的孩子
[00:31:54] 我现在还要去研究
[00:31:55] 怎么样减肥
[00:31:56] 开始去做很多运动
[00:31:57] 我要去采购
[00:31:58] 各种好玩
[00:31:59] 有趣的红酒
[00:32:00] 所以我能够做的怎么样
[00:32:01] 我就是去看到一些
[00:32:03] 需要帮助的人
[00:32:04] 我去捐钱
[00:32:05] 我去出力
[00:32:05] 可是我已经不会想要
[00:32:07] 去把自己大量
[00:32:08] 放到这些案子里面
[00:32:08] 像我刚才跟你回答
[00:32:09] 你看我情绪又上来
[00:32:10] 我就想去喷那个法官
[00:32:11] 那可能有些人听了
[00:32:12] 就觉得说很爽
[00:32:13] 但这个对我来讲
[00:32:14] 是心理的一种负担
[00:32:15] 所以只能够说
[00:32:16] 这个希望社会
[00:32:17] 可以去太除掉
[00:32:18] 因为你知道
[00:32:18] 这个东西可以留给
[00:32:19] 法界人士
[00:32:20] 法界人士也要自己振作
[00:32:21] 你看到你那妈
[00:32:22] 同行的法官
[00:32:23] 在讲这种垃圾话
[00:32:24] 你怎么可以接受这种事情
[00:32:25] 拜托出来踢爆他
[00:32:26] 好不好
[00:32:27] 拜托让这种
[00:32:27] 不思认的他妈下去
[00:32:28] 好不好
[00:32:29] 下面一位
[00:32:29] 我梦工啦
[00:32:30] 为了post it哈一根
[00:32:32] 记得你在某集说
[00:32:33] 虽然戒言了
[00:32:34] 但会为了post it
[00:32:34] 再抽一根
[00:32:35] 接着推荐他
[00:32:36] 录音室的演唱版本
[00:32:38] 那我跑去听了之后
[00:32:39] 整个爱上
[00:32:39] MK九月也会去看
[00:32:41] 高雄的post it演唱会
[00:32:43] 好久没有分享
[00:32:44] 萧南跟乌山了
[00:32:44] 那另外
[00:32:45] 我老婆一直说
[00:32:46] 要去林口巧遇你
[00:32:47] 整天在那边
[00:32:48] 梦工我老公
[00:32:49] 如果哪天遇到
