[00:00:00] 欢迎收听赵华与古惑仔第1115集
[00:21:10] 我承认他缴出来的财报很好
[00:21:12] 但我也在观察这家公司
[00:21:14] 这家公司讲展望的时候
[00:21:15] 他相对比较保守
[00:21:17] 我觉得
[00:21:17] 他不像华人勋
[00:21:19] 这么会去描绘的远景
[00:21:22] 一片大好
[00:21:23] 而且他不在描绘自己的远景
[00:21:25] 他是描绘整个AI
[00:21:26] 很便宜啊
[00:21:27] 大家都百花其放
[00:21:28] 台湾厂商会很忙什么的
[00:21:30] 博通比较就是就事论事
[00:21:32] 所以我觉得他的展望
[00:21:33] 会让市场
[00:21:33] 比较没有那么兴奋的情况下
[00:21:35] 在遇到美股已经涨很多
[00:21:37] 而且博通之前涨很多
[00:21:38] 所以他就会出现一个
[00:21:39] 比较明显的回调
[00:21:41] 那我觉得这也是我学习到的
[00:21:42] 因为我可能都会认为
[00:21:44] 你只要是美股七巨头
[00:21:45] 你只要是美股的大厂
[00:21:46] 你都要像华人勋一样会讲话
[00:21:48] 事实上不是
[00:21:49] 有的人可能很碰红
[00:21:50] 有的人可能相对就是稳健的
[00:21:52] 就像大力光老实数嘛
[00:21:54] 所以他只要讲出一点点好
[00:21:56] 大家就觉得很好了
[00:21:57] 像大力光今天很上庭啊
[00:21:59] 因为他现在讲话有比较
[00:22:01] 偏正面
[00:22:03] 真的不容易解读
[00:22:04] 然后美系外资又调高
[00:22:06] 大力光的目标
[00:22:07] 加到大概快到五千三百块钱
[00:22:08] 都给他很大的助力
[00:22:10] 我觉得今天很多的外资报告出来
[00:22:12] 也是在证实这件事情
[00:22:13] 就是AI其实没有什么问题
[00:22:16] 对
[00:22:16] 那为什么不在上礼拜
[00:22:18] 我出发
[00:22:18] 每天都在今天看到
[00:22:20] 一拖拉库的报告
[00:22:22] 好
[00:22:22] 那如果AI没有什么问题
[00:22:24] 接下来还有没有什么
[00:22:26] 这样子震荡的机会
[00:22:27] 因为之前你也跟我讲过啊
[00:22:29] 其实像今天大涨
[00:22:30] 你不会很喜欢在大涨的时候来吗
[00:22:32] 对啊
[00:22:32] 你比较喜欢在大碟的时候来吗
[00:22:34] 对
[00:22:34] 如果可以选择的话
[00:22:36] 好
[00:22:37] 那接下来还有没有什么样的引诱
[00:22:39] 例如说接下来有CPI
[00:22:40] CPI看来也会高
[00:22:42] PPI可能也会高
[00:22:43] 就制造者的物价指数也会高
[00:22:46] 消费者的物价指数也会高
[00:22:47] 下礼拜当然就中头戏
[00:22:49] 就是所谓联准会的利率决策会议
[00:22:51] 然后再来
[00:22:52] 当然10号有所谓台移电的
[00:22:54] 营收要出来了
[00:22:55] 接下来大家陆陆续续
[00:22:57] 也要除息了
[00:22:58] 对不对
[00:22:58] 搞不好除息前拉一拉
[00:23:00] 会除息后贴席
[00:23:01] 这些里面的变数
[00:23:02] 你会最关注哪些
[00:23:03] 让我们的听众可以提早做准备
[00:23:07] 刚刚你在沿路讲
[00:23:08] 我发现你好像在暴力多
[00:23:10] 是我自己觉得
[00:23:11] 真的啊
[00:23:12] 我觉得真的
[00:23:13] 怎么我只是把
[00:23:13] 要接下来翻成的事情讲出来
[00:23:15] 他说在暴力多
[00:23:16] 对啊
[00:23:16] 我觉得我们先这样讲
[00:23:17] 唯一可能大家比较担忧
[00:23:19] 而且比较可能在讲滑雪的部分
[00:23:22] 对
[00:23:22] 我应该这样讲
[00:23:23] 讲联准会
[00:23:23] 讲资金的方向
[00:23:25] 联准会
[00:23:25] 我直接告诉投资人
[00:23:28] 你应该这样讲
[00:23:30] 今年以内我觉得
[00:23:31] 联准会的事情根本都不要看
[00:23:33] 为什么
[00:23:34] 我觉得根本就不重要
[00:23:36] 为什么
[00:23:36] 因为先给大家一个架构
[00:23:39] 就是现在他没有降息的空间
[00:23:41] 对
[00:23:41] 他也没有升息的空间
[00:23:44] 他现在没有调整率的空间
[00:23:46] 完全完全百分之一百认同
[00:23:49] 对
[00:23:49] 或者说我这样讲
[00:23:51] 我们解释一下给大家听
[00:23:52] 你就研调机构
[00:23:54] 有些可能还比较乐观
[00:23:56] 他还会坚信说
[00:23:57] 今年也许还有降息的机会
[00:23:59] 一两码的机会
[00:24:00] 一码
[00:24:00] 年底
[00:24:01] 有些比较乐观
[00:24:02] 大部分可能说已经没空间
[00:24:04] 但是就目前角度也很少
[00:24:06] 有比较有权威的机构
[00:24:08] 认为今年会升息
[00:24:10] 没错
[00:24:10] 对吧
[00:24:10] 所以那个更不可能
[00:24:12] 简单而言
[00:24:12] 如果降息跟升息而言
[00:24:14] 有些人还会觉得有降息
[00:24:17] 但没有人敢说
[00:24:18] 今年会升息
[00:24:19] 没有降息空间
[00:24:20] 我想大家应该都理解
[00:24:21] 没有升息空间
[00:24:22] 我们常常有讲这件事情
[00:24:23] 就是高利率环境
[00:24:25] 其实是对
[00:24:26] 企业和高科技的扩张极度不利
[00:24:29] 对人民的生活
[00:24:30] 其实也不利
[00:24:31] 是
[00:24:31] 所以我刚刚提到
[00:24:33] 我最早要提及说
[00:24:34] 我不是说升息无所谓
[00:24:37] 升息很严重
[00:24:39] 所以我才会说升息很严重
[00:24:40] 因为没有空间
[00:24:41] 对 升息很严重
[00:24:42] 只是因为现在
[00:24:43] 其实距离升息
[00:24:44] 我自己觉得
[00:24:45] 不用担心是
[00:24:47] 不是说不要担心升息
[00:24:49] 是不用担心现在会升息
[00:24:52] 是那个概念
[00:24:53] 所以我觉得不用担心
[00:24:54] 你是不是偷看我的脸书
[00:24:55] 或者是我在讲到
[00:24:58] 最主要关键点就是
[00:25:00] 会有一个问题
[00:25:01] 就比如说现在有这些通膨数字要公布
[00:25:04] 是不是会有压力
[00:25:05] 老实际上我觉得不会
[00:25:06] 因为很简单的原因是因为
[00:25:08] 现在通膨数字不好
[00:25:10] 本来就该不好
[00:25:12] 因为最主要关键点是川普
[00:25:14] 因为他打了这个战火
[00:25:15] 所以通膨一定会很高
[00:25:17] 因为油价现在就还没下去
[00:25:19] 所以你看到的数字自然会不好
[00:25:21] 而且时间脱长
[00:25:22] 它会导致一个
[00:25:23] 除了CPI之外
[00:25:25] 包含核心已经扣掉能源的
[00:25:27] 也开始加温
[00:25:28] 因为这个会互相传染
[00:25:30] 可是我之前最早就提到
[00:25:32] 半年之内其实影响的程度
[00:25:34] 都还在有限范围之内
[00:25:36] 所以简单应该说
[00:25:37] 你等到第三季底了
[00:25:40] 如果这个战火打不完
[00:25:41] 那是整个氛围就会改变
[00:25:45] 所以但是为什么说
[00:25:46] 我觉得今年不太需要
[00:25:48] 我不觉得川普会把它搞成这副对
[00:25:52] 因为我最早就提到
[00:25:53] 他这次拿到的不是钱
[00:25:54] 他拿到的是政治好处而已
[00:25:56] 他不会拿他的经济
[00:25:58] 去换人家的政治好处
[00:26:00] 因为理论绝对不划算
[00:26:03] 所以他虽然嘴巴都讲得很
[00:26:05] 好像很凶狠
[00:26:06] 实际上他不可能继续做下去
[00:26:08] 所以我觉得不用担心
[00:26:10] 而且我一直讲
[00:26:11] 要记得一件事情
[00:26:12] 现在的美国的利率3.5左右
[00:26:16] 是一个我觉得对股市
[00:26:19] 是一个非常好的一个环境
[00:26:23] 对你说再低一点好不好
[00:26:26] 结果联准会希望说可以二以下
[00:26:29] 当然是好
[00:26:29] 可是我意思说走长远一点
[00:26:32] 它有个好处
[00:26:33] 你稍微有一点点高
[00:26:35] 代表什么你有子弹
[00:26:37] 就是说如果万一真的
[00:26:39] 未来经济出了什么状况
[00:26:40] 或就业它马上降息
[00:26:42] 又可以再刺激
[00:26:43] 你看疫情那时候就急速降息
[00:26:44] 对 这是一点
[00:26:45] 还有更重要
[00:26:46] 当你没有降息
[00:26:48] 你就没有升息空间
[00:26:50] 所以我的意思说
[00:26:51] 其实升息
[00:26:52] 现在3.5左右
[00:26:54] 大家是习惯的
[00:26:55] 这么久了
[00:26:56] 而且常常讲
[00:26:58] 万一今年都不降息怎么办
[00:27:00] 我说今年以来是没有降息
[00:27:02] 都能长成这副德性
[00:27:03] 你真的认为降息对股市
[00:27:06] 到底有多大的帮助
[00:27:07] 没有
[00:27:08] 简单对我的观念就是
[00:27:10] 降息的刺激是非常浅
[00:27:13] 而且非常短的
[00:27:14] 但是升息故事不一样
[00:27:15] 升息对经济
[00:27:16] 冲击是很大的
[00:27:18] 所以对我而言
[00:27:19] 降息短线刺激
[00:27:21] 换来未来可能升息的忧虑
[00:27:24] 我宁愿不降息
[00:27:26] 反正
[00:27:26] 但是会导致一个现象
[00:27:29] 会不会有附送的有
[00:27:30] 就是这个M型化会很严重
[00:27:32] 因为AI人家是有很强的基本面
[00:27:35] 所以它三点多人家可以继续冲
[00:27:37] 可是你要知道
[00:27:39] 本来就不怎样的那些传产
[00:27:41] 它扛着三点多人家是有压力的
[00:27:44] 所以会导致M型化
[00:27:46] 相对来讲会比较严重
[00:27:48] 但对股市而言
[00:27:49] 就是相对比较好的情境
[00:27:51] 所以一开始就告诉大家
[00:27:52] 其实这一块不用
[00:27:54] 就是如果讲到联准会的动向什么
[00:27:57] 我真的觉得甚至我直接讲白一点
[00:27:59] 今年真的不要把心思放在联准会上面
[00:28:03] 多看一些这些所谓的产业大佬讲的话
[00:28:08] 我觉得才是比较重要的关键点
[00:28:12] 那另外再讲到
[00:28:13] 比如说刚刚讲了几个重要点
[00:28:16] 比如说现在的市场的动向
[00:28:19] 或者是现在在公布的营收的架构
[00:28:22] 五月营收公布到目前你觉得如何
[00:28:25] 我觉得非常好
[00:28:26] 数字很好
[00:28:27] 而且台积电的营收
[00:28:30] 其实应该也都会表现得非常亮眼
[00:28:33] 因为推估一下
[00:28:35] 因为四月的营收不太好
[00:28:37] 所以代表着五六月是很好的
[00:28:40] 我上次就会讲
[00:28:41] 其实四月是不如预期的
[00:28:43] 四月有小幅月减
[00:28:45] 对小幅月减
[00:28:46] 小幅月减
[00:28:47] 那很低三个%
[00:28:49] 但是我就直接讲白一点
[00:28:50] 我虽然很喜欢
[00:28:51] 不如预期就是不如预期
[00:28:53] 不过好像以美元营收来看是OK
[00:28:55] 对
[00:28:56] 就是台币营收
[00:28:57] 因为台币那时候比较弱
[00:28:58] 是我那时候讲结论就是不如预期
[00:29:01] 但是跟大家讲不用紧张
[00:29:02] 因为它不是单月
[00:29:03] 它是三个月包裹在一起的
[00:29:05] 那回过头来一样问题
[00:29:07] 就是说五六月它会再创历史新高
[00:29:10] 是不会有问题
[00:29:11] 那说为什么有自信
[00:29:13] 上礼拜它讲的
[00:29:14] 就是魏哲家讲
[00:29:15] 它有讲到全年营收状况
[00:29:17] 第二季的营收状况
[00:29:18] 跟上次讲的一样
[00:29:19] 上次讲的你把数字摊开
[00:29:21] 再把这个回去兜一下
[00:29:24] 你就知道
[00:29:24] 后面它不敢讲
[00:29:27] 但是它就是暗示你
[00:29:29] 五六月的营收会再创历史新高
[00:29:32] 所以老实讲其实不用太担心
[00:29:35] 那最后就是讲到说除全席的时间点
[00:29:38] 那每年的这个
[00:29:41] 其实除全席比较吃的就是市场的
[00:29:43] 这个当时的氛围
[00:29:45] 那比较好的现在
[00:29:47] 因为大家重点
[00:29:48] 它除席之后吃的是
[00:29:50] 到底会不会填席
[00:29:52] 那到底会不会填席
[00:29:54] 就等于说除席之后股价下来之后
[00:29:56] 谁要去买
[00:29:57] 所以市场的氛围就很重要
[00:30:00] 那现在我觉得还是一个多头的一个氛围
[00:30:03] 那我每次都讲
[00:30:04] 这一整年
[00:30:05] 就以前我们在操作
[00:30:07] 在法人的时间点
[00:30:09] 在这种初全席
[00:30:11] 尤其是七月跟八月这两个月
[00:30:13] 因为六月要等到很接近尾段
[00:30:16] 才开始有比较多的初全席
[00:30:18] 七月几乎都卡在七月
[00:30:20] 八月就相对来讲没那么多
[00:30:22] 那七月这个初全席的时间点
[00:30:25] 其实指数通常都是非常的正向
[00:30:28] 所以我常常讲就是跟大家讲说
[00:30:31] 就目前的角度看起来都是正向的
[00:30:36] 看起来都是利多
[00:30:37] 唯一有没有风险
[00:30:39] 我只能说不代表没有
[00:30:41] 现在能够看得到的
[00:30:42] 我除了刚刚提到短线涨多
[00:30:44] 比如说乖离率高之外
[00:30:47] 其实我不断强调有一个就是这个
[00:30:50] 灰达要转这个Vero-Rubin的
[00:30:54] 这个是不是顺利
[00:30:55] 因为每次世代在转变的时候
[00:30:58] 都通常比较
[00:31:00] 我觉得合理
[00:31:01] 因为它的规格大幅的变化
[00:31:03] 它不是小改款
[00:31:04] 它真的是完全改变
[00:31:06] 所以它的零组件
[00:31:08] 它的配用套件
[00:31:10] PCB散热什么都得改变
[00:31:12] 中间只要任何一个环节卡住
[00:31:14] 就会导致它出货卡住
[00:31:16] 所以这么多的关节
[00:31:18] 里面几百个几千个
[00:31:20] 只要是不是都能够顺利出货
[00:31:22] 我觉得那个对台股是有压力的
[00:31:25] 尤其是这么高的位阶
[00:31:27] 当然一开始就跟大家讲
[00:31:29] 如果因为上次也发生过一次
[00:31:31] 那这次
[00:31:33] 卡在GP200
[00:31:34] 所以上次也发生过一次
[00:31:37] 我记得晚了半年
[00:31:39] 那中间股价确实也有
[00:31:41] 一两三个月一两个月
[00:31:43] 卡了蛮久的时间
[00:31:44] 每天都在讲说
[00:31:46] 到底什么时候才会变好之类的
[00:31:48] 但是它的特色就是
[00:31:49] 还没有变好
[00:31:50] 股价就开始转强
[00:31:51] 后来再告诉你
[00:31:52] 原来已经顺利量产了
[00:31:54] 那我觉得这次会不会有
[00:31:56] 我也不知道
[00:31:57] 那我只能说
[00:31:57] 这是目前可以考量的一个变数
[00:32:01] 其他几乎都是维持真相
[00:32:04] 我就不断地跟投资人重申
[00:32:07] 就是说养成一个习惯
[00:32:09] 就是尽量把股价的走势
[00:32:11] 看淡一点
[00:32:12] 因为结论就是
[00:32:14] 你结论到底是对或错
[00:32:17] 其实是有一把尺的
[00:32:18] 或者是跟大家讲
[00:32:20] 因为我常讲这个问题
[00:32:21] 比如说博通或者是台积电
[00:32:24] 其实好或坏
[00:32:25] 其实是有一个标准的
[00:32:27] 那我有时候跟投资人在聊
[00:32:29] 他会说
[00:32:30] 那个是因为你知道吗
[00:32:32] 那我们又没办法
[00:32:33] 那我跟大家讲
[00:32:34] 其实就以前确实是
[00:32:36] 但是现在时代不同了
[00:32:38] 现在你其实是有办法
[00:32:39] 简单而言
[00:32:40] 你就请AI帮你做这个事情
[00:32:42] 是 现在AI是厉害的
[00:32:43] 对 他真的是厉害的
[00:32:45] 你更好 更标准的做法
[00:32:48] 是你应该
[00:32:49] 我们举个例子
[00:32:50] 就像台积电要法说了
[00:32:52] 你应该是在法说前
[00:32:54] 可能最后一两天
[00:32:56] 你就请AI问他说
[00:32:58] 你把我把现在市场上
[00:33:00] 对于他的这个整个法说会
[00:33:04] 要出的数字给我看
[00:33:06] 然后你就把这个档案留下来
[00:33:08] 等到他开出来的时候
[00:33:10] 你就你心里就有一把尺
[00:33:12] 到底他的结果是比
[00:33:14] 这把尺高还低
[00:33:15] 你就不会受到市场的影响
[00:33:18] 那你要记得
[00:33:20] 你一定要坚信那把尺
[00:33:21] 而不是坚信股价
[00:33:23] 因为股价短线会脱钩
[00:33:25] 但绝对不会长线
[00:33:26] 所以最后我就常常讲
[00:33:28] 以前我们法人确实有办法
[00:33:31] 这是跟一般投资人落差
[00:33:33] 但时代已经不一样
[00:33:34] 很多的东西我刚刚讲
[00:33:36] 博通的到底是不是真的
[00:33:38] 或是这
[00:33:39] 当然这个东西
[00:33:40] 就是你可以请他
[00:33:42] 我觉得这是比较合理的方法
[00:33:44] 你应该在还没
[00:33:46] 公布结果之前
[00:33:48] 就先有一个答案
[00:33:49] 然后再答案出来
[00:33:51] 就是对那个答案券
[00:33:53] 到底对不对
[00:33:53] 然后最后就要坚信
[00:33:55] 自己要能够有那个信念
[00:33:57] 说他就是好
[00:33:58] 没关系他敢跌
[00:34:00] 我就敢买
[00:34:00] 那两层几次习惯之后
[00:34:03] 脱离了两件事情
[00:34:06] 第一个就是股价的走法
[00:34:08] 第二是市场的氛围
[00:34:10] 你有办法脱离自然
[00:34:12] 你就有办法抓到市场的节奏
[00:34:14] 好 因为我比较幸运
[00:34:16] 我有像明翰这样的朋友
[00:34:17] 如果说他今天是绝对善良
[00:34:21] 我觉得是中立善良
[00:34:22] 就是说对于多头的乐观程度
[00:34:24] 我是比较审慎乐观
[00:34:26] 他是我觉得是高度乐观
[00:34:27] 可是他的高度乐观
[00:34:28] 不是盲目乐观
[00:34:29] 是建立在对产业
[00:34:31] 跟基本面的架构想法上
[00:34:33] 而且明翰是非常早
[00:34:34] 开始用AI的
[00:34:35] 我还记得那时候达然秀
[00:34:36] 开始做那些
[00:34:38] 所谓我们讲CG
[00:34:39] 就是所谓那些投影片的时候
[00:34:40] 一开始都很丑传统的
[00:34:42] 然后一开始用
[00:34:43] 就是明翰就开始
[00:34:44] 大量的使用AI
[00:34:46] 做自己的投影片
[00:34:47] 然后一开始会有错误
[00:34:48] 但错误就越来越少
[00:34:50] 图片也越来越漂亮
[00:34:51] 字体也越来越OK
[00:34:52] 我刚刚一直在
[00:34:54] 刚刚我们滑一下手机
[00:34:55] 我昨天看了一下
[00:34:56] 我的这个直播内容
[00:34:57] 我就发现我一直拿手机
[00:34:59] 我就发现它完全呈现出
[00:35:01] 我是一个资讯焦虑症者
[00:35:03] 为什么我一直在滑手机
[00:35:05] 是因为我不停地在看
[00:35:06] 涨跌服务
[00:35:07] 然后在看我的APP里面
[00:35:08] 到底等一下要讲哪个类鼓
[00:35:09] 然后到底刚刚下午
[00:35:11] 现在到底开盘夜盘是多少
[00:35:12] 我一直在滑误
[00:35:13] 我这样好对不起汉尾
[00:35:15] 所以我今天没有对不起明翰
[00:35:16] 但我刚刚滑了一下
[00:35:18] 因为我刚刚讲错一个东西
[00:35:19] 4月其实是台币走强了
[00:35:21] 所以才会导致台积电的
[00:35:23] 美元营收
[00:35:24] 它是达标
[00:35:25] 但换成台币营收
[00:35:27] 就相对好像少了一点点
[00:35:28] 对我刚刚讲完就想说
[00:35:30] 不对不是台币走弱
[00:35:31] 是台币走强
[00:35:32] 这边来跟大家更正一下
[00:35:34] 好但是回到台股的基本面上面
[00:35:36] 目前5月营收结出来
[00:35:38] 我觉得也是一个没有败向的状态
[00:35:41] 才是非常多的公司在创历史新高
[00:35:43] 例如大家会最常想到像PCB
[00:35:45] 铜箔基板
[00:35:46] 台光电还是在创历史新高
[00:35:48] 载板应该也会开始有人
[00:35:51] 就是业绩足迹走高
[00:35:53] 像坚点
[00:35:54] 虽然它的股价很震荡
[00:35:55] 但它的业绩也创历史新高
[00:35:57] 等于PCB这一挂
[00:35:58] 很多人都在创历史新高
[00:36:00] 大家拭目以待
[00:36:01] 台积电会不会拭目以待
[00:36:03] 只要是现在未接经过整理的
[00:36:06] 我觉得它的营收创新高
[00:36:08] 就是如明翰讲的
[00:36:10] 几乎是个送分题
[00:36:11] 就在传统的淡月
[00:36:14] 大家还是陆续在创新高
[00:36:15] 就代表AI已经改变了
[00:36:17] 大家在四季上的一个节奏
[00:36:19] 那我只是觉得外资人犯
[00:36:21] 他今天真的出了非常多的报告
[00:36:22] 去调升了很多人的平等
[00:36:25] 还有昨天我观察到一个现象
[00:36:27] 我们一直在讲主动式的ETF
[00:36:29] 昨天主动式ETF是净流入
[00:36:32] 就等于在下沙的过程中
[00:36:34] 有非常多人可能跟我一样
[00:36:35] 觉得买个股跌停锁在那边减
[00:36:38] 真的有把握吗
[00:36:39] 好啦还是去买个ETF
[00:36:40] 跌6%了嘛
[00:36:42] 有的甚至跌7%了
[00:36:43] 买一点主动ETF
[00:36:44] 结果所以大部分的主动ETF
[00:36:47] 有点知名度的
[00:36:47] 几乎都是净流入
[00:36:49] 钱跑进去了
[00:36:50] 那今天有没有给大家
[00:36:51] 很好的回报
[00:36:52] 有
[00:36:52] 像我就观察
[00:36:53] 虽然这段时间981
[00:36:55] 跑得比较慢
[00:36:56] 可是昨天大概有8亿元
[00:36:57] 跑进去
[00:36:58] 他就买了两档
[00:36:59] 买了谁呢
[00:37:00] 联发科
[00:37:01] 买了谁呢
[00:37:02] 金像电
[00:37:03] 这两档今天怎样呢
[00:37:04] 账定版
[00:37:05] 所以今天981
[00:37:06] 直接就反弹快要5个百分点
[00:37:08] 还是蛮强的
[00:37:09] 所以我觉得
[00:37:10] 在这样的多头气势下
[00:37:12] 明汉帮忙大家
[00:37:14] 知道AI的基本面
[00:37:16] 完全是正向的时候
[00:37:18] 您不敢买个股
[00:37:19] 真的就让专业经理人
[00:37:20] 帮你操盘
[00:37:21] 因为他们拿了
[00:37:22] 你的钱是一定要买的
[00:37:23] 对
[00:37:24] 应该这样讲
[00:37:25] 这个个股的部分风险
[00:37:27] 当然相对比较高一些些
[00:37:28] 但也不一定
[00:37:29] 如果你有办法
[00:37:30] 做有效的筛选
[00:37:32] 尤其是AI
[00:37:33] 加上全职股
[00:37:35] 你只要这两个交结
[00:37:37] 其实风险可控
[00:37:38] 而且它又具有一定的
[00:37:41] AI比重
[00:37:42] 其实我觉得
[00:37:42] 不会差太多
[00:37:44] 当然你还要
[00:37:45] 有点麻烦
[00:37:45] 你要持续follow
[00:37:47] 就是后续有没有什么变化
[00:37:48] 所以直接交给经理人
[00:37:50] 我觉得是一个
[00:37:51] 很好的一个方向
[00:37:52] 再讲
[00:37:53] 我觉得
[00:37:53] 就以昨天那个架构
[00:37:56] 其实
[00:37:56] 就我个人而言
[00:37:59] 我觉得
[00:37:59] 我也不会去求
[00:38:00] 今天到底有多强
[00:38:02] 因为
[00:38:02] 我的观念都会觉得
[00:38:04] 这种机会来的时候
[00:38:06] 又回过头
[00:38:08] 就我们之前
[00:38:08] 一直讲
[00:38:09] 我要得到
[00:38:11] 隔天比较大的报酬
[00:38:13] 其实我不见得一定要
[00:38:14] 你的隔天的反弹很强
[00:38:17] 我要的是
[00:38:18] 当你来的时候
[00:38:19] 你敢不敢
[00:38:21] 把钱丢进去
[00:38:23] 在这种环境之下
[00:38:25] 大家都在害怕
[00:38:26] 我常常讲
[00:38:26] 大家往外冲
[00:38:27] 这时候
[00:38:28] 你要也很孤单的往内走
[00:38:30] 就是所有人
[00:38:31] 都这样往这边跑
[00:38:32] 你要这样一直进去
[00:38:33] 你就要很从容的
[00:38:34] 继续往内走
[00:38:35] 那你会不会害怕
[00:38:36] 而且你在这个时间点
[00:38:38] 你到底可以
[00:38:39] 你是不是敢压中
[00:38:40] 我觉得那是很重要的
[00:38:42] 那当然刚刚提到
[00:38:43] 个股
[00:38:43] 选个股相对来讲
[00:38:45] 你可能在这么短时间
[00:38:47] 尤其是
[00:38:48] 就算设好了
[00:38:49] 可能开盘跟你想的
[00:38:51] 也不一样
[00:38:51] 没有错
[00:38:51] 对对
[00:38:52] 你用这几档
[00:38:54] 就一开
[00:38:54] 它跌的好像
[00:38:55] 感觉没有那么多
[00:38:56] 你就会觉得
[00:38:57] 买的这样到底行不行
[00:38:59] 然后跌多的
[00:39:00] 你又来不及研究
[00:39:02] 那很简单
[00:39:02] 就ETF
[00:39:03] 就直接杀进去
[00:39:04] 我觉得
[00:39:05] 我个人觉得
[00:39:06] 无论主动被动
[00:39:07] 其实都是很好的
[00:39:08] 这个方向
[00:39:09] 当然
[00:39:10] 这个主动的部分
[00:39:11] 它的特色就是
[00:39:12] 跌的时候
[00:39:14] 它会跌比较重
[00:39:14] 涨的时候
[00:39:15] 自然也涨比较多
[00:39:17] 所以相对上
[00:39:17] 当然是一个
[00:39:18] 很好的选择标题
[00:39:20] 只要重申
[00:39:20] 我觉得这个方向
[00:39:22] 都不会错
[00:39:22] 但是切记就是
[00:39:24] 这个折议价的部分
[00:39:25] 稍微参考一下
[00:39:26] 就是在那个市场
[00:39:28] 很激情的时候
[00:39:29] 折议价
[00:39:30] 我觉得反而是
[00:39:31] 要留意的关键点
[00:39:32] 好
[00:39:32] 我昨天
[00:39:33] 有跟大家分享
[00:39:34] 我昨天有捡到
[00:39:34] 几档ETF
[00:39:35] 我都有先去查
[00:39:36] 其实用这个
[00:39:37] 台股ETF
[00:39:38] 折议价的
[00:39:38] 这个APP免费的
[00:39:39] 有时候看点广告
[00:39:40] 就会告诉你
[00:39:42] 目前的折议价
[00:39:42] 比较头痛的是
[00:39:43] 像我昨天
[00:39:44] 就没有捡到988
[00:39:45] 988一直有一个
[00:39:46] 长期小议价的问题
[00:39:48] 因为它投资在
[00:39:49] 美股的一些
[00:39:50] 比较新兴科技股
[00:39:51] 就是波动比较大的
[00:39:52] 那当然也有可能
[00:39:54] 晚上美股开盘
[00:39:55] 它就把那个
[00:39:55] 溢价的部分吃掉
[00:39:57] 也有可能
[00:39:57] 可是就小麻烦
[00:39:58] 那今天有一档
[00:39:59] 也是投资美股的
[00:40:00] ETF挂牌
[00:40:01] 主动式的402A
[00:40:03] 这是安联的
[00:40:04] 投资在美国
[00:40:05] 以大型股为主
[00:40:06] 但是有搭配一些
[00:40:07] 中小型股的
[00:40:08] 我也很有兴趣
[00:40:09] 因为今天挂牌嘛
[00:40:10] 我就想今天挂牌
[00:40:11] 一定破发
[00:40:13] 安联的人
[00:40:14] 应该没有听吧
[00:40:15] 可能会有听
[00:40:16] 但正常
[00:40:17] 因为他们今天要挂牌
[00:40:18] 他们一定前两天
[00:40:19] 买好股票
[00:40:19] 所以导致
[00:40:20] 今天破发的几率
[00:40:21] 是非常高的
[00:40:22] 但今天一看
[00:40:23] 试破发没错
[00:40:24] 9块多
[00:40:25] 可是溢价3.5%
[00:40:28] 没办法
[00:40:29] 我昨天还有跟安联
[00:40:30] 稍微开个玩笑说
[00:40:31] 你不要明天一挂牌
[00:40:32] 就溢价
[00:40:33] 他们就有点面露为难
[00:40:35] 因为他们投资在海外
[00:40:36] 一定要有这个概念
[00:40:37] 投资在海外
[00:40:38] 很难在盘中
[00:40:39] 把溢价给米平
[00:40:40] 因为他们要等美股开盘
[00:40:42] 他们才有办法补货
[00:40:43] 所以在没有办法
[00:40:44] 补货的情况下
[00:40:45] 他就没有获去市场上
[00:40:47] 平衡那个价格
[00:40:48] 但台股的ETF就比较容易
[00:40:50] 他比较容易在市场上
[00:40:51] 马上做一些造势的行为
[00:40:53] 让他们的净值跟市价
[00:40:55] 可以贴近
[00:40:56] 那不代表402A不好
[00:40:58] 只是他今天就让我觉得很可惜
[00:41:00] 虽然他破发
[00:41:01] 后来拉起来
[00:41:01] 就回到10块以上
[00:41:02] 可是我就是没有办法
[00:41:04] 3.5%太多了
[00:41:05] 甚至有到3.8%
[00:41:06] 太多了
[00:41:07] 所以我就告诉我自己说
[00:41:08] 以后大概这种海外型的ETF
[00:41:11] 我真的超有兴趣
[00:41:12] 我可以容忍的范围就是1%
[00:41:14] 他如果1%一价
[00:41:15] 我可能愿意
[00:41:16] 超过1%我大概不行
[00:41:18] 我这样讲
[00:41:19] 我觉得确实
[00:41:20] 如果就我听到3.4%
[00:41:21] 而且他有一个问题
[00:41:22] 因为他刚挂牌
[00:41:23] 他第一天
[00:41:24] 他刚挂牌
[00:41:25] 就会有一个问题
[00:41:26] 我常常讲假设
[00:41:27] 我举一个情境
[00:41:28] 就是说某一档ETF
[00:41:30] 其实他比如说
[00:41:31] 现在溢价1%多
[00:41:33] 可是你可以去观察一个问题
[00:41:35] 就是他会
[00:41:36] 你其实都查得到
[00:41:37] 他的过去平均的溢价状况
[00:41:39] 如果说过去来讲
[00:41:41] 他就是有一档
[00:41:41] 对对对
[00:41:42] 长期唯一溢价
[00:41:43] 长期他就是维持稳定溢价
[00:41:45] 其实代表你也没有买贵
[00:41:47] 但是数字只要一大
[00:41:49] 像那什么3.5%
[00:41:50] 那就不要讲
[00:41:51] 我也不相信
[00:41:51] 长期能够3.5%
[00:41:53] 如果说1%
[00:41:54] 长期他就是溢价的
