[00:00:00] 欢迎收听赵华与古惑在第1127集
[00:20:10] 因为今天外资空单回补
[00:20:12] 我们这几天也有跟大家分享
[00:20:13] 因为前两天外资空单
[00:20:14] 到了8万3千块
[00:20:15] 但是那时候正价差真的很大
[00:20:18] 正价差如果用夜盘来看
[00:20:19] 有时候一度会拉到
[00:20:20] 1000点的正价差
[00:20:21] 那今天这个正价差不见了
[00:20:24] 不见了
[00:20:25] 那我们的外资空单
[00:20:26] 就会有参考的意义
[00:20:27] 今天外资空单是有这样下来的
[00:20:29] 所以下个礼拜
[00:20:30] 我觉得这个事情
[00:20:30] 我们就恢复到参考
[00:20:31] 这件事情上
[00:20:32] 因为如果没有套利的需求
[00:20:35] 那剩下就是避险
[00:20:36] 以及
[00:20:37] 因为你说是避险没有错
[00:20:39] 可它如果现货也在卖
[00:20:40] 那就代表说
[00:20:41] 它有一点纯空方的味道
[00:20:43] 这件事情
[00:20:44] 我觉得下礼拜要来
[00:20:45] 就是好好的观测一下
[00:20:47] 没有这个套利的需求的话
[00:20:49] 那当然在现货市场
[00:20:50] 因为现在台币的汇率
[00:20:51] 是真的比较差
[00:20:52] 因为美元在升
[00:20:54] 美元在升就是呼应
[00:20:55] 他们觉得9月
[00:20:56] 如凯哥他有提到
[00:20:58] 它不是叫升息
[00:20:59] 它叫预防性升息
[00:21:01] 可是好处是什么
[00:21:03] 好处就跟华许那天的会议一样
[00:21:05] 假设真的预防性升息了
[00:21:08] 反而有可能叫利空出境
[00:21:10] 是
[00:21:10] 因为现在在反映利空
[00:21:11] 现在在反映这个担忧
[00:21:13] 所以如果担忧成真
[00:21:15] 或是担忧拿掉的时候
[00:21:17] 又会是好事
[00:21:18] 所以市场永远充满了
[00:21:20] 这些要综合评估的事情
[00:21:21] 但我觉得
[00:21:22] 如果你把它事情叫做
[00:21:23] 大到质检回来的话
[00:21:25] 第一观测盘面上
[00:21:27] 到底谁还是强势族群
[00:21:28] 国际市场
[00:21:29] 谁是强势族群
[00:21:30] 因为刚刚凯哥讲到被动元件
[00:21:32] 昨天太阳又电
[00:21:33] 春天制造署
[00:21:33] 不是还在大涨特长吗
[00:21:35] 不用因为一天
[00:21:36] 就觉得事情好像完了
[00:21:38] 没有了
[00:21:39] 功率元件其实也是同样的道理
[00:21:41] 那当然美股现在
[00:21:42] AI的大型龙头股
[00:21:44] 都有一点点像凯哥讲的
[00:21:45] 使不上力
[00:21:46] 可是还有一些恶军
[00:21:47] 都还在高点附近
[00:21:49] 今天矽光子
[00:21:50] 有一家叫和胜挂牌了
[00:21:52] 就是光胜的子公司
[00:21:53] 从200多
[00:21:55] 一路
[00:21:56] 800多
[00:21:57] 然后后来收
[00:21:58] 我刚刚看收在640块
[00:22:00] 当然光胜自己就有点辛苦了
[00:22:02] 看来资金要买
[00:22:03] 会想要去买和胜
[00:22:05] 对
[00:22:05] 但和胜也因为
[00:22:06] 今天的盘比较闷
[00:22:07] 要不然搞不好
[00:22:08] 800多就上去了
[00:22:10] 直接冲上去了
[00:22:10] 但是不要第一天抢这个事情
[00:22:12] 我们有很多的不好的经验
[00:22:14] 没有
[00:22:15] 你要抢还是可以
[00:22:16] 不要买太多
[00:22:17] 就好像我就跟我还讲说
[00:22:19] 对
[00:22:19] 你和胜300块以下
[00:22:21] 都是可以闭着眼睛
[00:22:22] 对
[00:22:22] 但800
[00:22:23] 但是500块上
[00:22:24] 你就要很小心
[00:22:25] 你要有点心理的准备
[00:22:26] 对
[00:22:27] 因为很多
[00:22:28] 很多
[00:22:29] 应该讲说
[00:22:31] 有一批资金是专门在做这样
[00:22:34] 刚新贵过股票
[00:22:36] 所以他们的一开盘
[00:22:37] 他们是挂很高的价格
[00:22:39] 他们可能都是开800 900
[00:22:40] 直接买进的
[00:22:42] 对
[00:22:42] 所以你如果是
[00:22:43] 他开100多
[00:22:45] 你想要挂个两三百
[00:22:46] 基本上
[00:22:48] 要成交
[00:22:49] 要碰运气
[00:22:50] 对
[00:22:50] 真的不太容易买到
[00:22:51] 对
[00:22:51] 没有错
[00:22:51] 但是如果你买到
[00:22:53] 真的就是运气好
[00:22:54] 对
[00:22:54] 好
[00:22:55] 这个是大家可以留意的
[00:22:56] 因为毕竟当初我们很关注
[00:22:58] 和胜的挂牌
[00:22:59] 对
[00:22:59] 但是他今天挂牌
[00:23:00] 是遇到一个
[00:23:01] 戚风苦雨
[00:23:02] 我们的天气也是戚风苦雨
[00:23:04] 所以我觉得大力光
[00:23:05] 是不是今天因为这样
[00:23:06] 所以就掉下来
[00:23:07] 为什么
[00:23:08] 他搞不好一方面是因为
[00:23:09] 这个Apple
[00:23:10] 可是一方面可能也是因为
[00:23:11] 我觉得Apple也有关了
[00:23:13] 因为他们两个都做的
[00:23:14] 都是细光子的
[00:23:16] 临近的这一块
[00:23:16] 对
[00:23:17] 对
[00:23:17] 但是算
[00:23:18] 这个路径是不一样
[00:23:19] 但是方向是一样的
[00:23:21] 是
[00:23:21] 但大力光今天是破十日线
[00:23:23] 还是强于大盘
[00:23:24] 国具今天也是打到快十日线
[00:23:27] 也是强于大盘
[00:23:28] 也等于是不用那么快下定论
[00:23:30] 但是我们自己要理解
[00:23:31] 往下像赵华的想法
[00:23:33] 就是只要像这种破月线的时候
[00:23:34] 我都是去买
[00:23:36] 例如说市值型的ETF为主
[00:23:38] 会比较放心
[00:23:39] 会比较放心
[00:23:40] 或是你买一些
[00:23:41] 像我今天看了
[00:23:42] 最近主动式的ETF
[00:23:43] 绩效都跑得不一样
[00:23:45] 例如说前一阵的991A跑得特别好
[00:23:47] 所以今天他根本就
[00:23:48] 只是在脚那边接近月线
[00:23:51] 可是像981A最近比较辛苦
[00:23:53] 981A今天就一个长黑破月线
[00:23:55] 那你要去剪这个比较弱的
[00:23:57] 还是等比较强的下来
[00:23:58] 我觉得都可以
[00:24:00] 因为他们这种还在赛跑
[00:24:02] 都才挂牌一年的东西
[00:24:04] 都还在赛跑
[00:24:05] 所以我还是按照我的几率
[00:24:06] 有破的我先剪一些
[00:24:08] 没破的我也挂在月线那边
[00:24:09] 等等看
[00:24:10] 我就是用这样的一个想法
[00:24:11] 对
[00:24:12] 然后让他们去跑
[00:24:13] 那当然我会密切注意的是
[00:24:15] 这一些像苹果的事情
[00:24:17] 为什么特别留意
[00:24:18] 我也会担心
[00:24:19] 会不会大家在消费品上面
[00:24:20] 越来越不肯消费
[00:24:22] 然后可是不肯消费
[00:24:23] 他们又因为零组件的涨价
[00:24:24] 不得不越来越变得更贵
[00:24:26] 形成的恶性循环
[00:24:28] 我觉得这个是比较不好的
[00:24:30] 但是AI的发展这件事情
[00:24:32] 倒看起来市场
[00:24:33] 还是非常的买单
[00:24:34] 所以到底股市
[00:24:36] 会在里面什么时候
[00:24:37] 找到平衡
[00:24:38] 我们可能需要一点观察
[00:24:39] 以及我也很支持凯哥讲的
[00:24:41] 融资真的洗一下
[00:24:43] 每次都会觉得
[00:24:44] 我凹单就会大赚
[00:24:45] 我杠杆开了
[00:24:47] 我也不会有去杠杆的痛
[00:24:48] 上一次跌到4万2
[00:24:49] 也没人断头
[00:24:50] 那这样子
[00:24:52] 其实你总有累积一定是要还的
[00:24:54] 是
[00:24:55] 刚刚讲到基金
[00:24:56] 我们还是那个逻辑
[00:24:58] 就是说一样
[00:24:58] 基金也是可以跟个股的逻辑是一样的
[00:25:01] 你去观察它的月线的走势
[00:25:03] 当一档基金的月线走势
[00:25:05] 开始往下弯的时候
[00:25:06] 你就开始不要再加码了
[00:25:08] 因为稍微有点不太对
[00:25:10] 真的
[00:25:10] 可是我喜欢那种减便宜
[00:25:12] 破月线跟月线下弯是两码之势
[00:25:15] 哦 月线下弯我懂
[00:25:16] 破月线是可以加码的
[00:25:17] 可是当它月线下弯的时候
[00:25:19] 你就先不要加码
[00:25:20] 是
[00:25:21] 也许它可能是短线的影响
[00:25:23] 但是它如果过几天又拉起来
[00:25:25] 那就没事
[00:25:26] 我懂你意思
[00:25:26] 可是如果它连续一个礼拜
[00:25:27] 月线都持续下弯
[00:25:29] 那就告诉你说
[00:25:30] 它的持股可能有些偏差了
[00:25:32] 是
[00:25:32] 对 这给大家做参考
[00:25:33] 好 我再帮凯哥就是翻译举落
[00:25:37] 大家想说没有啊
[00:25:38] 正好不是说去基线的还要买
[00:25:39] 这是两种不同的思维
[00:25:41] 一种是如果你的基金是那种很积极的
[00:25:44] 就例如说它是某一种特殊产业的
[00:25:46] 它是比较积极的
[00:25:47] 你自己就要考量一下
[00:25:48] 因为它破洞可能大嘛
[00:25:49] 所以当它月线下弯
[00:25:51] 它可能伴随来的会是
[00:25:52] 你已经可以预测到
[00:25:53] 也许是一大段的跌幅
[00:25:55] 那你手上的钱怎么配呢
[00:25:57] 假如你是一个定期定额
[00:25:58] 或是你本来就是越跌越减
[00:26:00] 你有留钱的人
[00:26:01] 我觉得没有关系
[00:26:02] 对 因为像台湾的科技股
[00:26:04] 或是半导体
[00:26:05] 或者是说整体市值
[00:26:06] 你说要跌到没有吗
[00:26:07] 不太可能啦
[00:26:08] 所以如果你是已经做好资金配置
[00:26:11] 跟进场策略的人
[00:26:12] 你可以这样做
[00:26:13] 但是如果你的钱就那么一点点
[00:26:15] 你可能加个一两次
[00:26:17] 你就会没有的人
[00:26:18] 你可能就很留意这件事情
[00:26:19] 因为你可能加完一个月线
[00:26:21] 后面点你就都加不到
[00:26:22] 你就会很痛苦
[00:26:23] 你甚至觉得我要停损吗
[00:26:24] 怎么办我钱被卡住了
[00:26:25] 所以我觉得这种思维
[00:26:27] 和我们
[00:26:28] 你会觉得很奇怪
[00:26:29] 为什么赵华说越低越减
[00:26:30] 凯哥说越下万不要减
[00:26:31] 其实是取决于
[00:26:33] 你的进场配置的策略
[00:26:35] 你的商品
[00:26:35] 你的资金还剩下多少
[00:26:37] 那这边的话还是要问一下凯哥
[00:26:39] 我刚刚有讲的下礼拜
[00:26:41] 我会观察一下
[00:26:42] 例如说融资跟外资的一些变化
[00:26:44] 那你会主要观察在什么
[00:26:46] 因为国际市场
[00:26:47] 你说有没有什么大型的财报
[00:26:49] 什么下礼拜都还好
[00:26:51] 我觉得基本上
[00:26:53] 很快的就要台阶法说
[00:26:55] 那大家都知道
[00:26:55] 台阶这次的法说有两个重点
[00:26:57] 一个是资本支出
[00:26:58] 一个是毛利率
[00:26:59] 那毛利率基本上
[00:27:00] 它一定是往上走的
[00:27:01] 它上个月应该是
[00:27:04] 上一季应该是接近65 66了
[00:27:06] 那我觉得它接下来就会往70去
[00:27:08] 所以它其实是越来越好
[00:27:11] 越来越好其实代表它的什么
[00:27:12] 它的获利越来越高
[00:27:14] 它也不断持续在扩大
[00:27:15] 它的资本支出
[00:27:16] 资本投入
[00:27:17] 那资本支出看起来
[00:27:19] 它就算这次没有讲
[00:27:20] 下次也会讲
[00:27:21] 一定还是扩大资本支出
[00:27:22] 所以它的设备
[00:27:24] 它的应运
[00:27:26] 它的建厂
[00:27:28] 这些一定都是跟着往上走的
[00:27:30] 所以下礼拜
[00:27:31] 除我们刚刚讲的
[00:27:32] 实际运营这些以外
[00:27:33] 像前几天有拉到涨停的汉塘
[00:27:36] 或是像亚翔
[00:27:37] 这种其实下来
[00:27:39] 其实它们都没有涨很多
[00:27:40] 其实它们是很稳健
[00:27:41] 慢慢一直往上爬
[00:27:42] 我觉得相对来讲
[00:27:43] 今天这样一个风暴
[00:27:45] 我觉得对它们想不会太大
[00:27:46] 它们就继续往上走
[00:27:47] 不会因为这样就结束
[00:27:49] 一样
[00:27:50] 这个设备也是
[00:27:52] 就是你去观察
[00:27:53] 就是下一个阶段
[00:27:55] 台积电的
[00:27:56] COWAS到COPOS这边的
[00:27:58] 设备机台的畅商
[00:27:59] 它们应该也是会持续顺风顺水的往上走
[00:28:03] 这个就是我们在下一个阶段
[00:28:05] 可以提醒大家
[00:28:06] 可以特别去留意的个股跟族群
[00:28:09] 就是比较肯定的就是
[00:28:12] 其实我们好像公司都很一致
[00:28:14] 就是台积电相关的设备供应链
[00:28:16] 昨天云翔哥来也是这么讲
[00:28:17] 就是因为全世界的建厂
[00:28:19] 都要到他们的手上
[00:28:20] 而且这个在业界
[00:28:21] 真的也跟大家分享过很多次
[00:28:23] 就是有这个很大的封测厂
[00:28:25] 就讲说
[00:28:26] 以前就是觉得叫你来建厂
[00:28:29] 是大家来招标
[00:28:30] 对不对
[00:28:30] 到底这样一支标金最好的人拿到
[00:28:34] 就所谓最合理的人拿到
[00:28:36] 他现在就是一直留标
[00:28:37] 因为大家都说
[00:28:38] 你那么便宜
[00:28:39] 我去盖别人的就好了
[00:28:40] 所以他们每一个人
[00:28:42] 都至少去提高标的价格
[00:28:44] 厂商才会愿意承接
[00:28:46] 所以这些厂务工程设备类的
[00:28:48] 真的是订单是非常非常之满
[00:28:51] 那他也考验到
[00:28:52] 像今天有好多公司
[00:28:54] 也是一口气就打到谍停板的时候
[00:28:55] 你要优先选择谁
[00:28:57] 或者是你也不急着
[00:28:58] 今天一定要选择
[00:28:59] 你也可以等到这个风暴
[00:29:01] 稍微比较指稳一点点的时候
[00:29:02] 再来做
[00:29:03] 可是切记
[00:29:04] 不要在这种大涨三天
[00:29:06] 要创新高的时候
[00:29:08] 才突然觉得自己又没有进去追
[00:29:10] 其实我觉得这一波
[00:29:11] 如果节奏上没有搞错的人
[00:29:14] 今天也不一定很有感觉
[00:29:15] 对
[00:29:16] 也不一定很有感觉
[00:29:17] 反而会开始思考
[00:29:18] 又来到有很多公司
[00:29:20] 可能也接近到月线的位置了
[00:29:22] 他们的月线还在上扬
[00:29:24] 他们的业绩也没有问题
[00:29:25] 我可能接下来资金
[00:29:26] 要达到哪一些族群上面
[00:29:28] 那设备是我跟凯哥的共识比较高的
[00:29:31] 那至于你说功率元件
[00:29:32] 被动元件
[00:29:33] 虽然它的势头看起来很好
[00:29:35] 可是要不要追高
[00:29:36] 我觉得这个也是考验着大家
[00:29:38] 因为已经涨一段了
[00:29:39] 对啊
[00:29:40] 不是没有涨
[00:29:40] 是已经涨一段了
[00:29:41] 对
[00:29:42] 所以手上有的朋友
[00:29:44] 像我自己手上
[00:29:44] 还是有蛮多的被动元件
[00:29:46] 和小部分的功率元件
[00:29:47] 我也没有在做什么奇怪的动作
[00:29:49] 因为他们离成本区很远嘛
[00:29:51] 更遑论像载版这样的公司
[00:29:53] 但是我也没有打算在今天
[00:29:55] 就急着进去
[00:29:56] 然后赶快捡
[00:29:57] 对
[00:29:58] 我觉得这个想法
[00:29:59] 我觉得大家可以互相参考一下
[00:30:01] 因为每一个人的操作逻辑不一样
[00:30:03] 那当然我们也有听到
[00:30:04] 有一些大户朋友
[00:30:05] 这几天其实是有点脚底抹油
[00:30:08] 转了就走
[00:30:09] 所以想要请教凯哥
[00:30:10] 你身边的比较多的大户朋友
[00:30:12] 会认为这一波修正
[00:30:14] 或者是说
[00:30:15] 他可能已经提早提款一些东西了
[00:30:17] 什么时候归对会比较好
[00:30:19] 我觉得很多大户
[00:30:21] 在这个时间离场
[00:30:22] 其实他是看不出什么不对劲
[00:30:24] 只是觉得就是说
[00:30:25] 赚到了
[00:30:26] 好像这盘在这边晃晃晃
[00:30:28] 好像拿点钱出来好了
[00:30:31] 再来就是因为暑假快要到了嘛
[00:30:33] 所以大家都是带小孩出去玩啊
[00:30:35] 什么的
[00:30:36] 所以这时间接下来
[00:30:38] 可能就会有一些大户旅游潮啦
[00:30:40] 就是他们出去旅游了
[00:30:41] 他们可是暂时把资金先抽出来
[00:30:44] 可是会不会还会再回来
[00:30:46] 我说应该是还有机会
[00:30:48] 为什么
[00:30:48] 因为他们不是全部出厂的
[00:30:50] 他们是部分出厂
[00:30:52] 而且我刚刚讲
[00:30:52] 部分出厂其实你看也没有跌很重嘛
[00:30:55] 他们主要卖的族群
[00:30:56] 所以我就跟大家讲说
[00:30:58] 基本上我看到
[00:30:59] 像CPU这个族群的主力是没有走的
[00:31:01] 是
[00:31:01] 所以我还是认为第三季
[00:31:02] CPU应该会有机会啦
[00:31:04] 对
[00:31:04] 好
[00:31:05] 大户出去玩
[00:31:06] 然后现在还有市族赛
[00:31:07] 其实我们之前
[00:31:08] 可能比较少讲这个啦
[00:31:10] 以玄学的角度
[00:31:11] 其实也是科学
[00:31:12] 市族赛的期间
[00:31:14] 股票市场不容易涨
[00:31:15] 他说因为有一部分的钱
[00:31:17] 会挪到赌赌嘛
[00:31:19] 赌赌
[00:31:20] 然后有一部分的钱
[00:31:21] 可能就是大家会觉得
[00:31:23] 我要去旅游
[00:31:24] 我要去看
[00:31:25] 我要守在电视前面之类的
[00:31:27] 然后所以
[00:31:28] 可能不是守在电视前面
[00:31:29] 守在网路前面了
[00:31:30] 我突然讲到我们电视台
[00:31:32] 也是有辛苦的地方
[00:31:32] 好
[00:31:33] 所以他在关注度
[00:31:35] 还有资金流的部分
[00:31:36] 也会被分散
[00:31:37] 那说是巧合吗
[00:31:39] 我也不确定
[00:31:40] 因为现在就是市族赛的期间
[00:31:42] 而且这个六月
[00:31:43] 又让你欢喜
[00:31:44] 又让你忧
[00:31:44] 就是又创了新高
[00:31:46] 但是又打回一个原点
[00:31:47] 这种感觉
[00:31:48] 希望大家如果操作节奏
[00:31:51] 抓得好
[00:31:51] 其实问题倒是不大
[00:31:53] 我昨天是说
[00:31:54] 每次都是夜盘在杀
[00:31:56] 日盘又好了
[00:31:56] 白天不懂夜的黑
[00:31:58] 那今天要改一首歌
[00:31:59] 叫做开始懂了
[00:32:01] 开始比较吻合了
[00:32:03] 可是你知道吗
[00:32:04] 比较吻合是好的
[00:32:05] 你就比较不会进退
[00:32:07] 觉得很痛苦说
[00:32:08] 现在跟夜盘的差距这么大
[00:32:10] 期指跟台股的差距那么大
[00:32:12] 等到大家都贴合
[00:32:13] 融资也稍微洗出去
[00:32:14] 然后大户在归对的时候
[00:32:16] 我觉得市场秩序
[00:32:17] 就会慢慢再恢复了
[00:32:18] 对
[00:32:18] 因为还是那句话
[00:32:19] 台积电的这个法说
[00:32:21] 一定是很正面的
[00:32:22] 不用太担心
[00:32:23] 所以我觉得这个盘
[00:32:25] 基本上
[00:32:26] 既然政府不开融资
[00:32:28] 给大家用
[00:32:28] 就代表政府希望
[00:32:30] 这个行情可以走更远
[00:32:32] 也可以走得更稳
[00:32:33] 对我想这个是给大家
[00:32:35] 比较良心的建议
[00:32:37] 就这盘还不用太害怕
[00:32:38] 好
[00:32:39] 那我们今天是礼拜五
[00:32:41] 是
[00:32:41] 希望大家六日
[00:32:42] 也要小心下雨
[00:32:44] 下到已经有点灾情了
[00:32:45] 出路小心
[00:32:46] 但是好好的休息
[00:32:47] 那就跟古获仔的朋友
[00:32:49] 说拜拜咯
[00:32:50] 大家拜拜
[00:32:50] 拜拜
[00:32:51] 下周再见
[00:32:52] 拜拜
[00:32:52] 拜拜
[00:32:52] iraliral
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] 
[00:33:04] iral
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
[00:33:06] 
